"country","year","ae_ton_manu"
"est","1995",NA
"est","1996",NA
"est","1997",NA
"est","1998",NA
"est","1999",NA
"est","2000",NA
"est","2001",NA
"est","2002",NA
"est","2003",NA
"est","2004",NA
"est","2005",NA
"est","2006",NA
"est","2007",NA
"est","2008",2569.05374
"est","2009",1535.24138
"est","2010",1416.28545
"est","2011",1815.83873
"est","2012",1815.75051
"est","2013",2051.96274
"est","2014",2491.61109
"est","2015",2374.74861
"est","2016",1740.81363
"est","2017",1963.13208
"est","2018",2091.3312
"est","2019",2369.91206
"est","2020",1716.81544
"est","2021",1417.37663
"est","2022",1697.29959
"est","2023",NA
NA,"1990",NA
NA,"1991",NA
NA,"1992",NA
NA,"1993",NA
NA,"1994",NA
NA,"1995",NA
NA,"1996",NA
NA,"1997",NA
NA,"1998",NA
NA,"1999",NA
NA,"2000",NA
NA,"2001",NA
NA,"2002",NA
NA,"2003",NA
NA,"2004",NA
NA,"2005",NA
NA,"2006",NA
NA,"2007",NA
NA,"2008",1032825.54069
NA,"2009",861579.12897
NA,"2010",908065.71662
NA,"2011",885437.38509
NA,"2012",851002.95923
NA,"2013",829710.26729
NA,"2014",819875.44093
NA,"2015",825652.75803
NA,"2016",828051.65819
NA,"2017",840082.12612
NA,"2018",834071.75318
NA,"2019",811797.52823
NA,"2020",761788.87001
NA,"2021",799413.52854
NA,"2022",744735.62699
NA,"2023",NA
"fin","1990",NA
"fin","1991",NA
"fin","1992",NA
"fin","1993",NA
"fin","1994",NA
"fin","1995",NA
"fin","1996",NA
"fin","1997",NA
"fin","1998",NA
"fin","1999",NA
"fin","2000",NA
"fin","2001",NA
"fin","2002",NA
"fin","2003",NA
"fin","2004",NA
"fin","2005",NA
"fin","2006",NA
"fin","2007",NA
"fin","2008",19020.01187
"fin","2009",15078.69355
"fin","2010",16444.91951
"fin","2011",16211.9139
"fin","2012",14391.6358
"fin","2013",14240.56802
"fin","2014",12806.73941
"fin","2015",12542.18529
"fin","2016",12339.43274
"fin","2017",11893.09292
"fin","2018",11904.53275
"fin","2019",11481.19497
"fin","2020",10709.41612
"fin","2021",10842.41142
"fin","2022",9355.1795
"fin","2023",NA
"fra","1990",NA
"fra","1991",NA
"fra","1992",NA
"fra","1993",NA
"fra","1994",NA
"fra","1995",NA
"fra","1996",NA
"fra","1997",NA
"fra","1998",NA
"fra","1999",NA
"fra","2000",NA
"fra","2001",NA
"fra","2002",NA
"fra","2003",NA
"fra","2004",NA
"fra","2005",NA
"fra","2006",NA
"fra","2007",NA
"fra","2008",127755.34958
"fra","2009",107977.25077
"fra","2010",112550.47827
"fra","2011",106269.74863
"fra","2012",99933.83017
"fra","2013",101482.45642
"fra","2014",99187.30087
"fra","2015",96203.93171
"fra","2016",95489.50247
"fra","2017",94649.75455
"fra","2018",94140.56285
"fra","2019",90770.75346
"fra","2020",80635.46532
"fra","2021",85818.17719
"fra","2022",81457.67511
"fra","2023",NA
"deu","1990",NA
"deu","1991",NA
"deu","1992",NA
"deu","1993",NA
"deu","1994",NA
"deu","1995",NA
"deu","1996",NA
"deu","1997",NA
"deu","1998",NA
"deu","1999",NA
"deu","2000",NA
"deu","2001",NA
"deu","2002",NA
"deu","2003",NA
"deu","2004",NA
"deu","2005",NA
"deu","2006",NA
"deu","2007",NA
"deu","2008",216574.12369
"deu","2009",190018.24255
"deu","2010",201905.49494
"deu","2011",198280.524
"deu","2012",193454.36824
"deu","2013",197196.10158
"deu","2014",195270.50652
"deu","2015",202699.06261
"deu","2016",206453.31069
"deu","2017",211957.62619
"deu","2018",203572.16143
"deu","2019",197260.76014
"deu","2020",190605.58593
"deu","2021",198554.39655
"deu","2022",181748.57649
"deu","2023",NA
"grc","1990",NA
"grc","1991",NA
"grc","1992",NA
"grc","1993",NA
"grc","1994",NA
"grc","1995",NA
"grc","1996",NA
"grc","1997",NA
"grc","1998",NA
"grc","1999",NA
"grc","2000",NA
"grc","2001",NA
"grc","2002",NA
"grc","2003",NA
"grc","2004",NA
"grc","2005",NA
"grc","2006",NA
"grc","2007",NA
"grc","2008",25376.01941
"grc","2009",21259.90198
"grc","2010",20775.06642
"grc","2011",16806.85459
"grc","2012",18343.71535
"grc","2013",20291.35933
"grc","2014",21018.60329
