"country","year","env_tax_gdp"
"alb","1990",NA
"alb","1991",NA
"alb","1992",NA
"alb","1993",NA
"alb","1994",NA
"alb","1995",NA
"alb","1996",NA
"alb","1997",NA
"alb","1998",NA
"alb","1999",NA
"alb","2000",0
"alb","2001",0
"alb","2002",1
"alb","2003",0
"alb","2004",0
"alb","2005",0
"alb","2006",0
"alb","2007",NA
"alb","2008",NA
"alb","2009",NA
"alb","2010",NA
"alb","2011",NA
"alb","2012",NA
"alb","2013",NA
"alb","2014",NA
"alb","2015",NA
"alb","2016",NA
"alb","2017",NA
"alb","2018",NA
"alb","2019",NA
"alb","2020",NA
"alb","2021",NA
"alb","2022",NA
"alb","2023",NA
"atg","1990",NA
"atg","1991",NA
"atg","1992",NA
"atg","1993",NA
"atg","1994",0
"atg","1995",0
"atg","1996",0
"atg","1997",0
"atg","1998",0
"atg","1999",0
"atg","2000",0
"atg","2001",0
"atg","2002",0
"atg","2003",0
"atg","2004",0
"atg","2005",0
"atg","2006",0
"atg","2007",0
"atg","2008",0.66
"atg","2009",0.52
"atg","2010",0.63
"atg","2011",0.25
"atg","2012",0.27
"atg","2013",0.73
"atg","2014",0.23
"atg","2015",0.37
"atg","2016",0.23
"atg","2017",0.31
"atg","2018",0.31
"atg","2019",0.29
"atg","2020",0.22
"atg","2021",NA
"atg","2022",NA
"atg","2023",NA
"arg","1990",NA
"arg","1991",NA
"arg","1992",NA
"arg","1993",NA
"arg","1994",1
"arg","1995",1
"arg","1996",1
"arg","1997",1
"arg","1998",1
"arg","1999",1
"arg","2000",1
"arg","2001",1
"arg","2002",1
"arg","2003",1
"arg","2004",1
"arg","2005",1
"arg","2006",1
"arg","2007",1
"arg","2008",1.95
"arg","2009",2.16
"arg","2010",2.09
"arg","2011",1.92
"arg","2012",2.23
"arg","2013",2.14
"arg","2014",2.22
"arg","2015",2.19
"arg","2016",2.14
"arg","2017",2.29
"arg","2018",1.9
"arg","2019",1.82
"arg","2020",1.75
"arg","2021",NA
"arg","2022",NA
"arg","2023",NA
"aus","1990",NA
"aus","1991",NA
"aus","1992",NA
"aus","1993",NA
"aus","1994",1
"aus","1995",1
"aus","1996",1
"aus","1997",1
"aus","1998",1
"aus","1999",1
"aus","2000",1
"aus","2001",1
"aus","2002",1
"aus","2003",1
