"country","year","chain_value_land"
"dnk","2012",36773.2
"dnk","2013",36226.4
"dnk","2014",33848.1
"dnk","2015",32417
"dnk","2016",30398
"dnk","2017",31902.9
"dnk","2018",31899.2
"dnk","2019",30154.8
"dnk","2020",19569.7
"dnk","2021",NA
"dnk","2022",NA
"dnk","2023",NA
"est","1990",NA
"est","1991",NA
"est","1992",NA
"est","1993",NA
"est","1994",NA
"est","1995",NA
"est","1996",NA
"est","1997",NA
"est","1998",NA
"est","1999",NA
"est","2000",NA
"est","2001",NA
"est","2002",NA
"est","2003",NA
"est","2004",NA
"est","2005",NA
"est","2006",NA
"est","2007",NA
"est","2008",673.4
"est","2009",539.6
"est","2010",554.8
"est","2011",560.3
"est","2012",565.9
"est","2013",577.2
"est","2014",551.3
"est","2015",573
"est","2016",598.9
"est","2017",641.1
"est","2018",724.7
"est","2019",774.5
"est","2020",781.9
"est","2021",896.3
"est","2022",884.8
"est","2023",NA
NA,"1990",NA
NA,"1991",NA
NA,"1992",NA
NA,"1993",NA
NA,"1994",NA
NA,"1995",NA
NA,"1996",NA
NA,"1997",NA
NA,"1998",NA
NA,"1999",NA
NA,"2000",NA
NA,"2001",NA
NA,"2002",NA
NA,"2003",NA
NA,"2004",NA
NA,"2005",NA
NA,"2006",NA
NA,"2007",NA
NA,"2008",263186.4
NA,"2009",248222.6
NA,"2010",251300.9
NA,"2011",254650
NA,"2012",255276.1
NA,"2013",253120.7
NA,"2014",254643.6
NA,"2015",254928.7
NA,"2016",255902.5
NA,"2017",265654
NA,"2018",269854.5
NA,"2019",276130.6
NA,"2020",233762.1
NA,"2021",253473.5
NA,"2022",NA
NA,"2023",NA
"fin","1990",NA
"fin","1991",NA
"fin","1992",NA
"fin","1993",NA
"fin","1994",NA
"fin","1995",NA
"fin","1996",NA
"fin","1997",NA
"fin","1998",NA
"fin","1999",NA
"fin","2000",NA
"fin","2001",NA
"fin","2002",NA
"fin","2003",NA
"fin","2004",NA
"fin","2005",NA
"fin","2006",NA
"fin","2007",NA
"fin","2008",5138
"fin","2009",4833
"fin","2010",4983
"fin","2011",5043
"fin","2012",4822
"fin","2013",4704
"fin","2014",4612
"fin","2015",4586
"fin","2016",4755
"fin","2017",4726
"fin","2018",4776
"fin","2019",4823
"fin","2020",4211
"fin","2021",4331
"fin","2022",4554
"fin","2023",NA
"fra","1990",NA
"fra","1991",NA
"fra","1992",NA
"fra","1993",NA
"fra","1994",NA
"fra","1995",NA
"fra","1996",NA
"fra","1997",NA
"fra","1998",NA
"fra","1999",NA
"fra","2000",NA
"fra","2001",NA
"fra","2002",NA
"fra","2003",NA
"fra","2004",NA
"fra","2005",NA
"fra","2006",NA
"fra","2007",NA
"fra","2008",41781
"fra","2009",39903.7
"fra","2010",41460.3
"fra","2011",42751.8
"fra","2012",44003.3
"fra","2013",43939.1
"fra","2014",43571
"fra","2015",42838
"fra","2016",43430.1
"fra","2017",44389.3
"fra","2018",43675.2
"fra","2019",45741.8
"fra","2020",38142.1
"fra","2021",41451.9
"fra","2022",NA
"fra","2023",NA
"deu","1990",NA
"deu","1991",NA
"deu","1992",NA
"deu","1993",NA
"deu","1994",NA
"deu","1995",NA
"deu","1996",NA
"deu","1997",NA
"deu","1998",NA
"deu","1999",NA
"deu","2000",NA
"deu","2001",NA
"deu","2002",NA
"deu","2003",NA
"deu","2004",NA
"deu","2005",NA
"deu","2006",NA
"deu","2007",NA
"deu","2008",47253.2
"deu","2009",43435.9
"deu","2010",44676.5
"deu","2011",47210.2
"deu","2012",47892.6
"deu","2013",47787.6
"deu","2014",49018.7
"deu","2015",47716
"deu","2016",46866.7
"deu","2017",47854.4
"deu","2018",49667.6
"deu","2019",50555.1
"deu","2020",42806
"deu","2021",46604.2
"deu","2022",NA
"deu","2023",NA
"grc","1990",NA
"grc","1991",NA
"grc","1992",NA
"grc","1993",NA
"grc","1994",NA
"grc","1995",NA
"grc","1996",NA
"grc","1997",NA
"grc","1998",NA
"grc","1999",NA
"grc","2000",NA
"grc","2001",NA
"grc","2002",NA
"grc","2003",NA
"grc","2004",NA
"grc","2005",NA
"grc","2006",NA
"grc","2007",NA
"grc","2008",3963.1
"grc","2009",3626.9
"grc","2010",3624.7
"grc","2011",3197
"grc","2012",3147
"grc","2013",3047.6
"grc","2014",2861.6
"grc","2015",2807.2
"grc","2016",2732.4
"grc","2017",2915.2
"grc","2018",2893.7
"grc","2019",2958.7
"grc","2020",2339.6
"grc","2021",2755
"grc","2022",2801.4
"grc","2023",NA
"hun","1990",NA
"hun","1991",NA
"hun","1992",NA
"hun","1993",NA
"hun","1994",NA
"hun","1995",NA
"hun","1996",NA
"hun","1997",NA
"hun","1998",NA
"hun","1999",NA
"hun","2000",NA
"hun","2001",NA
"hun","2002",NA
"hun","2003",NA
"hun","2004",NA
"hun","2005",NA
"hun","2006",NA
"hun","2007",NA
"hun","2008",864184
"hun","2009",761435
"hun","2010",802966
"hun","2011",861762
"hun","2012",857544
"hun","2013",899093
"hun","2014",917275
"hun","2015",947466
"hun","2016",1011566
"hun","2017",1033115
"hun","2018",1104531
"hun","2019",1142682
"hun","2020",1116796
"hun","2021",1137998
"hun","2022",1217880
"hun","2023",NA
"isl","1990",NA
"isl","1991",NA
"isl","1992",NA
"isl","1993",NA
"isl","1994",NA
"isl","1995",NA
"isl","1996",NA
"isl","1997",NA
"isl","1998",NA
"isl","1999",NA
"isl","2000",NA
"isl","2001",NA
"isl","2002",NA
"isl","2003",NA
"isl","2004",NA
"isl","2005",NA
"isl","2006",NA
"isl","2007",NA
"isl","2008",21434.8
"isl","2009",18515.2
"isl","2010",18131
"isl","2011",17859.4
"isl","2012",17999.6
"isl","2013",20940.9
"isl","2014",19584.6
"isl","2015",22488.6
"isl","2016",25929.1
"isl","2017",26972.5
"isl","2018",27504.8
"isl","2019",27746.2
"isl","2020",19768.4
"isl","2021",22413.1
"isl","2022",28636.3
"isl","2023",NA
"irl","1990",NA
"irl","1991",NA
"irl","1992",NA
"irl","1993",NA
"irl","1994",NA
"irl","1995",NA
"irl","1996",NA
"irl","1997",NA
"irl","1998",NA
"irl","1999",NA
"irl","2000",NA
"irl","2001",NA
"irl","2002",NA
"irl","2003",NA
"irl","2004",NA
"irl","2005",NA
"irl","2006",NA
"irl","2007",NA
"irl","2008",2277
"irl","2009",1994.1
"irl","2010",1864.4
"irl","2011",2173.6
"irl","2012",2156.3
"irl","2013",2099.6
"irl","2014",2198.3
"irl","2015",2263.3
"irl","2016",2447.8
"irl","2017",2515.3
"irl","2018",2575.5
"irl","2019",2704.1
"irl","2020",2141.3
"irl","2021",2236.1
"irl","2022",2471.6
"irl","2023",NA
"ita","1990",NA
"ita","1991",NA
"ita","1992",NA
"ita","1993",NA
"ita","1994",NA
"ita","1995",NA
"ita","1996",NA
"ita","1997",NA
"ita","1998",NA
"ita","1999",NA
"ita","2000",NA
"ita","2001",NA
"ita","2002",NA
"ita","2003",NA
"ita","2004",NA
"ita","2005",NA
"ita","2006",NA
"ita","2007",NA
"ita","2008",50580
"ita","2009",50537.1
"ita","2010",50196.3
"ita","2011",50006.3
"ita","2012",46426.1
"ita","2013",45763.5
"ita","2014",44472.8
"ita","2015",44161.9
"ita","2016",44111.5
"ita","2017",45185.6
"ita","2018",44353.2
"ita","2019",44973.4
"ita","2020",36413.7
"ita","2021",38647.8
"ita","2022",NA
"ita","2023",NA
"kos","1990",NA
"kos","1991",NA
"kos","1992",NA
"kos","1993",NA
"kos","1994",NA
"kos","1995",NA
"kos","1996",NA
"kos","1997",NA
"kos","1998",NA
"kos","1999",NA
"kos","2000",NA
"kos","2001",NA
"kos","2002",NA
"kos","2003",NA
"kos","2004",NA
"kos","2005",NA
"kos","2006",NA
"kos","2007",NA
"kos","2008",105.6
"kos","2009",NA
"kos","2010",NA
"kos","2011",NA
"kos","2012",NA
"kos","2013",NA
"kos","2014",NA
"kos","2015",NA
"kos","2016",NA
"kos","2017",NA
"kos","2018",NA
"kos","2019",NA
"kos","2020",NA
"kos","2021",NA
"kos","2022",NA
"kos","2023",NA
"lva","1990",NA
"lva","1991",NA
"lva","1992",NA
"lva","1993",NA
"lva","1994",NA
"lva","1995",NA
"lva","1996",NA
"lva","1997",NA
"lva","1998",NA
"lva","1999",NA
"lva","2000",NA
"lva","2001",NA
"lva","2002",NA
"lva","2003",NA
"lva","2004",NA
"lva","2005",NA
"lva","2006",NA
"lva","2007",NA
"lva","2008",1005.6
"lva","2009",873.4
"lva","2010",871.3
"lva","2011",883.6
"lva","2012",922.2
"lva","2013",886.1
"lva","2014",951.4
"lva","2015",896
"lva","2016",916.4
"lva","2017",997.2
"lva","2018",950.3
"lva","2019",1259.1
"lva","2020",1185.9
"lva","2021",1185.6
"lva","2022",NA
"lva","2023",NA
"lie","1990",NA
"lie","1991",NA
"lie","1992",NA
"lie","1993",NA
"lie","1994",NA
"lie","1995",NA
"lie","1996",NA
"lie","1997",NA
"lie","1998",NA
"lie","1999",NA
"lie","2000",NA
"lie","2001",NA
"lie","2002",NA
"lie","2003",NA
"lie","2004",NA
"lie","2005",NA
"lie","2006",NA
"lie","2007",NA
"lie","2008",NA
"lie","2009",NA
"lie","2010",NA
"lie","2011",NA
"lie","2012",NA
"lie","2013",NA
"lie","2014",NA
"lie","2015",NA
"lie","2016",NA
"lie","2017",NA
"lie","2018",NA
"lie","2019",NA
"lie","2020",NA
"lie","2021",NA
"lie","2022",NA
"lie","2023",NA
"ltu","1990",NA
"ltu","1991",NA
"ltu","1992",NA
"ltu","1993",NA
"ltu","1994",NA
"ltu","1995",NA
"ltu","1996",NA
"ltu","1997",NA
"ltu","1998",NA
"ltu","1999",NA
"ltu","2000",NA
"ltu","2001",NA
"ltu","2002",NA
"ltu","2003",NA
"ltu","2004",NA
"ltu","2005",NA
"ltu","2006",NA
"ltu","2007",NA
"ltu","2008",2096.4
"ltu","2009",1919.1
"ltu","2010",2065.5
"ltu","2011",2133.8
"ltu","2012",2244.3
"ltu","2013",2408.2
"ltu","2014",2520.3
"ltu","2015",2503.2
"ltu","2016",2699.9
"ltu","2017",3052.4
"ltu","2018",3311.8
"ltu","2019",3625.8
"ltu","2020",3482
"ltu","2021",3696.9
"ltu","2022",NA
"ltu","2023",NA
"lux","1990",NA
"lux","1991",NA
"lux","1992",NA
"lux","1993",NA
"lux","1994",NA
"lux","1995",NA
"lux","1996",NA
"lux","1997",NA
"lux","1998",NA
"lux","1999",NA
"lux","2000",NA
"lux","2001",NA
"lux","2002",NA
"lux","2003",NA
"lux","2004",NA
"lux","2005",NA
"lux","2006",NA
"lux","2007",NA
"lux","2008",1114.6
"lux","2009",1124.9
