"country","year","ae_ton_water"
"est","1997",NA
"est","1998",NA
"est","1999",NA
"est","2000",NA
"est","2001",NA
"est","2002",NA
"est","2003",NA
"est","2004",NA
"est","2005",NA
"est","2006",NA
"est","2007",NA
"est","2008",569.36079
"est","2009",589.94675
"est","2010",591.19541
"est","2011",537.51392
"est","2012",517.47332
"est","2013",477.35593
"est","2014",442.97815
"est","2015",417.25228
"est","2016",416.98081
"est","2017",398.54643
"est","2018",409.31953
"est","2019",416.56109
"est","2020",417.16998
"est","2021",381.32272
"est","2022",395.4539
"est","2023",NA
NA,"1990",NA
NA,"1991",NA
NA,"1992",NA
NA,"1993",NA
NA,"1994",NA
NA,"1995",NA
NA,"1996",NA
NA,"1997",NA
NA,"1998",NA
NA,"1999",NA
NA,"2000",NA
NA,"2001",NA
NA,"2002",NA
NA,"2003",NA
NA,"2004",NA
NA,"2005",NA
NA,"2006",NA
NA,"2007",NA
NA,"2008",171730.85511
NA,"2009",170581.06918
NA,"2010",169070.58988
NA,"2011",163683.84777
NA,"2012",161350.21918
NA,"2013",156322.91128
NA,"2014",150713.16838
NA,"2015",149154.94655
NA,"2016",148615.39264
NA,"2017",148931.9075
NA,"2018",148250.31367
NA,"2019",148236.58304
NA,"2020",145549.11836
NA,"2021",141860.66741
NA,"2022",144586.15483
NA,"2023",NA
"fin","1990",NA
"fin","1991",NA
"fin","1992",NA
"fin","1993",NA
"fin","1994",NA
"fin","1995",NA
"fin","1996",NA
"fin","1997",NA
"fin","1998",NA
"fin","1999",NA
"fin","2000",NA
"fin","2001",NA
"fin","2002",NA
"fin","2003",NA
"fin","2004",NA
"fin","2005",NA
"fin","2006",NA
"fin","2007",NA
"fin","2008",3451.40158
"fin","2009",3378.92265
"fin","2010",3377.35997
"fin","2011",3242.39079
"fin","2012",3236.43273
"fin","2013",3141.79248
"fin","2014",2972.37863
"fin","2015",2746.10098
"fin","2016",2601.79942
"fin","2017",2424.80763
"fin","2018",2362.07031
"fin","2019",2339.38446
"fin","2020",2316.41667
"fin","2021",2214.13883
"fin","2022",2260.39481
"fin","2023",NA
"fra","1990",NA
"fra","1991",NA
"fra","1992",NA
"fra","1993",NA
"fra","1994",NA
"fra","1995",NA
"fra","1996",NA
"fra","1997",NA
"fra","1998",NA
"fra","1999",NA
"fra","2000",NA
"fra","2001",NA
"fra","2002",NA
"fra","2003",NA
"fra","2004",NA
"fra","2005",NA
"fra","2006",NA
"fra","2007",NA
"fra","2008",28728.29048
"fra","2009",28237.73652
"fra","2010",28679.19816
"fra","2011",27742.4994
"fra","2012",27561.53616
"fra","2013",25109.8146
"fra","2014",24457.88624
"fra","2015",23737.59111
"fra","2016",23809.96413
"fra","2017",24040.76035
"fra","2018",23909.79421
"fra","2019",25153.88199
"fra","2020",24989.61542
"fra","2021",23537.49462
"fra","2022",24735.52285
"fra","2023",NA
"deu","1990",NA
"deu","1991",NA
"deu","1992",NA
"deu","1993",NA
"deu","1994",NA
"deu","1995",NA
"deu","1996",NA
"deu","1997",NA
"deu","1998",NA
"deu","1999",NA
"deu","2000",NA
"deu","2001",NA
"deu","2002",NA
"deu","2003",NA
"deu","2004",NA
"deu","2005",NA
"deu","2006",NA
"deu","2007",NA
"deu","2008",22231.09198
"deu","2009",21949.92933
"deu","2010",19813.1259
"deu","2011",19476.62139
"deu","2012",18403.69459
"deu","2013",18194.30461
"deu","2014",15481.49248
"deu","2015",14770.92504
"deu","2016",14940.49984
"deu","2017",14936.21906
"deu","2018",14670.77764
"deu","2019",14206.50127
"deu","2020",12762.26099
"deu","2021",11953.19032
"deu","2022",10998.56774
"deu","2023",NA
"grc","1990",NA
"grc","1991",NA
"grc","1992",NA
"grc","1993",NA
"grc","1994",NA
"grc","1995",NA
"grc","1996",NA
"grc","1997",NA
"grc","1998",NA
"grc","1999",NA
"grc","2000",NA
"grc","2001",NA
"grc","2002",NA
"grc","2003",NA
"grc","2004",NA
"grc","2005",NA
"grc","2006",NA
"grc","2007",NA
"grc","2008",5380.31709
"grc","2009",5129.58939
"grc","2010",5416.56083
"grc","2011",5086.15833
"grc","2012",4834.9715
"grc","2013",5018.46559
"grc","2014",5087.48663
"grc","2015",5020.39031
"grc","2016",5129.08525
"grc","2017",5343.67099
"grc","2018",5468.3283
"grc","2019",5513.29796
"grc","2020",5605.93506
"grc","2021",6000.34862
"grc","2022",6680.99498
"grc","2023",NA
"hun","1990",NA
"hun","1991",NA
"hun","1992",NA
"hun","1993",NA
"hun","1994",NA
"hun","1995",NA
"hun","1996",NA
"hun","1997",NA
"hun","1998",NA
"hun","1999",NA
"hun","2000",NA
"hun","2001",NA
"hun","2002",NA
"hun","2003",NA
"hun","2004",NA
"hun","2005",NA
"hun","2006",NA
"hun","2007",NA
"hun","2008",4720.11038
"hun","2009",4763.17632
"hun","2010",4743.3334
"hun","2011",4570.96951
"hun","2012",4588.33776
"hun","2013",4380.15459
"hun","2014",4289.59752
"hun","2015",4176.95142
"hun","2016",4031.93226
"hun","2017",4055.09888
"hun","2018",4016.14153
"hun","2019",4026.64737
"hun","2020",3972.60855
"hun","2021",3963.84028
"hun","2022",4330.28835
"hun","2023",NA
"isl","1990",NA
"isl","1991",NA
"isl","1992",NA
"isl","1993",NA
"isl","1994",NA
"isl","1995",NA
"isl","1996",NA
"isl","1997",NA
"isl","1998",NA
"isl","1999",NA
"isl","2000",NA
"isl","2001",NA
"isl","2002",NA
"isl","2003",NA
"isl","2004",NA
"isl","2005",NA
"isl","2006",NA
"isl","2007",NA
"isl","2008",358.79572
"isl","2009",346.81842
"isl","2010",348.35946
"isl","2011",331.07625
"isl","2012",313.15857
"isl","2013",329.03308
"isl","2014",312.14022
"isl","2015",304.53956
"isl","2016",295.78512
"isl","2017",295.40258
"isl","2018",316.64202
"isl","2019",279.53537
"isl","2020",310.49559
"isl","2021",307.1077
"isl","2022",311.62992
"isl","2023",NA
"irl","1990",NA
"irl","1991",NA
"irl","1992",NA
"irl","1993",NA
"irl","1994",NA
"irl","1995",NA
"irl","1996",NA
"irl","1997",NA
"irl","1998",NA
"irl","1999",NA
"irl","2000",NA
"irl","2001",NA
"irl","2002",NA
"irl","2003",NA
"irl","2004",NA
"irl","2005",NA
"irl","2006",NA
"irl","2007",NA
"irl","2008",932.07307
"irl","2009",868.96504
"irl","2010",699.73627
"irl","2011",768.42985
"irl","2012",741.4622
"irl","2013",955.68738
"irl","2014",1252.65729
"irl","2015",1426.76558
"irl","2016",1447.99437
"irl","2017",1688.50678
"irl","2018",1925.24681
"irl","2019",1968.51195
"irl","2020",1985.26269
"irl","2021",1870.27309
"irl","2022",1788.09192
"irl","2023",NA
"ita","1990",NA
"ita","1991",NA
"ita","1992",NA
"ita","1993",NA
"ita","1994",NA
"ita","1995",NA
"ita","1996",NA
"ita","1997",NA
"ita","1998",NA
"ita","1999",NA
"ita","2000",NA
"ita","2001",NA
"ita","2002",NA
"ita","2003",NA
"ita","2004",NA
"ita","2005",NA
"ita","2006",NA
"ita","2007",NA
"ita","2008",29372.81038
"ita","2009",28648.13611
"ita","2010",30665.94825
"ita","2011",27991.89482
"ita","2012",28297.17326
"ita","2013",26932.8529
"ita","2014",26932.99055
"ita","2015",27110.0365
"ita","2016",26988.43334
"ita","2017",26830.49223
"ita","2018",27223.03588
"ita","2019",27030.24214
"ita","2020",27484.82937
"ita","2021",27350.31334
"ita","2022",27154.38522
"ita","2023",NA
"lva","1990",NA
"lva","1991",NA
"lva","1992",NA
"lva","1993",NA
"lva","1994",NA
"lva","1995",NA
"lva","1996",NA
"lva","1997",NA
"lva","1998",NA
"lva","1999",NA
"lva","2000",NA
"lva","2001",NA
"lva","2002",NA
"lva","2003",NA
"lva","2004",NA
"lva","2005",NA
"lva","2006",NA
"lva","2007",NA
"lva","2008",668.68601
"lva","2009",688.49257
"lva","2010",678.23349
"lva","2011",661.32117
"lva","2012",597.65014
"lva","2013",584.74547
"lva","2014",583.10136
"lva","2015",534.89126
"lva","2016",550.59096
"lva","2017",525.36113
"lva","2018",521.44001
"lva","2019",524.72042
"lva","2020",532.31571
"lva","2021",530.24093
"lva","2022",557.36009
"lva","2023",NA
"ltu","1990",NA
"ltu","1991",NA
"ltu","1992",NA
"ltu","1993",NA
"ltu","1994",NA
"ltu","1995",NA
"ltu","1996",NA
"ltu","1997",NA
"ltu","1998",NA
"ltu","1999",NA
"ltu","2000",NA
"ltu","2001",NA
"ltu","2002",NA
"ltu","2003",NA
"ltu","2004",NA
"ltu","2005",NA
"ltu","2006",NA
"ltu","2007",NA
"ltu","2008",1577.29133
"ltu","2009",1548.57847
"ltu","2010",1519.5814
"ltu","2011",1435.77861
"ltu","2012",1391.44014
"ltu","2013",1357.4302
"ltu","2014",1239.7752
"ltu","2015",1173.2143
"ltu","2016",1149.87769
"ltu","2017",1172.03435
"ltu","2018",1060.22597
"ltu","2019",1047.23669
"ltu","2020",1009.81764
"ltu","2021",952.873
"ltu","2022",1004.26204
"ltu","2023",NA
"lux","1990",NA
"lux","1991",NA
"lux","1992",NA
"lux","1993",NA
"lux","1994",NA
"lux","1995",NA
"lux","1996",NA
"lux","1997",NA
"lux","1998",NA
"lux","1999",NA
"lux","2000",NA
"lux","2001",NA
"lux","2002",NA
"lux","2003",NA
"lux","2004",NA
"lux","2005",NA
"lux","2006",NA
"lux","2007",NA
"lux","2008",140.69344
"lux","2009",138.01379
"lux","2010",127.91903
"lux","2011",124.5179
"lux","2012",116.84017
"lux","2013",118.27424
"lux","2014",127.0593
"lux","2015",116.45344
"lux","2016",113.51812
"lux","2017",112.66529
"lux","2018",110.27072
"lux","2019",110.65698
"lux","2020",102.28577
"lux","2021",103.52714
"lux","2022",101.29782
"lux","2023",NA
"mlt","1990",NA
"mlt","1991",NA
"mlt","1992",NA
"mlt","1993",NA
"mlt","1994",NA
"mlt","1995",NA
"mlt","1996",NA
"mlt","1997",NA
"mlt","1998",NA
"mlt","1999",NA
"mlt","2000",NA
"mlt","2001",NA
"mlt","2002",NA
"mlt","2003",NA
"mlt","2004",NA
"mlt","2005",NA
"mlt","2006",NA
"mlt","2007",NA
"mlt","2008",132.03771
"mlt","2009",148.55235
"mlt","2010",137.91693
"mlt","2011",132.82731
"mlt","2012",135.80407
"mlt","2013",138.88275
"mlt","2014",156.6579
"mlt","2015",171.36805
"mlt","2016",183.8103
"mlt","2017",180.71333
"mlt","2018",190.58756
"mlt","2019",207.86436
"mlt","2020",211.01536
"mlt","2021",222.04544
"mlt","2022",251.40868
"mlt","2023",NA
"nld","1990",NA
"nld","1991",NA
"nld","1992",NA
"nld","1993",NA
"nld","1994",NA
"nld","1995",NA
"nld","1996",NA
"nld","1997",NA
"nld","1998",NA
"nld","1999",NA
"nld","2000",NA
"nld","2001",NA
"nld","2002",NA
"nld","2003",NA
"nld","2004",NA
"nld","2005",NA
"nld","2006",NA
"nld","2007",NA
"nld","2008",8470.40056
"nld","2009",8548.71975
"nld","2010",8115.21595
"nld","2011",7975.22709
"nld","2012",7654.5252
"nld","2013",7704.62132
"nld","2014",7389.98332
"nld","2015",6958.49117
"nld","2016",6896.01112
"nld","2017",6532.84373
"nld","2018",5865.60064
"nld","2019",5952.95461
"nld","2020",5743.27309
"nld","2021",5443.06732
"nld","2022",5433.98771
"nld","2023",NA
"nzl","1990",NA
"nzl","1991",NA
"nzl","1992",NA
"nzl","1993",NA
"nzl","1994",NA
"nzl","1995",NA
"nzl","1996",NA
"nzl","1997",NA
"nzl","1998",NA
"nzl","1999",NA
"nzl","2000",NA
"nzl","2001",NA
"nzl","2002",NA
"nzl","2003",NA
"nzl","2004",NA
"nzl","2005",NA
"nzl","2006",NA
"nzl","2007",NA
"nzl","2008",3169.5929169
"nzl","2009",3070.9068757
"nzl","2010",3045.0795452
"nzl","2011",2951.1130492
"nzl","2012",2870.0543514
"nzl","2013",2876.1717858
"nzl","2014",2889.4581528
"nzl","2015",2935.2823657
"nzl","2016",2921.8257826
"nzl","2017",3006.9407117
"nzl","2018",3065.8039228
"nzl","2019",2993.6132298
"nzl","2020",3101.664519
"nzl","2021",3202.1791843
"nzl","2022",NA
"nzl","2023",NA
"nor","1990",NA
"nor","1991",NA
"nor","1992",NA
"nor","1993",NA
"nor","1994",NA
"nor","1995",NA
"nor","1996",NA
"nor","1997",NA
"nor","1998",NA
"nor","1999",NA
"nor","2000",NA
"nor","2001",NA
"nor","2002",NA
"nor","2003",NA
"nor","2004",NA
"nor","2005",NA
"nor","2006",NA
"nor","2007",NA
"nor","2008",1697.22001
"nor","2009",1761.73945
"nor","2010",1762.25037
"nor","2011",1817.81612
"nor","2012",1804.32647
"nor","2013",1839.77091
"nor","2014",1784.04208
"nor","2015",1648.39038
"nor","2016",1664.29079
"nor","2017",1662.46345
"nor","2018",1653.85228
"nor","2019",1562.87502
"nor","2020",1427.56649
"nor","2021",1360.40363
"nor","2022",1252.63995
"nor","2023",NA
"pol","1990",NA
"pol","1991",NA
"pol","1992",NA
"pol","1993",NA
"pol","1994",NA
"pol","1995",NA
"pol","1996",NA
"pol","1997",NA
"pol","1998",NA
"pol","1999",NA
"pol","2000",NA
"pol","2001",NA
"pol","2002",NA
"pol","2003",NA
"pol","2004",NA
"pol","2005",NA
"pol","2006",NA
"pol","2007",NA
"pol","2008",9404.14026
"pol","2009",8987.58126
"pol","2010",8684.46548
"pol","2011",7778.92243
"pol","2012",7126.45037
"pol","2013",6910.80891
"pol","2014",6370.75492
"pol","2015",6106.94759
"pol","2016",6106.03644
"pol","2017",6476.23451
"pol","2018",6619.39446
"pol","2019",6447.8557
"pol","2020",5965.09384
"pol","2021",5888.73679
"pol","2022",6004.12734
"pol","2023",NA
"prt","1990",NA
"prt","1991",NA
"prt","1992",NA
"prt","1993",NA
