"country","year","ae_ton_health"
"est","2007",NA
"est","2008",27.54247
"est","2009",25.26487
"est","2010",23.11578
"est","2011",29.14143
"est","2012",29.77377
"est","2013",34.33484
"est","2014",28.84895
"est","2015",30.16878
"est","2016",13.01343
"est","2017",14.745
"est","2018",14.84853
"est","2019",14.3747
"est","2020",15.9926
"est","2021",9.13392
"est","2022",9.99581
"est","2023",NA
NA,"1990",NA
NA,"1991",NA
NA,"1992",NA
NA,"1993",NA
NA,"1994",NA
NA,"1995",NA
NA,"1996",NA
NA,"1997",NA
NA,"1998",NA
NA,"1999",NA
NA,"2000",NA
NA,"2001",NA
NA,"2002",NA
NA,"2003",NA
NA,"2004",NA
NA,"2005",NA
NA,"2006",NA
NA,"2007",NA
NA,"2008",22675.16435
NA,"2009",22488.53061
NA,"2010",24856.09465
NA,"2011",23017.9769
NA,"2012",23464.77576
NA,"2013",26744.28914
NA,"2014",25184.6034
NA,"2015",25722.08037
NA,"2016",27230.85645
NA,"2017",27982.32159
NA,"2018",27171.63414
NA,"2019",27364.00115
NA,"2020",28099.73303
NA,"2021",28828.27704
NA,"2022",27599.19613
NA,"2023",NA
"fin","1990",NA
"fin","1991",NA
"fin","1992",NA
"fin","1993",NA
"fin","1994",NA
"fin","1995",NA
"fin","1996",NA
"fin","1997",NA
"fin","1998",NA
"fin","1999",NA
"fin","2000",NA
"fin","2001",NA
"fin","2002",NA
"fin","2003",NA
"fin","2004",NA
"fin","2005",NA
"fin","2006",NA
"fin","2007",NA
"fin","2008",174.94326
"fin","2009",153.5044
"fin","2010",166.06539
"fin","2011",154.96329
"fin","2012",174.1616
"fin","2013",181.21296
"fin","2014",176.52997
"fin","2015",159.74165
"fin","2016",163.44281
"fin","2017",169.38021
"fin","2018",172.16132
"fin","2019",179.96182
"fin","2020",155.92251
"fin","2021",166.56454
"fin","2022",146.12414
"fin","2023",NA
"fra","1990",NA
"fra","1991",NA
"fra","1992",NA
"fra","1993",NA
"fra","1994",NA
"fra","1995",NA
"fra","1996",NA
"fra","1997",NA
"fra","1998",NA
"fra","1999",NA
"fra","2000",NA
"fra","2001",NA
"fra","2002",NA
"fra","2003",NA
"fra","2004",NA
"fra","2005",NA
"fra","2006",NA
"fra","2007",NA
"fra","2008",2842.03043
"fra","2009",3172.6871
"fra","2010",3242.86773
"fra","2011",2820.59383
"fra","2012",3045.21707
"fra","2013",6147.19352
"fra","2014",5900.21337
"fra","2015",6054.54251
"fra","2016",5846.97969
"fra","2017",6278.64797
"fra","2018",6279.23717
"fra","2019",6274.90472
"fra","2020",5873.44517
"fra","2021",6112.35849
"fra","2022",6244.54356
"fra","2023",NA
"deu","1990",NA
"deu","1991",NA
"deu","1992",NA
"deu","1993",NA
"deu","1994",NA
"deu","1995",NA
"deu","1996",NA
"deu","1997",NA
"deu","1998",NA
"deu","1999",NA
"deu","2000",NA
"deu","2001",NA
"deu","2002",NA
"deu","2003",NA
"deu","2004",NA
"deu","2005",NA
"deu","2006",NA
"deu","2007",NA
"deu","2008",7102.47248
"deu","2009",6666.40272
"deu","2010",7835.08281
"deu","2011",7324.4627
"deu","2012",7276.12024
"deu","2013",7829.05835
"deu","2014",7300.63905
"deu","2015",7894.7201
"deu","2016",7834.98802
"deu","2017",7693.15059
