"country","year","ae_cap_retail"
NA,"2002",NA
NA,"2003",NA
NA,"2004",NA
NA,"2005",NA
NA,"2006",NA
NA,"2007",NA
NA,"2008",224.25417
NA,"2009",222.30419
NA,"2010",231.64236
NA,"2011",222.53777
NA,"2012",217.81739
NA,"2013",219.13877
NA,"2014",210.97218
NA,"2015",205.76252
NA,"2016",231.18703
NA,"2017",239.48948
NA,"2018",231.06589
NA,"2019",230.54174
NA,"2020",212.71237
NA,"2021",227.18949
NA,"2022",215.05388
NA,"2023",NA
"fin","1990",NA
"fin","1991",NA
"fin","1992",NA
"fin","1993",NA
"fin","1994",NA
"fin","1995",NA
"fin","1996",NA
"fin","1997",NA
"fin","1998",NA
"fin","1999",NA
"fin","2000",NA
"fin","2001",NA
"fin","2002",NA
"fin","2003",NA
"fin","2004",NA
"fin","2005",NA
"fin","2006",NA
"fin","2007",NA
"fin","2008",106.18869
"fin","2009",103.24904
"fin","2010",120.89715
"fin","2011",110.32621
"fin","2012",113.65196
"fin","2013",108.64895
"fin","2014",107.64277
"fin","2015",102.73601
"fin","2016",99.56429
"fin","2017",97.36592
"fin","2018",98.58718
"fin","2019",91.69949
"fin","2020",86.81808
"fin","2021",80.97148
"fin","2022",73.87854
"fin","2023",NA
"fra","1990",NA
"fra","1991",NA
"fra","1992",NA
"fra","1993",NA
"fra","1994",NA
"fra","1995",NA
"fra","1996",NA
"fra","1997",NA
"fra","1998",NA
"fra","1999",NA
"fra","2000",NA
"fra","2001",NA
"fra","2002",NA
"fra","2003",NA
"fra","2004",NA
"fra","2005",NA
"fra","2006",NA
"fra","2007",NA
"fra","2008",248.88298
"fra","2009",265.97512
"fra","2010",272.36844
"fra","2011",255.61812
"fra","2012",260.80868
"fra","2013",261.28059
"fra","2014",246.34824
"fra","2015",246.54586
"fra","2016",241.00031
"fra","2017",244.11323
"fra","2018",239.34482
"fra","2019",214.63358
"fra","2020",174.58061
"fra","2021",182.58922
"fra","2022",165.44288
"fra","2023",NA
"deu","1990",NA
"deu","1991",NA
"deu","1992",NA
"deu","1993",NA
"deu","1994",NA
"deu","1995",NA
"deu","1996",NA
"deu","1997",NA
"deu","1998",NA
"deu","1999",NA
"deu","2000",NA
"deu","2001",NA
"deu","2002",NA
"deu","2003",NA
"deu","2004",NA
"deu","2005",NA
"deu","2006",NA
"deu","2007",NA
"deu","2008",255.39088
"deu","2009",240.61233
"deu","2010",268.84189
"deu","2011",255.3926
"deu","2012",243.1667
"deu","2013",259.58488
"deu","2014",234.56452
"deu","2015",230.54361
"deu","2016",226.49136
"deu","2017",224.69832
"deu","2018",212.34821
"deu","2019",208.30503
"deu","2020",204.80714
"deu","2021",208.28995
"deu","2022",195.71649
"deu","2023",NA
"grc","1990",NA
"grc","1991",NA
"grc","1992",NA
"grc","1993",NA
"grc","1994",NA
"grc","1995",NA
"grc","1996",NA
"grc","1997",NA
"grc","1998",NA
"grc","1999",NA
"grc","2000",NA
"grc","2001",NA
"grc","2002",NA
"grc","2003",NA
"grc","2004",NA
"grc","2005",NA
"grc","2006",NA
"grc","2007",NA
"grc","2008",234.95275
"grc","2009",249.66228
"grc","2010",235.09876
"grc","2011",230.9603
"grc","2012",209.70471
"grc","2013",221.69513
"grc","2014",210.28858
"grc","2015",223.86703
"grc","2016",225.53941
"grc","2017",229.87017
"grc","2018",216.64055
"grc","2019",200.26735
"grc","2020",201.37918
"grc","2021",218.04163
"grc","2022",220.06314
"grc","2023",NA
"hun","1990",NA
"hun","1991",NA
"hun","1992",NA
"hun","1993",NA
"hun","1994",NA
"hun","1995",NA
"hun","1996",NA
"hun","1997",NA
"hun","1998",NA
"hun","1999",NA
"hun","2000",NA
"hun","2001",NA
"hun","2002",NA
"hun","2003",NA
"hun","2004",NA
"hun","2005",NA
"hun","2006",NA
"hun","2007",NA
"hun","2008",193.59087
"hun","2009",196.51738
"hun","2010",202.12284
"hun","2011",210.80295
"hun","2012",195.97531
"hun","2013",207.63917
"hun","2014",223.65639
"hun","2015",254.27362
"hun","2016",240.88511
"hun","2017",241.33
"hun","2018",251.06677
"hun","2019",241.09637
"hun","2020",221.07028
"hun","2021",239.36072
"hun","2022",224.21698
"hun","2023",NA
"isl","1990",NA
"isl","1991",NA
"isl","1992",NA
"isl","1993",NA
"isl","1994",NA
"isl","1995",NA
"isl","1996",NA
"isl","1997",NA
"isl","1998",NA
"isl","1999",NA
"isl","2000",NA
"isl","2001",NA
"isl","2002",NA
"isl","2003",NA
"isl","2004",NA
"isl","2005",NA
"isl","2006",NA
"isl","2007",NA
"isl","2008",215.40388
"isl","2009",179.79961
"isl","2010",151.06254
"isl","2011",142.20717
"isl","2012",152.6775
"isl","2013",151.96744
"isl","2014",156.15803
"isl","2015",164.96346
"isl","2016",194.02219
"isl","2017",206.54776
"isl","2018",206.08599
"isl","2019",215.19793
"isl","2020",192.27889
"isl","2021",180.75039
"isl","2022",190.42674
"isl","2023",NA
"irl","1990",NA
"irl","1991",NA
"irl","1992",NA
"irl","1993",NA
"irl","1994",NA
"irl","1995",NA
"irl","1996",NA
"irl","1997",NA
"irl","1998",NA
"irl","1999",NA
"irl","2000",NA
"irl","2001",NA
"irl","2002",NA
"irl","2003",NA
"irl","2004",NA
"irl","2005",NA
"irl","2006",NA
"irl","2007",NA
"irl","2008",222.18634
"irl","2009",194.85362
"irl","2010",211.01318
"irl","2011",151.25866
"irl","2012",136.73751
"irl","2013",171.70318
"irl","2014",179.14007
"irl","2015",194.63839
"irl","2016",204.12202
"irl","2017",195.30271
"irl","2018",200.23805
"irl","2019",193.17798
"irl","2020",205.93551
"irl","2021",199.13607
"irl","2022",202.75313
"irl","2023",NA
"ita","1990",NA
"ita","1991",NA
"ita","1992",NA
"ita","1993",NA
"ita","1994",NA
"ita","1995",NA
"ita","1996",NA
"ita","1997",NA
"ita","1998",NA
"ita","1999",NA
"ita","2000",NA
"ita","2001",NA
"ita","2002",NA
"ita","2003",NA
"ita","2004",NA
"ita","2005",NA
"ita","2006",NA
"ita","2007",NA
"ita","2008",283.35275
"ita","2009",286.16059
"ita","2010",286.85811
"ita","2011",284.20955
"ita","2012",282.51828
"ita","2013",284.94604
"ita","2014",285.27231
"ita","2015",270.28541
"ita","2016",271.58358
"ita","2017",269.535
"ita","2018",273.99129
"ita","2019",269.60204
"ita","2020",237.44745
"ita","2021",259.79583
"ita","2022",250.32211
"ita","2023",NA
"lva","1990",NA
"lva","1991",NA
"lva","1992",NA
"lva","1993",NA
"lva","1994",NA
"lva","1995",NA
"lva","1996",NA
"lva","1997",NA
"lva","1998",NA
"lva","1999",NA
"lva","2000",NA
"lva","2001",NA
"lva","2002",NA
"lva","2003",NA
"lva","2004",NA
"lva","2005",NA
"lva","2006",NA
"lva","2007",NA
"lva","2008",281.50043
"lva","2009",173.82622
"lva","2010",178.21788
"lva","2011",138.21376
"lva","2012",147.13129
"lva","2013",146.8244
"lva","2014",128.79397
"lva","2015",158.32446
"lva","2016",154.64862
"lva","2017",173.7288
"lva","2018",141.16499
"lva","2019",135.28226
"lva","2020",169.58894
"lva","2021",168.53464
"lva","2022",164.86647
"lva","2023",NA
"ltu","1990",NA
"ltu","1991",NA
"ltu","1992",NA
"ltu","1993",NA
"ltu","1994",NA
"ltu","1995",NA
"ltu","1996",NA
"ltu","1997",NA
"ltu","1998",NA
"ltu","1999",NA
"ltu","2000",NA
"ltu","2001",NA
"ltu","2002",NA
"ltu","2003",NA
"ltu","2004",NA
"ltu","2005",NA
"ltu","2006",NA
"ltu","2007",NA
"ltu","2008",50.24123
"ltu","2009",47.42396
"ltu","2010",47.68331
"ltu","2011",56.06233
"ltu","2012",56.92695
"ltu","2013",73.89795
"ltu","2014",114.84423
"ltu","2015",143.40464
"ltu","2016",188.74126
"ltu","2017",187.87297
"ltu","2018",156.51885
"ltu","2019",140.4956
"ltu","2020",106.46653
"ltu","2021",72.20796
"ltu","2022",76.48645
"ltu","2023",NA
"lux","1990",NA
"lux","1991",NA
"lux","1992",NA
"lux","1993",NA
"lux","1994",NA
"lux","1995",NA
"lux","1996",NA
"lux","1997",NA
"lux","1998",NA
"lux","1999",NA
"lux","2000",NA
"lux","2001",NA
"lux","2002",NA
"lux","2003",NA
"lux","2004",NA
"lux","2005",NA
"lux","2006",NA
"lux","2007",NA
"lux","2008",388.97554
"lux","2009",372.46069
"lux","2010",497.6702
"lux","2011",409.51583
"lux","2012",417.36344
"lux","2013",501.53516
"lux","2014",343.0174
"lux","2015",429.25102
"lux","2016",371.74948
"lux","2017",358.64798
"lux","2018",317.434
"lux","2019",364.53409
"lux","2020",270.69298
"lux","2021",277.47631
"lux","2022",231.44876
"lux","2023",NA
"mlt","1990",NA
"mlt","1991",NA
"mlt","1992",NA
"mlt","1993",NA
"mlt","1994",NA
"mlt","1995",NA
"mlt","1996",NA
"mlt","1997",NA
"mlt","1998",NA
"mlt","1999",NA
"mlt","2000",NA
"mlt","2001",NA
"mlt","2002",NA
"mlt","2003",NA
"mlt","2004",NA
"mlt","2005",NA
"mlt","2006",NA
"mlt","2007",NA
"mlt","2008",187.33613
"mlt","2009",184.96944
"mlt","2010",201.33789
"mlt","2011",201.00481
"mlt","2012",218.54439
"mlt","2013",222.9624
"mlt","2014",226.50079
"mlt","2015",226.46216
"mlt","2016",217.94104
"mlt","2017",210.68467
"mlt","2018",210.53444
"mlt","2019",213.37729
"mlt","2020",194.76485
"mlt","2021",202.1761
"mlt","2022",202.25368
"mlt","2023",NA
"nld","1990",NA
"nld","1991",NA
"nld","1992",NA
"nld","1993",NA
"nld","1994",NA
"nld","1995",NA
"nld","1996",NA
"nld","1997",NA
"nld","1998",NA
"nld","1999",NA
"nld","2000",NA
"nld","2001",NA
"nld","2002",NA
"nld","2003",NA
"nld","2004",NA
"nld","2005",NA
"nld","2006",NA
"nld","2007",NA
"nld","2008",293.90492
"nld","2009",284.17359
"nld","2010",297.6272
"nld","2011",262.84107
"nld","2012",267.38879
"nld","2013",267.71405
"nld","2014",234.69179
"nld","2015",243.92247
"nld","2016",244.52462
"nld","2017",250.05122
"nld","2018",229.15205
"nld","2019",214.20204
"nld","2020",188.35092
"nld","2021",195.8192
"nld","2022",187.48441
"nld","2023",NA
"nor","1990",NA
"nor","1991",NA
"nor","1992",NA
"nor","1993",NA
"nor","1994",NA
"nor","1995",NA
"nor","1996",NA
"nor","1997",NA
"nor","1998",NA
"nor","1999",NA
"nor","2000",NA
"nor","2001",NA
"nor","2002",NA
"nor","2003",NA
"nor","2004",NA
"nor","2005",NA
"nor","2006",NA
"nor","2007",NA
"nor","2008",244.29885
"nor","2009",235.48329
"nor","2010",251.05636
"nor","2011",244.75516
"nor","2012",236.93368
"nor","2013",251.01984
"nor","2014",217.52392
"nor","2015",215.24234
"nor","2016",233.58712
"nor","2017",208.78038
"nor","2018",205.31994
"nor","2019",224.6115
"nor","2020",197.20718
"nor","2021",202.28079
"nor","2022",194.3381
"nor","2023",NA
"pol","1990",NA
"pol","1991",NA
"pol","1992",NA
"pol","1993",NA
"pol","1994",NA
"pol","1995",NA
"pol","1996",NA
"pol","1997",NA
"pol","1998",NA
"pol","1999",NA
"pol","2000",NA
"pol","2001",NA
"pol","2002",NA
"pol","2003",NA
"pol","2004",NA
"pol","2005",NA
"pol","2006",NA
"pol","2007",NA
"pol","2008",257.63267
"pol","2009",264.20542
"pol","2010",288.49069
"pol","2011",289.51963
"pol","2012",288.17278
"pol","2013",267.70996
"pol","2014",281.41921
"pol","2015",273.8034
"pol","2016",587.44557
"pol","2017",684.34954
"pol","2018",626.42515
"pol","2019",701.71751
"pol","2020",690.96428
"pol","2021",773.31317
"pol","2022",752.21969
"pol","2023",NA
"prt","1990",NA
"prt","1991",NA
"prt","1992",NA
"prt","1993",NA
"prt","1994",NA
"prt","1995",NA
"prt","1996",NA
"prt","1997",NA
"prt","1998",NA
"prt","1999",NA
"prt","2000",NA
"prt","2001",NA
"prt","2002",NA
"prt","2003",NA
"prt","2004",NA
"prt","2005",NA
"prt","2006",NA
"prt","2007",NA
"prt","2008",251.58654
"prt","2009",234.37296
"prt","2010",210.36985
"prt","2011",188.67341
"prt","2012",166.74698
"prt","2013",157.53175
"prt","2014",171.30519
"prt","2015",171.74845
"prt","2016",170.95589
"prt","2017",175.73192
"prt","2018",184.17992
"prt","2019",189.77965
"prt","2020",154.67249
"prt","2021",166.53756
"prt","2022",157.33777
"prt","2023",NA
"rou","1990",NA
"rou","1991",NA
"rou","1992",NA
"rou","1993",NA
"rou","1994",NA
"rou","1995",NA
"rou","1996",NA
"rou","1997",NA
"rou","1998",NA
"rou","1999",NA
"rou","2000",NA
"rou","2001",NA
"rou","2002",NA
"rou","2003",NA
"rou","2004",NA
"rou","2005",NA
"rou","2006",NA
"rou","2007",NA
"rou","2008",75.94968
"rou","2009",72.70212
"rou","2010",69.33217
"rou","2011",68.36793
"rou","2012",72.24867
"rou","2013",70.10686
"rou","2014",73.08502
"rou","2015",73.30603
"rou","2016",78.2084
"rou","2017",83.1814
"rou","2018",84.68909
"rou","2019",85.43321
"rou","2020",81.7003
"rou","2021",88.64198
"rou","2022",83.67358
"rou","2023",NA
"srb","1990",NA
"srb","1991",NA
"srb","1992",NA
"srb","1993",NA
"srb","1994",NA
"srb","1995",NA
"srb","1996",NA
"srb","1997",NA
"srb","1998",NA
"srb","1999",NA
"srb","2000",NA
"srb","2001",NA
"srb","2002",NA
"srb","2003",NA
"srb","2004",NA
"srb","2005",NA
"srb","2006",NA
"srb","2007",NA
"srb","2008",NA
"srb","2009",NA
"srb","2010",NA
"srb","2011",NA
"srb","2012",NA
"srb","2013",NA
"srb","2014",NA
"srb","2015",NA
"srb","2016",NA
"srb","2017",NA
"srb","2018",NA
"srb","2019",NA
"srb","2020",NA
"srb","2021",NA
"srb","2022",NA
"srb","2023",NA
"svk","1990",NA
"svk","1991",NA
"svk","1992",NA
"svk","1993",NA
"svk","1994",NA
"svk","1995",NA
"svk","1996",NA
"svk","1997",NA
"svk","1998",NA
"svk","1999",NA
"svk","2000",NA
"svk","2001",NA
"svk","2002",NA
