"country","year","ae_ton_retail"
"est","2000",NA
"est","2001",NA
"est","2002",NA
"est","2003",NA
"est","2004",NA
"est","2005",NA
"est","2006",NA
"est","2007",NA
"est","2008",263.61191
"est","2009",268.23103
"est","2010",246.77258
"est","2011",237.96307
"est","2012",256.8822
"est","2013",262.31738
"est","2014",264.77085
"est","2015",271.45288
"est","2016",197.06324
"est","2017",209.85578
"est","2018",209.20375
"est","2019",199.6311
"est","2020",193.8838
"est","2021",175.93079
"est","2022",188.61184
"est","2023",NA
NA,"1990",NA
NA,"1991",NA
NA,"1992",NA
NA,"1993",NA
NA,"1994",NA
NA,"1995",NA
NA,"1996",NA
NA,"1997",NA
NA,"1998",NA
NA,"1999",NA
NA,"2000",NA
NA,"2001",NA
NA,"2002",NA
NA,"2003",NA
NA,"2004",NA
NA,"2005",NA
NA,"2006",NA
NA,"2007",NA
NA,"2008",98534.28747
NA,"2009",97908.63176
NA,"2010",102163.88095
NA,"2011",97974.56619
NA,"2012",96036.8179
NA,"2013",96850.34069
NA,"2014",93518.59902
NA,"2015",91406.87474
NA,"2016",102916.88149
NA,"2017",106781.53008
NA,"2018",103206.81535
NA,"2019",103057.29033
NA,"2020",95156.10647
NA,"2021",101532.02685
NA,"2022",96136.20592
NA,"2023",NA
"fin","1990",NA
"fin","1991",NA
"fin","1992",NA
"fin","1993",NA
"fin","1994",NA
"fin","1995",NA
"fin","1996",NA
"fin","1997",NA
"fin","1998",NA
"fin","1999",NA
"fin","2000",NA
"fin","2001",NA
"fin","2002",NA
"fin","2003",NA
"fin","2004",NA
"fin","2005",NA
"fin","2006",NA
"fin","2007",NA
"fin","2008",564.22285
"fin","2009",551.23332
"fin","2010",648.41397
"fin","2011",594.46764
"fin","2012",615.30842
"fin","2013",590.93862
"fin","2014",587.89227
"fin","2015",562.94518
"fin","2016",547.13597
"fin","2017",536.31235
"fin","2018",543.76006
"fin","2019",506.32846
"fin","2020",480.06433
"fin","2021",448.66435
"fin","2022",410.47703
"fin","2023",NA
"fra","1990",NA
"fra","1991",NA
"fra","1992",NA
"fra","1993",NA
"fra","1994",NA
"fra","1995",NA
"fra","1996",NA
"fra","1997",NA
"fra","1998",NA
"fra","1999",NA
"fra","2000",NA
"fra","2001",NA
"fra","2002",NA
"fra","2003",NA
"fra","2004",NA
"fra","2005",NA
"fra","2006",NA
"fra","2007",NA
"fra","2008",15972.98877
"fra","2009",17156.60273
"fra","2010",17654.59223
"fra","2011",16647.85907
"fra","2012",17066.9724
"fra","2013",17184.76637
"fra","2014",16335.86086
"fra","2015",16407.20081
"fra","2016",16080.52994
"fra","2017",16335.57384
"fra","2018",16074.00262
"fra","2019",14463.72802
"fra","2020",11796.6051
"fra","2021",12373.03137
"fra","2022",11245.36957
"fra","2023",NA
"deu","1990",NA
"deu","1991",NA
"deu","1992",NA
"deu","1993",NA
"deu","1994",NA
"deu","1995",NA
"deu","1996",NA
"deu","1997",NA
"deu","1998",NA
"deu","1999",NA
"deu","2000",NA
"deu","2001",NA
"deu","2002",NA
"deu","2003",NA
"deu","2004",NA
"deu","2005",NA
"deu","2006",NA
"deu","2007",NA
"deu","2008",20970.16975
"deu","2009",19706.70508
"deu","2010",21985.06426
"deu","2011",20501.63628
"deu","2012",19556.88167
"deu","2013",20934.37931
"deu","2014",18995.62105
"deu","2015",18832.32593
"deu","2016",18651.26195
"deu","2017",18572.88971
"deu","2018",17604.89466
"deu","2019",17308.68192
"deu","2020",17031.93987
"deu","2021",17328.9071
"deu","2022",16400.64761
"deu","2023",NA
"grc","1990",NA
"grc","1991",NA
"grc","1992",NA
"grc","1993",NA
"grc","1994",NA
"grc","1995",NA
"grc","1996",NA
"grc","1997",NA
"grc","1998",NA
"grc","1999",NA
"grc","2000",NA
"grc","2001",NA
"grc","2002",NA
"grc","2003",NA
"grc","2004",NA
"grc","2005",NA
"grc","2006",NA
"grc","2007",NA
"grc","2008",2602.76917
"grc","2009",2773.0032
"grc","2010",2614.61352
"grc","2011",2564.79081
"grc","2012",2316.19086
"grc","2013",2430.9339
"grc","2014",2290.55007
"grc","2015",2422.43892
"grc","2016",2430.40613
"grc","2017",2472.17991
"grc","2018",2325.17744
"grc","2019",2147.18278
"grc","2020",2154.47512
"grc","2021",2304.52709
"grc","2022",2294.58053
"grc","2023",NA
"hun","1990",NA
"hun","1991",NA
"hun","1992",NA
"hun","1993",NA
"hun","1994",NA
"hun","1995",NA
"hun","1996",NA
"hun","1997",NA
"hun","1998",NA
"hun","1999",NA
"hun","2000",NA
"hun","2001",NA
"hun","2002",NA
"hun","2003",NA
"hun","2004",NA
"hun","2005",NA
"hun","2006",NA
"hun","2007",NA
"hun","2008",1943.30152
"hun","2009",1969.62491
"hun","2010",2021.23307
"hun","2011",2102.06948
"hun","2012",1944.14606
"hun","2013",2054.1913
"hun","2014",2206.69864
"hun","2015",2502.82234
"hun","2016",2364.05203
"hun","2017",2362.1298
"hun","2018",2454.31926
"hun","2019",2355.78662
"hun","2020",2155.4682
"hun","2021",2324.16646
"hun","2022",2162.13514
"hun","2023",NA
"isl","1990",NA
"isl","1991",NA
"isl","1992",NA
"isl","1993",NA
"isl","1994",NA
"isl","1995",NA
"isl","1996",NA
"isl","1997",NA
"isl","1998",NA
"isl","1999",NA
"isl","2000",NA
"isl","2001",NA
"isl","2002",NA
"isl","2003",NA
"isl","2004",NA
"isl","2005",NA
"isl","2006",NA
"isl","2007",NA
"isl","2008",68.37221
"isl","2009",57.266
"isl","2010",48.04408
"isl","2011",45.36608
"isl","2012",48.96612
"isl","2013",49.20159
"isl","2014",51.12395
"isl","2015",54.57239
"isl","2016",65.08261
"isl","2017",70.9285
"isl","2018",72.69086
"isl","2019",77.59241
"isl","2020",70.4631
"isl","2021",67.33314
"isl","2022",72.74359
"isl","2023",NA
"irl","1990",NA
"irl","1991",NA
"irl","1992",NA
"irl","1993",NA
"irl","1994",NA
"irl","1995",NA
"irl","1996",NA
"irl","1997",NA
"irl","1998",NA
"irl","1999",NA
"irl","2000",NA
"irl","2001",NA
"irl","2002",NA
"irl","2003",NA
"irl","2004",NA
"irl","2005",NA
"irl","2006",NA
"irl","2007",NA
"irl","2008",997.51535
"irl","2009",883.73422
"irl","2010",962.25281
"irl","2011",692.77739
"irl","2012",628.9287
"irl","2013",793.92393
"irl","2014",834.38786
"irl","2015",915.18133
"irl","2016",970.66859
"irl","2017",938.89588
"irl","2018",974.62187
"irl","2019",953.20584
"irl","2020",1026.66719
"irl","2021",1002.28448
"irl","2022",1039.54975
"irl","2023",NA
"ita","1990",NA
"ita","1991",NA
"ita","1992",NA
"ita","1993",NA
"ita","1994",NA
"ita","1995",NA
"ita","1996",NA
"ita","1997",NA
"ita","1998",NA
"ita","1999",NA
"ita","2000",NA
"ita","2001",NA
"ita","2002",NA
"ita","2003",NA
"ita","2004",NA
"ita","2005",NA
"ita","2006",NA
"ita","2007",NA
"ita","2008",16668.71615
"ita","2009",16910.76443
"ita","2010",17004.20783
"ita","2011",16876.20677
"ita","2012",16821.05822
"ita","2013",17163.42517
"ita","2014",17341.45818
"ita","2015",16414.59032
"ita","2016",16465.43303
"ita","2017",16316.76178
"ita","2018",16555.03578
"ita","2019",16103.08182
"ita","2020",14113.60374
"ita","2021",15362.55183
"ita","2022",14754.09132
"ita","2023",NA
"lva","1990",NA
"lva","1991",NA
"lva","1992",NA
"lva","1993",NA
"lva","1994",NA
"lva","1995",NA
"lva","1996",NA
"lva","1997",NA
"lva","1998",NA
"lva","1999",NA
"lva","2000",NA
"lva","2001",NA
"lva","2002",NA
"lva","2003",NA
"lva","2004",NA
"lva","2005",NA
"lva","2006",NA
"lva","2007",NA
"lva","2008",612.91709
"lva","2009",372.27822
"lva","2010",373.82181
"lva","2011",284.68013
"lva","2012",299.31198
"lva","2013",295.50569
"lva","2014",256.7871
"lva","2015",313.09089
"lva","2016",303.03968
"lva","2017",337.42442
"lva","2018",272.04949
"lva","2019",258.90617
"lva","2020",322.29513
"lva","2021",317.60185
"lva","2022",309.84723
"lva","2023",NA
"ltu","1990",NA
"ltu","1991",NA
"ltu","1992",NA
"ltu","1993",NA
"ltu","1994",NA
"ltu","1995",NA
"ltu","1996",NA
"ltu","1997",NA
"ltu","1998",NA
"ltu","1999",NA
"ltu","2000",NA
"ltu","2001",NA
"ltu","2002",NA
"ltu","2003",NA
"ltu","2004",NA
"ltu","2005",NA
"ltu","2006",NA
"ltu","2007",NA
"ltu","2008",160.68306
"ltu","2009",149.99802
"ltu","2010",147.68864
"ltu","2011",169.76318
"ltu","2012",170.08479
"ltu","2013",218.56714
"ltu","2014",336.76543
"ltu","2015",416.57759
"ltu","2016",541.35352
"ltu","2017",531.38046
"ltu","2018",438.49429
"ltu","2019",392.56394
"ltu","2020",297.5617
"ltu","2021",202.24286
"ltu","2022",216.58203
"ltu","2023",NA
"lux","1990",NA
"lux","1991",NA
"lux","1992",NA
"lux","1993",NA
"lux","1994",NA
"lux","1995",NA
"lux","1996",NA
"lux","1997",NA
"lux","1998",NA
"lux","1999",NA
"lux","2000",NA
"lux","2001",NA
"lux","2002",NA
"lux","2003",NA
"lux","2004",NA
"lux","2005",NA
"lux","2006",NA
"lux","2007",NA
"lux","2008",190.0729
"lux","2009",185.4046
"lux","2010",252.2954
"lux","2011",212.2713
"lux","2012",221.59745
"lux","2013",272.51415
"lux","2014",190.8271
"lux","2015",244.5031
"lux","2016",216.3634
"lux","2017",213.8747
"lux","2018",192.984
"lux","2019",226.0115
"lux","2020",170.65
"lux","2021",177.6026
"lux","2022",151.15988
"lux","2023",NA
"mlt","1990",NA
"mlt","1991",NA
"mlt","1992",NA
"mlt","1993",NA
"mlt","1994",NA
"mlt","1995",NA
"mlt","1996",NA
"mlt","1997",NA
"mlt","1998",NA
"mlt","1999",NA
"mlt","2000",NA
"mlt","2001",NA
"mlt","2002",NA
"mlt","2003",NA
"mlt","2004",NA
"mlt","2005",NA
"mlt","2006",NA
"mlt","2007",NA
"mlt","2008",76.69148
"mlt","2009",76.29564
"mlt","2010",83.45617
"mlt","2011",83.67187
"mlt","2012",91.79476
"mlt","2013",94.97463
"mlt","2014",98.42773
"mlt","2015",100.78766
"mlt","2016",99.24076
"mlt","2017",98.60021
"mlt","2018",102.03131
"mlt","2019",107.55538
"mlt","2020",100.36856
"mlt","2021",104.83559
"mlt","2022",107.41956
"mlt","2023",NA
"nld","1990",NA
"nld","1991",NA
"nld","1992",NA
"nld","1993",NA
"nld","1994",NA
"nld","1995",NA
"nld","1996",NA
"nld","1997",NA
"nld","1998",NA
"nld","1999",NA
"nld","2000",NA
"nld","2001",NA
"nld","2002",NA
"nld","2003",NA
"nld","2004",NA
"nld","2005",NA
"nld","2006",NA
"nld","2007",NA
"nld","2008",4833.44075
"nld","2009",4697.49975
"nld","2010",4945.19321
"nld","2011",4387.6255
"nld","2012",4480.08895
"nld","2013",4498.78255
"nld","2014",3958.07888
"nld","2015",4132.02791
"nld","2016",4164.33105
"nld","2017",4283.70154
"nld","2018",3948.66201
"nld","2019",3715.30731
"nld","2020",3285.1226
"nld","2021",3433.3066
"nld","2022",3318.65823
"nld","2023",NA
"nzl","1990",NA
