"country","year","ae_cap_total"
"est","2009",12786.69277
"est","2010",16307.45975
"est","2011",16334.72868
"est","2012",15694.04849
"est","2013",17544.49357
"est","2014",16865.41394
"est","2015",14247.37094
"est","2016",15078.66584
"est","2017",16135.65892
"est","2018",15137.53282
"est","2019",10604.15424
"est","2020",7963.69524
"est","2021",8931.58931
"est","2022",10226.90455
"est","2023",NA
NA,"1990",NA
NA,"1991",NA
NA,"1992",NA
NA,"1993",NA
NA,"1994",NA
NA,"1995",NA
NA,"1996",NA
NA,"1997",NA
NA,"1998",NA
NA,"1999",NA
NA,"2000",NA
NA,"2001",NA
NA,"2002",NA
NA,"2003",NA
NA,"2004",NA
NA,"2005",NA
NA,"2006",NA
NA,"2007",NA
NA,"2008",8626.92875
NA,"2009",7851.17961
NA,"2010",8024.312
NA,"2011",7901.99531
NA,"2012",7728.87639
NA,"2013",7493.97846
NA,"2014",7234.80244
NA,"2015",7299.14202
NA,"2016",7269.86778
NA,"2017",7365.30832
NA,"2018",7224.85515
NA,"2019",6878.66756
NA,"2020",6192.64936
NA,"2021",6543.66317
NA,"2022",6481.15774
NA,"2023",NA
"fin","1990",NA
"fin","1991",NA
"fin","1992",NA
"fin","1993",NA
"fin","1994",NA
"fin","1995",NA
"fin","1996",NA
"fin","1997",NA
"fin","1998",NA
"fin","1999",NA
"fin","2000",NA
"fin","2001",NA
"fin","2002",NA
"fin","2003",NA
"fin","2004",NA
"fin","2005",NA
"fin","2006",NA
"fin","2007",NA
"fin","2008",12652.92915
"fin","2009",12003.5582
"fin","2010",13441.16142
"fin","2011",11997.44575
"fin","2012",10873.83279
"fin","2013",10968.18592
"fin","2014",10128.6342
"fin","2015",9511.45486
"fin","2016",10038.99336
"fin","2017",9485.75423
"fin","2018",9694.40422
"fin","2019",9199.28759
"fin","2020",7906.40645
"fin","2021",7919.04152
"fin","2022",7738.45267
"fin","2023",NA
"fra","1990",NA
"fra","1991",NA
"fra","1992",NA
"fra","1993",NA
"fra","1994",NA
"fra","1995",NA
"fra","1996",NA
"fra","1997",NA
"fra","1998",NA
"fra","1999",NA
"fra","2000",NA
"fra","2001",NA
"fra","2002",NA
"fra","2003",NA
"fra","2004",NA
"fra","2005",NA
"fra","2006",NA
"fra","2007",NA
"fra","2008",6653.31715
"fra","2009",6166.27604
"fra","2010",6234.05762
"fra","2011",5933.11442
"fra","2012",5867.59123
"fra","2013",5772.55679
"fra","2014",5396.6963
"fra","2015",5373.29066
"fra","2016",5339.3857
"fra","2017",5473.35517
"fra","2018",5304.09458
"fra","2019",5167.54892
"fra","2020",4650.66425
"fra","2021",4860.54857
"fra","2022",4860.61498
"fra","2023",NA
"deu","1990",NA
"deu","1991",NA
"deu","1992",NA
"deu","1993",NA
"deu","1994",NA
"deu","1995",NA
"deu","1996",NA
"deu","1997",NA
"deu","1998",NA
"deu","1999",NA
"deu","2000",NA
"deu","2001",NA
"deu","2002",NA
"deu","2003",NA
"deu","2004",NA
"deu","2005",NA
"deu","2006",NA
"deu","2007",NA
"deu","2008",10115.61826
"deu","2009",9321.2955
"deu","2010",9667.30977
"deu","2011",9668.75122
"deu","2012",9767.75313
"deu","2013",9890.30045
"deu","2014",9336.31394
"deu","2015",9357.88722
"deu","2016",9211.87893
"deu","2017",9040.14272
"deu","2018",8728.75768
"deu","2019",7930.78154
"deu","2020",7039.77503
"deu","2021",7528.06739
"deu","2022",7391.81001
"deu","2023",NA
"grc","1990",NA
"grc","1991",NA
"grc","1992",NA
"grc","1993",NA
"grc","1994",NA
"grc","1995",NA
"grc","1996",NA
"grc","1997",NA
"grc","1998",NA
"grc","1999",NA
"grc","2000",NA
"grc","2001",NA
"grc","2002",NA
"grc","2003",NA
"grc","2004",NA
"grc","2005",NA
"grc","2006",NA
"grc","2007",NA
"grc","2008",11023.01151
"grc","2009",10354.69072
"grc","2010",9989.26871
"grc","2011",9620.52232
"grc","2012",9558.04909
"grc","2013",8893.05591
"grc","2014",8668.78043
"grc","2015",8372.38355
"grc","2016",8222.02074
"grc","2017",8770.31265
"grc","2018",8747.67903
"grc","2019",8190.97834
"grc","2020",7159.12508
"grc","2021",7404.62596
"grc","2022",7486.77365
"grc","2023",NA
"hun","1990",NA
"hun","1991",NA
"hun","1992",NA
"hun","1993",NA
"hun","1994",NA
"hun","1995",NA
"hun","1996",NA
"hun","1997",NA
"hun","1998",NA
"hun","1999",NA
"hun","2000",NA
"hun","2001",NA
"hun","2002",NA
"hun","2003",NA
"hun","2004",NA
"hun","2005",NA
"hun","2006",NA
"hun","2007",NA
"hun","2008",6037.92319
"hun","2009",5429.11941
"hun","2010",5527.87399
"hun","2011",5555.34942
"hun","2012",5118.86096
"hun","2013",4985.63275
"hun","2014",5079.38595
"hun","2015",5309.83606
"hun","2016",5290.18346
"hun","2017",5509.9815
"hun","2018",5565.00066
"hun","2019",5421.99489
"hun","2020",5142.94018
"hun","2021",5222.88312
"hun","2022",5102.02049
"hun","2023",NA
"isl","1990",NA
"isl","1991",NA
"isl","1992",NA
"isl","1993",NA
"isl","1994",NA
"isl","1995",NA
"isl","1996",NA
"isl","1997",NA
"isl","1998",NA
"isl","1999",NA
"isl","2000",NA
"isl","2001",NA
"isl","2002",NA
"isl","2003",NA
"isl","2004",NA
"isl","2005",NA
"isl","2006",NA
"isl","2007",NA
