"country","year","ae_ton_land"
"est","1998",NA
"est","1999",NA
"est","2000",NA
"est","2001",NA
"est","2002",NA
"est","2003",NA
"est","2004",NA
"est","2005",NA
"est","2006",NA
"est","2007",NA
"est","2008",1667.88302
"est","2009",1421.72978
"est","2010",1529.93546
"est","2011",1811.97666
"est","2012",1491.4312
"est","2013",1701.85377
"est","2014",1819.65672
"est","2015",1797.81886
"est","2016",1557.17687
"est","2017",1563.6442
"est","2018",1367.83374
"est","2019",1127.14138
"est","2020",983.74002
"est","2021",1091.5736
"est","2022",1096.31337
"est","2023",NA
NA,"1990",NA
NA,"1991",NA
NA,"1992",NA
NA,"1993",NA
NA,"1994",NA
NA,"1995",NA
NA,"1996",NA
NA,"1997",NA
NA,"1998",NA
NA,"1999",NA
NA,"2000",NA
NA,"2001",NA
NA,"2002",NA
NA,"2003",NA
NA,"2004",NA
NA,"2005",NA
NA,"2006",NA
NA,"2007",NA
NA,"2008",175133.24625
NA,"2009",164811.63229
NA,"2010",163734.90575
NA,"2011",160246.14645
NA,"2012",152623.98865
NA,"2013",149973.77285
NA,"2014",146222.76797
NA,"2015",147650.76493
NA,"2016",143843.84998
NA,"2017",151967.84121
NA,"2018",151756.45408
NA,"2019",152762.28047
NA,"2020",140150.36926
NA,"2021",151685.07688
NA,"2022",155168.46596
NA,"2023",NA
"fin","1990",NA
"fin","1991",NA
"fin","1992",NA
"fin","1993",NA
"fin","1994",NA
"fin","1995",NA
"fin","1996",NA
"fin","1997",NA
"fin","1998",NA
"fin","1999",NA
"fin","2000",NA
"fin","2001",NA
"fin","2002",NA
"fin","2003",NA
"fin","2004",NA
"fin","2005",NA
"fin","2006",NA
"fin","2007",NA
"fin","2008",4643.38155
"fin","2009",4447.85477
"fin","2010",4596.64222
"fin","2011",4586.45118
"fin","2012",4784.49822
"fin","2013",4144.16475
"fin","2014",3437.70739
"fin","2015",3585.67246
"fin","2016",4245.97295
"fin","2017",4131.44175
"fin","2018",4107.93093
"fin","2019",3911.65765
"fin","2020",4041.05726
"fin","2021",3579.13117
"fin","2022",3506.99838
"fin","2023",NA
"fra","1990",NA
"fra","1991",NA
"fra","1992",NA
"fra","1993",NA
"fra","1994",NA
"fra","1995",NA
"fra","1996",NA
"fra","1997",NA
"fra","1998",NA
"fra","1999",NA
"fra","2000",NA
"fra","2001",NA
"fra","2002",NA
"fra","2003",NA
"fra","2004",NA
"fra","2005",NA
"fra","2006",NA
"fra","2007",NA
"fra","2008",22158.5609
"fra","2009",21134.77015
"fra","2010",21134.08656
"fra","2011",21008.59263
"fra","2012",20240.06375
"fra","2013",19126.025
"fra","2014",17934.67407
"fra","2015",17331.42477
"fra","2016",17204.0892
"fra","2017",16848.80871
"fra","2018",15425.13266
"fra","2019",15922.22652
"fra","2020",14870.71441
"fra","2021",16967.16903
"fra","2022",17269.25295
"fra","2023",NA
"deu","1990",NA
"deu","1991",NA
"deu","1992",NA
"deu","1993",NA
"deu","1994",NA
"deu","1995",NA
"deu","1996",NA
"deu","1997",NA
"deu","1998",NA
"deu","1999",NA
"deu","2000",NA
"deu","2001",NA
"deu","2002",NA
"deu","2003",NA
"deu","2004",NA
"deu","2005",NA
"deu","2006",NA
"deu","2007",NA
"deu","2008",18472.95179
"deu","2009",19355.87005
"deu","2010",19799.8827
"deu","2011",20406.39129
"deu","2012",20436.3437
"deu","2013",21121.7435
"deu","2014",17610.89858
"deu","2015",17186.12824
"deu","2016",16556.31323
"deu","2017",16017.03427
"deu","2018",15346.46505
"deu","2019",14760.49999
"deu","2020",12500.18418
"deu","2021",12798.67298
"deu","2022",12826.89658
"deu","2023",NA
"grc","1990",NA
"grc","1991",NA
"grc","1992",NA
"grc","1993",NA
"grc","1994",NA
"grc","1995",NA
"grc","1996",NA
"grc","1997",NA
"grc","1998",NA
"grc","1999",NA
"grc","2000",NA
"grc","2001",NA
"grc","2002",NA
"grc","2003",NA
"grc","2004",NA
"grc","2005",NA
"grc","2006",NA
"grc","2007",NA
"grc","2008",4311.73552
"grc","2009",5240.97554
"grc","2010",4749.08584
"grc","2011",3891.66228
"grc","2012",3132.91335
"grc","2013",3102.35595
"grc","2014",3374.93426
"grc","2015",3106.54142
"grc","2016",3075.9371
"grc","2017",3627.62778
"grc","2018",3933.26066
"grc","2019",4313.33416
"grc","2020",3763.02761
"grc","2021",3262.91438
"grc","2022",3577.06642
"grc","2023",NA
"hun","1990",NA
"hun","1991",NA
"hun","1992",NA
"hun","1993",NA
"hun","1994",NA
"hun","1995",NA
"hun","1996",NA
"hun","1997",NA
"hun","1998",NA
"hun","1999",NA
"hun","2000",NA
"hun","2001",NA
"hun","2002",NA
"hun","2003",NA
"hun","2004",NA
"hun","2005",NA
"hun","2006",NA
"hun","2007",NA
"hun","2008",4414.81368
"hun","2009",4203.66914
"hun","2010",3774.86653
"hun","2011",3722.83088
"hun","2012",3454.33674
"hun","2013",3445.35994
"hun","2014",3705.63905
"hun","2015",3700.71484
"hun","2016",3356.10656
"hun","2017",3393.8665
"hun","2018",3292.9633
"hun","2019",3120.63986
"hun","2020",2541.11394
"hun","2021",2828.9952
"hun","2022",3021.21905
"hun","2023",NA
"isl","1990",NA
"isl","1991",NA
"isl","1992",NA
"isl","1993",NA
"isl","1994",NA
"isl","1995",NA
"isl","1996",NA
"isl","1997",NA
"isl","1998",NA
"isl","1999",NA
"isl","2000",NA
"isl","2001",NA
"isl","2002",NA
"isl","2003",NA
"isl","2004",NA
"isl","2005",NA
"isl","2006",NA
"isl","2007",NA
"isl","2008",50.98506
"isl","2009",47.7401
"isl","2010",42.77416
"isl","2011",45.22725
"isl","2012",50.72546
"isl","2013",66.93922
"isl","2014",57.16203
"isl","2015",55.83655
"isl","2016",66.87589
"isl","2017",69.59376
"isl","2018",79.19682
"isl","2019",72.42292
"isl","2020",66.07361
"isl","2021",76.69793
"isl","2022",87.43691
"isl","2023",NA
"irl","1990",NA
"irl","1991",NA
"irl","1992",NA
"irl","1993",NA
"irl","1994",NA
"irl","1995",NA
"irl","1996",NA
"irl","1997",NA
"irl","1998",NA
"irl","1999",NA
"irl","2000",NA
"irl","2001",NA
"irl","2002",NA
"irl","2003",NA
"irl","2004",NA
"irl","2005",NA
"irl","2006",NA
"irl","2007",NA
"irl","2008",3949.6751
"irl","2009",3445.50734
"irl","2010",3060.0406
"irl","2011",3111.72803
"irl","2012",3028.27837
"irl","2013",2506.89301
"irl","2014",2432.51218
"irl","2015",2316.98516
"irl","2016",2551.27399
"irl","2017",2910.54309
"irl","2018",2804.11864
"irl","2019",2459.06431
"irl","2020",2005.78501
"irl","2021",1759.10307
"irl","2022",1871.13887
"irl","2023",NA
"ita","1990",NA
"ita","1991",NA
"ita","1992",NA
"ita","1993",NA
"ita","1994",NA
"ita","1995",NA
"ita","1996",NA
"ita","1997",NA
"ita","1998",NA
"ita","1999",NA
"ita","2000",NA
"ita","2001",NA
"ita","2002",NA
"ita","2003",NA
"ita","2004",NA
"ita","2005",NA
"ita","2006",NA
"ita","2007",NA
"ita","2008",19862.54845
"ita","2009",18622.99931
"ita","2010",18488.93749
"ita","2011",17858.166
"ita","2012",16918.57858
"ita","2013",16944.82614
"ita","2014",17518.6452
"ita","2015",16322.38275
"ita","2016",16270.18513
"ita","2017",15946.61689
"ita","2018",16979.7827
"ita","2019",16783.30067
"ita","2020",15073.67519
"ita","2021",19240.59455
"ita","2022",20081.74918
"ita","2023",NA
"lva","1990",NA
"lva","1991",NA
"lva","1992",NA
"lva","1993",NA
"lva","1994",NA
"lva","1995",NA
"lva","1996",NA
"lva","1997",NA
"lva","1998",NA
"lva","1999",NA
"lva","2000",NA
"lva","2001",NA
"lva","2002",NA
"lva","2003",NA
"lva","2004",NA
"lva","2005",NA
"lva","2006",NA
"lva","2007",NA
"lva","2008",2766.32125
"lva","2009",2055.38497
"lva","2010",2141.84095
"lva","2011",1935.26132
"lva","2012",1933.53666
"lva","2013",1876.20357
"lva","2014",2046.45117
"lva","2015",2295.95021
"lva","2016",2159.95484
"lva","2017",2240.40795
"lva","2018",2242.14504
"lva","2019",2246.50651
"lva","2020",1762.41149
"lva","2021",1922.57841
"lva","2022",1866.30411
"lva","2023",NA
"ltu","1990",NA
"ltu","1991",NA
"ltu","1992",NA
"ltu","1993",NA
"ltu","1994",NA
"ltu","1995",NA
"ltu","1996",NA
"ltu","1997",NA
"ltu","1998",NA
"ltu","1999",NA
"ltu","2000",NA
"ltu","2001",NA
"ltu","2002",NA
"ltu","2003",NA
"ltu","2004",NA
"ltu","2005",NA
"ltu","2006",NA
"ltu","2007",NA
"ltu","2008",3462.39978
"ltu","2009",2587.21577
"ltu","2010",2665.47969
"ltu","2011",2832.90055
"ltu","2012",2686.30675
"ltu","2013",2784.09675
"ltu","2014",2943.53759
"ltu","2015",3378.46583
"ltu","2016",3664.13377
"ltu","2017",4577.78855
"ltu","2018",5847.67246
"ltu","2019",6213.83045
"ltu","2020",8159.8357
"ltu","2021",7333.94732
"ltu","2022",7158.23402
"ltu","2023",NA
"lux","1990",NA
"lux","1991",NA
"lux","1992",NA
"lux","1993",NA
"lux","1994",NA
"lux","1995",NA
"lux","1996",NA
"lux","1997",NA
"lux","1998",NA
"lux","1999",NA
"lux","2000",NA
"lux","2001",NA
"lux","2002",NA
"lux","2003",NA
"lux","2004",NA
"lux","2005",NA
"lux","2006",NA
"lux","2007",NA
"lux","2008",227.6548
"lux","2009",219.5499
"lux","2010",240.9649
"lux","2011",244.8091
"lux","2012",266.6209
"lux","2013",239.594
"lux","2014",207.5897
"lux","2015",208.7844
"lux","2016",191.8514
"lux","2017",201.8048
"lux","2018",181.2792
"lux","2019",164.3676
"lux","2020",163.8011
"lux","2021",110.3825
"lux","2022",94.74091
"lux","2023",NA
"mlt","1990",NA
"mlt","1991",NA
"mlt","1992",NA
"mlt","1993",NA
"mlt","1994",NA
"mlt","1995",NA
"mlt","1996",NA
"mlt","1997",NA
"mlt","1998",NA
"mlt","1999",NA
"mlt","2000",NA
"mlt","2001",NA
"mlt","2002",NA
"mlt","2003",NA
"mlt","2004",NA
"mlt","2005",NA
"mlt","2006",NA
"mlt","2007",NA
"mlt","2008",50.07355
"mlt","2009",47.41847
"mlt","2010",50.68953
"mlt","2011",49.67813
"mlt","2012",49.14848
"mlt","2013",50.08253
"mlt","2014",53.9521
"mlt","2015",41.2902
"mlt","2016",78.4099
"mlt","2017",89.00924
"mlt","2018",99.24462
"mlt","2019",100.16818
"mlt","2020",83.08593
"mlt","2021",86.06218
"mlt","2022",86.92639
"mlt","2023",NA
"nld","1990",NA
"nld","1991",NA
"nld","1992",NA
"nld","1993",NA
"nld","1994",NA
"nld","1995",NA
"nld","1996",NA
"nld","1997",NA
"nld","1998",NA
"nld","1999",NA
"nld","2000",NA
"nld","2001",NA
"nld","2002",NA
"nld","2003",NA
"nld","2004",NA
"nld","2005",NA
"nld","2006",NA
"nld","2007",NA
"nld","2008",6246.1704
"nld","2009",6051.18425
"nld","2010",6233.60872
"nld","2011",6160.30472
"nld","2012",5858.10058
"nld","2013",5698.18233
"nld","2014",5567.32602
"nld","2015",5581.62859
"nld","2016",5648.0914
"nld","2017",5656.01077
"nld","2018",5931.54285
"nld","2019",5871.67619
"nld","2020",5739.00312
"nld","2021",5778.65846
"nld","2022",5784.28267
"nld","2023",NA
"nzl","1990",NA
"nzl","1991",NA
"nzl","1992",NA
"nzl","1993",NA
"nzl","1994",NA
"nzl","1995",NA
"nzl","1996",NA
"nzl","1997",NA
"nzl","1998",NA
"nzl","1999",NA
"nzl","2000",NA
"nzl","2001",NA
"nzl","2002",NA
"nzl","2003",NA
"nzl","2004",NA
"nzl","2005",NA
"nzl","2006",NA
