"country","year","ae_cap_water"
NA,"2002",NA
NA,"2003",NA
NA,"2004",NA
NA,"2005",NA
NA,"2006",NA
NA,"2007",NA
NA,"2008",390.84223
NA,"2009",387.30892
NA,"2010",383.344
NA,"2011",371.78873
NA,"2012",365.95219
NA,"2013",353.7046
NA,"2014",339.9996
NA,"2015",335.75699
NA,"2016",333.84175
NA,"2017",334.02429
NA,"2018",331.91209
NA,"2019",331.60896
NA,"2020",325.36113
NA,"2021",317.42942
NA,"2022",323.435
NA,"2023",NA
"fin","1990",NA
"fin","1991",NA
"fin","1992",NA
"fin","1993",NA
"fin","1994",NA
"fin","1995",NA
"fin","1996",NA
"fin","1997",NA
"fin","1998",NA
"fin","1999",NA
"fin","2000",NA
"fin","2001",NA
"fin","2002",NA
"fin","2003",NA
"fin","2004",NA
"fin","2005",NA
"fin","2006",NA
"fin","2007",NA
"fin","2008",649.56567
"fin","2009",632.89086
"fin","2010",629.71067
"fin","2011",601.74965
"fin","2012",597.79277
"fin","2013",577.64454
"fin","2014",544.24098
"fin","2015",501.15621
"fin","2016",473.45877
"fin","2017",440.21667
"fin","2018",428.25847
"fin","2019",423.67827
"fin","2020",418.91648
"fin","2021",399.59069
"fin","2022",406.83076
"fin","2023",NA
"fra","1990",NA
"fra","1991",NA
"fra","1992",NA
"fra","1993",NA
"fra","1994",NA
"fra","1995",NA
"fra","1996",NA
"fra","1997",NA
"fra","1998",NA
"fra","1999",NA
"fra","2000",NA
"fra","2001",NA
"fra","2002",NA
"fra","2003",NA
"fra","2004",NA
"fra","2005",NA
"fra","2006",NA
"fra","2007",NA
"fra","2008",447.6296
"fra","2009",437.76354
"fra","2010",442.45193
"fra","2011",425.96982
"fra","2012",421.1812
"fra","2013",381.77459
"fra","2014",368.8301
"fra","2015",356.69733
"fra","2016",356.84202
"fra","2017",359.2569
"fra","2018",356.02118
"fra","2019",373.26945
"fra","2020",369.82694
"fra","2021",347.34356
"fra","2022",363.91122
"fra","2023",NA
"deu","1990",NA
"deu","1991",NA
"deu","1992",NA
"deu","1993",NA
"deu","1994",NA
"deu","1995",NA
"deu","1996",NA
"deu","1997",NA
"deu","1998",NA
"deu","1999",NA
"deu","2000",NA
"deu","2001",NA
"deu","2002",NA
"deu","2003",NA
"deu","2004",NA
"deu","2005",NA
"deu","2006",NA
"deu","2007",NA
"deu","2008",270.74736
"deu","2009",268.00136
"deu","2010",242.28258
"deu","2011",242.6238
"deu","2012",228.82818
"deu","2013",225.60814
"deu","2014",191.17084
"deu","2015",180.82431
"deu","2016",181.42977
"deu","2017",180.7012
"deu","2018",176.95723
"deu","2019",170.97117
"deu","2020",153.46473
"deu","2021",143.67493
"deu","2022",131.25098
"deu","2023",NA
"grc","1990",NA
"grc","1991",NA
"grc","1992",NA
"grc","1993",NA
"grc","1994",NA
"grc","1995",NA
"grc","1996",NA
"grc","1997",NA
"grc","1998",NA
"grc","1999",NA
"grc","2000",NA
"grc","2001",NA
"grc","2002",NA
"grc","2003",NA
"grc","2004",NA
"grc","2005",NA
"grc","2006",NA
"grc","2007",NA
"grc","2008",485.68282
"grc","2009",461.83322
"grc","2010",487.04206
"grc","2011",458.01032
"grc","2012",437.75162
"grc","2013",457.67159
"grc","2014",467.067
"grc","2015",463.95385
"grc","2016",475.9743
"grc","2017",496.86941
"grc","2018",509.493
"grc","2019",514.2243
"grc","2020",523.98777
"grc","2021",567.71985
"grc","2022",640.74488
"grc","2023",NA
"hun","1990",NA
"hun","1991",NA
"hun","1992",NA
"hun","1993",NA
"hun","1994",NA
"hun","1995",NA
"hun","1996",NA
"hun","1997",NA
"hun","1998",NA
"hun","1999",NA
"hun","2000",NA
"hun","2001",NA
"hun","2002",NA
"hun","2003",NA
"hun","2004",NA
"hun","2005",NA
"hun","2006",NA
"hun","2007",NA
"hun","2008",470.21538
"hun","2009",475.24121
"hun","2010",474.33225
"hun","2011",458.39297
"hun","2012",462.51717
"hun","2013",442.74925
"hun","2014",434.76526
"hun","2015",424.35635
"hun","2016",410.83379
"hun","2017",414.29434
"hun","2018",410.83476
"hun","2019",412.09592
"hun","2020",407.4408
"hun","2021",408.22706
"hun","2022",449.05805
"hun","2023",NA
"isl","1990",NA
"isl","1991",NA
"isl","1992",NA
"isl","1993",NA
"isl","1994",NA
"isl","1995",NA
"isl","1996",NA
"isl","1997",NA
"isl","1998",NA
"isl","1999",NA
"isl","2000",NA
"isl","2001",NA
"isl","2002",NA
"isl","2003",NA
"isl","2004",NA
"isl","2005",NA
"isl","2006",NA
"isl","2007",NA
"isl","2008",1130.37143
"isl","2009",1088.91525
"isl","2010",1095.32878
"isl","2011",1037.81105
"isl","2012",976.43576
"isl","2013",1016.27445
"isl","2014",953.4318
"isl","2015",920.57362
"isl","2016",881.78511
"isl","2017",860.22884
"isl","2018",897.71241
"isl","2019",775.27468
"isl","2020",847.27679
"isl","2021",824.40594
"isl","2022",815.77873
"isl","2023",NA
"irl","1990",NA
"irl","1991",NA
"irl","1992",NA
"irl","1993",NA
"irl","1994",NA
"irl","1995",NA
"irl","1996",NA
"irl","1997",NA
"irl","1998",NA
"irl","1999",NA
"irl","2000",NA
"irl","2001",NA
"irl","2002",NA
"irl","2003",NA
"irl","2004",NA
"irl","2005",NA
"irl","2006",NA
"irl","2007",NA
"irl","2008",207.60974
"irl","2009",191.59718
"irl","2010",153.44572
"irl","2011",167.77637
"irl","2012",161.2038
"irl","2013",206.68802
"irl","2014",268.94101
"irl","2015",303.4408
"irl","2016",304.49892
"irl","2017",351.23164
"irl","2018",395.54588
"irl","2019",398.94129
"irl","2020",398.21677
"irl","2021",371.58994
"irl","2022",348.74832
"irl","2023",NA
"ita","1990",NA
"ita","1991",NA
"ita","1992",NA
"ita","1993",NA
"ita","1994",NA
"ita","1995",NA
"ita","1996",NA
"ita","1997",NA
"ita","1998",NA
"ita","1999",NA
"ita","2000",NA
"ita","2001",NA
"ita","2002",NA
"ita","2003",NA
"ita","2004",NA
"ita","2005",NA
"ita","2006",NA
"ita","2007",NA
"ita","2008",499.3106
"ita","2009",484.77806
"ita","2010",517.32936
"ita","2011",471.40712
"ita","2012",475.2655
"ita","2013",447.13743
"ita","2014",443.05596
"ita","2015",446.39843
"ita","2016",445.15169
"ita","2017",443.21029
"ita","2018",450.5502
"ita","2019",452.54743
"ita","2020",462.40513
"ita","2021",462.52065
"ita","2022",460.70902
"ita","2023",NA
"lva","1990",NA
"lva","1991",NA
"lva","1992",NA
"lva","1993",NA
"lva","1994",NA
"lva","1995",NA
"lva","1996",NA
"lva","1997",NA
"lva","1998",NA
"lva","1999",NA
"lva","2000",NA
"lva","2001",NA
"lva","2002",NA
"lva","2003",NA
"lva","2004",NA
"lva","2005",NA
"lva","2006",NA
"lva","2007",NA
"lva","2008",307.11397
"lva","2009",321.47478
"lva","2010",323.34479
"lva","2011",321.07505
"lva","2012",293.78389
"lva","2013",290.53553
"lva","2014",292.45994
"lva","2015",270.48494
"lva","2016",280.98013
"lva","2017",270.49127
"lva","2018",270.57235
"lva","2019",274.1741
"lva","2020",280.09997
"lva","2021",281.37105
"lva","2022",296.56546
"lva","2023",NA
"ltu","1990",NA
"ltu","1991",NA
"ltu","1992",NA
"ltu","1993",NA
"ltu","1994",NA
"ltu","1995",NA
"ltu","1996",NA
"ltu","1997",NA
"ltu","1998",NA
"ltu","1999",NA
"ltu","2000",NA
"ltu","2001",NA
"ltu","2002",NA
"ltu","2003",NA
"ltu","2004",NA
"ltu","2005",NA
"ltu","2006",NA
"ltu","2007",NA
"ltu","2008",493.17617
"ltu","2009",489.60468
"ltu","2010",490.61771
"ltu","2011",474.1493
"ltu","2012",465.71146
"ltu","2013",458.9496
"ltu","2014",422.78992
"ltu","2015",403.87286
"ltu","2016",400.90135
"ltu","2017",414.38025
"ltu","2018",378.44358
"ltu","2019",374.7979
"ltu","2020",361.30919
"ltu","2021",340.20984
"ltu","2022",354.65751
"ltu","2023",NA
"lux","1990",NA
"lux","1991",NA
"lux","1992",NA
"lux","1993",NA
"lux","1994",NA
"lux","1995",NA
"lux","1996",NA
"lux","1997",NA
"lux","1998",NA
"lux","1999",NA
"lux","2000",NA
"lux","2001",NA
"lux","2002",NA
"lux","2003",NA
"lux","2004",NA
"lux","2005",NA
"lux","2006",NA
"lux","2007",NA
"lux","2008",287.92272
"lux","2009",277.25694
"lux","2010",252.32917
"lux","2011",240.22113
"lux","2012",220.06036
"lux","2013",217.67197
"lux","2014",228.39288
"lux","2015",204.44632
"lux","2016",195.04363
"lux","2017",188.92921
"lux","2018",181.38124
"lux","2019",178.47871
"lux","2020",162.25046
"lux","2021",161.74499
"lux","2022",155.10236
"lux","2023",NA
"mlt","1990",NA
"mlt","1991",NA
"mlt","1992",NA
"mlt","1993",NA
"mlt","1994",NA
"mlt","1995",NA
"mlt","1996",NA
"mlt","1997",NA
"mlt","1998",NA
"mlt","1999",NA
"mlt","2000",NA
"mlt","2001",NA
"mlt","2002",NA
"mlt","2003",NA
"mlt","2004",NA
"mlt","2005",NA
"mlt","2006",NA
"mlt","2007",NA
"mlt","2008",322.53172
"mlt","2009",360.14699
"mlt","2010",332.72441
"mlt","2011",319.09085
"mlt","2012",323.32146
"mlt","2013",326.04109
"mlt","2014",360.49941
"mlt","2015",385.05088
"mlt","2016",403.66285
"mlt","2017",386.14041
"mlt","2018",393.26405
"mlt","2019",412.37856
"mlt","2020",409.47459
"mlt","2021",428.21605
"mlt","2022",473.36194
"mlt","2023",NA
"nld","1990",NA
"nld","1991",NA
"nld","1992",NA
"nld","1993",NA
"nld","1994",NA
"nld","1995",NA
"nld","1996",NA
"nld","1997",NA
"nld","1998",NA
"nld","1999",NA
"nld","2000",NA
"nld","2001",NA
"nld","2002",NA
"nld","2003",NA
"nld","2004",NA
"nld","2005",NA
"nld","2006",NA
"nld","2007",NA
"nld","2008",515.05595
"nld","2009",517.15179
"nld","2010",488.4155
"nld","2011",477.75665
"nld","2012",456.85124
"nld","2013",458.48746
"nld","2014",438.18439
"nld","2015",410.77466
"nld","2016",404.92566
"nld","2017",381.33973
"nld","2018",340.39744
"nld","2019",343.21118
"nld","2020",329.2878
"nld","2021",310.44622
"nld","2022",306.98792
"nld","2023",NA
"nor","1990",NA
"nor","1991",NA
"nor","1992",NA
"nor","1993",NA
"nor","1994",NA
"nor","1995",NA
"nor","1996",NA
"nor","1997",NA
"nor","1998",NA
"nor","1999",NA
"nor","2000",NA
"nor","2001",NA
"nor","2002",NA
"nor","2003",NA
"nor","2004",NA
"nor","2005",NA
"nor","2006",NA
"nor","2007",NA
"nor","2008",355.94475
"nor","2009",364.8456
"nor","2010",360.43353
"nor","2011",367.00663
"nor","2012",359.52978
"nor","2013",362.18651
"nor","2014",347.27691
"nor","2015",317.69421
"nor","2016",317.94531
"nor","2017",315.04141
"nor","2018",311.3476
"nor","2019",292.2411
"nor","2020",265.37283
"nor","2021",251.53904
"nor","2022",229.54202
"nor","2023",NA
"pol","1990",NA
"pol","1991",NA
"pol","1992",NA
"pol","1993",NA
"pol","1994",NA
"pol","1995",NA
"pol","1996",NA
"pol","1997",NA
"pol","1998",NA
"pol","1999",NA
"pol","2000",NA
"pol","2001",NA
"pol","2002",NA
"pol","2003",NA
"pol","2004",NA
"pol","2005",NA
"pol","2006",NA
"pol","2007",NA
"pol","2008",246.66106
"pol","2009",235.57546
"pol","2010",228.28148
"pol","2011",204.36829
"pol","2012",187.22696
"pol","2013",181.67122
"pol","2014",167.59969
"pol","2015",160.76663
"pol","2016",160.81176
"pol","2017",170.5402
"pol","2018",174.31042
"pol","2019",169.83472
"pol","2020",157.3942
"pol","2021",156.00491
"pol","2022",163.05927
"pol","2023",NA
"prt","1990",NA
"prt","1991",NA
"prt","1992",NA
"prt","1993",NA
"prt","1994",NA
"prt","1995",NA
"prt","1996",NA
"prt","1997",NA
"prt","1998",NA
"prt","1999",NA
"prt","2000",NA
"prt","2001",NA
"prt","2002",NA
"prt","2003",NA
"prt","2004",NA
"prt","2005",NA
"prt","2006",NA
"prt","2007",NA
"prt","2008",695.8217
"prt","2009",704.41421
"prt","2010",690.38911
"prt","2011",692.94922
"prt","2012",677.98074
"prt","2013",670.09754
"prt","2014",657.83093
"prt","2015",632.22887
"prt","2016",643.56439
"prt","2017",653.27672
"prt","2018",645.08931
"prt","2019",646.63711
"prt","2020",623.32263
"prt","2021",616.80415
"prt","2022",654.483
"prt","2023",NA
"rou","1990",NA
"rou","1991",NA
"rou","1992",NA
"rou","1993",NA
"rou","1994",NA
"rou","1995",NA
"rou","1996",NA
"rou","1997",NA
"rou","1998",NA
"rou","1999",NA
"rou","2000",NA
"rou","2001",NA
"rou","2002",NA
"rou","2003",NA
"rou","2004",NA
"rou","2005",NA
"rou","2006",NA
"rou","2007",NA
"rou","2008",355.98913
"rou","2009",346.0142
"rou","2010",353.26476
"rou","2011",332.80185
"rou","2012",347.36475
"rou","2013",363.01838
"rou","2014",361.39191
"rou","2015",365.27083
"rou","2016",365.69993
"rou","2017",370.82908
"rou","2018",372.75304
"rou","2019",375.47703
"rou","2020",377.95558
"rou","2021",380.41372
"rou","2022",411.21617
"rou","2023",NA
"srb","1990",NA
"srb","1991",NA
"srb","1992",NA
"srb","1993",NA
"srb","1994",NA
"srb","1995",NA
"srb","1996",NA
"srb","1997",NA
"srb","1998",NA
"srb","1999",NA
"srb","2000",NA
"srb","2001",NA
"srb","2002",NA
"srb","2003",NA
"srb","2004",NA
"srb","2005",NA
"srb","2006",NA
"srb","2007",NA
"srb","2008",NA
"srb","2009",NA
"srb","2010",NA
"srb","2011",NA
"srb","2012",NA
"srb","2013",NA
"srb","2014",NA
"srb","2015",NA
"srb","2016",NA
"srb","2017",NA
"srb","2018",NA
"srb","2019",NA
"srb","2020",NA
"srb","2021",NA
"srb","2022",NA
"srb","2023",NA
"svk","1990",NA
"svk","1991",NA
"svk","1992",NA
"svk","1993",NA
"svk","1994",NA
"svk","1995",NA
"svk","1996",NA
"svk","1997",NA
"svk","1998",NA
"svk","1999",NA
"svk","2000",NA
"svk","2001",NA
