"country","year","ae_ton_info"
"est","2007",NA
"est","2008",15.36887
"est","2009",16.62225
"est","2010",16.07718
"est","2011",17.83814
"est","2012",18.81582
"est","2013",18.61135
"est","2014",16.83727
"est","2015",12.85569
"est","2016",11.41542
"est","2017",11.8789
"est","2018",11.84638
"est","2019",11.59823
"est","2020",11.48424
"est","2021",9.71098
"est","2022",10.57181
"est","2023",NA
NA,"1990",NA
NA,"1991",NA
NA,"1992",NA
NA,"1993",NA
NA,"1994",NA
NA,"1995",NA
NA,"1996",NA
NA,"1997",NA
NA,"1998",NA
NA,"1999",NA
NA,"2000",NA
NA,"2001",NA
NA,"2002",NA
NA,"2003",NA
NA,"2004",NA
NA,"2005",NA
NA,"2006",NA
NA,"2007",NA
NA,"2008",9964.82913
NA,"2009",9105.78158
NA,"2010",9118.31198
NA,"2011",8930.32041
NA,"2012",8949.25781
NA,"2013",8865.91812
NA,"2014",6569.30975
NA,"2015",7097.90761
NA,"2016",8193.88759
NA,"2017",8641.04812
NA,"2018",8510.68983
NA,"2019",8284.19532
NA,"2020",7182.31272
NA,"2021",7988.46809
NA,"2022",7423.75041
NA,"2023",NA
"fin","1990",NA
"fin","1991",NA
"fin","1992",NA
"fin","1993",NA
"fin","1994",NA
"fin","1995",NA
"fin","1996",NA
"fin","1997",NA
"fin","1998",NA
"fin","1999",NA
"fin","2000",NA
"fin","2001",NA
"fin","2002",NA
"fin","2003",NA
"fin","2004",NA
"fin","2005",NA
"fin","2006",NA
"fin","2007",NA
"fin","2008",70.23871
"fin","2009",59.72184
"fin","2010",56.14004
"fin","2011",45.25811
"fin","2012",44.9689
"fin","2013",39.84335
"fin","2014",31.34957
"fin","2015",10.09829
"fin","2016",11.27088
"fin","2017",4.27361
"fin","2018",4.32014
"fin","2019",11.08053
"fin","2020",4.64514
"fin","2021",7.53668
"fin","2022",6.63647
"fin","2023",NA
"fra","1990",NA
"fra","1991",NA
"fra","1992",NA
"fra","1993",NA
"fra","1994",NA
"fra","1995",NA
"fra","1996",NA
"fra","1997",NA
"fra","1998",NA
"fra","1999",NA
"fra","2000",NA
"fra","2001",NA
"fra","2002",NA
"fra","2003",NA
"fra","2004",NA
"fra","2005",NA
"fra","2006",NA
"fra","2007",NA
"fra","2008",1153.35012
"fra","2009",1259.55067
"fra","2010",1300.88323
"fra","2011",1082.97287
"fra","2012",1142.16176
"fra","2013",1099.22767
"fra","2014",1008.85309
"fra","2015",1078.70948
"fra","2016",1099.43099
"fra","2017",1158.28185
"fra","2018",1151.69335
"fra","2019",1176.26969
"fra","2020",1023.399
"fra","2021",1157.83126
"fra","2022",990.78346
"fra","2023",NA
"deu","1990",NA
"deu","1991",NA
"deu","1992",NA
"deu","1993",NA
"deu","1994",NA
"deu","1995",NA
"deu","1996",NA
"deu","1997",NA
"deu","1998",NA
"deu","1999",NA
"deu","2000",NA
"deu","2001",NA
"deu","2002",NA
"deu","2003",NA
"deu","2004",NA
"deu","2005",NA
"deu","2006",NA
"deu","2007",NA
"deu","2008",4295.16213
"deu","2009",3324.95983
"deu","2010",3077.36844
"deu","2011",3305.03232
"deu","2012",3453.45255
"deu","2013",3561.32733
"deu","2014",1496.34383
"deu","2015",1510.7915
"deu","2016",1513.95099
"deu","2017",1533.88732
"deu","2018",1470.29098
"deu","2019",1520.0128
"deu","2020",1529.63864
"deu","2021",1586.30477
"deu","2022",1508.38571
"deu","2023",NA
"grc","1990",NA
"grc","1991",NA
"grc","1992",NA
"grc","1993",NA
"grc","1994",NA
"grc","1995",NA
"grc","1996",NA
"grc","1997",NA
"grc","1998",NA
"grc","1999",NA
"grc","2000",NA
"grc","2001",NA
"grc","2002",NA
"grc","2003",NA
"grc","2004",NA
"grc","2005",NA
"grc","2006",NA
"grc","2007",NA
"grc","2008",61.52823
"grc","2009",56.81073
"grc","2010",47.05895
"grc","2011",43.24221
"grc","2012",45.34409
"grc","2013",49.07676
