country,year,ae_cap_health
fin,1997,NA
fin,1998,NA
fin,1999,NA
fin,2000,NA
fin,2001,NA
fin,2002,NA
fin,2003,NA
fin,2004,NA
fin,2005,NA
fin,2006,NA
fin,2007,NA
fin,2008,32.92493
fin,2009,28.75222
fin,2010,30.96299
fin,2011,28.75937
fin,2012,32.16892
fin,2013,33.3175
fin,2014,32.32255
fin,2015,29.15243
fin,2016,29.74227
fin,2017,30.75048
fin,2018,31.21395
fin,2019,32.5923
fin,2020,28.19808
fin,2021,30.06028
fin,2022,26.29974
fin,2023,NA
fra,1990,NA
fra,1991,NA
fra,1992,NA
fra,1993,NA
fra,1994,NA
fra,1995,NA
fra,1996,NA
fra,1997,NA
fra,1998,NA
fra,1999,NA
fra,2000,NA
fra,2001,NA
fra,2002,NA
fra,2003,NA
fra,2004,NA
fra,2005,NA
fra,2006,NA
fra,2007,NA
fra,2008,44.28307
fra,2009,49.18548
fra,2010,50.02975
fra,2011,43.30857
fra,2012,46.53544
fra,2013,93.46315
fra,2014,88.97647
fra,2015,90.97971
fra,2016,87.6292
fra,2017,93.82597
fra,2018,93.49898
fra,2019,93.11605
fra,2020,86.92244
fra,2021,90.20027
fra,2022,91.87028
fra,2023,NA
deu,1990,NA
deu,1991,NA
deu,1992,NA
deu,1993,NA
deu,1994,NA
deu,1995,NA
deu,1996,NA
deu,1997,NA
deu,1998,NA
deu,1999,NA
deu,2000,NA
deu,2001,NA
deu,2002,NA
deu,2003,NA
deu,2004,NA
deu,2005,NA
deu,2006,NA
deu,2007,NA
deu,2008,86.49938
deu,2009,81.39457
deu,2010,95.81043
deu,2011,91.24216
deu,2012,90.46995
deu,2013,97.07979
deu,2014,90.15082
deu,2015,96.64644
deu,2016,95.14408
deu,2017,93.07319
deu,2018,84.5872
deu,2019,85.91509
deu,2020,93.00371
deu,2021,97.6531
deu,2022,92.07046
deu,2023,NA
grc,1990,NA
grc,1991,NA
grc,1992,NA
grc,1993,NA
grc,1994,NA
grc,1995,NA
grc,1996,NA
grc,1997,NA
grc,1998,NA
grc,1999,NA
grc,2000,NA
grc,2001,NA
grc,2002,NA
grc,2003,NA
grc,2004,NA
grc,2005,NA
grc,2006,NA
grc,2007,NA
grc,2008,11.33006
grc,2009,10.85306
grc,2010,10.74252
grc,2011,10.84156
grc,2012,11.26491
grc,2013,9.73903
grc,2014,9.72957
grc,2015,10.57888
grc,2016,11.17739
grc,2017,10.40592
grc,2018,10.60498
grc,2019,11.286
grc,2020,13.60202
grc,2021,12.05573
grc,2022,11.76958
grc,2023,NA
hun,1990,NA
hun,1991,NA
hun,1992,NA
hun,1993,NA
hun,1994,NA
hun,1995,NA
hun,1996,NA
hun,1997,NA
hun,1998,NA
hun,1999,NA
hun,2000,NA
hun,2001,NA
hun,2002,NA
hun,2003,NA
hun,2004,NA
hun,2005,NA
hun,2006,NA
hun,2007,NA
hun,2008,32.47689
hun,2009,32.5786
hun,2010,33.17334
hun,2011,33.32067
hun,2012,30.0935
hun,2013,31.99719
hun,2014,33.13959
hun,2015,33.68044
hun,2016,34.4187
hun,2017,30.69789
hun,2018,34.67425
hun,2019,32.68532
hun,2020,38.68714
hun,2021,39.79402
hun,2022,35.78904
hun,2023,NA
isl,1990,NA
isl,1991,NA
isl,1992,NA
isl,1993,NA
isl,1994,NA
isl,1995,NA
isl,1996,NA
isl,1997,NA
isl,1998,NA
isl,1999,NA
isl,2000,NA
isl,2001,NA
isl,2002,NA
isl,2003,NA
isl,2004,NA
isl,2005,NA
isl,2006,NA
isl,2007,NA
isl,2008,7.25518
isl,2009,7.52131
isl,2010,7.40692
isl,2011,7.69904
isl,2012,7.77383
isl,2013,7.2351
isl,2014,7.12471
isl,2015,7.3753
isl,2016,7.06928
isl,2017,6.42434
isl,2018,6.60985
isl,2019,5.92094
isl,2020,6.08407
isl,2021,5.80228
isl,2022,5.50927
isl,2023,NA
irl,1990,NA
irl,1991,NA
irl,1992,NA
irl,1993,NA
irl,1994,NA
irl,1995,NA
irl,1996,NA
irl,1997,NA
irl,1998,NA
irl,1999,NA
irl,2000,NA
irl,2001,NA
irl,2002,NA
irl,2003,NA
irl,2004,NA
irl,2005,NA
irl,2006,NA
irl,2007,NA
irl,2008,84.23281
irl,2009,75.7549
irl,2010,68.33957
irl,2011,66.32635
irl,2012,67.27692
irl,2013,66.52956
irl,2014,63.51375
irl,2015,66.48701
irl,2016,69.92609
irl,2017,74.83838
irl,2018,72.59085
irl,2019,70.99192
irl,2020,72.88434
irl,2021,76.15984
irl,2022,74.58259
irl,2023,NA
ita,1990,NA
ita,1991,NA
ita,1992,NA
ita,1993,NA
ita,1994,NA
ita,1995,NA
ita,1996,NA
ita,1997,NA
ita,1998,NA
ita,1999,NA
ita,2000,NA
ita,2001,NA
ita,2002,NA
ita,2003,NA
ita,2004,NA
ita,2005,NA
ita,2006,NA
ita,2007,NA
ita,2008,62.60762
ita,2009,60.7373
ita,2010,68.01956
ita,2011,64.63104
ita,2012,67.45704
ita,2013,63.39158
ita,2014,61.92718
ita,2015,54.80256
ita,2016,64.58641
ita,2017,63.12777
ita,2018,63.02847
ita,2019,67.22918
ita,2020,74.54039
ita,2021,66.60847
ita,2022,62.23168
ita,2023,NA
lva,1990,NA
lva,1991,NA
lva,1992,NA
lva,1993,NA
lva,1994,NA
lva,1995,NA
lva,1996,NA
lva,1997,NA
lva,1998,NA
lva,1999,NA
lva,2000,NA
lva,2001,NA
lva,2002,NA
lva,2003,NA
lva,2004,NA
lva,2005,NA
lva,2006,NA
lva,2007,NA
lva,2008,29.55661
lva,2009,24.59991
lva,2010,37.34779
lva,2011,27.18077
lva,2012,24.0892
lva,2013,26.3522
lva,2014,27.10412
