"country","year","ae_ton_elec"
"est","1995",NA
"est","1996",NA
"est","1997",NA
"est","1998",NA
"est","1999",NA
"est","2000",NA
"est","2001",NA
"est","2002",NA
"est","2003",NA
"est","2004",NA
"est","2005",NA
"est","2006",NA
"est","2007",NA
"est","2008",12070.59403
"est","2009",9872.50551
"est","2010",14505.08621
"est","2011",14027.73595
"est","2012",12791.80478
"est","2013",14484.20391
"est","2014",13396.77274
"est","2015",10369.02741
"est","2016",12988.73847
"est","2017",13960.6788
"est","2018",12856.67589
"est","2019",7072.09386
"est","2020",4791.51604
"est","2021",6330.47584
"est","2022",7860.23288
"est","2023",NA
NA,"1990",NA
NA,"1991",NA
NA,"1992",NA
NA,"1993",NA
NA,"1994",NA
NA,"1995",NA
NA,"1996",NA
NA,"1997",NA
NA,"1998",NA
NA,"1999",NA
NA,"2000",NA
NA,"2001",NA
NA,"2002",NA
NA,"2003",NA
NA,"2004",NA
NA,"2005",NA
NA,"2006",NA
NA,"2007",NA
NA,"2008",1188080.83069
NA,"2009",1097476.02095
NA,"2010",1114573.28126
NA,"2011",1109819.66103
NA,"2012",1101295.62628
NA,"2013",1043132.10469
NA,"2014",983590.53727
NA,"2015",987167.04788
NA,"2016",966057.1136
NA,"2017",961910.26984
NA,"2018",901188.15087
NA,"2019",780484.55767
NA,"2020",665241.15826
NA,"2021",730269.44737
NA,"2022",745363.4517
NA,"2023",NA
"fin","1990",NA
"fin","1991",NA
"fin","1992",NA
"fin","1993",NA
"fin","1994",NA
"fin","1995",NA
"fin","1996",NA
"fin","1997",NA
"fin","1998",NA
"fin","1999",NA
"fin","2000",NA
"fin","2001",NA
"fin","2002",NA
"fin","2003",NA
"fin","2004",NA
"fin","2005",NA
"fin","2006",NA
"fin","2007",NA
"fin","2008",21384.49994
"fin","2009",22581.88578
"fin","2010",28042.48288
"fin","2011",21890.79257
"fin","2012",18052.30113
"fin","2013",19409.46027
"fin","2014",18190.29706
"fin","2015",15291.1607
"fin","2016",17311.54903
"fin","2017",15533.36869
"fin","2018",16733.72818
"fin","2019",14261.81091
"fin","2020",11270.93846
"fin","2021",11911.77062
"fin","2022",11955.43312
"fin","2023",NA
"fra","1990",NA
"fra","1991",NA
"fra","1992",NA
"fra","1993",NA
"fra","1994",NA
"fra","1995",NA
"fra","1996",NA
"fra","1997",NA
"fra","1998",NA
"fra","1999",NA
"fra","2000",NA
"fra","2001",NA
"fra","2002",NA
"fra","2003",NA
"fra","2004",NA
"fra","2005",NA
"fra","2006",NA
"fra","2007",NA
"fra","2008",41295.62502
"fra","2009",40179.29923
"fra","2010",41936.58441
"fra","2011",36709.66993
"fra","2012",40954.80993
"fra","2013",39407.38916
"fra","2014",25621.06774
"fra","2015",28714.95344
"fra","2016",32453.94978
"fra","2017",36683.56894
"fra","2018",27945.46339
"fra","2019",26589.80001
"fra","2020",23918.89507
"fra","2021",26537.8305
"fra","2022",27784.72447
"fra","2023",NA
"deu","1990",NA
"deu","1991",NA
"deu","1992",NA
"deu","1993",NA
"deu","1994",NA
"deu","1995",NA
"deu","1996",NA
"deu","1997",NA
"deu","1998",NA
"deu","1999",NA
"deu","2000",NA
"deu","2001",NA
"deu","2002",NA
"deu","2003",NA
"deu","2004",NA
"deu","2005",NA
"deu","2006",NA
"deu","2007",NA
"deu","2008",332165.27056
"deu","2009",310026.10353
"deu","2010",320427.07071
"deu","2011",318124.79475
"deu","2012",334827.47892
"deu","2013",338165.25959
"deu","2014",319947.11676
"deu","2015",307995.03684
"deu","2016",303844.13727
"deu","2017",282407.47266
"deu","2018",268686.25159
"deu","2019",220144.43002
"deu","2020",184623.60997
"deu","2021",212426.73117
"deu","2022",220509.68676
"deu","2023",NA
"grc","1990",NA
"grc","1991",NA
"grc","1992",NA
"grc","1993",NA
"grc","1994",NA
"grc","1995",NA
"grc","1996",NA
"grc","1997",NA
"grc","1998",NA
"grc","1999",NA
"grc","2000",NA
"grc","2001",NA
"grc","2002",NA
"grc","2003",NA
"grc","2004",NA
"grc","2005",NA
"grc","2006",NA
"grc","2007",NA
"grc","2008",54402.4853
"grc","2009",51209.24837
"grc","2010",48868.39973
"grc","2011",51106.18954
"grc","2012",51505.93029
"grc","2013",44741.56605
"grc","2014",40994.08691
