"country","year","ae_ton_food"
"est","2007",NA
"est","2008",38.37723
"est","2009",51.39236
"est","2010",39.5892
"est","2011",46.24902
"est","2012",45.62298
"est","2013",50.36039
"est","2014",65.59859
"est","2015",77.54741
"est","2016",17.83452
"est","2017",19.53904
"est","2018",27.45311
"est","2019",27.59923
"est","2020",34.96217
"est","2021",12.87889
"est","2022",14.04927
"est","2023",NA
NA,"1990",NA
NA,"1991",NA
NA,"1992",NA
NA,"1993",NA
NA,"1994",NA
NA,"1995",NA
NA,"1996",NA
NA,"1997",NA
NA,"1998",NA
NA,"1999",NA
NA,"2000",NA
NA,"2001",NA
NA,"2002",NA
NA,"2003",NA
NA,"2004",NA
NA,"2005",NA
NA,"2006",NA
NA,"2007",NA
NA,"2008",19190.12498
NA,"2009",19745.60546
NA,"2010",19762.97069
NA,"2011",17821.51495
NA,"2012",17457.34238
NA,"2013",16421.73727
NA,"2014",14457.6098
NA,"2015",15256.02026
NA,"2016",15325.95528
NA,"2017",15249.77995
NA,"2018",15484.69707
NA,"2019",15323.53175
NA,"2020",13242.86915
NA,"2021",14205.21858
NA,"2022",13557.91039
NA,"2023",NA
"fin","1990",NA
"fin","1991",NA
"fin","1992",NA
"fin","1993",NA
"fin","1994",NA
"fin","1995",NA
"fin","1996",NA
"fin","1997",NA
"fin","1998",NA
"fin","1999",NA
"fin","2000",NA
"fin","2001",NA
"fin","2002",NA
"fin","2003",NA
"fin","2004",NA
"fin","2005",NA
"fin","2006",NA
"fin","2007",NA
"fin","2008",228.07112
"fin","2009",226.10763
"fin","2010",222.93351
"fin","2011",218.70274
"fin","2012",224.20033
"fin","2013",220.50696
"fin","2014",213.72046
"fin","2015",242.99704
"fin","2016",219.87546
"fin","2017",189.15276
"fin","2018",182.97349
"fin","2019",155.82515
"fin","2020",143.88722
"fin","2021",136.74959
"fin","2022",124.55681
"fin","2023",NA
"fra","1990",NA
"fra","1991",NA
"fra","1992",NA
"fra","1993",NA
"fra","1994",NA
"fra","1995",NA
"fra","1996",NA
"fra","1997",NA
"fra","1998",NA
"fra","1999",NA
"fra","2000",NA
"fra","2001",NA
"fra","2002",NA
"fra","2003",NA
"fra","2004",NA
"fra","2005",NA
"fra","2006",NA
"fra","2007",NA
"fra","2008",3336.68758
"fra","2009",3668.84514
"fra","2010",3853.8542
"fra","2011",3099.76605
"fra","2012",3288.62155
"fra","2013",2621.83476
"fra","2014",2382.31984
"fra","2015",2498.83405
"fra","2016",2493.58734
"fra","2017",2562.38512
"fra","2018",2523.8383
"fra","2019",2529.01043
"fra","2020",2203.08799
"fra","2021",2404.93486
"fra","2022",2095.45453
"fra","2023",NA
"deu","1990",NA
"deu","1991",NA
"deu","1992",NA
"deu","1993",NA
"deu","1994",NA
"deu","1995",NA
"deu","1996",NA
"deu","1997",NA
"deu","1998",NA
"deu","1999",NA
"deu","2000",NA
"deu","2001",NA
"deu","2002",NA
"deu","2003",NA
"deu","2004",NA
"deu","2005",NA
"deu","2006",NA
"deu","2007",NA
"deu","2008",4020.92081
"deu","2009",4045.47437
"deu","2010",3332.47501
"deu","2011",3069.56237
"deu","2012",2868.87707
"deu","2013",2984.45389
"deu","2014",2738.65879
"deu","2015",2801.60216
"deu","2016",2811.17936
"deu","2017",2638.36077
"deu","2018",2372.46662
"deu","2019",2358.66465
"deu","2020",2309.83456
"deu","2021",2131.08544
"deu","2022",2008.02945
"deu","2023",NA
"grc","1990",NA
"grc","1991",NA
"grc","1992",NA
"grc","1993",NA
"grc","1994",NA
"grc","1995",NA
"grc","1996",NA
"grc","1997",NA
"grc","1998",NA
"grc","1999",NA
"grc","2000",NA
"grc","2001",NA
"grc","2002",NA
"grc","2003",NA
"grc","2004",NA
"grc","2005",NA
"grc","2006",NA
"grc","2007",NA
"grc","2008",185.80378
"grc","2009",163.30217
"grc","2010",159.58577
"grc","2011",130.24036
"grc","2012",184.33048
"grc","2013",188.101
"grc","2014",169.83049
"grc","2015",215.6963
"grc","2016",207.11074
"grc","2017",189.36739
"grc","2018",201.51889
"grc","2019",236.30927
"grc","2020",51.04158
"grc","2021",69.54898
"grc","2022",70.302
"grc","2023",NA
"hun","1990",NA
"hun","1991",NA
"hun","1992",NA
"hun","1993",NA
"hun","1994",NA
"hun","1995",NA
"hun","1996",NA
"hun","1997",NA
"hun","1998",NA
"hun","1999",NA
"hun","2000",NA
"hun","2001",NA
"hun","2002",NA
"hun","2003",NA
"hun","2004",NA
"hun","2005",NA
"hun","2006",NA
"hun","2007",NA
