name,country,continent,eu,briics,nato,oecd,g7,sweden,is--country
Afghanistan,afg,Asia,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Albania,alb,Europe,Not EU,Not BRIICS,NATO,Not OECD,Not G7,Other,TRUE
Algeria,dza,Africa,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
American Samoa,asm,Oceania,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Andorra,and,Europe,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Angola,ago,Africa,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Anguilla,aia,North America,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Antarctica,ata,Other,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Antigua and Barbuda,atg,North America,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Argentina,arg,South America,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Armenia,arm,Europe & Asia,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Aruba,abw,North America,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Australia,aus,Oceania,Not EU,Not BRIICS,Not NATO,OECD,Not G7,Other,TRUE
Australian Oceania,,Oceania,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Austria,aut,Europe,European Union,Not BRIICS,Not NATO,OECD,Not G7,Other,TRUE
Azerbaijan,aze,Europe & Asia,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Bahamas,bhs,North America,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Bahrain,bhr,Asia,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Bangladesh,bgd,Asia,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Barbados,brb,North America,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Belarus,blr,Europe,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Belgium,bel,Europe,European Union,Not BRIICS,NATO,OECD,Not G7,Other,TRUE
Belgium and Luxembourg,,Europe,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Belize,blz,North America,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Benin,ben,Africa,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Bermuda,bmu,North America,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Bhutan,btn,Asia,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Bolivia,bol,South America,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Bonaire Sint Eustatius and Saba,,North America,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Bosnia and Herzegovina,bih,Europe,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Botswana,bwa,Africa,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Bouvet Island,bouisl,Other,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Brazil,bra,South America,Not EU,BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
BRIICS economies - (Brazil; Russia; India; Indonesia; China and South Africa),briics,Other,Not EU,BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
British Indian Ocean Territory,iot,Asia,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
British Virgin Islands,vgb,North America,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Brunei,brn,Asia,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Bulgaria,bgr,Europe,European Union,Not BRIICS,NATO,Not OECD,Not G7,Other,TRUE
Bunkering and maintenance,,Other,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Bunkering and maintenance in trade with third country,,Other,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Bunkering and maintenance in trade within the EU,,Other,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Burkina Faso,bfa,Africa,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Burundi,bdi,Africa,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Cabo Verde,cpv,Africa,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Cambodia,khm,Asia,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Cameroon,cmr,Africa,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Canada,can,North America,Not EU,Not BRIICS,NATO,OECD,G7,Other,TRUE
Canary Islands,,Africa,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Cayman Islands,cym,North America,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Central African Republic,caf,Africa,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Ceuta,,Africa,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Chad,tcd,Africa,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Chile,chl,South America,Not EU,Not BRIICS,Not NATO,OECD,Not G7,Other,TRUE
China (People's Republic of),chn,Asia,Not EU,BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Christmas Island,cxr,Oceania,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Cocos Islands,,Oceania,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Colombia,col,South America,Not EU,Not BRIICS,Not NATO,OECD,Not G7,Other,TRUE
Comoros,com,Africa,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Congo,cog,Africa,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Cook Islands,,Oceania,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Costa Rica,cri,North America,Not EU,Not BRIICS,Not NATO,OECD,Not G7,Other,TRUE
Côte d'Ivoire,civ,Africa,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Countries and terretories not specified for trade or defence reasons,,Other,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Countries and terretories not specified for trade or defence reasons in trade with third country,,Other,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Countries and terretories not specified for trade or defence reasons in trade within the EU,,Other,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Croatia,hrv,Europe,European Union,Not BRIICS,NATO,Not OECD,Not G7,Other,TRUE
Cuba,cub,North America,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Curaçao,nld_curacao,North America,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Cyprus,cyp,Europe & Asia,European Union,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Czechia,cze,Europe,European Union,Not BRIICS,NATO,OECD,Not G7,Other,TRUE
Democratic Republic of the Congo,cod,Africa,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Denmark,dnk,Europe,European Union,Not BRIICS,NATO,OECD,Not G7,Other,TRUE
Djibouti,dji,Africa,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Dominica,dma,North America,Not EU,Not BRIICS,NATO,Not OECD,Not G7,Other,TRUE
Dominican Republic,dom,North America,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
East Timor,tls,Asia,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Ecuador,ecu,South America,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Egypt,egy,Africa & Asia,Not EU,BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
El Salvador,slv,North America,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Equatorial Guinea,gnq,Africa,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Eritrea,eri,Africa,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Estonia,est,Europe,European Union,Not BRIICS,NATO,OECD,Not G7,Other,TRUE
Eswatini,swz,Africa,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Ethiopia,eth,Africa,Not EU,BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
EU27,eu,Europe,European Union,Not BRIICS,Not NATO,Not OECD,G7,Other,TRUE
Euro area (19 countries),euro,Europe,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
European Union – 27 countries (from 01/02/2020),eu,Europe,European Union,Not BRIICS,Not NATO,Not OECD,G7,Other,TRUE
European Union - 27 countries (from 2020),eu,Europe,European Union,Not BRIICS,Not NATO,Not OECD,G7,Other,TRUE
European Union (28 countries),eu,Europe,European Union,Not BRIICS,Not NATO,Not OECD,G7,Other,TRUE
Falkland Islands,flk,South America,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Faroe Islands,fro,Europe,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Fiji,fji,Oceania,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Finland,fin,Europe,European Union,Not BRIICS,NATO,OECD,Not G7,Other,TRUE
France,fra,Europe,European Union,Not BRIICS,NATO,OECD,G7,Other,TRUE
French Guiana,guf,South America,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
French Polynesia,pyf,Oceania,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
French Southern and Antarctic Lands,fra_antarc,Africa,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
G7,g7,Other,Not EU,Not BRIICS,Not NATO,Not OECD,G7,Other,TRUE
Gabon,gab,Africa,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Gambia,gmb,Africa,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Georgia,geo,Europe & Asia,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Germany,deu,Europe,European Union,Not BRIICS,NATO,OECD,G7,Other,TRUE
Ghana,gha,Africa,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Gibraltar,gib,Europe,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Greece,grc,Europe,European Union,Not BRIICS,NATO,OECD,Not G7,Other,TRUE
Greenland,grl,North America,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Grenada,grd,North America,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Guadeloupe,glp,North America,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Guam,gum,Oceania,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Guatemala,gtm,North America,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Guinea,gin,Africa,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Guinea-Bissau,gnb,Africa,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Guyana,guy,South America,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Haiti,hti,North America,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Heard and McDonald Islands,heard_a_mcd,Oceania,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
