"country","year","ae_cap_mine"
"est","2019",58.72552
"est","2020",39.79946
"est","2021",35.97649
"est","2022",38.13989
"est","2023",NA
NA,"1990",NA
NA,"1991",NA
NA,"1992",NA
NA,"1993",NA
NA,"1994",NA
NA,"1995",NA
NA,"1996",NA
NA,"1997",NA
NA,"1998",NA
NA,"1999",NA
NA,"2000",NA
NA,"2001",NA
NA,"2002",NA
NA,"2003",NA
NA,"2004",NA
NA,"2005",NA
NA,"2006",NA
NA,"2007",NA
NA,"2008",207.632
NA,"2009",181.5607
NA,"2010",187.27926
NA,"2011",185.39688
NA,"2012",168.44163
NA,"2013",162.02134
NA,"2014",152.77237
NA,"2015",152.4282
NA,"2016",145.62364
NA,"2017",144.16726
NA,"2018",145.08104
NA,"2019",132.85999
NA,"2020",120.50702
NA,"2021",119.00585
NA,"2022",123.30211
NA,"2023",NA
"fin","1990",NA
"fin","1991",NA
"fin","1992",NA
"fin","1993",NA
"fin","1994",NA
"fin","1995",NA
"fin","1996",NA
"fin","1997",NA
"fin","1998",NA
"fin","1999",NA
"fin","2000",NA
"fin","2001",NA
"fin","2002",NA
"fin","2003",NA
"fin","2004",NA
"fin","2005",NA
"fin","2006",NA
"fin","2007",NA
"fin","2008",68.19625
"fin","2009",70.56207
"fin","2010",88.27086
"fin","2011",90.49937
"fin","2012",92.18328
"fin","2013",76.93023
"fin","2014",80.81788
"fin","2015",71.18824
"fin","2016",68.8838
"fin","2017",80.12352
"fin","2018",83.77904
"fin","2019",78.06025
"fin","2020",79.61844
"fin","2021",77.93146
"fin","2022",68.03476
"fin","2023",NA
"fra","1990",NA
"fra","1991",NA
"fra","1992",NA
"fra","1993",NA
"fra","1994",NA
"fra","1995",NA
"fra","1996",NA
"fra","1997",NA
"fra","1998",NA
"fra","1999",NA
"fra","2000",NA
"fra","2001",NA
"fra","2002",NA
"fra","2003",NA
"fra","2004",NA
"fra","2005",NA
"fra","2006",NA
"fra","2007",NA
"fra","2008",20.2868
"fra","2009",20.09061
"fra","2010",15.022
"fra","2011",13.45586
"fra","2012",12.36756
"fra","2013",10.96902
"fra","2014",7.7789
"fra","2015",9.97894
"fra","2016",10.29673
"fra","2017",10.20499
"fra","2018",10.51783
"fra","2019",9.04261
"fra","2020",8.72927
"fra","2021",10.96796
"fra","2022",10.75614
"fra","2023",NA
"deu","1990",NA
"deu","1991",NA
"deu","1992",NA
"deu","1993",NA
"deu","1994",NA
"deu","1995",NA
"deu","1996",NA
"deu","1997",NA
"deu","1998",NA
"deu","1999",NA
"deu","2000",NA
"deu","2001",NA
"deu","2002",NA
"deu","2003",NA
"deu","2004",NA
"deu","2005",NA
"deu","2006",NA
"deu","2007",NA
"deu","2008",241.76567
"deu","2009",187.05239
"deu","2010",227.09837
"deu","2011",222.59593
"deu","2012",151.1351
"deu","2013",138.32915
"deu","2014",115.82635
"deu","2015",115.55962
"deu","2016",105.32751
"deu","2017",103.74164
"deu","2018",120.35892
"deu","2019",101.26563
"deu","2020",71.60529
"deu","2021",65.98848
"deu","2022",58.96355
"deu","2023",NA
"grc","1990",NA
"grc","1991",NA
"grc","1992",NA
"grc","1993",NA
"grc","1994",NA
"grc","1995",NA
"grc","1996",NA
"grc","1997",NA
"grc","1998",NA
"grc","1999",NA
"grc","2000",NA
"grc","2001",NA
"grc","2002",NA
"grc","2003",NA
"grc","2004",NA
"grc","2005",NA
"grc","2006",NA
"grc","2007",NA
"grc","2008",158.63019
"grc","2009",157.68278
"grc","2010",132.49242
"grc","2011",138.70953
"grc","2012",146.1088
"grc","2013",127.86927
"grc","2014",119.57696
"grc","2015",112.62162
"grc","2016",82.69797
"grc","2017",95.28974
"grc","2018",92.42347
"grc","2019",69.13696
"grc","2020",38.3184
"grc","2021",35.29192
"grc","2022",36.8327
"grc","2023",NA
"hun","1990",NA
"hun","1991",NA
"hun","1992",NA
"hun","1993",NA
"hun","1994",NA
"hun","1995",NA
"hun","1996",NA
"hun","1997",NA
"hun","1998",NA
"hun","1999",NA
"hun","2000",NA
"hun","2001",NA
"hun","2002",NA
"hun","2003",NA
"hun","2004",NA
"hun","2005",NA
"hun","2006",NA
"hun","2007",NA
"hun","2008",126.44574
"hun","2009",108.52477
"hun","2010",107.93896
"hun","2011",108.27541
"hun","2012",99.02896
"hun","2013",94.14466
"hun","2014",91.38804
"hun","2015",90.50279
"hun","2016",93.18255
"hun","2017",95.1357
"hun","2018",100.20481
"hun","2019",100.37641
"hun","2020",91.91012
"hun","2021",89.01631
"hun","2022",89.89098
"hun","2023",NA
"isl","1990",NA
"isl","1991",NA
"isl","1992",NA
"isl","1993",NA
"isl","1994",NA
"isl","1995",NA
"isl","1996",NA
"isl","1997",NA
"isl","1998",NA
"isl","1999",NA
"isl","2000",NA
"isl","2001",NA
"isl","2002",NA
"isl","2003",NA
"isl","2004",NA
"isl","2005",NA
"isl","2006",NA
"isl","2007",NA
"isl","2008",2.79188
"isl","2009",3.16282
"isl","2010",3.84879
"isl","2011",3.68542
"isl","2012",4.85905
"isl","2013",3.97595
"isl","2014",4.29724
"isl","2015",4.05586
"isl","2016",5.25507
"isl","2017",6.3992
"isl","2018",7.00135
"isl","2019",8.28745
"isl","2020",9.34115
"isl","2021",12.09898
"isl","2022",12.10114
"isl","2023",NA
"irl","1990",NA
"irl","1991",NA
"irl","1992",NA
"irl","1993",NA
"irl","1994",NA
"irl","1995",NA
"irl","1996",NA
"irl","1997",NA
"irl","1998",NA
"irl","1999",NA
"irl","2000",NA
"irl","2001",NA
"irl","2002",NA
"irl","2003",NA
"irl","2004",NA
"irl","2005",NA
"irl","2006",NA
"irl","2007",NA
"irl","2008",23.50809
"irl","2009",21.02226
"irl","2010",19.62573
"irl","2011",18.56905
"irl","2012",17.74386
"irl","2013",19.44294
"irl","2014",19.07098
"irl","2015",17.86648
"irl","2016",18.4711
"irl","2017",18.13233
"irl","2018",19.47816
"irl","2019",19.58695
"irl","2020",11.01208
"irl","2021",12.72064
"irl","2022",11.20885
"irl","2023",NA
"ita","1990",NA
"ita","1991",NA
"ita","1992",NA
"ita","1993",NA
"ita","1994",NA
"ita","1995",NA
"ita","1996",NA
"ita","1997",NA
"ita","1998",NA
"ita","1999",NA
"ita","2000",NA
"ita","2001",NA
"ita","2002",NA
"ita","2003",NA
"ita","2004",NA
"ita","2005",NA
