"country","year","chain_value_transp"
"tur","2008",153248.2
"tur","2009",135400.2
"tur","2010",136918.9
"tur","2011",146475.2
"tur","2012",167298
"tur","2013",173755.5
"tur","2014",181156.9
"tur","2015",191669.3
"tur","2016",191895.8
"tur","2017",211832.1
"tur","2018",219373.9
"tur","2019",221218.3
"tur","2020",201730.1
"tur","2021",234187.3
"tur","2022",261618
"tur","2023",NA
"gbr","1990",NA
"gbr","1991",NA
"gbr","1992",NA
"gbr","1993",NA
"gbr","1994",NA
"gbr","1995",NA
"gbr","1996",NA
"gbr","1997",NA
"gbr","1998",NA
"gbr","1999",NA
"gbr","2000",NA
"gbr","2001",NA
"gbr","2002",NA
"gbr","2003",NA
"gbr","2004",NA
"gbr","2005",NA
"gbr","2006",NA
"gbr","2007",NA
"gbr","2008",69139
"gbr","2009",61490.8
"gbr","2010",61611.3
"gbr","2011",63766.9
"gbr","2012",63210.3
"gbr","2013",64258.8
"gbr","2014",67254.7
"gbr","2015",67915
"gbr","2016",66808
"gbr","2017",67460.3
"gbr","2018",68483.1
"gbr","2019",NA
"gbr","2020",NA
"gbr","2021",NA
"gbr","2022",NA
"gbr","2023",NA
