"country","year","ae_cap_info"
NA,"2002",NA
NA,"2003",NA
NA,"2004",NA
NA,"2005",NA
NA,"2006",NA
NA,"2007",NA
NA,"2008",22.67895
NA,"2009",20.67492
NA,"2010",20.6745
NA,"2011",20.28418
NA,"2012",20.29747
NA,"2013",20.0605
NA,"2014",14.81996
NA,"2015",15.97783
NA,"2016",18.40632
NA,"2017",19.38013
NA,"2018",19.05427
NA,"2019",18.53195
NA,"2020",16.05537
NA,"2021",17.87511
NA,"2022",16.60671
NA,"2023",NA
"fin","1990",NA
"fin","1991",NA
"fin","1992",NA
"fin","1993",NA
"fin","1994",NA
"fin","1995",NA
"fin","1996",NA
"fin","1997",NA
"fin","1998",NA
"fin","1999",NA
"fin","2000",NA
"fin","2001",NA
"fin","2002",NA
"fin","2003",NA
"fin","2004",NA
"fin","2005",NA
"fin","2006",NA
"fin","2007",NA
"fin","2008",13.21917
"fin","2009",11.18623
"fin","2010",10.46734
"fin","2011",8.39937
"fin","2012",8.30608
"fin","2013",7.32553
"fin","2014",5.74009
"fin","2015",1.84291
"fin","2016",2.051
"fin","2017",0.77586
"fin","2018",0.78327
"fin","2019",2.00676
"fin","2020",0.84006
"fin","2021",1.36016
"fin","2022",1.19445
"fin","2023",NA
"fra","1990",NA
"fra","1991",NA
"fra","1992",NA
"fra","1993",NA
"fra","1994",NA
"fra","1995",NA
"fra","1996",NA
"fra","1997",NA
"fra","1998",NA
"fra","1999",NA
"fra","2000",NA
"fra","2001",NA
"fra","2002",NA
"fra","2003",NA
"fra","2004",NA
"fra","2005",NA
"fra","2006",NA
"fra","2007",NA
"fra","2008",17.97091
"fra","2009",19.52654
"fra","2010",20.06954
"fra","2011",16.62841
"fra","2012",17.45393
"fra","2013",16.71288
"fra","2014",15.21372
"fra","2015",16.20943
"fra","2016",16.47727
"fra","2017",17.30897
"fra","2018",17.14892
"fra","2019",17.45518
"fra","2020",15.14551
"fra","2021",17.08615
"fra","2022",14.57649
"fra","2023",NA
"deu","1990",NA
"deu","1991",NA
"deu","1992",NA
"deu","1993",NA
"deu","1994",NA
"deu","1995",NA
"deu","1996",NA
"deu","1997",NA
"deu","1998",NA
"deu","1999",NA
"deu","2000",NA
"deu","2001",NA
"deu","2002",NA
"deu","2003",NA
"deu","2004",NA
"deu","2005",NA
"deu","2006",NA
"deu","2007",NA
"deu","2008",52.30979
"deu","2009",40.59666
"deu","2010",37.63125
"deu","2011",41.17139
"deu","2012",42.9396
"deu","2013",44.16022
"deu","2014",18.47737
"deu","2015",18.49497
"deu","2016",18.38464
"deu","2017",18.55726
"deu","2018",17.73448
"deu","2019",18.29292
"deu","2020",18.39373
"deu","2021",19.06706
"deu","2022",18.00026
"deu","2023",NA
"grc","1990",NA
"grc","1991",NA
"grc","1992",NA
"grc","1993",NA
"grc","1994",NA
"grc","1995",NA
"grc","1996",NA
"grc","1997",NA
"grc","1998",NA
"grc","1999",NA
"grc","2000",NA
"grc","2001",NA
"grc","2002",NA
"grc","2003",NA
"grc","2004",NA
"grc","2005",NA
"grc","2006",NA
"grc","2007",NA
"grc","2008",5.55417
"grc","2009",5.11485
"grc","2010",4.23141
"grc","2011",3.89398
"grc","2012",4.10539
"grc","2013",4.47568
"grc","2014",3.95605
"grc","2015",3.35885
"grc","2016",3.81054
"grc","2017",3.35918
"grc","2018",2.99079
"grc","2019",3.48265
"grc","2020",3.54383
"grc","2021",3.95585
"grc","2022",3.99345
"grc","2023",NA
"hun","1990",NA
"hun","1991",NA
"hun","1992",NA
"hun","1993",NA
"hun","1994",NA
"hun","1995",NA
"hun","1996",NA
"hun","1997",NA
"hun","1998",NA
"hun","1999",NA
"hun","2000",NA
"hun","2001",NA
"hun","2002",NA
"hun","2003",NA
"hun","2004",NA
"hun","2005",NA
"hun","2006",NA
"hun","2007",NA
"hun","2008",43.09391
"hun","2009",45.18382
"hun","2010",45.16013
"hun","2011",45.42774
"hun","2012",37.91634
"hun","2013",39.01712
"hun","2014",36.72943
"hun","2015",38.12621
"hun","2016",35.58494
"hun","2017",33.42227
"hun","2018",31.92037
"hun","2019",29.64148
"hun","2020",28.72325
"hun","2021",31.30094
"hun","2022",28.15075
"hun","2023",NA
"isl","1990",NA
"isl","1991",NA
"isl","1992",NA
"isl","1993",NA
"isl","1994",NA
"isl","1995",NA
"isl","1996",NA
"isl","1997",NA
"isl","1998",NA
"isl","1999",NA
"isl","2000",NA
"isl","2001",NA
"isl","2002",NA
"isl","2003",NA
"isl","2004",NA
"isl","2005",NA
"isl","2006",NA
"isl","2007",NA
"isl","2008",10.70629
"isl","2009",10.36145
"isl","2010",9.76257
"isl","2011",9.16892
"isl","2012",9.22676
"isl","2013",10.26211
"isl","2014",9.56723
"isl","2015",8.80605
"isl","2016",8.81557
"isl","2017",9.03035
"isl","2018",9.58575
"isl","2019",8.68207
"isl","2020",6.83533
"isl","2021",7.32524
"isl","2022",7.81995
"isl","2023",NA
"irl","1990",NA
"irl","1991",NA
"irl","1992",NA
"irl","1993",NA
"irl","1994",NA
"irl","1995",NA
"irl","1996",NA
"irl","1997",NA
"irl","1998",NA
"irl","1999",NA
"irl","2000",NA
"irl","2001",NA
"irl","2002",NA
"irl","2003",NA
"irl","2004",NA
"irl","2005",NA
"irl","2006",NA
"irl","2007",NA
"irl","2008",26.98888
"irl","2009",23.76704
"irl","2010",18.55397
"irl","2011",17.82284
"irl","2012",21.64127
"irl","2013",25.27937
"irl","2014",23.45643
"irl","2015",31.47883
"irl","2016",27.94435
"irl","2017",25.64457
"irl","2018",24.56269
"irl","2019",30.56882
"irl","2020",33.29145
"irl","2021",32.91725
"irl","2022",32.24097
"irl","2023",NA
"ita","1990",NA
"ita","1991",NA
"ita","1992",NA
"ita","1993",NA
"ita","1994",NA
"ita","1995",NA
"ita","1996",NA
"ita","1997",NA
"ita","1998",NA
"ita","1999",NA
"ita","2000",NA
"ita","2001",NA
"ita","2002",NA
"ita","2003",NA
"ita","2004",NA
"ita","2005",NA
"ita","2006",NA
"ita","2007",NA
"ita","2008",8.14968
"ita","2009",7.97019
"ita","2010",7.32408
"ita","2011",6.49335
"ita","2012",6.1385
"ita","2013",5.87215
"ita","2014",5.23204
"ita","2015",5.46024
"ita","2016",5.4
"ita","2017",5.44239
"ita","2018",5.89728
"ita","2019",5.86767
"ita","2020",5.16504
"ita","2021",6.12053
"ita","2022",5.84214
"ita","2023",NA
"lva","1990",NA
"lva","1991",NA
"lva","1992",NA
"lva","1993",NA
"lva","1994",NA
"lva","1995",NA
"lva","1996",NA
"lva","1997",NA
"lva","1998",NA
"lva","1999",NA
"lva","2000",NA
"lva","2001",NA
"lva","2002",NA
"lva","2003",NA
"lva","2004",NA
"lva","2005",NA
"lva","2006",NA
"lva","2007",NA
"lva","2008",12.48897
"lva","2009",9.93195
"lva","2010",13.33967
"lva","2011",8.58487
"lva","2012",6.74063
"lva","2013",7.65446
"lva","2014",4.4123
"lva","2015",6.13731
"lva","2016",6.50942
"lva","2017",5.47293
"lva","2018",5.44849
"lva","2019",7.45511
"lva","2020",5.14671
"lva","2021",5.35212
"lva","2022",5.26953
"lva","2023",NA
"ltu","1990",NA
"ltu","1991",NA
"ltu","1992",NA
"ltu","1993",NA
"ltu","1994",NA
"ltu","1995",NA
"ltu","1996",NA
"ltu","1997",NA
"ltu","1998",NA
"ltu","1999",NA
"ltu","2000",NA
"ltu","2001",NA
"ltu","2002",NA
"ltu","2003",NA
"ltu","2004",NA
"ltu","2005",NA
"ltu","2006",NA
"ltu","2007",NA
"ltu","2008",3.52199
"ltu","2009",3.67758
"ltu","2010",3.91185
"ltu","2011",4.86561
"ltu","2012",4.50421
"ltu","2013",4.10216
"ltu","2014",4.72187
"ltu","2015",4.591
"ltu","2016",10.95725
"ltu","2017",11.83237
"ltu","2018",15.4222
"ltu","2019",18.33894
"ltu","2020",12.55388
"ltu","2021",7.27438
"ltu","2022",7.09779
"ltu","2023",NA
"lux","1990",NA
"lux","1991",NA
"lux","1992",NA
"lux","1993",NA
"lux","1994",NA
"lux","1995",NA
"lux","1996",NA
"lux","1997",NA
"lux","1998",NA
"lux","1999",NA
"lux","2000",NA
"lux","2001",NA
"lux","2002",NA
"lux","2003",NA
"lux","2004",NA
"lux","2005",NA
"lux","2006",NA
"lux","2007",NA
"lux","2008",92.64112
"lux","2009",109.58529
"lux","2010",153.56689
"lux","2011",129.01033
"lux","2012",80.29038
"lux","2013",80.13705
"lux","2014",65.66044
"lux","2015",77.4225
"lux","2016",71.64407
"lux","2017",65.74944
"lux","2018",61.17854
"lux","2019",75.42723
"lux","2020",63.23576
"lux","2021",27.30226
"lux","2022",22.76115
"lux","2023",NA
"mlt","1990",NA
"mlt","1991",NA
"mlt","1992",NA
"mlt","1993",NA
"mlt","1994",NA
"mlt","1995",NA
"mlt","1996",NA
"mlt","1997",NA
"mlt","1998",NA
"mlt","1999",NA
"mlt","2000",NA
"mlt","2001",NA
"mlt","2002",NA
"mlt","2003",NA
"mlt","2004",NA
"mlt","2005",NA
"mlt","2006",NA
"mlt","2007",NA
"mlt","2008",11.60868
"mlt","2009",10.92118
"mlt","2010",11.85483
"mlt","2011",11.42264
"mlt","2012",11.74681
"mlt","2013",11.85104
"mlt","2014",12.92973
"mlt","2015",13.3588
"mlt","2016",12.67173
"mlt","2017",12.80392
"mlt","2018",13.6271
"mlt","2019",16.34702
"mlt","2020",15.74124
"mlt","2021",16.97133
"mlt","2022",17.41925
"mlt","2023",NA
"nld","1990",NA
"nld","1991",NA
"nld","1992",NA
"nld","1993",NA
"nld","1994",NA
"nld","1995",NA
"nld","1996",NA
"nld","1997",NA
"nld","1998",NA
"nld","1999",NA
"nld","2000",NA
"nld","2001",NA
"nld","2002",NA
"nld","2003",NA
"nld","2004",NA
"nld","2005",NA
"nld","2006",NA
"nld","2007",NA
"nld","2008",18.60926
"nld","2009",17.8011
"nld","2010",22.65764
"nld","2011",19.66761
"nld","2012",20.07267
"nld","2013",17.76333
"nld","2014",16.56938
"nld","2015",17.46505
"nld","2016",16.60116
"nld","2017",12.88299
"nld","2018",12.24043
"nld","2019",11.51017
"nld","2020",9.56481
"nld","2021",9.47775
"nld","2022",9.11496
"nld","2023",NA
"nor","1990",NA
"nor","1991",NA
"nor","1992",NA
"nor","1993",NA
"nor","1994",NA
"nor","1995",NA
"nor","1996",NA
"nor","1997",NA
"nor","1998",NA
"nor","1999",NA
"nor","2000",NA
"nor","2001",NA
"nor","2002",NA
"nor","2003",NA
"nor","2004",NA
"nor","2005",NA
"nor","2006",NA
"nor","2007",NA
"nor","2008",5.97402
"nor","2009",5.76363
"nor","2010",7.71736
"nor","2011",6.45658
"nor","2012",6.39356
"nor","2013",6.39516
"nor","2014",5.84178
"nor","2015",5.40431
"nor","2016",4.89394
"nor","2017",3.72979
"nor","2018",3.7724
"nor","2019",3.55419
"nor","2020",2.97295
"nor","2021",3.00938
"nor","2022",2.89591
"nor","2023",NA
"pol","1990",NA
"pol","1991",NA
"pol","1992",NA
"pol","1993",NA
"pol","1994",NA
"pol","1995",NA
"pol","1996",NA
"pol","1997",NA
"pol","1998",NA
"pol","1999",NA
"pol","2000",NA
"pol","2001",NA
"pol","2002",NA
"pol","2003",NA
"pol","2004",NA
"pol","2005",NA
"pol","2006",NA
"pol","2007",NA
"pol","2008",32.8497
"pol","2009",33.76565
"pol","2010",36.98914
"pol","2011",36.87068
"pol","2012",36.11617
"pol","2013",34.64988
"pol","2014",36.12934
"pol","2015",38.88738
"pol","2016",74.70092
"pol","2017",85.58348
"pol","2018",83.05285
"pol","2019",74.09861
"pol","2020",55.69413
"pol","2021",67.05498
"pol","2022",64.80594
"pol","2023",NA
"prt","1990",NA
"prt","1991",NA
"prt","1992",NA
"prt","1993",NA
"prt","1994",NA
"prt","1995",NA
"prt","1996",NA
"prt","1997",NA
"prt","1998",NA
"prt","1999",NA
"prt","2000",NA
"prt","2001",NA
"prt","2002",NA
"prt","2003",NA
"prt","2004",NA
"prt","2005",NA
"prt","2006",NA
"prt","2007",NA
"prt","2008",8.64604
"prt","2009",8.31888
"prt","2010",8.00971
"prt","2011",6.51588
"prt","2012",6.2488
"prt","2013",6.36108
"prt","2014",6.39413
"prt","2015",6.0244
"prt","2016",6.147
"prt","2017",5.84548
"prt","2018",6.33396
"prt","2019",6.69936
"prt","2020",6.13567
"prt","2021",8.4741
"prt","2022",7.87923
"prt","2023",NA
"rou","1990",NA
"rou","1991",NA
"rou","1992",NA
"rou","1993",NA
"rou","1994",NA
"rou","1995",NA
"rou","1996",NA
"rou","1997",NA
"rou","1998",NA
"rou","1999",NA
"rou","2000",NA
"rou","2001",NA
"rou","2002",NA
"rou","2003",NA
"rou","2004",NA
"rou","2005",NA
"rou","2006",NA
"rou","2007",NA
"rou","2008",14.86285
"rou","2009",14.77711
"rou","2010",14.30301
"rou","2011",13.91528
"rou","2012",14.46578
"rou","2013",14.30576
"rou","2014",14.78524
"rou","2015",14.94666
"rou","2016",15.86382
"rou","2017",17.0364
"rou","2018",17.59049
"rou","2019",17.79964
"rou","2020",17.04449
"rou","2021",18.38332
"rou","2022",17.53083
"rou","2023",NA
"srb","1990",NA
"srb","1991",NA
"srb","1992",NA
"srb","1993",NA
"srb","1994",NA
"srb","1995",NA
"srb","1996",NA
"srb","1997",NA
"srb","1998",NA
"srb","1999",NA
"srb","2000",NA
"srb","2001",NA
"srb","2002",NA
"srb","2003",NA
"srb","2004",NA
"srb","2005",NA
"srb","2006",NA
"srb","2007",NA
"srb","2008",NA
"srb","2009",NA
"srb","2010",NA
"srb","2011",NA
"srb","2012",NA
"srb","2013",NA
"srb","2014",NA
"srb","2015",NA
"srb","2016",NA
"srb","2017",NA
"srb","2018",NA
"srb","2019",NA
"srb","2020",NA
"srb","2021",NA
"srb","2022",NA
"srb","2023",NA
"svk","1990",NA
"svk","1991",NA
"svk","1992",NA
"svk","1993",NA
"svk","1994",NA
"svk","1995",NA
"svk","1996",NA
"svk","1997",NA
"svk","1998",NA
"svk","1999",NA
"svk","2000",NA
"svk","2001",NA
"svk","2002",NA
