"country","year","ae_cap_def"
NA,"2002",NA
NA,"2003",NA
NA,"2004",NA
NA,"2005",NA
NA,"2006",NA
NA,"2007",NA
NA,"2008",77.79305
NA,"2009",75.14806
NA,"2010",73.14661
NA,"2011",67.73702
NA,"2012",65.85373
NA,"2013",63.61809
NA,"2014",60.09707
NA,"2015",60.98361
NA,"2016",65.40779
NA,"2017",66.21869
NA,"2018",63.20116
NA,"2019",62.77774
NA,"2020",61.21208
NA,"2021",65.39611
NA,"2022",61.24907
NA,"2023",NA
"fin","1990",NA
"fin","1991",NA
"fin","1992",NA
"fin","1993",NA
"fin","1994",NA
"fin","1995",NA
"fin","1996",NA
"fin","1997",NA
"fin","1998",NA
"fin","1999",NA
"fin","2000",NA
"fin","2001",NA
"fin","2002",NA
"fin","2003",NA
"fin","2004",NA
"fin","2005",NA
"fin","2006",NA
"fin","2007",NA
"fin","2008",102.30337
"fin","2009",103.40157
"fin","2010",119.29021
"fin","2011",112.72209
"fin","2012",99.4348
"fin","2013",100.64527
"fin","2014",83.35341
"fin","2015",88.7753
"fin","2016",109.40644
"fin","2017",107.01776
"fin","2018",101.88523
"fin","2019",89.59544
"fin","2020",81.33858
"fin","2021",75.86386
"fin","2022",65.59054
"fin","2023",NA
"fra","1990",NA
"fra","1991",NA
"fra","1992",NA
"fra","1993",NA
"fra","1994",NA
"fra","1995",NA
"fra","1996",NA
"fra","1997",NA
"fra","1998",NA
"fra","1999",NA
"fra","2000",NA
"fra","2001",NA
"fra","2002",NA
"fra","2003",NA
"fra","2004",NA
"fra","2005",NA
"fra","2006",NA
"fra","2007",NA
"fra","2008",110.39154
"fra","2009",111.04258
"fra","2010",111.19409
"fra","2011",101.07057
"fra","2012",101.07039
"fra","2013",85.05991
"fra","2014",81.33975
"fra","2015",82.43451
"fra","2016",71.87942
"fra","2017",73.39808
"fra","2018",75.72936
"fra","2019",80.08525
"fra","2020",73.73557
"fra","2021",85.90913
"fra","2022",75.17962
"fra","2023",NA
"deu","1990",NA
"deu","1991",NA
"deu","1992",NA
"deu","1993",NA
"deu","1994",NA
"deu","1995",NA
"deu","1996",NA
"deu","1997",NA
"deu","1998",NA
"deu","1999",NA
"deu","2000",NA
"deu","2001",NA
"deu","2002",NA
"deu","2003",NA
"deu","2004",NA
"deu","2005",NA
"deu","2006",NA
"deu","2007",NA
"deu","2008",102.47623
"deu","2009",94.24179
"deu","2010",80.15211
"deu","2011",73.99656
"deu","2012",72.56721
"deu","2013",76.80397
"deu","2014",69.5563
"deu","2015",69.03204
"deu","2016",67.41373
"deu","2017",63.61584
"deu","2018",58.20666
"deu","2019",60.35789
"deu","2020",60.0056
"deu","2021",62.9932
"deu","2022",58.4261
"deu","2023",NA
"grc","1990",NA
"grc","1991",NA
"grc","1992",NA
"grc","1993",NA
"grc","1994",NA
"grc","1995",NA
"grc","1996",NA
"grc","1997",NA
"grc","1998",NA
"grc","1999",NA
"grc","2000",NA
"grc","2001",NA
"grc","2002",NA
"grc","2003",NA
"grc","2004",NA
"grc","2005",NA
"grc","2006",NA
"grc","2007",NA
"grc","2008",97.55792
"grc","2009",53.09423
"grc","2010",51.42438
"grc","2011",46.22016
"grc","2012",43.04921
"grc","2013",36.41897
"grc","2014",29.48426
"grc","2015",35.36811
"grc","2016",33.07433
"grc","2017",32.61386
"grc","2018",26.80423
"grc","2019",27.13581
"grc","2020",52.3698
"grc","2021",24.43027
"grc","2022",25.8815
"grc","2023",NA
"hun","1990",NA
"hun","1991",NA
"hun","1992",NA
"hun","1993",NA
"hun","1994",NA
"hun","1995",NA
"hun","1996",NA
"hun","1997",NA
"hun","1998",NA
"hun","1999",NA
"hun","2000",NA
"hun","2001",NA
"hun","2002",NA
"hun","2003",NA
"hun","2004",NA
"hun","2005",NA
"hun","2006",NA
"hun","2007",NA
"hun","2008",73.39975
"hun","2009",78.02538
"hun","2010",80.76569
"hun","2011",80.36389
"hun","2012",67.11322
"hun","2013",72.72778
"hun","2014",68.72315
"hun","2015",80.28957
"hun","2016",78.35655
"hun","2017",81.03068
"hun","2018",84.23598
"hun","2019",84.85311
"hun","2020",84.43477
"hun","2021",93.42883
"hun","2022",84.4834
"hun","2023",NA
"isl","1990",NA
"isl","1991",NA
"isl","1992",NA
"isl","1993",NA
"isl","1994",NA
"isl","1995",NA
"isl","1996",NA
"isl","1997",NA
"isl","1998",NA
"isl","1999",NA
"isl","2000",NA
"isl","2001",NA
"isl","2002",NA
"isl","2003",NA
"isl","2004",NA
"isl","2005",NA
"isl","2006",NA
"isl","2007",NA
"isl","2008",18.77766
"isl","2009",20.13248
"isl","2010",19.64125
"isl","2011",18.62963
"isl","2012",19.89655
"isl","2013",19.16512
"isl","2014",18.38224
"isl","2015",20.02518
"isl","2016",20.61043
"isl","2017",19.41196
"isl","2018",33.0355
"isl","2019",22.67807
"isl","2020",18.90055
"isl","2021",19.11051
"isl","2022",45.88973
"isl","2023",NA
"irl","1990",NA
"irl","1991",NA
"irl","1992",NA
"irl","1993",NA
"irl","1994",NA
"irl","1995",NA
"irl","1996",NA
"irl","1997",NA
"irl","1998",NA
"irl","1999",NA
"irl","2000",NA
"irl","2001",NA
"irl","2002",NA
"irl","2003",NA
"irl","2004",NA
"irl","2005",NA
"irl","2006",NA
"irl","2007",NA
"irl","2008",116.24498
"irl","2009",100.20341
"irl","2010",96.38977
"irl","2011",84.09217
"irl","2012",82.32984
"irl","2013",79.31009
"irl","2014",75.7505
"irl","2015",73.47393
"irl","2016",78.85825
"irl","2017",81.18674
"irl","2018",87.28144
"irl","2019",100.74711
"irl","2020",109.9168
"irl","2021",102.0053
"irl","2022",101.5049
"irl","2023",NA
"ita","1990",NA
"ita","1991",NA
"ita","1992",NA
"ita","1993",NA
"ita","1994",NA
"ita","1995",NA
"ita","1996",NA
"ita","1997",NA
"ita","1998",NA
"ita","1999",NA
"ita","2000",NA
"ita","2001",NA
"ita","2002",NA
"ita","2003",NA
"ita","2004",NA
"ita","2005",NA
"ita","2006",NA
"ita","2007",NA
"ita","2008",35.58324
"ita","2009",37.01869
"ita","2010",35.5692
"ita","2011",31.97586
"ita","2012",28.9548
"ita","2013",33.45983
"ita","2014",32.67706
"ita","2015",29.33363
"ita","2016",33.52886
"ita","2017",28.62442
"ita","2018",28.15098
"ita","2019",30.67263
"ita","2020",37.11544
"ita","2021",27.95715
"ita","2022",26.2227
"ita","2023",NA
"lva","1990",NA
"lva","1991",NA
"lva","1992",NA
"lva","1993",NA
"lva","1994",NA
"lva","1995",NA
"lva","1996",NA
"lva","1997",NA
"lva","1998",NA
"lva","1999",NA
"lva","2000",NA
"lva","2001",NA
"lva","2002",NA
"lva","2003",NA
"lva","2004",NA
"lva","2005",NA
"lva","2006",NA
"lva","2007",NA
"lva","2008",72.50776
"lva","2009",58.47862
"lva","2010",70.68147
"lva","2011",64.3759
"lva","2012",58.59068
"lva","2013",51.95656
"lva","2014",54.41907
"lva","2015",55.4594
"lva","2016",59.04756
"lva","2017",57.79751
"lva","2018",65.93223
"lva","2019",72.22018
"lva","2020",55.81703
"lva","2021",57.10648
"lva","2022",57.58198
"lva","2023",NA
"ltu","1990",NA
"ltu","1991",NA
"ltu","1992",NA
"ltu","1993",NA
"ltu","1994",NA
"ltu","1995",NA
"ltu","1996",NA
"ltu","1997",NA
"ltu","1998",NA
"ltu","1999",NA
"ltu","2000",NA
"ltu","2001",NA
"ltu","2002",NA
"ltu","2003",NA
"ltu","2004",NA
"ltu","2005",NA
"ltu","2006",NA
"ltu","2007",NA
"ltu","2008",17.68725
"ltu","2009",19.26406
"ltu","2010",22.51997
"ltu","2011",22.45064
"ltu","2012",18.30982
"ltu","2013",22.54176
"ltu","2014",33.10017
"ltu","2015",46.24763
"ltu","2016",49.83512
"ltu","2017",53.24051
"ltu","2018",58.91523
"ltu","2019",52.24063
"ltu","2020",35.83573
"ltu","2021",14.89295
"ltu","2022",14.75332
"ltu","2023",NA
"lux","1990",NA
"lux","1991",NA
"lux","1992",NA
"lux","1993",NA
"lux","1994",NA
"lux","1995",NA
"lux","1996",NA
"lux","1997",NA
"lux","1998",NA
"lux","1999",NA
"lux","2000",NA
"lux","2001",NA
"lux","2002",NA
"lux","2003",NA
"lux","2004",NA
"lux","2005",NA
"lux","2006",NA
"lux","2007",NA
"lux","2008",45.94353
"lux","2009",41.45756
"lux","2010",63.74102
"lux","2011",49.93134
"lux","2012",56.69146
"lux","2013",69.09719
"lux","2014",49.20414
"lux","2015",50.36428
"lux","2016",60.00698
"lux","2017",78.95499
"lux","2018",74.14771
"lux","2019",85.6976
"lux","2020",33.55326
"lux","2021",80.2965
"lux","2022",66.99576
"lux","2023",NA
"mlt","1990",NA
"mlt","1991",NA
"mlt","1992",NA
"mlt","1993",NA
"mlt","1994",NA
"mlt","1995",NA
"mlt","1996",NA
"mlt","1997",NA
"mlt","1998",NA
"mlt","1999",NA
"mlt","2000",NA
"mlt","2001",NA
"mlt","2002",NA
"mlt","2003",NA
"mlt","2004",NA
"mlt","2005",NA
"mlt","2006",NA
"mlt","2007",NA
"mlt","2008",26.90088
"mlt","2009",25.87581
"mlt","2010",27.55477
"mlt","2011",28.69858
"mlt","2012",27.54843
"mlt","2013",28.42646
"mlt","2014",31.56605
"mlt","2015",32.12831
"mlt","2016",30.75836
"mlt","2017",27.74536
"mlt","2018",27.75801
"mlt","2019",27.13116
"mlt","2020",24.66735
"mlt","2021",23.32148
"mlt","2022",18.3131
"mlt","2023",NA
"nld","1990",NA
"nld","1991",NA
"nld","1992",NA
"nld","1993",NA
"nld","1994",NA
"nld","1995",NA
"nld","1996",NA
"nld","1997",NA
"nld","1998",NA
"nld","1999",NA
"nld","2000",NA
"nld","2001",NA
"nld","2002",NA
"nld","2003",NA
"nld","2004",NA
"nld","2005",NA
"nld","2006",NA
"nld","2007",NA
"nld","2008",134.60088
"nld","2009",134.25872
"nld","2010",134.05053
"nld","2011",121.74513
"nld","2012",124.88941
"nld","2013",112.58979
"nld","2014",104.57533
"nld","2015",104.6486
"nld","2016",102.55775
"nld","2017",103.14623
"nld","2018",96.29066
"nld","2019",94.34252
"nld","2020",88.70515
"nld","2021",89.38117
"nld","2022",83.61318
"nld","2023",NA
"nor","1990",NA
"nor","1991",NA
"nor","1992",NA
"nor","1993",NA
"nor","1994",NA
"nor","1995",NA
"nor","1996",NA
"nor","1997",NA
"nor","1998",NA
"nor","1999",NA
"nor","2000",NA
"nor","2001",NA
"nor","2002",NA
"nor","2003",NA
"nor","2004",NA
"nor","2005",NA
"nor","2006",NA
"nor","2007",NA
"nor","2008",102.13948
"nor","2009",127.21821
"nor","2010",93.97316
"nor","2011",88.53686
"nor","2012",77.93093
"nor","2013",83.12331
"nor","2014",73.81709
"nor","2015",57.98861
"nor","2016",56.9921
"nor","2017",55.98895
"nor","2018",46.18737
"nor","2019",38.82352
"nor","2020",33.07609
"nor","2021",35.13669
"nor","2022",31.42255
"nor","2023",NA
"pol","1990",NA
"pol","1991",NA
"pol","1992",NA
"pol","1993",NA
"pol","1994",NA
"pol","1995",NA
"pol","1996",NA
"pol","1997",NA
"pol","1998",NA
"pol","1999",NA
"pol","2000",NA
"pol","2001",NA
"pol","2002",NA
"pol","2003",NA
"pol","2004",NA
"pol","2005",NA
"pol","2006",NA
"pol","2007",NA
"pol","2008",50.76599
"pol","2009",54.0402
"pol","2010",59.72504
"pol","2011",56.24911
"pol","2012",54.15187
"pol","2013",50.54686
"pol","2014",48.81724
"pol","2015",50.43095
"pol","2016",119.20359
"pol","2017",125.41723
"pol","2018",102.50517
"pol","2019",95.5309
"pol","2020",89.66601
"pol","2021",108.18339
"pol","2022",104.16017
"pol","2023",NA
"prt","1990",NA
"prt","1991",NA
"prt","1992",NA
"prt","1993",NA
"prt","1994",NA
"prt","1995",NA
"prt",1996,NA
prt,1997,NA
prt,1998,NA
prt,1999,NA
prt,2000,NA
prt,2001,NA
prt,2002,NA
prt,2003,NA
prt,2004,NA
prt,2005,NA
prt,2006,NA
prt,2007,NA
prt,2008,63.10914
prt,2009,71.56366
prt,2010,65.4888
prt,2011,57.95242
prt,2012,54.98384
prt,2013,57.55425
prt,2014,61.64835
prt,2015,63.08067
prt,2016,60.34048
prt,2017,57.72478
prt,2018,61.16988
prt,2019,59.82971
prt,2020,65.15168
prt,2021,61.41767
prt,2022,59.87262
prt,2023,NA
rou,1990,NA
rou,1991,NA
rou,1992,NA
rou,1993,NA
rou,1994,NA
rou,1995,NA
rou,1996,NA
rou,1997,NA
rou,1998,NA
rou,1999,NA
rou,2000,NA
rou,2001,NA
rou,2002,NA
rou,2003,NA
rou,2004,NA
rou,2005,NA
rou,2006,NA
rou,2007,NA
rou,2008,22.92216
rou,2009,22.46554
rou,2010,21.38139
rou,2011,20.4159
rou,2012,20.67386
rou,2013,20.15924
rou,2014,20.68932
rou,2015,20.76252
rou,2016,21.93006
rou,2017,23.3067
rou,2018,23.96727
rou,2019,24.22719
rou,2020,23.27074
rou,2021,25.10579
rou,2022,23.79446
rou,2023,NA
srb,1990,NA
srb,1991,NA
srb,1992,NA
srb,1993,NA
srb,1994,NA
srb,1995,NA
srb,1996,NA
srb,1997,NA
srb,1998,NA
srb,1999,NA
srb,2000,NA
srb,2001,NA
srb,2002,NA
srb,2003,NA
srb,2004,NA
srb,2005,NA
srb,2006,NA
srb,2007,NA
srb,2008,NA
srb,2009,NA
srb,2010,NA
srb,2011,NA
srb,2012,NA
srb,2013,NA
srb,2014,NA
srb,2015,NA
srb,2016,NA
srb,2017,NA
srb,2018,NA
srb,2019,NA
srb,2020,NA
srb,2021,NA
srb,2022,NA
srb,2023,NA
svk,1990,NA
svk,1991,NA
svk,1992,NA
svk,1993,NA
svk,1994,NA
svk,1995,NA
svk,1996,NA
svk,1997,NA
svk,1998,NA
svk,1999,NA
svk,2000,NA
svk,2001,NA
svk,2002,NA
svk,2003,NA
svk,2004,NA
svk,2005,NA
svk,2006,NA
svk,2007,NA
svk,2008,71.43607
svk,2009,73.95752
svk,2010,80.23
svk,2011,65.2664
svk,2012,67.46023
