"country","year","exp_total"
"ata","2009",374
"ata","2010",0
"ata","2011",0
"ata","2012",0
"ata","2013",0
"ata","2014",42
"ata","2015",189
"ata","2016",353
"ata","2017",897
"ata","2018",128
"ata","2019",0
"ata","2020",306
"ata","2021",636
"ata","2022",356
"ata","2023",1
"atg","1990",NA
"atg","1991",NA
"atg","1992",NA
"atg","1993",NA
"atg","1994",NA
"atg","1995",NA
"atg","1996",NA
"atg","1997",NA
"atg","1998",NA
"atg","1999",NA
"atg","2000",NA
"atg","2001",NA
"atg","2002",NA
"atg","2003",NA
"atg","2004",NA
"atg","2005",NA
"atg","2006",NA
"atg","2007",NA
"atg","2008",12539
"atg","2009",33276
"atg","2010",22266
"atg","2011",33625
"atg","2012",79477
"atg","2013",28085
"atg","2014",28700
"atg","2015",35294
"atg","2016",7267
"atg","2017",27272
"atg","2018",25928
"atg","2019",19825
"atg","2020",8520
"atg","2021",4557
"atg","2022",5938
"atg","2023",1
"arg","1990",NA
"arg","1991",NA
"arg","1992",NA
"arg","1993",NA
"arg","1994",NA
"arg","1995",NA
"arg","1996",NA
"arg","1997",NA
"arg","1998",NA
"arg","1999",NA
"arg","2000",NA
"arg","2001",NA
"arg","2002",NA
"arg","2003",NA
"arg","2004",NA
"arg","2005",NA
"arg","2006",NA
"arg","2007",NA
"arg","2008",1429508
"arg","2009",1508674
"arg","2010",1701734
"arg","2011",1755799
"arg","2012",1737523
"arg","2013",1702957
"arg","2014",1551764
"arg","2015",2063105
"arg","2016",2436458
"arg","2017",2460708
"arg","2018",1801320
"arg","2019",1635234
"arg","2020",1203818
"arg","2021",1318823
"arg","2022",2292811
"arg","2023",1
"arm","1990",NA
"arm","1991",NA
"arm","1992",NA
"arm","1993",NA
"arm","1994",NA
"arm","1995",NA
"arm","1996",NA
"arm","1997",NA
"arm","1998",NA
"arm","1999",NA
"arm","2000",NA
"arm","2001",NA
"arm","2002",NA
"arm","2003",NA
"arm","2004",NA
"arm","2005",NA
"arm","2006",NA
"arm","2007",NA
"arm","2008",167222
"arm","2009",146183
"arm","2010",171922
"arm","2011",151844
"arm","2012",159215
"arm","2013",95138
"arm","2014",180520
"arm","2015",100255
"arm","2016",67342
"arm","2017",221068
"arm","2018",235708
"arm","2019",143997
"arm","2020",74826
"arm","2021",95244
"arm","2022",126632
"arm","2023",1
"abw","1990",NA
"abw","1991",NA
"abw","1992",NA
"abw","1993",NA
"abw","1994",NA
"abw","1995",NA
"abw","1996",NA
"abw","1997",NA
"abw","1998",NA
"abw","1999",NA
"abw","2000",NA
"abw","2001",NA
"abw","2002",NA
"abw","2003",NA
"abw","2004",NA
"abw","2005",NA
"abw","2006",NA
"abw","2007",NA
"abw","2008",3271
"abw","2009",17009
"abw","2010",12695
"abw","2011",11988
"abw","2012",8614
"abw","2013",9075
"abw","2014",6129
"abw","2015",12009
"abw","2016",8211
"abw","2017",16955
"abw","2018",20122
"abw","2019",321348
"abw","2020",1814
"abw","2021",6244
"abw","2022",15912
"abw","2023",1
"aus","1990",NA
"aus","1991",NA
"aus","1992",NA
"aus","1993",NA
"aus","1994",NA
"aus","1995",NA
"aus","1996",NA
"aus","1997",NA
"aus","1998",NA
"aus","1999",NA
"aus","2000",NA
"aus","2001",NA
