country,year,foradl_lop_utb
cyp,2009,1052.6
cyp,2010,1127.4
cyp,2011,1074.9
cyp,2012,1045.6
cyp,2013,1035.9
cyp,2014,1014.4
cyp,2015,995.4
cyp,2016,1029.5
cyp,2017,1078.4
cyp,2018,1188.5
cyp,2019,1244.4
cyp,2020,1310.9
cyp,2021,1379.7
cyp,2022,1491.3
cyp,2023,1530.8
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,1095.6
lva,2009,933.8
lva,2010,768.8
lva,2011,814.9
lva,2012,855.9
lva,2013,900.6
lva,2014,923.1
lva,2015,984.4
lva,2016,1015.6
lva,2017,1107.4
lva,2018,1179
lva,2019,1244.4
lva,2020,1293
lva,2021,1389.7
lva,2022,1461
lva,2023,1756.3
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,1382.4
ltu,2009,1499.3
ltu,2010,1364.6
ltu,2011,1383.8
ltu,2012,1403.2
ltu,2013,1442.3
ltu,2014,1459.1
ltu,2015,1518.8
ltu,2016,1592.2
ltu,2017,1666.5
ltu,2018,1831.8
ltu,2019,2026.2
ltu,2020,2236.4
ltu,2021,2458.9
ltu,2022,2847.7
ltu,2023,3272.3
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,1293.3
lux,2009,1388.1
lux,2010,1518.5
lux,2011,1601.7
lux,2012,1715
lux,2013,1779.8
lux,2014,1872.5
lux,2015,1951.2
lux,2016,2003.8
lux,2017,2115.5
lux,2018,2279.5
lux,2019,2424.3
lux,2020,2640.9
lux,2021,2798.7
lux,2022,3018
lux,2023,3329
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,4518.6
hun,2009,3885.1
hun,2010,3943.8
hun,2011,3813.8
hun,2012,3745.1
hun,2013,3505.3
hun,2014,3983.7
hun,2015,4318.3
hun,2016,4680.7
hun,2017,4935.2
hun,2018,5139.1
hun,2019,5460.7
hun,2020,5266.9
hun,2021,5579
hun,2022,6111.8
hun,2023,7281.9
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,328.4
mlt,2009,345.9
mlt,2010,369.4
mlt,2011,391.8
mlt,2012,418.2
mlt,2013,448.5
mlt,2014,473.1
mlt,2015,511.7
mlt,2016,534
mlt,2017,570.3
mlt,2018,631
mlt,2019,684.1
mlt,2020,644.1
mlt,2021,725.8
mlt,2022,745.3
mlt,2023,820.8
mlt,2024,1020.8
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,27430
nld,2009,28740
nld,2010,29308
nld,2011,29647
nld,2012,29876
nld,2013,30178
nld,2014,30720
nld,2015,31545
nld,2016,32616
nld,2017,33531
nld,2018,34965
nld,2019,36363
nld,2020,37458
nld,2021,39389
nld,2022,43421
nld,2023,47104
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,13751.1
aut,2009,14361.3
aut,2010,14790.3
aut,2011,15069.1
aut,2012,15473.8
aut,2013,15558
aut,2014,15879.6
aut,2015,16471.9
aut,2016,17002.5
aut,2017,17436
aut,2018,18054.2
aut,2019,18742.1
aut,2020,18984.3
aut,2021,19808.6
aut,2022,20913.5
aut,2023,22491.5
aut,2024,
pol,2000,
pol,2001,
pol,2002,
pol,2003,
pol,2004,
pol,2005,
pol,2006,
pol,2007,
pol,2008,16178.1
pol,2009,14290.8
pol,2010,16355.7
pol,2011,16677.7
pol,2012,16622.9
pol,2013,16912.4
pol,2014,17543.4
pol,2015,18112.4
pol,2016,17493.6
pol,2017,18664.1
pol,2018,20111
pol,2019,21884.8
pol,2020,22806.9
pol,2021,24094.9
pol,2022,25632.6
pol,2023,29736.7
pol,2024,
prt,2000,
prt,2001,
prt,2002,
prt,2003,
prt,2004,
prt,2005,
prt,2006,
prt,2007,
prt,2008,10493.9
prt,2009,10858.3
prt,2010,11061.2
prt,2011,10153.2
prt,2012,8984.1
prt,2013,9379.4
prt,2014,9375.9
prt,2015,9338.3
prt,2016,9405.6
prt,2017,9691.8
prt,2018,9939.5
prt,2019,10198.6
prt,2020,10311.9
prt,2021,10553.5
prt,2022,11195.4
prt,2023,
prt,2024,
rou,2000,
rou,2001,
rou,2002,
rou,2003,
rou,2004,
rou,2005,
rou,2006,
rou,2007,
rou,2008,4109.9
rou,2009,4119.8
rou,2010,5029.9
rou,2011,4979.6
rou,2012,4753.9
rou,2013,5580.1
rou,2014,5076.7
rou,2015,4986.7
rou,2016,5515.7
rou,2017,6513
rou,2018,7270.5
rou,2019,9049.8
rou,2020,8687.7
rou,2021,7203.4
rou,2022,7999.3
rou,2023,9261.3
rou,2024,
svn,2000,
svn,2001,
svn,2002,
svn,2003,
svn,2004,
svn,2005,
svn,2006,
svn,2007,
svn,2008,1745.5
svn,2009,1818.9
svn,2010,1890.4
svn,2011,1926.1
svn,2012,1877.2
svn,2013,1812.8
svn,2014,1796.9
svn,2015,1812.8
svn,2016,1898
svn,2017,1989.7
svn,2018,2082.3
svn,2019,2237.3
svn,2020,2341.5
svn,2021,2653.3
svn,2022,2664.7
svn,2023,2941.8
svn,2024,
svk,2000,
svk,2001,
svk,2002,
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,1893.6
svk,2009,2058.9
svk,2010,2139.8
svk,2011,2193.3
svk,2012,2338.4
svk,2013,2468.9
svk,2014,2567.2
svk,2015,2663.6
svk,2016,2789.4
svk,2017,2915.7
svk,2018,3150.6
svk,2019,3320.3
svk,2020,3522.9
svk,2021,3734.2
svk,2022,4044.4
svk,2023,4538.5
svk,2024,4726.7
fin,2000,
fin,2001,
fin,2002,
fin,2003,
fin,2004,
fin,2005,
fin,2006,
fin,2007,
fin,2008,8703
fin,2009,9042
fin,2010,9431
fin,2011,9772
fin,2012,10125
fin,2013,10228
fin,2014,10275
fin,2015,10531
fin,2016,10445
fin,2017,10288
fin,2018,10479
fin,2019,10861
fin,2020,11012
fin,2021,11560
fin,2022,12052
fin,2023,12952
fin,2024,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,17599.8
swe,2009,16353.5
swe,2010,18492.2
swe,2011,20346.7
swe,2012,21634.7
swe,2013,22335.4
swe,2014,22120.2
swe,2015,22628.1
swe,2016,23866.8
swe,2017,25013.4
swe,2018,24636
swe,2019,24872.5
swe,2020,25481.2
swe,2021,27637.1
swe,2022,27503.5
swe,2023,27849.3
swe,2024,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,636.3
isl,2009,579.4
isl,2010,608.8
isl,2011,633.1
isl,2012,658.4
isl,2013,684.6
isl,2014,754.8
isl,2015,877.6
isl,2016,1030
isl,2017,1215.9
isl,2018,1200.9
isl,2019,1213.1
isl,2020,1166.5
isl,2021,1240.2
isl,2022,1425.8
isl,2023,1495
isl,2024,
lie,2000,
lie,2001,
lie,2002,
lie,2003,
lie,2004,
lie,2005,
lie,2006,
lie,2007,
lie,2008,
lie,2009,
lie,2010,
lie,2011,
lie,2012,
lie,2013,
lie,2014,
lie,2015,
lie,2016,29.4
lie,2017,30.9
lie,2018,30.3
lie,2019,33.4
lie,2020,40.7
lie,2021,33.9
lie,2022,
lie,2023,
lie,2024,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,11972.7
nor,2009,12159.9
nor,2010,14070.3
nor,2011,15196.8
nor,2012,16764.3
nor,2013,16964.1
nor,2014,16444.9
nor,2015,16053.6
nor,2016,16257.9
nor,2017,16870.9
nor,2018,17131.5
nor,2019,17583.4
nor,2020,16214
nor,2021,18031.2
nor,2022,19171
nor,2023,18153.8
nor,2024,18839.1
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,2170.7
che,2009,2348
che,2010,2478.4
che,2011,3009.5
che,2012,3091.1
che,2013,3132.9
che,2014,3298.4
che,2015,3849.7
che,2016,3858.3
che,2017,3826.3
che,2018,3701.7
che,2019,3860.5
che,2020,3682.9
che,2021,3930.3
che,2022,4489.6
che,2023,4797.5
che,2024,
gbr,2000,
gbr,2001,
gbr,2002,
gbr,2003,
gbr,2004,
gbr,2005,
gbr,2006,
gbr,2007,
gbr,2008,110370.7
gbr,2009,102546.7
gbr,2010,108986.5
gbr,2011,109711
gbr,2012,120040.2
gbr,2013,116143.5
gbr,2014,127863.1
gbr,2015,143674.9
gbr,2016,127357.6
gbr,2017,120834.5
gbr,2018,122633.4
gbr,2019,
gbr,2020,
gbr,2021,
gbr,2022,
gbr,2023,
gbr,2024,
bih,2000,
bih,2001,
bih,2002,
bih,2003,
bih,2004,
bih,2005,
bih,2006,
bih,2007,
bih,2008,575.2
bih,2009,599.7
bih,2010,608.5
bih,2011,644.7
bih,2012,650.5
bih,2013,644.3
bih,2014,665.8
bih,2015,672.4
bih,2016,674.7
bih,2017,678.6
bih,2018,709
bih,2019,762.8
bih,2020,785.3
bih,2021,825
bih,2022,953.3
bih,2023,1079.1
bih,2024,
mne,2000,
mne,2001,
mne,2002,
mne,2003,
mne,2004,
mne,2005,
mne,2006,
mne,2007,
mne,2008,116.8
mne,2009,125.9
mne,2010,147.6
mne,2011,151.8
mne,2012,157.6
mne,2013,153.8
mne,2014,152.1
mne,2015,158.8
mne,2016,168.4
mne,2017,172.5
mne,2018,178.3
mne,2019,181.4
mne,2020,189.2
mne,2021,227
mne,2022,241.9
mne,2023,293.8
mne,2024,
mkd,2000,
mkd,2001,
mkd,2002,
mkd,2003,
mkd,2004,
mkd,2005,
mkd,2006,
mkd,2007,
mkd,2008,223.9
mkd,2009,247.7
mkd,2010,263.6
mkd,2011,279.9
mkd,2012,289.6
mkd,2013,290
mkd,2014,285.6
mkd,2015,298.2
mkd,2016,306.9
mkd,2017,303.9
mkd,2018,330.7
mkd,2019,343.2
mkd,2020,370.6
mkd,2021,386.7
mkd,2022,
mkd,2023,
mkd,2024,
alb,2000,
alb,2001,
alb,2002,
alb,2003,
alb,2004,
alb,2005,
alb,2006,
alb,2007,
alb,2008,229.9
alb,2009,242.6
alb,2010,256.5
alb,2011,271.9
alb,2012,311.9
alb,2013,329.7
alb,2014,324.6
alb,2015,332.5
alb,2016,327.2
alb,2017,373.8
alb,2018,403.9
alb,2019,435.4
alb,2020,453.4
alb,2021,499.5
alb,2022,541.1
alb,2023,705.3
alb,2024,
srb,2000,
srb,2001,
srb,2002,
srb,2003,
srb,2004,
srb,2005,
srb,2006,
srb,2007,
srb,2008,1461.1
srb,2009,1282.5
srb,2010,1262.9
srb,2011,1392.6
srb,2012,1344.3
srb,2013,1431.1
srb,2014,1423.2
srb,2015,1419.1
srb,2016,1415.9
srb,2017,1528
srb,2018,1687.6
srb,2019,1829.1
srb,2020,1856.4
srb,2021,1994.8
srb,2022,2265.4
srb,2023,2589.4
srb,2024,
tur,2000,
tur,2001,
tur,2002,
tur,2003,
tur,2004,
tur,2005,
tur,2006,
tur,2007,
tur,2008,17968.5
