country,year,loner_lop_info_komm
cyp,2011,350.8
cyp,2012,363.3
cyp,2013,364.5
cyp,2014,373.9
cyp,2015,364.6
cyp,2016,381.1
cyp,2017,411.3
cyp,2018,438.2
cyp,2019,539.5
cyp,2020,634.6
cyp,2021,728.1
cyp,2022,1129.8
cyp,2023,1195.8
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,413.7
lva,2009,363.1
lva,2010,307.1
lva,2011,330.8
lva,2012,402.2
lva,2013,464.1
lva,2014,510.2
lva,2015,586
lva,2016,679.3
lva,2017,772.5
lva,2018,949.4
lva,2019,1031.3
lva,2020,1080.6
lva,2021,1156.7
lva,2022,1346.5
lva,2023,1711.8
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,358.5
ltu,2009,363.3
ltu,2010,379
ltu,2011,427.2
ltu,2012,466.6
ltu,2013,523
ltu,2014,560.9
ltu,2015,641.4
ltu,2016,708.9
ltu,2017,773.1
ltu,2018,849.8
ltu,2019,963.4
ltu,2020,1101.6
ltu,2021,1399.8
ltu,2022,1808.2
ltu,2023,2167.8
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,906
lux,2009,949.1
lux,2010,982.3
lux,2011,1096.5
lux,2012,1128.6
lux,2013,1174.2
lux,2014,1246.9
lux,2015,1289.3
lux,2016,1340
lux,2017,1444.2
lux,2018,1496.9
lux,2019,1604.7
lux,2020,1703.4
lux,2021,1808.9
lux,2022,1932.9
lux,2023,2009
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,2228.1
hun,2009,2047
hun,2010,2065.9
hun,2011,2205.3
hun,2012,2315.1
hun,2013,2318.4
hun,2014,2403.1
hun,2015,2421.7
hun,2016,2583.9
hun,2017,2727.3
hun,2018,2848.8
hun,2019,3113
hun,2020,3057.6
hun,2021,3510
hun,2022,3819.1
hun,2023,4689.8
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,106.3
mlt,2009,131.3
mlt,2010,124.7
mlt,2011,142.2
mlt,2012,158.6
mlt,2013,180.1
mlt,2014,194.4
mlt,2015,220.9
mlt,2016,246.2
mlt,2017,280.1
mlt,2018,334.6
mlt,2019,372.4
mlt,2020,408.2
mlt,2021,443.5
mlt,2022,493.2
mlt,2023,575.5
mlt,2024,656.7
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,14193
nld,2009,14590
nld,2010,13914
nld,2011,14291
nld,2012,14658
nld,2013,14545
nld,2014,14700
nld,2015,15427
nld,2016,16278
nld,2017,17290
nld,2018,18551
nld,2019,20065
nld,2020,21038
nld,2021,23328
nld,2022,25448
nld,2023,27501
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,4573
aut,2009,4537.9
aut,2010,4619.1
aut,2011,4933.8
aut,2012,5251.3
aut,2013,5513.5
aut,2014,5710.8
aut,2015,5936.1
aut,2016,6293.6
aut,2017,6579.6
aut,2018,7113.9
aut,2019,7590.4
aut,2020,7911.9
aut,2021,8475.2
aut,2022,9286.4
aut,2023,10242.3
aut,2024,
pol,2000,
pol,2001,
pol,2002,
pol,2003,
pol,2004,
pol,2005,
pol,2006,
pol,2007,
pol,2008,4639.7
pol,2009,3858.3
pol,2010,4275.7
pol,2011,4524.1
pol,2012,4681.3
pol,2013,4959.1
pol,2014,4955.7
pol,2015,5692.7
pol,2016,6117.8
pol,2017,7064.1
pol,2018,7939
pol,2019,8546.6
pol,2020,8862.9
pol,2021,9679.3
pol,2022,12186.5
pol,2023,14042.9
pol,2024,
prt,2000,
prt,2001,
prt,2002,
prt,2003,
prt,2004,
prt,2005,
prt,2006,
prt,2007,
prt,2008,2375.2
prt,2009,2460.4
prt,2010,2552.7
prt,2011,2585.8
prt,2012,2488.1
prt,2013,2623.4
prt,2014,2608.3
prt,2015,2734.4
prt,2016,2804.2
prt,2017,3044.9
prt,2018,3458.2
prt,2019,3945.3
prt,2020,4385.1
prt,2021,5334.7
prt,2022,6192.4
prt,2023,7209.6
prt,2024,
rou,2000,
rou,2001,
rou,2002,
rou,2003,
rou,2004,
rou,2005,
rou,2006,
rou,2007,
rou,2008,2091.4
rou,2009,1427.6
rou,2010,1492.7
rou,2011,1748.8
rou,2012,1813
rou,2013,2085.2
rou,2014,2555.7
rou,2015,2810.7
rou,2016,3412.5
rou,2017,4022.3
rou,2018,4604.2
rou,2019,5237.9
rou,2020,5659.1
rou,2021,6657.8
rou,2022,8697.7
rou,2023,10263.3
rou,2024,
svn,2000,
svn,2001,
svn,2002,
svn,2003,
svn,2004,
svn,2005,
svn,2006,
svn,2007,
svn,2008,698.5
svn,2009,723.2
svn,2010,731.4
svn,2011,714.8
svn,2012,725
svn,2013,720.6
svn,2014,753
svn,2015,731.2
svn,2016,745.8
svn,2017,793.5
svn,2018,859.1
svn,2019,1002.2
svn,2020,1064.8
svn,2021,1151
svn,2022,1284.6
svn,2023,1487.5
svn,2024,
svk,2000,
svk,2001,
svk,2002,
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,886.9
svk,2009,910.4
svk,2010,952.8
svk,2011,1107.6
svk,2012,1131.4
svk,2013,1184.2
svk,2014,1231.7
svk,2015,1334.9
svk,2016,1419.5
svk,2017,1561.9
svk,2018,1690.1
svk,2019,1828.1
svk,2020,1957.7
svk,2021,2128.2
svk,2022,2298
svk,2023,2504.1
svk,2024,2669.5
fin,2000,
fin,2001,
fin,2002,
fin,2003,
fin,2004,
fin,2005,
fin,2006,
fin,2007,
fin,2008,4642
fin,2009,4640
fin,2010,4736
fin,2011,5008
fin,2012,5173
fin,2013,5477
fin,2014,5497
fin,2015,5736
fin,2016,5915
fin,2017,6362
fin,2018,6722
fin,2019,6979
fin,2020,7191
fin,2021,7929
fin,2022,8639
fin,2023,9154
fin,2024,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,9585.1
swe,2009,8812.2
swe,2010,9980.5
swe,2011,11229
swe,2012,12188.5
swe,2013,12552.6
swe,2014,12704.4
swe,2015,13117.7
swe,2016,13180
swe,2017,13647
swe,2018,13701
swe,2019,14084.7
swe,2020,15028
swe,2021,17000
swe,2022,17895
swe,2023,18044.5
swe,2024,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,271.8
isl,2009,230.3
isl,2010,258.3
isl,2011,269.5
isl,2012,290.7
isl,2013,320.9
isl,2014,366.8
isl,2015,422.2
isl,2016,502.3
isl,2017,586.2
isl,2018,627
isl,2019,601.6
isl,2020,545.9
isl,2021,637.9
isl,2022,759
isl,2023,849.6
isl,2024,
lie,2000,
lie,2001,
lie,2002,
lie,2003,
lie,2004,
lie,2005,
lie,2006,
lie,2007,
lie,2008,
lie,2009,
lie,2010,
lie,2011,
lie,2012,
lie,2013,
lie,2014,
lie,2015,
lie,2016,
lie,2017,
lie,2018,
lie,2019,
lie,2020,
lie,2021,
lie,2022,
lie,2023,
lie,2024,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,6427.4
nor,2009,6187.4
nor,2010,6881.7
nor,2011,7552.5
nor,2012,8373.8
nor,2013,8366.5
nor,2014,8236.3
nor,2015,8036.2
nor,2016,7869.5
