country,year,loner_lop_utb
cyp,2010,844.3
cyp,2011,887.1
cyp,2012,904.3
cyp,2013,866.7
cyp,2014,849.4
cyp,2015,846.5
cyp,2016,864.8
cyp,2017,885.7
cyp,2018,943.2
cyp,2019,1028.5
cyp,2020,1071.2
cyp,2021,1111.5
cyp,2022,1186.6
cyp,2023,1237.8
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,1019.3
lva,2009,856.2
lva,2010,685.5
lva,2011,741
lva,2012,775.9
lva,2013,812.7
lva,2014,827.8
lva,2015,895.1
lva,2016,926.7
lva,2017,1011.3
lva,2018,1080.4
lva,2019,1139.7
lva,2020,1187
lva,2021,1276.6
lva,2022,1306.6
lva,2023,1522.4
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,1330.4
ltu,2009,1398.6
ltu,2010,1238.8
ltu,2011,1247.8
ltu,2012,1263.9
ltu,2013,1280.6
ltu,2014,1275.7
ltu,2015,1314.4
ltu,2016,1369.8
ltu,2017,1413.6
ltu,2018,1565.8
ltu,2019,1752.4
ltu,2020,1947
ltu,2021,2128.8
ltu,2022,2500.7
ltu,2023,2895.6
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,1201.2
lux,2009,1294.5
lux,2010,1411.4
lux,2011,1493.3
lux,2012,1599.5
lux,2013,1658.1
lux,2014,1744.1
lux,2015,1815.9
lux,2016,1860.5
lux,2017,1976.6
lux,2018,2137.7
lux,2019,2271.4
lux,2020,2480.8
lux,2021,2613.8
lux,2022,2790.1
lux,2023,3058.8
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,3653.1
hun,2009,3098.8
hun,2010,3114.2
hun,2011,2975.7
hun,2012,2861.4
hun,2013,2643.7
hun,2014,3116.7
hun,2015,3441
hun,2016,3679.6
hun,2017,3868.4
hun,2018,4014.4
hun,2019,4128.8
hun,2020,3955.2
hun,2021,4181
hun,2022,4774
hun,2023,5768
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,259.1
mlt,2009,275.3
mlt,2010,300.1
mlt,2011,311.6
mlt,2012,333.9
mlt,2013,358.6
mlt,2014,381.7
mlt,2015,408.8
mlt,2016,429.3
mlt,2017,459.2
mlt,2018,518.8
mlt,2019,556.2
mlt,2020,584.9
mlt,2021,639.9
mlt,2022,626.1
mlt,2023,670.5
mlt,2024,820
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,21555
nld,2009,22635
nld,2010,23116
nld,2011,23342
nld,2012,23439
nld,2013,23357
nld,2014,23527
nld,2015,23828
nld,2016,24527
nld,2017,25065
nld,2018,26210
nld,2019,27268
nld,2020,29075
nld,2021,30269
nld,2022,33336
nld,2023,36211
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,10881.7
aut,2009,11440.3
aut,2010,11783.8
aut,2011,12011.1
aut,2012,12342.2
aut,2013,12494.4
aut,2014,12761.6
aut,2015,13198.1
aut,2016,13675.4
aut,2017,14042.9
aut,2018,14495.9
aut,2019,14918.9
aut,2020,15261.3
aut,2021,15758.4
aut,2022,16530.7
aut,2023,17938.2
aut,2024,
pol,2000,
pol,2001,
pol,2002,
pol,2003,
pol,2004,
pol,2005,
pol,2006,
pol,2007,
pol,2008,14028.4
pol,2009,12355.1
pol,2010,14185
pol,2011,14561.5
pol,2012,14524.1
pol,2013,14703.8
pol,2014,15188
pol,2015,15538.1
pol,2016,15117.3
pol,2017,15935.2
pol,2018,17046.1
pol,2019,18550.8
pol,2020,19278.6
pol,2021,19926.4
pol,2022,20717
pol,2023,24441.9
pol,2024,
prt,2000,
prt,2001,
prt,2002,
prt,2003,
prt,2004,
prt,2005,
prt,2006,
prt,2007,
prt,2008,9115.4
prt,2009,9381.2
prt,2010,9531.5
prt,2011,8787.4
prt,2012,7598.3
prt,2013,8112.2
prt,2014,8006.9
prt,2015,7766.6
prt,2016,7965.9
prt,2017,8147.2
prt,2018,8373.8
prt,2019,8667.4
prt,2020,8979.4
prt,2021,9384.2
prt,2022,9891.5
prt,2023,
prt,2024,
rou,2000,
rou,2001,
rou,2002,
rou,2003,
rou,2004,
rou,2005,
rou,2006,
rou,2007,
rou,2008,3578
rou,2009,3391.9
rou,2010,2991.9
rou,2011,2658.7
rou,2012,2548.2
rou,2013,2802.9
rou,2014,3130
rou,2015,3009.8
rou,2016,3461.1
rou,2017,3918.3
rou,2018,4829.4
rou,2019,6000.5
rou,2020,5617.2
rou,2021,5433
rou,2022,5998.9
rou,2023,6911.5
rou,2024,
svn,2000,
svn,2001,
svn,2002,
svn,2003,
svn,2004,
svn,2005,
svn,2006,
svn,2007,
svn,2008,1543.7
svn,2009,1635.8
svn,2010,1690.6
svn,2011,1715.9
svn,2012,1661.3
svn,2013,1588.4
svn,2014,1566.8
svn,2015,1583.1
svn,2016,1665.8
svn,2017,1750.4
svn,2018,1830.8
svn,2019,1977.9
svn,2020,2100.6
svn,2021,2374.9
svn,2022,2347.3
svn,2023,2604.7
svn,2024,
svk,2000,
svk,2001,
svk,2002,
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,1459.5
svk,2009,1676.2
svk,2010,1743.4
svk,2011,1769.7
svk,2012,1846.5
svk,2013,2041.7
svk,2014,2223.4
svk,2015,2306.7
svk,2016,2315.2
svk,2017,2456.6
svk,2018,2574.2
svk,2019,2869.6
svk,2020,3088.1
svk,2021,3254
svk,2022,3505.8
svk,2023,3957
svk,2024,4352
fin,2000,
fin,2001,
fin,2002,
fin,2003,
fin,2004,
fin,2005,
fin,2006,
fin,2007,
fin,2008,6886
fin,2009,7177
fin,2010,7526
fin,2011,7737
fin,2012,7988
fin,2013,8049
fin,2014,8061
fin,2015,8313
fin,2016,8158
fin,2017,7959
fin,2018,8086
fin,2019,8346
fin,2020,8449
fin,2021,8942
fin,2022,9270
fin,2023,10051
fin,2024,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,13272.5
swe,2009,12366.7
swe,2010,14095.6
swe,2011,15421.5
swe,2012,16626.3
swe,2013,17152.5
swe,2014,17128.8
swe,2015,17499.8
swe,2016,18465.2
swe,2017,19447.9
swe,2018,19287.5
swe,2019,19420.9
swe,2020,19996.9
swe,2021,21597
swe,2022,21097.1
swe,2023,21079
swe,2024,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,490.7
isl,2009,433.4
isl,2010,456.9
isl,2011,485.3
isl,2012,509.2
isl,2013,531.3
isl,2014,602.9
isl,2015,710.4
isl,2016,849.2
isl,2017,1038.2
isl,2018,1024.7
isl,2019,1021.3
isl,2020,974.2
isl,2021,1089.5
isl,2022,1240.5
isl,2023,1293
isl,2024,
lie,2000,
lie,2001,
lie,2002,
lie,2003,
lie,2004,
lie,2005,
lie,2006,
lie,2007,
lie,2008,
lie,2009,
lie,2010,
lie,2011,
lie,2012,
lie,2013,
lie,2014,
lie,2015,
lie,2016,
lie,2017,
lie,2018,
lie,2019,
lie,2020,
lie,2021,
lie,2022,
lie,2023,
lie,2024,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,9937.3
nor,2009,10094.6
nor,2010,11550
nor,2011,12416
nor,2012,13571.5
nor,2013,13747.3
nor,2014,13299
nor,2015,13013.2
nor,2016,13149.5
nor,2017,13626.7
nor,2018,13774.3
nor,2019,14098.8
nor,2020,13036.5
nor,2021,14344.8
nor,2022,15187.3
nor,2023,14409.1
nor,2024,14913.2
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,
che,2009,
che,2010,
che,2011,3278.5
che,2012,3485.6
che,2013,3500.1
che,2014,3612
che,2015,4172.5
che,2016,4186.1
che,2017,4139.3
che,2018,4078.5
che,2019,4368.7
che,2020,4422.4
che,2021,4610.2
che,2022,5258.9
che,2023,5587.9
che,2024,
gbr,2000,
gbr,2001,
gbr,2002,
gbr,2003,
gbr,2004,
gbr,2005,
gbr,2006,
gbr,2007,
gbr,2008,92252.7
gbr,2009,85339.1
gbr,2010,90857.3
gbr,2011,90920.4
gbr,2012,98560.8
gbr,2013,94545.8
gbr,2014,103467.2
gbr,2015,115241.7
gbr,2016,101741.3
gbr,2017,95289
gbr,2018,95413.2
gbr,2019,
gbr,2020,
gbr,2021,
gbr,2022,
gbr,2023,
gbr,2024,
bih,2000,
bih,2001,
bih,2002,
bih,2003,
bih,2004,
