country,year,loner_lop_klader
cyp,2022,15.4
cyp,2023,
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,124.4
lva,2009,79.2
lva,2010,79
lva,2011,82.9
lva,2012,80.7
lva,2013,83
lva,2014,80.8
lva,2015,79.8
lva,2016,82.7
lva,2017,89.4
lva,2018,100.2
lva,2019,98.8
lva,2020,93.2
lva,2021,110.4
lva,2022,120.1
lva,2023,
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,280.2
ltu,2009,206.1
ltu,2010,206.9
ltu,2011,228.4
ltu,2012,236.8
ltu,2013,248
ltu,2014,257.3
ltu,2015,272.9
ltu,2016,294.1
ltu,2017,311
ltu,2018,325.3
ltu,2019,340.6
ltu,2020,331.6
ltu,2021,356.6
ltu,2022,404
ltu,2023,
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,85.4
lux,2009,80.3
lux,2010,84.7
lux,2011,90.4
lux,2012,92.3
lux,2013,89.6
lux,2014,83.2
lux,2015,81.8
lux,2016,78.5
lux,2017,76.7
lux,2018,76.1
lux,2019,81.6
lux,2020,80.9
lux,2021,84.1
lux,2022,82.9
lux,2023,96
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,434
hun,2009,347.7
hun,2010,341.5
hun,2011,375.6
hun,2012,375.2
hun,2013,353.9
hun,2014,340.7
hun,2015,329.9
hun,2016,345.5
hun,2017,377.5
hun,2018,375.5
hun,2019,376.8
hun,2020,342.4
hun,2021,341.3
hun,2022,349.1
hun,2023,405.6
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,14.4
mlt,2009,11.6
mlt,2010,11.6
mlt,2011,12.3
mlt,2012,13.1
mlt,2013,11.9
mlt,2014,10.7
mlt,2015,11.1
mlt,2016,11
mlt,2017,10.3
mlt,2018,11.2
mlt,2019,10.3
mlt,2020,10.3
mlt,2021,10.5
mlt,2022,10.3
mlt,2023,10.5
mlt,2024,10.8
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,682
nld,2009,640
nld,2010,639
nld,2011,653
nld,2012,663
nld,2013,671
nld,2014,673
nld,2015,661
nld,2016,672
nld,2017,680
nld,2018,743
nld,2019,756
nld,2020,759
nld,2021,785
nld,2022,800
nld,2023,820
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,715.6
aut,2009,655.4
aut,2010,663.5
aut,2011,672.2
aut,2012,676
aut,2013,693.7
aut,2014,694.4
aut,2015,685.5
aut,2016,666.5
aut,2017,646.9
aut,2018,647.7
aut,2019,632.2
aut,2020,582.4
aut,2021,590.6
aut,2022,619.3
aut,2023,637.3
aut,2024,
pol,2000,
pol,2001,
pol,2002,
pol,2003,
pol,2004,
pol,2005,
pol,2006,
pol,2007,
pol,2008,1694.1
pol,2009,1266.8
pol,2010,1338.3
pol,2011,1330.1
pol,2012,1263.2
pol,2013,1266.5
pol,2014,1371.6
pol,2015,1402.5
pol,2016,1440.2
pol,2017,1646
pol,2018,1605.5
pol,2019,1756.8
pol,2020,1577.3
pol,2021,1642
pol,2022,1657
pol,2023,
pol,2024,
prt,2000,
prt,2001,
prt,2002,
prt,2003,
prt,2004,
prt,2005,
prt,2006,
prt,2007,
prt,2008,2322.4
prt,2009,2100.3
prt,2010,2087.7
prt,2011,2091.5
prt,2012,2043.4
prt,2013,2094.4
prt,2014,2236.7
prt,2015,2355.7
prt,2016,2412.7
prt,2017,2524.5
prt,2018,2618
prt,2019,2642.8
prt,2020,2541.7
prt,2021,2660.1
prt,2022,2883.6
prt,2023,
prt,2024,
rou,2000,
rou,2001,
rou,2002,
rou,2003,
rou,2004,
rou,2005,
rou,2006,
rou,2007,
rou,2008,2186.1
rou,2009,1033.8
rou,2010,1396.1
rou,2011,1564.6
rou,2012,1611.6
rou,2013,1665.9
rou,2014,1687.8
rou,2015,1771.1
rou,2016,2010.8
rou,2017,2216.1
rou,2018,2235.1
rou,2019,2227.7
rou,2020,1977.7
rou,2021,1935.6
rou,2022,2219.1
rou,2023,2614.3
rou,2024,
svn,2000,
svn,2001,
svn,2002,
svn,2003,
svn,2004,
svn,2005,
svn,2006,
svn,2007,
svn,2008,298.6
svn,2009,253.3
svn,2010,217
svn,2011,206.4
svn,2012,197.9
svn,2013,178.7
svn,2014,170
svn,2015,168.9
svn,2016,172.2
svn,2017,176
svn,2018,185.6
svn,2019,189.1
svn,2020,177.7
svn,2021,178.2
svn,2022,181.1
svn,2023,200.6
svn,2024,
svk,2000,
svk,2001,
svk,2002,
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,342.5
svk,2009,311
svk,2010,296.1
svk,2011,302.3
svk,2012,310.8
svk,2013,302.4
svk,2014,328.2
svk,2015,356.8
svk,2016,370.7
svk,2017,415.2
svk,2018,419.1
svk,2019,421.5
svk,2020,389.2
svk,2021,393.1
svk,2022,428.2
svk,2023,448.2
svk,2024,
fin,2000,
fin,2001,
fin,2002,
fin,2003,
fin,2004,
fin,2005,
fin,2006,
fin,2007,
fin,2008,351
fin,2009,299
fin,2010,287
fin,2011,301
fin,2012,294
fin,2013,273
fin,2014,256
fin,2015,253
fin,2016,240
fin,2017,257
fin,2018,258
fin,2019,253
fin,2020,218
fin,2021,244
fin,2022,280
fin,2023,277
fin,2024,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,319.7
swe,2009,258.8
swe,2010,281.9
swe,2011,295.1
swe,2012,296.8
swe,2013,307.9
swe,2014,300.7
swe,2015,296.5
swe,2016,289.4
swe,2017,294.7
swe,2018,285.4
swe,2019,267.7
swe,2020,273.6
swe,2021,284.3
swe,2022,291.5
swe,2023,
swe,2024,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,9.3
isl,2009,8.2
isl,2010,10.2
isl,2011,11.4
isl,2012,12.7
isl,2013,13.7
isl,2014,15.9
isl,2015,15
isl,2016,16.3
isl,2017,18.8
isl,2018,19.2
isl,2019,18.9
isl,2020,15.9
isl,2021,18.4
isl,2022,22.9
isl,2023,24.3
isl,2024,
