country,year,foradl_lop_an_transp
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,44.2
lva,2009,24
lva,2010,23.3
lva,2011,31.4
lva,2012,32.1
lva,2013,27.5
lva,2014,39.6
lva,2015,32.1
lva,2016,32.2
lva,2017,31.1
lva,2018,23.4
lva,2019,35
lva,2020,35.9
lva,2021,39.2
lva,2022,52.8
lva,2023,
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,125.2
ltu,2009,100.7
ltu,2010,100.6
ltu,2011,62.4
ltu,2012,92.3
ltu,2013,101.1
ltu,2014,78.4
ltu,2015,87.2
ltu,2016,86
ltu,2017,95.2
ltu,2018,116.7
ltu,2019,158.1
ltu,2020,160
ltu,2021,193.2
ltu,2022,235.7
ltu,2023,
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,
lux,2009,
lux,2010,
lux,2011,
lux,2012,
lux,2013,
lux,2014,
lux,2015,
lux,2016,
lux,2017,
lux,2018,
lux,2019,
lux,2020,
lux,2021,
lux,2022,
lux,2023,
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,194.1
hun,2009,110.2
hun,2010,127.5
hun,2011,138.3
hun,2012,126.2
hun,2013,131.1
hun,2014,177
hun,2015,162.7
hun,2016,160.1
hun,2017,170.7
hun,2018,199.1
hun,2019,257.7
hun,2020,247
hun,2021,247.3
hun,2022,258.8
hun,2023,392.3
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,
mlt,2009,
mlt,2010,
mlt,2011,
mlt,2012,
mlt,2013,
mlt,2014,
mlt,2015,
mlt,2016,
mlt,2017,
mlt,2018,
mlt,2019,
mlt,2020,-0.4
mlt,2021,
mlt,2022,
mlt,2023,
mlt,2024,
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,2066
nld,2009,1940
nld,2010,1871
nld,2011,1516
nld,2012,1437
nld,2013,1566
nld,2014,1510
nld,2015,1423
nld,2016,1329
nld,2017,1546
nld,2018,1391
nld,2019,1531
nld,2020,1622
nld,2021,1546
nld,2022,1797
nld,2023,1845
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,1070.7
aut,2009,822.5
aut,2010,785.8
aut,2011,873.2
aut,2012,650
aut,2013,884
aut,2014,875.6
aut,2015,888
aut,2016,969.1
aut,2017,1041.4
aut,2018,1383.3
aut,2019,1452.9
aut,2020,1509.6
aut,2021,1507.7
aut,2022,1461.9
aut,2023,1540.6
aut,2024,
pol,2000,
pol,2001,
pol,2002,
pol,2003,
pol,2004,
pol,2005,
pol,2006,
pol,2007,
pol,2008,984
pol,2009,1009.8
pol,2010,945.3
pol,2011,1266.3
pol,2012,1392.5
pol,2013,1494.7
pol,2014,1806
pol,2015,1584.6
pol,2016,1509.7
pol,2017,1726.1
pol,2018,1791.4
pol,2019,1988.6
pol,2020,1495.2
pol,2021,1864.3
pol,2022,1984.2
pol,2023,
pol,2024,
prt,2000,
prt,2001,
prt,2002,
prt,2003,
prt,2004,
prt,2005,
prt,2006,
prt,2007,
prt,2008,104.1
prt,2009,85.3
prt,2010,102.1
prt,2011,101.6
prt,2012,93.1
prt,2013,132.7
prt,2014,95.9
prt,2015,117.4
prt,2016,157.1
prt,2017,185.6
prt,2018,201.7
prt,2019,212.2
prt,2020,216
prt,2021,285.3
prt,2022,358.1
prt,2023,
prt,2024,
rou,2000,
rou,2001,
rou,2002,
rou,2003,
rou,2004,
rou,2005,
rou,2006,
rou,2007,
rou,2008,557.5
rou,2009,689
rou,2010,637.5
rou,2011,748.5
rou,2012,614.9
rou,2013,684.3
rou,2014,756
rou,2015,681.9
rou,2016,725.7
rou,2017,678.4
rou,2018,798.5
rou,2019,878
rou,2020,727.1
rou,2021,917.5
rou,2022,870.4
rou,2023,939.2
rou,2024,
svn,2000,
svn,2001,
svn,2002,
svn,2003,
svn,2004,
svn,2005,
svn,2006,
svn,2007,
svn,2008,43.7
svn,2009,20.2
svn,2010,22.9
svn,2011,19.4
svn,2012,22.8
svn,2013,27.3
svn,2014,25.9
svn,2015,26
svn,2016,27.2
svn,2017,34
svn,2018,31.3
svn,2019,33.9
svn,2020,42.5
svn,2021,49.6
svn,2022,41.4
svn,2023,58.6
svn,2024,
svk,2000,
svk,2001,
svk,2002,
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,85
svk,2009,73.8
svk,2010,148.9
svk,2011,103.9
svk,2012,110.7
svk,2013,108.3
svk,2014,124.1
svk,2015,143.5
svk,2016,99.6
svk,2017,92.9
svk,2018,111.6
svk,2019,129.4
svk,2020,132.6
svk,2021,162.5
svk,2022,166
svk,2023,184
svk,2024,
fin,2000,
fin,2001,
fin,2002,
fin,2003,
fin,2004,
fin,2005,
fin,2006,
fin,2007,
fin,2008,575
fin,2009,426
fin,2010,395
fin,2011,435
fin,2012,465
fin,2013,505
fin,2014,429
fin,2015,394
fin,2016,563
fin,2017,456
fin,2018,446
fin,2019,343
fin,2020,445
fin,2021,468
fin,2022,482
fin,2023,615
fin,2024,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,1080.1
swe,2009,1368.5
swe,2010,1421.2
swe,2011,1523.3
swe,2012,1505.5
swe,2013,2438.2
swe,2014,2470.4
swe,2015,2656.8
swe,2016,2563.3
swe,2017,2632.5
swe,2018,2281.6
swe,2019,2411.8
swe,2020,2159
swe,2021,2928.5
swe,2022,2219.4
swe,2023,
swe,2024,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,2.9
isl,2009,2.1
isl,2010,2.7
isl,2011,2.9
isl,2012,2.7
isl,2013,3.6
isl,2014,5.2
isl,2015,4.9
isl,2016,3.6
isl,2017,4.4
isl,2018,3.9
isl,2019,3.8
isl,2020,4.6
isl,2021,5
isl,2022,3.2
isl,2023,3.6
isl,2024,
lie,2000,
lie,2001,
lie,2002,
lie,2003,
lie,2004,
lie,2005,
lie,2006,
lie,2007,
lie,2008,
lie,2009,
lie,2010,
lie,2011,
lie,2012,
lie,2013,
lie,2014,
lie,2015,
lie,2016,
lie,2017,
lie,2018,
lie,2019,
lie,2020,
lie,2021,
lie,2022,
lie,2023,
lie,2024,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,2370.1
nor,2009,2114.4
nor,2010,2250.7
nor,2011,2317.3
nor,2012,2550.7
nor,2013,2670.5
nor,2014,2487.1
nor,2015,1992.3
nor,2016,1745.1
nor,2017,1540.2
nor,2018,1236.8
nor,2019,1504.3
nor,2020,1338.8
nor,2021,1456.7
nor,2022,1590.5
nor,2023,
nor,2024,
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,615.1
che,2009,624.7
che,2010,974.8
che,2011,1429.2
che,2012,1521.5
che,2013,1596.5
che,2014,1687.5
che,2015,1920.8
che,2016,1725.3
che,2017,1668.1
che,2018,1598.9
che,2019,1617.8
che,2020,1315.3
che,2021,1609
che,2022,1512.7
che,2023,1548.6
che,2024,
gbr,2000,
gbr,2001,
gbr,2002,
gbr,2003,
gbr,2004,
gbr,2005,
gbr,2006,
gbr,2007,
gbr,2008,12386.3
gbr,2009,9668.4
gbr,2010,9407.3
gbr,2011,11654.8
gbr,2012,11794.7
gbr,2013,10780
gbr,2014,10751.5
gbr,2015,13281.2
gbr,2016,12561.6
gbr,2017,13831.9
gbr,2018,13845.2
gbr,2019,
gbr,2020,
gbr,2021,
gbr,2022,
gbr,2023,
gbr,2024,
bih,2000,
bih,2001,
bih,2002,
bih,2003,
bih,2004,
bih,2005,
bih,2006,
bih,2007,
bih,2008,2.7
bih,2009,2.8
bih,2010,0.7
bih,2011,0.9
bih,2012,0.7
bih,2013,1
bih,2014,0.9
bih,2015,0.8
bih,2016,0.6
bih,2017,6.5
bih,2018,5.9
bih,2019,1.3
bih,2020,1
bih,2021,5.7
bih,2022,7.3
bih,2023,8
bih,2024,
mne,2000,
mne,2001,
mne,2002,
mne,2003,
mne,2004,
mne,2005,
mne,2006,
mne,2007,
mne,2008,
mne,2009,
mne,2010,
mne,2011,
mne,2012,
mne,2013,
mne,2014,
mne,2015,
mne,2016,
mne,2017,
mne,2018,
mne,2019,
mne,2020,
mne,2021,
mne,2022,
mne,2023,
mne,2024,
mkd,2000,
mkd,2001,
mkd,2002,
mkd,2003,
mkd,2004,
mkd,2005,
mkd,2006,
mkd,2007,
mkd,2008,3.8
mkd,2009,3.4
mkd,2010,2.2
mkd,2011,2.1
mkd,2012,1
mkd,2013,1.8
mkd,2014,4.5
mkd,2015,6.3
mkd,2016,4.7
mkd,2017,5.5
mkd,2018,8
mkd,2019,8.3
mkd,2020,5.6
mkd,2021,0.7
mkd,2022,
mkd,2023,
mkd,2024,
alb,2000,
alb,2001,
alb,2002,
