country,year,loner_lop_sjo_transp
cyp,2023,
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,56.3
lva,2009,55.7
lva,2010,39.5
lva,2011,30.4
lva,2012,29.1
lva,2013,30.5
lva,2014,30.1
lva,2015,34.2
lva,2016,34.3
lva,2017,40.4
lva,2018,29
lva,2019,24.7
lva,2020,20.3
lva,2021,15.2
lva,2022,16.7
lva,2023,
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,35.4
ltu,2009,33.8
ltu,2010,30.8
ltu,2011,31.2
ltu,2012,32.5
ltu,2013,33.6
ltu,2014,31.6
ltu,2015,31.2
ltu,2016,32.6
ltu,2017,32.2
ltu,2018,30.8
ltu,2019,28.9
ltu,2020,30.7
ltu,2021,32
ltu,2022,41.6
ltu,2023,
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,
lux,2009,
lux,2010,
lux,2011,
lux,2012,
lux,2013,
lux,2014,
lux,2015,
lux,2016,
lux,2017,
lux,2018,
lux,2019,
lux,2020,
lux,2021,
lux,2022,
lux,2023,
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,15.9
hun,2009,13.1
hun,2010,13.1
hun,2011,10.5
hun,2012,9.7
hun,2013,10.8
hun,2014,9.3
hun,2015,9.8
hun,2016,9.5
hun,2017,11.3
hun,2018,11.4
hun,2019,13.5
hun,2020,11.7
hun,2021,11.6
hun,2022,13.9
hun,2023,18.2
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,11.3
mlt,2009,11.9
mlt,2010,
mlt,2011,13
mlt,2012,13.4
mlt,2013,
mlt,2014,
mlt,2015,
mlt,2016,
mlt,2017,
mlt,2018,
mlt,2019,
mlt,2020,22.3
mlt,2021,22.1
mlt,2022,23.4
mlt,2023,24.1
mlt,2024,27.8
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,754
nld,2009,794
nld,2010,816
nld,2011,829
nld,2012,865
nld,2013,920
nld,2014,912
nld,2015,897
nld,2016,912
nld,2017,917
nld,2018,903
nld,2019,974
nld,2020,1016
nld,2021,1026
nld,2022,1105
nld,2023,1202
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,18.2
aut,2009,17.8
aut,2010,17.7
aut,2011,18.3
aut,2012,13.2
aut,2013,15
aut,2014,15.6
aut,2015,15.2
aut,2016,17.3
aut,2017,17.7
aut,2018,18.8
aut,2019,20.2
aut,2020,17.2
aut,2021,18.4
aut,2022,22.8
aut,2023,25.7
aut,2024,
pol,2000,
pol,2001,
pol,2002,
pol,2003,
pol,2004,
pol,2005,
pol,2006,
pol,2007,
pol,2008,
pol,2009,
pol,2010,
pol,2011,
pol,2012,
pol,2013,
pol,2014,
pol,2015,
pol,2016,
pol,2017,
pol,2018,
pol,2019,
pol,2020,
pol,2021,
pol,2022,
pol,2023,
pol,2024,
prt,2000,
prt,2001,
prt,2002,
prt,2003,
prt,2004,
prt,2005,
prt,2006,
prt,2007,
prt,2008,60.7
prt,2009,60.1
prt,2010,60.9
prt,2011,59
prt,2012,50.8
prt,2013,52.8
prt,2014,53.8
prt,2015,54.4
prt,2016,56.5
prt,2017,62.4
prt,2018,66.8
prt,2019,69.8
prt,2020,68.3
prt,2021,97.3
prt,2022,105.3
prt,2023,
prt,2024,
rou,2000,
rou,2001,
rou,2002,
rou,2003,
rou,2004,
rou,2005,
rou,2006,
rou,2007,
rou,2008,53.1
rou,2009,36.4
rou,2010,57.8
rou,2011,70.4
rou,2012,66.8
rou,2013,64.6
rou,2014,106
rou,2015,111.1
rou,2016,128.2
rou,2017,127.6
rou,2018,131.8
rou,2019,136.3
rou,2020,131.1
rou,2021,136.1
rou,2022,165.2
rou,2023,194.7
rou,2024,
svn,2000,
svn,2001,
svn,2002,
svn,2003,
svn,2004,
svn,2005,
svn,2006,
svn,2007,
svn,2008,15.2
svn,2009,16
svn,2010,16.3
svn,2011,18.8
svn,2012,16.8
svn,2013,14.9
svn,2014,17.1
svn,2015,13.6
svn,2016,13
svn,2017,13.2
svn,2018,11.9
svn,2019,7.3
svn,2020,6.6
svn,2021,6.9
svn,2022,7.3
svn,2023,8.1
svn,2024,
svk,2000,
svk,2001,
svk,2002,
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,9.5
svk,2009,8.6
svk,2010,8.7
svk,2011,7.9
svk,2012,7.2
svk,2013,7.8
svk,2014,6.6
svk,2015,7.3
svk,2016,6.5
svk,2017,7.5
svk,2018,7.2
svk,2019,8.1
svk,2020,7.6
svk,2021,7.7
svk,2022,9
svk,2023,9.5
svk,2024,
fin,2000,
fin,2001,
fin,2002,
fin,2003,
fin,2004,
fin,2005,
fin,2006,
fin,2007,
fin,2008,482
fin,2009,454
fin,2010,434
fin,2011,443
fin,2012,479
fin,2013,494
fin,2014,483
fin,2015,464
fin,2016,464
fin,2017,465
fin,2018,466
fin,2019,508
fin,2020,395
fin,2021,394
fin,2022,482
fin,2023,505
fin,2024,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,578.5
swe,2009,547.9
swe,2010,614.8
swe,2011,639
swe,2012,651.3
swe,2013,629.7
swe,2014,577
swe,2015,615.8
swe,2016,581.2
swe,2017,591.1
swe,2018,560.2
swe,2019,567.2
swe,2020,501.9
swe,2021,515.3
swe,2022,489.5
swe,2023,
swe,2024,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,63.8
isl,2009,33
isl,2010,53.3
isl,2011,56.5
isl,2012,60.4
isl,2013,65.8
isl,2014,68.6
isl,2015,81.3
isl,2016,98.3
isl,2017,131.5
isl,2018,131.2
isl,2019,122.7
isl,2020,90.3
isl,2021,98.4
isl,2022,128.7
isl,2023,134.5
isl,2024,
lie,2000,
lie,2001,
lie,2002,
lie,2003,
lie,2004,
lie,2005,
lie,2006,
lie,2007,
lie,2008,
lie,2009,
lie,2010,
lie,2011,
lie,2012,
lie,2013,
lie,2014,
lie,2015,
lie,2016,
lie,2017,
lie,2018,
lie,2019,
lie,2020,
lie,2021,
lie,2022,
lie,2023,
lie,2024,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,2289.7
nor,2009,2242
nor,2010,2825
nor,2011,2966.6
nor,2012,3312.3
nor,2013,3333.2
nor,2014,2767.3
nor,2015,2633.4
nor,2016,2420.4
nor,2017,2382.9
nor,2018,2315.1
nor,2019,2368.1
nor,2020,2049.7
nor,2021,2170.5
nor,2022,2387.2
nor,2023,2210.9
nor,2024,2147.9
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,
che,2009,
che,2010,
che,2011,212.3
che,2012,232
che,2013,236.8
che,2014,262.6
che,2015,324.3
che,2016,328.6
che,2017,345.6
che,2018,368.3
che,2019,387.9
che,2020,365.2
che,2021,405.1
che,2022,606.8
che,2023,
che,2024,
gbr,2000,
gbr,2001,
gbr,2002,
gbr,2003,
gbr,2004,
gbr,2005,
gbr,2006,
gbr,2007,
gbr,2008,3454.8
gbr,2009,3158.5
gbr,2010,3163.8
gbr,2011,3111
gbr,2012,3747.8
gbr,2013,3842.2
gbr,2014,3769.9
gbr,2015,4253
gbr,2016,3931.8
gbr,2017,3797.3
gbr,2018,3919.9
gbr,2019,
gbr,2020,
gbr,2021,
gbr,2022,
gbr,2023,
gbr,2024,
bih,2000,
bih,2001,
bih,2002,
bih,2003,
bih,2004,
bih,2005,
bih,2006,
bih,2007,
bih,2008,0.2
bih,2009,0.3
bih,2010,0.3
bih,2011,0.4
bih,2012,0.2
bih,2013,0
bih,2014,0
bih,2015,0
bih,2016,0
bih,2017,0
bih,2018,0.4
bih,2019,0.1
bih,2020,0.1
bih,2021,0.3
bih,2022,0.6
bih,2023,0.4
bih,2024,
mne,2000,
mne,2001,
mne,2002,
mne,2003,
mne,2004,
mne,2005,
mne,2006,
mne,2007,
mne,2008,
mne,2009,
mne,2010,
mne,2011,
mne,2012,
mne,2013,
mne,2014,
mne,2015,
mne,2016,
mne,2017,
mne,2018,
mne,2019,
mne,2020,
mne,2021,
mne,2022,
mne,2023,
mne,2024,
mkd,2000,
mkd,2001,
mkd,2002,
mkd,2003,
mkd,2004,
mkd,2005,
mkd,2006,
mkd,2007,
mkd,2008,0.3
mkd,2009,0.4
mkd,2010,0.2
mkd,2011,0
mkd,2012,0.1
mkd,2013,0.1
mkd,2014,0.1
mkd,2015,0.1
mkd,2016,0.4
mkd,2017,0.3
mkd,2018,0.6
mkd,2019,0.3
mkd,2020,0.3
mkd,2021,0.9
mkd,2022,
mkd,2023,
mkd,2024,
alb,2000,
alb,2001,
alb,2002,
alb,2003,
alb,2004,
alb,2005,
alb,2006,
alb,2007,
alb,2008,
alb,2009,
alb,2010,
alb,2011,
alb,2012,
alb,2013,
alb,2014,
alb,2015,
alb,2016,
alb,2017,
alb,2018,
alb,2019,
alb,2020,
alb,2021,
alb,2022,
alb,2023,
alb,2024,
srb,2000,
srb,2001,
srb,2002,
srb,2003,
srb,2004,
srb,2005,
srb,2006,
srb,2007,
srb,2008,7.1
srb,2009,3.9
srb,2010,4
srb,2011,3.9
srb,2012,3.3
srb,2013,3.7
srb,2014,4
srb,2015,4.3
srb,2016,4.4
srb,2017,4.2
srb,2018,5.2
srb,2019,7.9
srb,2020,8.2
srb,2021,14.6
srb,2022,17.7
srb,2023,21.4
srb,2024,
tur,2000,
tur,2001,
tur,2002,
tur,2003,
tur,2004,
tur,2005,
tur,2006,
tur,2007,
tur,2008,
tur,2009,
tur,2010,
tur,2011,
tur,2012,481.8
tur,2013,
tur,2014,
tur,2015,
tur,2016,
tur,2017,
tur,2018,
tur,2019,
tur,2020,
tur,2021,
tur,2022,
tur,2023,
tur,2024,
kos,2000,
kos,2001,
kos,2002,
kos,2003,
kos,2004,
kos,2005,
kos,2006,
kos,2007,
kos,2008,
kos,2009,
kos,2010,
kos,2011,
kos,2012,
kos,2013,
kos,2014,
kos,2015,
kos,2016,
kos,2017,
kos,2018,
kos,2019,
kos,2020,
kos,2021,
kos,2022,
kos,2023,
kos,2024,
