country,year,foradl_lop_lufttransp
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,93.2
lva,2009,87.2
lva,2010,0.7
lva,2011,-21.4
lva,2012,33.8
lva,2013,64.2
lva,2014,58
lva,2015,42
lva,2016,71.6
lva,2017,91.5
lva,2018,154
lva,2019,148.9
lva,2020,-112.3
lva,2021,-21.4
lva,2022,47.1
lva,2023,
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,18.7
ltu,2009,26.1
ltu,2010,23.7
ltu,2011,21.2
ltu,2012,23.8
ltu,2013,25.9
ltu,2014,33.1
ltu,2015,38.4
ltu,2016,27.9
ltu,2017,60.2
ltu,2018,74.3
ltu,2019,113
ltu,2020,16
ltu,2021,28.7
ltu,2022,77.5
ltu,2023,
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,
lux,2009,
lux,2010,
lux,2011,
lux,2012,
lux,2013,
lux,2014,
lux,2015,
lux,2016,
lux,2017,
lux,2018,
lux,2019,
lux,2020,
lux,2021,
lux,2022,
lux,2023,
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,73.1
hun,2009,125
hun,2010,113.9
hun,2011,149.7
hun,2012,185.1
hun,2013,293.5
hun,2014,350.5
hun,2015,539.2
hun,2016,617.1
hun,2017,693.4
hun,2018,651.6
hun,2019,801.1
hun,2020,175.3
hun,2021,-96.7
hun,2022,28.5
hun,2023,89.7
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,
mlt,2009,
mlt,2010,
mlt,2011,
mlt,2012,
mlt,2013,
mlt,2014,
mlt,2015,
mlt,2016,
mlt,2017,118
mlt,2018,117.4
mlt,2019,134.6
mlt,2020,-212.9
mlt,2021,95.9
mlt,2022,191.3
mlt,2023,244.8
mlt,2024,353.4
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,3394
nld,2009,2335
nld,2010,2887
nld,2011,2312
nld,2012,2369
nld,2013,2577
nld,2014,2612
nld,2015,3651
nld,2016,4078
nld,2017,4077
nld,2018,3980
nld,2019,3785
nld,2020,1678
nld,2021,1548
nld,2022,3642
nld,2023,4519
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,776.6
aut,2009,740.3
aut,2010,680.3
aut,2011,577.6
aut,2012,596
aut,2013,460.3
aut,2014,599.4
aut,2015,756.9
aut,2016,767
aut,2017,884.4
aut,2018,931.2
aut,2019,933.4
aut,2020,55.1
aut,2021,335.6
aut,2022,962.6
aut,2023,1380.9
aut,2024,
pol,2000,
pol,2001,
pol,2002,
pol,2003,
pol,2004,
pol,2005,
pol,2006,
pol,2007,
pol,2008,
pol,2009,
pol,2010,
pol,2011,
pol,2012,
pol,2013,
pol,2014,
pol,2015,
pol,2016,
pol,2017,
pol,2018,
pol,2019,
pol,2020,
pol,2021,
pol,2022,
pol,2023,
pol,2024,
prt,2000,
prt,2001,
prt,2002,
prt,2003,
prt,2004,
prt,2005,
prt,2006,
prt,2007,
prt,2008,813.2
prt,2009,902.7
prt,2010,946.9
prt,2011,812.4
prt,2012,833.2
prt,2013,1002.9
prt,2014,874.2
prt,2015,903.2
prt,2016,835.1
prt,2017,983.6
prt,2018,1018.5
prt,2019,1100.1
prt,2020,-127.5
prt,2021,184.7
prt,2022,639.1
prt,2023,
prt,2024,
rou,2000,
rou,2001,
rou,2002,
rou,2003,
rou,2004,
rou,2005,
rou,2006,
rou,2007,
rou,2008,271.2
rou,2009,247.7
rou,2010,267.1
rou,2011,202
rou,2012,514.9
rou,2013,297.4
rou,2014,107.2
rou,2015,159.3
rou,2016,95.6
rou,2017,131.6
rou,2018,171.9
rou,2019,509.4
rou,2020,208.5
rou,2021,282.7
rou,2022,110.1
rou,2023,101.6
rou,2024,
svn,2000,
svn,2001,
svn,2002,
svn,2003,
svn,2004,
svn,2005,
svn,2006,
svn,2007,
svn,2008,72.3
svn,2009,50.7
svn,2010,32.3
svn,2011,26.7
svn,2012,36.2
svn,2013,38.9
svn,2014,31.8
svn,2015,25.2
svn,2016,29
svn,2017,30.4
svn,2018,25
svn,2019,24.7
svn,2020,19.2
svn,2021,25.6
svn,2022,31.3
svn,2023,39.6
svn,2024,
svk,2000,
svk,2001,
svk,2002,
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,5.7
svk,2009,19
svk,2010,17.6
svk,2011,37.5
svk,2012,36.7
svk,2013,19.4
svk,2014,42.5
svk,2015,41.9
svk,2016,45.6
svk,2017,42.5
svk,2018,32
svk,2019,33.3
svk,2020,15.8
svk,2021,26.3
svk,2022,35
svk,2023,34.2
svk,2024,
fin,2000,
fin,2001,
fin,2002,
fin,2003,
fin,2004,
fin,2005,
fin,2006,
fin,2007,
fin,2008,590
fin,2009,483
fin,2010,568
fin,2011,503
fin,2012,671
fin,2013,616
fin,2014,510
fin,2015,590
fin,2016,591
fin,2017,738
fin,2018,748
fin,2019,802
fin,2020,-150
fin,2021,-101
fin,2022,289
fin,2023,742
fin,2024,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,702.4
swe,2009,584.8
swe,2010,752.2
swe,2011,914.3
swe,2012,1007
swe,2013,983.2
swe,2014,671.5
swe,2015,740.8
swe,2016,746.4
swe,2017,786.4
swe,2018,723.4
swe,2019,539.2
swe,2020,26.6
swe,2021,45.7
swe,2022,135.2
swe,2023,
swe,2024,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,160.3
isl,2009,187.1
isl,2010,229.2
isl,2011,214.9
isl,2012,216.9
isl,2013,260.1
isl,2014,290.7
isl,2015,400.9
isl,2016,468.8
isl,2017,435.8
isl,2018,525.2
isl,2019,541
isl,2020,169.8
isl,2021,230.5
isl,2022,528.7
isl,2023,620.1
isl,2024,
lie,2000,
lie,2001,
lie,2002,
lie,2003,
lie,2004,
lie,2005,
lie,2006,
lie,2007,
lie,2008,
lie,2009,
lie,2010,
lie,2011,
lie,2012,
lie,2013,
lie,2014,
lie,2015,
lie,2016,
lie,2017,
lie,2018,
lie,2019,
lie,2020,
lie,2021,
lie,2022,
lie,2023,
lie,2024,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,985.1
nor,2009,882.5
nor,2010,938.1
nor,2011,1015.9
nor,2012,1039.9
nor,2013,1017.2
nor,2014,757.8
nor,2015,838.6
nor,2016,958.4
nor,2017,908
nor,2018,383.8
nor,2019,496.6
nor,2020,-130.8
nor,2021,144.1
nor,2022,280.4
nor,2023,
nor,2024,
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,
che,2009,
che,2010,
che,2011,
che,2012,
che,2013,
che,2014,
che,2015,
che,2016,
che,2017,
che,2018,
che,2019,
che,2020,
che,2021,
che,2022,
che,2023,
che,2024,
gbr,2000,
gbr,2001,
gbr,2002,
gbr,2003,
gbr,2004,
gbr,2005,
gbr,2006,
gbr,2007,
gbr,2008,5255.7
gbr,2009,3183.2
gbr,2010,4015.9
gbr,2011,4029.4
gbr,2012,4100.5
gbr,2013,4341.4
gbr,2014,5261
gbr,2015,6513.8
gbr,2016,6017.2
gbr,2017,5961.2
gbr,2018,6311.7
gbr,2019,
gbr,2020,
gbr,2021,
gbr,2022,
gbr,2023,
gbr,2024,
bih,2000,
bih,2001,
bih,2002,
bih,2003,
bih,2004,
bih,2005,
bih,2006,
bih,2007,
bih,2008,2.9
bih,2009,-2.2
bih,2010,-6.1
bih,2011,-2.6
bih,2012,3.1
bih,2013,1.7
bih,2014,0.1
bih,2015,0.7
bih,2016,0.3
bih,2017,0.3
bih,2018,1.5
bih,2019,2.7
bih,2020,-0.3
bih,2021,0.7
bih,2022,0.9
bih,2023,0.7
bih,2024,
mne,2000,
mne,2001,
mne,2002,
mne,2003,
mne,2004,
mne,2005,
mne,2006,
mne,2007,
mne,2008,
mne,2009,
mne,2010,
mne,2011,
mne,2012,
mne,2013,
mne,2014,
mne,2015,
mne,2016,
mne,2017,
mne,2018,
mne,2019,
mne,2020,
mne,2021,
mne,2022,
mne,2023,
mne,2024,
mkd,2000,
mkd,2001,
mkd,2002,
mkd,2003,
mkd,2004,
mkd,2005,
mkd,2006,
mkd,2007,
mkd,2008,0.5
mkd,2009,0
mkd,2010,0.5
mkd,2011,0.4
mkd,2012,0.3
mkd,2013,0.2
mkd,2014,0.4
mkd,2015,0.5
mkd,2016,0.4
mkd,2017,0.5
mkd,2018,7.3
mkd,2019,0.5
mkd,2020,0.7
mkd,2021,0.7
mkd,2022,
mkd,2023,
mkd,2024,
alb,2000,
alb,2001,
alb,2002,
alb,2003,
alb,2004,
alb,2005,
alb,2006,
alb,2007,
alb,2008,
alb,2009,
alb,2010,
alb,2011,
alb,2012,
alb,2013,
alb,2014,
alb,2015,
alb,2016,
