country,year,foradl_fast_prod_film
cyp,2022,106.8
cyp,2023,
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,85.4
lva,2009,93.4
lva,2010,92
lva,2011,63.1
lva,2012,70.9
lva,2013,78.2
lva,2014,90.6
lva,2015,83.1
lva,2016,82.2
lva,2017,82.4
lva,2018,89.6
lva,2019,86.8
lva,2020,77.5
lva,2021,89.6
lva,2022,103.9
lva,2023,
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,152.8
ltu,2009,114.3
ltu,2010,98.6
ltu,2011,103.2
ltu,2012,101.7
ltu,2013,102.7
ltu,2014,105.6
ltu,2015,107.8
ltu,2016,111.8
ltu,2017,116.9
ltu,2018,120.5
ltu,2019,127.9
ltu,2020,112.2
ltu,2021,129.4
ltu,2022,132.3
ltu,2023,
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,
lux,2009,
lux,2010,
lux,2011,
lux,2012,
lux,2013,
lux,2014,
lux,2015,
lux,2016,
lux,2017,
lux,2018,
lux,2019,
lux,2020,
lux,2021,
lux,2022,
lux,2023,
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,666.1
hun,2009,758.8
hun,2010,902.2
hun,2011,832.7
hun,2012,797.5
hun,2013,771
hun,2014,739.2
hun,2015,563.9
hun,2016,460.2
hun,2017,571
hun,2018,568.2
hun,2019,581.3
hun,2020,523.6
hun,2021,629.4
hun,2022,594
hun,2023,618.4
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,
mlt,2009,14.4
mlt,2010,
mlt,2011,
mlt,2012,
mlt,2013,
mlt,2014,
mlt,2015,
mlt,2016,18.4
mlt,2017,26.1
mlt,2018,27.2
mlt,2019,33.3
mlt,2020,26.6
mlt,2021,39.4
mlt,2022,34.7
mlt,2023,41.2
mlt,2024,34.6
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,2134.1
nld,2009,2004.3
nld,2010,1941.8
nld,2011,1955.2
nld,2012,1979.9
nld,2013,1985.6
nld,2014,2142.8
nld,2015,2205.3
nld,2016,2313
nld,2017,2509.2
nld,2018,2540
nld,2019,2749.9
nld,2020,2446
nld,2021,2876
nld,2022,3728
nld,2023,3573.3
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,1253.4
aut,2009,1254.6
aut,2010,1196.9
aut,2011,1230.4
aut,2012,1324.4
aut,2013,1323.7
aut,2014,1298.6
aut,2015,1297.3
aut,2016,1302.8
aut,2017,1249.2
aut,2018,1236.8
aut,2019,1273.1
aut,2020,1179.4
aut,2021,1136.4
aut,2022,1215.9
aut,2023,1219.3
aut,2024,
pol,2000,
pol,2001,
pol,2002,
pol,2003,
pol,2004,
pol,2005,
pol,2006,
pol,2007,
pol,2008,2306.1
pol,2009,1925.1
pol,2010,1708.8
pol,2011,1947.6
pol,2012,1880
pol,2013,1722.5
pol,2014,1697.5
pol,2015,1932.3
pol,2016,2306.3
pol,2017,2011.3
pol,2018,2076.1
pol,2019,2102.4
pol,2020,1712.8
pol,2021,2898.3
pol,2022,2860.7
pol,2023,
pol,2024,
prt,2000,
prt,2001,
prt,2002,
prt,2003,
prt,2004,
prt,2005,
prt,2006,
prt,2007,
prt,2008,610.1
prt,2009,605.6
prt,2010,579.2
prt,2011,577.1
prt,2012,543.8
prt,2013,543.3
prt,2014,562.9
prt,2015,591.2
prt,2016,610
prt,2017,645.1
prt,2018,701.8
prt,2019,708.8
prt,2020,647.4
prt,2021,689.9
prt,2022,671.5
prt,2023,
prt,2024,
rou,2000,
rou,2001,
rou,2002,
rou,2003,
rou,2004,
rou,2005,
rou,2006,
rou,2007,
rou,2008,336.3
rou,2009,334.2
rou,2010,234.2
rou,2011,221.2
rou,2012,514.4
rou,2013,575.8
rou,2014,553.1
rou,2015,596.2
rou,2016,634.5
rou,2017,709.3
rou,2018,782.8
rou,2019,1188.6
rou,2020,793.1
rou,2021,916.5
rou,2022,1030
rou,2023,1084.8
rou,2024,
svn,2000,
svn,2001,
svn,2002,
svn,2003,
svn,2004,
svn,2005,
svn,2006,
svn,2007,
svn,2008,164.1
svn,2009,145
svn,2010,143.6
svn,2011,147.3
svn,2012,153.3
svn,2013,132.3
svn,2014,132.8
svn,2015,131.3
svn,2016,134.9
svn,2017,150.1
svn,2018,166.3
svn,2019,173.8
svn,2020,159.9
svn,2021,191.4
svn,2022,202.8
svn,2023,214.6
svn,2024,
svk,2000,
svk,2001,
svk,2002,
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,244.7
svk,2009,256.5
svk,2010,271.8
svk,2011,211.9
svk,2012,271.4
svk,2013,213.2
svk,2014,235.2
svk,2015,277
svk,2016,299.9
svk,2017,292.6
svk,2018,265.2
svk,2019,253.3
svk,2020,250.5
svk,2021,285.2
svk,2022,273.1
svk,2023,267.1
svk,2024,
fin,2000,
fin,2001,
fin,2002,
fin,2003,
fin,2004,
fin,2005,
fin,2006,
fin,2007,
fin,2008,1011.6
fin,2009,984.4
fin,2010,1021.4
fin,2011,975.6
fin,2012,939.7
fin,2013,909.2
fin,2014,962.6
fin,2015,993.1
fin,2016,945.1
fin,2017,1001.8
fin,2018,1048.7
fin,2019,1044.3
fin,2020,992
fin,2021,1053
fin,2022,1079.2
fin,2023,1084.7
fin,2024,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,1432
swe,2009,1459.8
swe,2010,1548.6
swe,2011,1514.1
swe,2012,1528.7
swe,2013,1439.8
swe,2014,1566.2
swe,2015,1514.1
swe,2016,1559.4
swe,2017,1654.7
swe,2018,1782.1
swe,2019,1937.8
swe,2020,1813.7
swe,2021,2031.8
swe,2022,2232.4
swe,2023,
swe,2024,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,57.6
isl,2009,51.8
isl,2010,50.5
isl,2011,48.2
isl,2012,44.5
isl,2013,52.6
isl,2014,55.9
isl,2015,49.9
isl,2016,61.3
isl,2017,58
isl,2018,53.6
isl,2019,53.9
isl,2020,49.6
isl,2021,51.2
isl,2022,60.8
isl,2023,64.8
isl,2024,
lie,2000,
lie,2001,
lie,2002,
lie,2003,
lie,2004,
lie,2005,
lie,2006,
lie,2007,
lie,2008,
lie,2009,
lie,2010,
lie,2011,
lie,2012,
lie,2013,
lie,2014,
lie,2015,
lie,2016,
lie,2017,
lie,2018,
lie,2019,
lie,2020,
lie,2021,
lie,2022,
lie,2023,
