country,year,foradl_lop_fisk
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,33.8
lva,2009,40.7
lva,2010,26.8
lva,2011,36.7
lva,2012,35.1
lva,2013,32.4
lva,2014,32.1
lva,2015,31
lva,2016,33.5
lva,2017,34
lva,2018,32.5
lva,2019,45.9
lva,2020,59.3
lva,2021,62.5
lva,2022,68.6
lva,2023,77.3
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,20.1
ltu,2009,18.6
ltu,2010,16.6
ltu,2011,18.7
ltu,2012,18.1
ltu,2013,19.5
ltu,2014,32
ltu,2015,21.7
ltu,2016,30.2
ltu,2017,33.4
ltu,2018,28.9
ltu,2019,42.4
ltu,2020,51.6
ltu,2021,50
ltu,2022,43.8
ltu,2023,
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,0
lux,2009,0
lux,2010,0
lux,2011,0
lux,2012,0
lux,2013,0
lux,2014,0
lux,2015,0
lux,2016,0
lux,2017,0
lux,2018,0
lux,2019,0
lux,2020,0
lux,2021,0
lux,2022,0
lux,2023,0
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,15.1
hun,2009,13.5
hun,2010,15
hun,2011,13.4
hun,2012,12.3
hun,2013,15.2
hun,2014,15.1
hun,2015,15.3
hun,2016,14.8
hun,2017,15.1
hun,2018,17
hun,2019,18
hun,2020,17.1
hun,2021,19.1
hun,2022,19.5
hun,2023,24.4
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,7.9
mlt,2009,19.7
mlt,2010,24.3
mlt,2011,14.8
mlt,2012,23.3
mlt,2013,24.2
mlt,2014,29.2
mlt,2015,31.8
mlt,2016,42.1
mlt,2017,18.7
mlt,2018,26.2
mlt,2019,4.4
mlt,2020,49.6
mlt,2021,87.4
mlt,2022,87.7
mlt,2023,-55.2
mlt,2024,-10.2
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,343
nld,2009,265
nld,2010,294
nld,2011,278
nld,2012,283
nld,2013,231
nld,2014,247
nld,2015,309
nld,2016,379
nld,2017,391
nld,2018,381
nld,2019,342
nld,2020,326
nld,2021,343
nld,2022,332
nld,2023,220
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,11.2
aut,2009,12.6
aut,2010,13.8
aut,2011,16.6
aut,2012,20.5
aut,2013,22.6
aut,2014,22.2
aut,2015,23.1
aut,2016,27.4
aut,2017,27.9
aut,2018,29.1
aut,2019,32.1
aut,2020,35.7
aut,2021,33.9
aut,2022,37.5
aut,2023,37.5
aut,2024,
pol,2000,
pol,2001,
pol,2002,
pol,2003,
pol,2004,
pol,2005,
pol,2006,
pol,2007,
pol,2008,47.3
pol,2009,47.4
pol,2010,55.6
pol,2011,51.4
pol,2012,59.3
pol,2013,57.7
pol,2014,60.2
pol,2015,79.6
pol,2016,93.1
pol,2017,85
pol,2018,77.9
pol,2019,82.6
pol,2020,93
pol,2021,99
pol,2022,91.3
pol,2023,
pol,2024,
prt,2000,
prt,2001,
prt,2002,
prt,2003,
prt,2004,
prt,2005,
prt,2006,
prt,2007,
prt,2008,289.7
prt,2009,265.5
prt,2010,281.2
prt,2011,287
prt,2012,290.8
prt,2013,283.8
prt,2014,274.8
prt,2015,269.9
prt,2016,305.4
prt,2017,334.4
prt,2018,342.1
prt,2019,375.6
prt,2020,334.5
prt,2021,421.8
prt,2022,479.1
prt,2023,
prt,2024,
rou,2000,
rou,2001,
rou,2002,
rou,2003,
rou,2004,
rou,2005,
rou,2006,
rou,2007,
rou,2008,12
rou,2009,23.9
rou,2010,38.8
rou,2011,60.2
rou,2012,39.6
rou,2013,66
rou,2014,103.7
rou,2015,156.6
rou,2016,189.4
rou,2017,190.5
rou,2018,220.9
rou,2019,238.7
rou,2020,304.3
rou,2021,180.1
rou,2022,201.4
rou,2023,229.6
rou,2024,
svn,2000,
svn,2001,
svn,2002,
svn,2003,
svn,2004,
svn,2005,
svn,2006,
svn,2007,
svn,2008,2.6
svn,2009,4
svn,2010,4.2
svn,2011,4.1
svn,2012,4.2
svn,2013,4.7
svn,2014,4.4
svn,2015,4.9
svn,2016,4.2
svn,2017,5.1
svn,2018,4.5
svn,2019,5.5
svn,2020,4.5
svn,2021,5.2
svn,2022,4.7
svn,2023,4.2
svn,2024,
svk,2000,
svk,2001,
svk,2002,
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,4.6
svk,2009,1.4
svk,2010,1.5
svk,2011,2
svk,2012,3.2
svk,2013,11.6
svk,2014,38.3
svk,2015,37.2
svk,2016,23.7
svk,2017,14.3
svk,2018,4.2
svk,2019,4.8
svk,2020,3.8
svk,2021,3.9
svk,2022,3.8
svk,2023,5.4
svk,2024,
fin,2000,
fin,2001,
fin,2002,
fin,2003,
fin,2004,
fin,2005,
fin,2006,
fin,2007,
fin,2008,106
fin,2009,107
fin,2010,114
fin,2011,124
fin,2012,113
fin,2013,119
fin,2014,120
fin,2015,111
fin,2016,117
fin,2017,130
fin,2018,119
fin,2019,115
fin,2020,126
fin,2021,135
fin,2022,163
fin,2023,168
fin,2024,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,74.2
swe,2009,68.7
swe,2010,98.7
swe,2011,121.3
swe,2012,107
swe,2013,113.4
swe,2014,99.6
swe,2015,122.9
swe,2016,130.5
swe,2017,135.8
swe,2018,126.9
swe,2019,115.2
swe,2020,111
swe,2021,90.1
swe,2022,91.8
swe,2023,
swe,2024,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,421.7
isl,2009,437.7
isl,2010,555.4
isl,2011,592.7
isl,2012,636.8
isl,2013,579.4
isl,2014,578.9
isl,2015,685.1
isl,2016,689.4
isl,2017,638.4
isl,2018,675.8
isl,2019,788.3
isl,2020,713.4
isl,2021,782.6
isl,2022,959.6
isl,2023,896.9
isl,2024,
lie,2000,
lie,2001,
lie,2002,
lie,2003,
lie,2004,
lie,2005,
lie,2006,
lie,2007,
lie,2008,
lie,2009,
lie,2010,
lie,2011,
lie,2012,
lie,2013,
lie,2014,
lie,2015,
lie,2016,
lie,2017,
lie,2018,
lie,2019,
lie,2020,
lie,2021,
lie,2022,
lie,2023,
lie,2024,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
