country,year,foradl_lop_tillv_dollar
aus,2000,
aus,2001,
aus,2002,
aus,2003,
aus,2004,
aus,2005,
aus,2006,
aus,2007,
aus,2008,89380.084
aus,2009,81257.143
aus,2010,95833.684
aus,2011,109077.89
aus,2012,105115.854
aus,2013,98242.678
aus,2014,92122.212
aus,2015,75706.361
aus,2016,75692.047
aus,2017,81385.202
aus,2018,81277.654
aus,2019,77262.075
aus,2020,79131.634
aus,2021,94090.082
aus,2022,95502.805
aus,2023,97514.53
aus,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,76797.113
aut,2009,67162.767
aut,2010,66327.732
aut,2011,73542.777
aut,2012,70190.829
aut,2013,72972.524
aut,2014,75373.654
aut,2015,65444.863
aut,2016,69557.569
aut,2017,72374.343
aut,2018,78392.305
aut,2019,75760.328
aut,2020,72098.388
aut,2021,81574.157
aut,2022,76195.034
aut,2023,81214.734
aut,2024,80140.459
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,72388.378
bel,2009,62285.962
bel,2010,63221.837
bel,2011,68271.647
bel,2012,62907.75
bel,2013,66373.629
bel,2014,67699.204
bel,2015,57942.868
bel,2016,58090.718
bel,2017,62342.247
bel,2018,66982.913
bel,2019,66625.19
bel,2020,63626.948
bel,2021,64310.085
bel,2022,72172.689
bel,2023,72566.749
bel,2024,70932.072
bra,2000,
bra,2001,
bra,2002,
bra,2003,
bra,2004,
bra,2005,
bra,2006,
bra,2007,
bra,2008,236659.62
bra,2009,217700.75
bra,2010,281005.283
bra,2011,308282.601
bra,2012,263186.35
bra,2013,259141.882
bra,2014,253883.636
bra,2015,189609.597
bra,2016,193691.576
bra,2017,221073.928
bra,2018,201823.548
bra,2019,193557.509
bra,2020,157839.143
bra,2021,198880.106
bra,2022,255196.085
bra,2023,
bra,2024,
can,2000,
can,2001,
can,2002,
can,2003,
can,2004,
can,2005,
can,2006,
can,2007,
can,2008,164782.266
can,2009,138493.295
can,2010,162173.512
can,2011,178532.771
can,2012,183205.382
can,2013,177060.853
can,2014,170212.707
can,2015,155268.331
can,2016,151699.381
can,2017,159724.381
can,2018,170219.13
can,2019,162160.142
can,2020,149267.868
can,2021,187161.913
can,2022,
can,2023,
can,2024,
chl,2000,
chl,2001,
chl,2002,
chl,2003,
chl,2004,
chl,2005,
chl,2006,
chl,2007,
chl,2008,17919.638
chl,2009,17588.925
chl,2010,21465.592
chl,2011,24894.006
chl,2012,26257.331
chl,2013,27682.452
chl,2014,25734.202
chl,2015,25216.899
chl,2016,24196.745
chl,2017,25317.364
chl,2018,28371.102
chl,2019,24950.194
chl,2020,22839.778
chl,2021,26910.256
chl,2022,28542.632
chl,2023,31559.957
chl,2024,29758.618
col,2000,
col,2001,
col,2002,
col,2003,
col,2004,
col,2005,
col,2006,
col,2007,
col,2008,37281.87
col,2009,34359.037
col,2010,40015.324
col,2011,44274.492
col,2012,48520.82
col,2013,48382.065
col,2014,46775.656
col,2015,36395.677
col,2016,34768.293
col,2017,35582.743
col,2018,37269.294
col,2019,35296.568
col,2020,29001.625
col,2021,35672.086
col,2022,38529.962
col,2023,39812.25
col,2024,
cri,2000,
cri,2001,
cri,2002,
cri,2003,
cri,2004,
cri,2005,
cri,2006,
cri,2007,
cri,2008,4661.615
cri,2009,4351.441
cri,2010,5488.991
cri,2011,6113.404
cri,2012,6554.756
cri,2013,6543.279
cri,2014,6391.725
cri,2015,6551.26
cri,2016,6829.294
cri,2017,7100.954
cri,2018,7443.187
cri,2019,7760.039
cri,2020,7980.927
cri,2021,8921.314
cri,2022,9749.545
cri,2023,11779.971
cri,2024,12361.207
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,51853.754
cze,2009,42105.964
cze,2010,43708.193
cze,2011,50600.43
cze,2012,45677.436
cze,2013,46357.79
cze,2014,49499.121
cze,2015,44882.728
cze,2016,47085.144
cze,2017,51363.872
cze,2018,56209.511
cze,2019,56820.024
cze,2020,52222.833
cze,2021,57149.897
cze,2022,58540.352
cze,2023,68697.327
cze,2024,69130.875
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,41918.493
dnk,2009,36007.208
dnk,2010,35060.798
dnk,2011,37774.325
dnk,2012,36628.753
dnk,2013,40665.956
dnk,2014,41737.946
dnk,2015,37673.196
dnk,2016,40396.86
dnk,2017,43157.621
dnk,2018,46203.514
dnk,2019,46292.183
dnk,2020,45652.741
dnk,2021,52026.487
dnk,2022,51588.648
dnk,2023,64967.849
dnk,2024,72218.061
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,3341.838
est,2009,2413.983
est,2010,2685.879
est,2011,3391.318
est,2012,3224.671
est,2013,3449.634
est,2014,3777.27
est,2015,3183.174
est,2016,3342.873
est,2017,3664.671
est,2018,4125.71
est,2019,4105.442
est,2020,4006.804
est,2021,4853.832
est,2022,4664.662
est,2023,4919.463
est,2024,4833.559
eu,2000,
eu,2001,
eu,2002,
eu,2003,
eu,2004,
eu,2005,
eu,2006,
eu,2007,
eu,2008,2483253.904
eu,2009,2044336.055
eu,2010,2106587.626
eu,2011,2335614.783
eu,2012,2137118.932
eu,2013,2210326.432
eu,2014,2302049.153
eu,2015,2075034.483
eu,2016,2136420.995
eu,2017,2264338.712
eu,2018,2429514.927
eu,2019,2353553.138
eu,2020,2261851.668
eu,2021,2588106.024
eu,2022,2531092.481
eu,2023,2727226.834
eu,2024,2734455.83
fin,2000,
fin,2001,
fin,2002,
fin,2003,
fin,2004,
fin,2005,
fin,2006,
fin,2007,
fin,2008,59397.93
fin,2009,42254.933
fin,2010,42501.151
fin,2011,44997.737
fin,2012,37574.929
fin,2013,39576.589
fin,2014,39934.734
fin,2015,34611.255
fin,2016,35213.909
fin,2017,39027.096
fin,2018,40505.559
fin,2019,39283.48
fin,2020,39212.735
fin,2021,43957.726
fin,2022,44154.329
fin,2023,42681.998
fin,2024,41543.927
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,323937.863
fra,2009,284093.189
fra,2010,271967.195
fra,2011,296033.387
fra,2012,274929.872
fra,2013,288742.291
fra,2014,291316.708
fra,2015,252062.134
fra,2016,251122.666
fra,2017,259147.054
fra,2018,274992.343
fra,2019,269854.704
fra,2020,244818.428
fra,2021,269821.622
fra,2022,266875.801
fra,2023,296996.811
fra,2024,298284.25
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,752373.785
deu,2009,603844.549
deu,2010,673958.559
deu,2011,770099.244
deu,2012,721634.962
