country,year,brutto_fast
aus,2000,852249.97
aus,2001,886166.01
aus,2002,913555.29
aus,2003,952146.47
aus,2004,982178.75
aus,2005,1009241.17
aus,2006,1047323.1
aus,2007,1084882.9
aus,2008,1105414.9
aus,2009,1129954.91
aus,2010,1157153.82
aus,2011,1202476.17
aus,2012,1233766.93
aus,2013,1265786.68
aus,2014,1293509.56
aus,2015,1329202.49
aus,2016,1359502.87
aus,2017,1398635.75
aus,2018,1429007.76
aus,2019,1427298.79
aus,2020,1457431.47
aus,2021,1519261.33
aus,2022,1571554.2
aus,2023,1594044.91
aus,2024,
aut,2000,420802.35
aut,2001,426134.62
aut,2002,433172.46
aut,2003,437250.66
aut,2004,449209.99
aut,2005,459290.55
aut,2006,475154.64
aut,2007,492865.63
aut,2008,500063.56
aut,2009,481238.27
aut,2010,490079.07
aut,2011,504403.08
aut,2012,507835.27
aut,2013,507964.8
aut,2014,511323.82
aut,2015,516511.22
aut,2016,526786.88
aut,2017,538684.74
aut,2018,551749.93
aut,2019,559753.22
aut,2020,522624.84
aut,2021,544772.98
aut,2022,570957.12
aut,2023,566224.93
aut,2024,
bel,2000,501551.07
bel,2001,507066.22
bel,2002,515721.26
bel,2003,521074.35
bel,2004,539682.99
bel,2005,552213.01
bel,2006,566307.42
bel,2007,587129.86
bel,2008,589753.92
bel,2009,577836.5
bel,2010,594387.43
bel,2011,604459.41
bel,2012,608927.68
bel,2013,611724.13
bel,2014,621380.4
bel,2015,634065.63
bel,2016,642097.24
bel,2017,652496.53
bel,2018,664195.43
bel,2019,679078.97
bel,2020,643057.4
bel,2021,687608.3
bel,2022,708337.79
bel,2023,718006.99
bel,2024,
can,2000,1334100.5
can,2001,1359116.29
can,2002,1399879.76
can,2003,1425167.34
can,2004,1469238.63
can,2005,1516407.68
can,2006,1556409.85
can,2007,1588314.46
can,2008,1604124.86
can,2009,1557363.1
can,2010,1605498.4
can,2011,1655865.85
can,2012,1684937.53
can,2013,1724125.4
can,2014,1773668.04
can,2015,1785196.62
can,2016,1803736.57
can,2017,1858458.79
can,2018,1909435.52
can,2019,1945875.66
can,2020,1847838.33
can,2021,1957794.05
can,2022,2039807.37
can,2023,2070990.62
can,2024,
chl,2000,261108.75
chl,2001,268656.6
chl,2002,277141.5
chl,2003,289249.93
chl,2004,312493.14
chl,2005,332051.1
chl,2006,352437.6
chl,2007,370602.76
chl,2008,384822.39
chl,2009,378802.85
chl,2010,400940.76
chl,2011,425441.93
chl,2012,448069.6
chl,2013,466194.04
chl,2014,474551.26
chl,2015,484763.33
chl,2016,493261.42
chl,2017,499958.41
chl,2018,519906.89
chl,2019,523205.01
chl,2020,491062.05
chl,2021,546718.81
chl,2022,557974.33
chl,2023,559195.07
chl,2024,
col,2000,414059.37
col,2001,421006.99
col,2002,431548.44
col,2003,448458.69
col,2004,472374.73
col,2005,494607.32
col,2006,527829.48
col,2007,563395.62
col,2008,581894.45
col,2009,588525.94
col,2010,614978.23
col,2011,657706.26
col,2012,683439.87
col,2013,718527.67
col,2014,750854.41
col,2015,773048.92
col,2016,789185.44
col,2017,799913.31
col,2018,820425.66
col,2019,846571.46
col,2020,785737.56
col,2021,870606.61
col,2022,934064.12
col,2023,939765.88
col,2024,
cri,2000,54923.82
cri,2001,56841.3
cri,2002,58783.5
cri,2003,61321.29
cri,2004,64034.51
cri,2005,66580.95
cri,2006,71459.13
cri,2007,77329.59
cri,2008,80993.6
cri,2009,80286.16
cri,2010,84589.77
cri,2011,88314.4
cri,2012,92626.43
cri,2013,94937.24
cri,2014,98300.02
cri,2015,101890.02
cri,2016,106173.8
cri,2017,110588.19
cri,2018,113481.07
cri,2019,116224.49
cri,2020,111257.81
cri,2021,120086.96
cri,2022,125552.71
cri,2023,131970.87
cri,2024,
cze,2000,291152.48
cze,2001,300012.18
cze,2002,304721.94
cze,2003,315642.22
cze,2004,330838.07
cze,2005,352678.73
cze,2006,376544.26
cze,2007,397519.05
cze,2008,408198.05
cze,2009,389186.92
cze,2010,398663.23
cze,2011,405681.14
cze,2012,402496.53
cze,2013,402311.77
cze,2014,411412.47
cze,2015,433580.94
cze,2016,444582.12
cze,2017,467561.35
cze,2018,482617.24
cze,2019,497239.96
cze,2020,469877
cze,2021,486571.83
cze,2022,498011.15
cze,2023,496459.95
cze,2024,
dnk,2000,295416.77
dnk,2001,297848.5
dnk,2002,299237.5
dnk,2003,300404.7
dnk,2004,308420.16
dnk,2005,315626.83
dnk,2006,327977.33
dnk,2007,330959.43
dnk,2008,329264.87
dnk,2009,313109.32
dnk,2010,318967.57
dnk,2011,323231.46
dnk,2012,323963.58
dnk,2013,326987.26
dnk,2014,332282.47
dnk,2015,340066.49
dnk,2016,351104.91
dnk,2017,361012.16
dnk,2018,368194.63
dnk,2019,373693.57
dnk,2020,364633.32
dnk,2021,389590.73
dnk,2022,400231.13
dnk,2023,407793.94
dnk,2024,
est,2000,27733.65
est,2001,29398.69
est,2002,31389.38
est,2003,33775.06
est,2004,36073.12
est,2005,39509.6
est,2006,43367.94
est,2007,46654.86
est,2008,44260.53
est,2009,37785.63
est,2010,38709.21
est,2011,41520.7
est,2012,42861.07
est,2013,43486.17
est,2014,44795.69
est,2015,45625.77
est,2016,47065.52
est,2017,49791.57
est,2018,51675.79
est,2019,53760.23
est,2020,53241.22
est,2021,57100.85
est,2022,56837.61
est,2023,55129.31
est,2024,
fin,2000,233953.2
fin,2001,240059.43
fin,2002,244157.6
fin,2003,249049.99
fin,2004,258992.29
fin,2005,266191.89
fin,2006,276912.53
fin,2007,291587.06
fin,2008,293873.09
fin,2009,270144.46
fin,2010,278751.15
fin,2011,285852.79
fin,2012,281857.87
fin,2013,279316.37
fin,2014,278297.12
fin,2015,279810.11
fin,2016,287676.85
fin,2017,296860.67
fin,2018,300244.05
fin,2019,303921.28
fin,2020,296764.04
fin,2021,305186.74
fin,2022,309262.41
fin,2023,308729.05
fin,2024,
fra,2000,2828807.92
fra,2001,2884923.57
fra,2002,2917682.77
fra,2003,2941699.98
fra,2004,3024942.85
fra,2005,3075254.32
fra,2006,3150577.2
fra,2007,3226970.42
fra,2008,3235197.45
fra,2009,3142240.07
fra,2010,3203496.08
fra,2011,3273739.19
fra,2012,3283990.39
fra,2013,3302916.87
fra,2014,3334498.82
fra,2015,3371608.88
fra,2016,3408543.67
fra,2017,3486647.7
fra,2018,3551675.98
fra,2019,3617132.35
fra,2020,3344383.97
fra,2021,3559602.1
fra,2022,3646981.72
fra,2023,3672646.22
fra,2024,
deu,2000,3946664.85
deu,2001,4013026.76
deu,2002,4005082.05
deu,2003,3977041.74
deu,2004,4023775.54
deu,2005,4053217.76
deu,2006,4207906.49
deu,2007,4333152.92
deu,2008,4374745.97
deu,2009,4125655.03
deu,2010,4298102.6
deu,2011,4466811.4
deu,2012,4485504.96
deu,2013,4505133.11
deu,2014,4604675.97
deu,2015,4673374.57
deu,2016,4777590.83
deu,2017,4905641.33
deu,2018,4953777.05
deu,2019,5007053.5
deu,2020,4815445.17
deu,2021,4967797.18
deu,2022,5057525.97
deu,2023,5046426.13
deu,2024,
grc,2000,339045.68
grc,2001,353053.73
grc,2002,366903.58
grc,2003,388163.6
grc,2004,407808.87
grc,2005,410252.23
grc,2006,433441.46
grc,2007,447631.24
grc,2008,446130.9
grc,2009,426944
grc,2010,403556.82
grc,2011,362598.58
grc,2012,336902.32
grc,2013,328425.87
grc,2014,329988.17
grc,2015,329341.13
grc,2016,327736.66
grc,2017,331316.03
grc,2018,336843.8
grc,2019,343174.74
grc,2020,311203.07
grc,2021,337281.72
grc,2022,356025.43
grc,2023,363186.95
grc,2024,
hun,2000,222170.15
hun,2001,231221.55
hun,2002,242184.43
hun,2003,252051.63
hun,2004,264665.86
hun,2005,276031.35
hun,2006,286923.73
hun,2007,287719.57
hun,2008,290608.12
hun,2009,271434.18
hun,2010,274355.5
hun,2011,279477.27
hun,2012,275983.18
hun,2013,280957.83
hun,2014,292848.55
hun,2015,303705.38
hun,2016,310389.94
hun,2017,323649.72
hun,2018,341004.95
hun,2019,357592.2
hun,2020,341546.87
hun,2021,365664.25
hun,2022,382424.13
hun,2023,378952.92
hun,2024,
isl,2000,12570.53
isl,2001,13075.04
isl,2002,13148.2
isl,2003,13429.93
isl,2004,14477.78
isl,2005,15364.47
isl,2006,16335.04
isl,2007,17716.14
isl,2008,18107.58
isl,2009,16719.85
isl,2010,16246.21
isl,2011,16546.08
isl,2012,16722.07
isl,2013,17483.34
isl,2014,17778.32
isl,2015,18567.08
isl,2016,19737.5
isl,2017,20565.47
isl,2018,21570.95
isl,2019,21972.43
isl,2020,20447.44
isl,2021,21500.22
isl,2022,23409.72
isl,2023,24361.05
isl,2024,
irl,2000,194922.51
irl,2001,205264.75
irl,2002,217373.53
irl,2003,223924.72
irl,2004,239126.25
irl,2005,252851.03
irl,2006,265462.87
irl,2007,279559.26
irl,2008,267023.63
irl,2009,253416.68
irl,2010,257681.62
irl,2011,260981.88
irl,2012,260643.41
irl,2013,263704.96
irl,2014,286987.47
irl,2015,357228.37
irl,2016,363535.44
irl,2017,397385.18
irl,2018,431044.87
irl,2019,453880.46
irl,2020,483914.61
irl,2021,557107.76
irl,2022,609659.86
irl,2023,590158.14
irl,2024,
isr,2000,199162.39
isr,2001,199493.56
isr,2002,199251.01
isr,2003,202170.18
isr,2004,211630.32
isr,2005,220552.07
isr,2006,232860.99
isr,2007,246885.94
isr,2008,254998.33
isr,2009,257824.38
isr,2010,272348.11
isr,2011,287498.16
isr,2012,294804.67
isr,2013,307276.41
isr,2014,319215.02
isr,2015,326600.17
isr,2016,340863.57
isr,2017,355429.9
isr,2018,369911.61
isr,2019,383913.5
isr,2020,378291.18
isr,2021,413637.73
isr,2022,440401.79
isr,2023,
isr,2024,
ita,2000,2771952.44
ita,2001,2826043.5
ita,2002,2833220.08
ita,2003,2837147.68
ita,2004,2877537.14
ita,2005,2901071.07
ita,2006,2953018.76
ita,2007,2996932.31
ita,2008,2968101.44
ita,2009,2811357.89
ita,2010,2859524.73
ita,2011,2879751.13
ita,2012,2793908.46
ita,2013,2742470.76
ita,2014,2742346.04
ita,2015,2763689.85
ita,2016,2799437.16
ita,2017,2846127.82
ita,2018,2872477.58
ita,2019,2886357.34
ita,2020,2627330.09
ita,2021,2845667.54
ita,2022,2959092.91
ita,2023,2986337.05
ita,2024,
jpn,2000,
jpn,2001,4800398.26
jpn,2002,4823082.13
