country,year,foradl_lop_klader
cyp,2018,17.7
cyp,2019,18.7
cyp,2020,15.3
cyp,2021,16.8
cyp,2022,19.1
cyp,2023,
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,152.7
lva,2009,107.8
lva,2010,126.5
lva,2011,141.7
lva,2012,130.9
lva,2013,134.8
lva,2014,128
lva,2015,115.2
lva,2016,121.5
lva,2017,136.5
lva,2018,148.5
lva,2019,139.2
lva,2020,139.3
lva,2021,139.4
lva,2022,145.6
lva,2023,
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,396.4
ltu,2009,309.9
ltu,2010,369.9
ltu,2011,446
ltu,2012,469.4
ltu,2013,489.8
ltu,2014,522.2
ltu,2015,510.4
ltu,2016,533.6
ltu,2017,547.3
ltu,2018,526.2
ltu,2019,513
ltu,2020,467.1
ltu,2021,489
ltu,2022,541.3
ltu,2023,
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,129.9
lux,2009,112.2
lux,2010,173.6
lux,2011,168.9
lux,2012,141.3
lux,2013,145.2
lux,2014,138.5
lux,2015,185
lux,2016,224.1
lux,2017,235.8
lux,2018,234.2
lux,2019,263.8
lux,2020,290.2
lux,2021,289.1
lux,2022,299.3
lux,2023,313
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,509.5
hun,2009,419.7
hun,2010,420.5
hun,2011,462.4
hun,2012,444.1
hun,2013,450.2
hun,2014,455.3
hun,2015,454.2
hun,2016,474.7
hun,2017,502.4
hun,2018,518.7
hun,2019,528.8
hun,2020,440
hun,2021,457
hun,2022,459.2
hun,2023,573.8
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,27.5
mlt,2009,24.8
mlt,2010,28.3
mlt,2011,31.2
mlt,2012,30.3
mlt,2013,21.3
mlt,2014,17.6
mlt,2015,17.5
mlt,2016,16.4
mlt,2017,18.4
mlt,2018,19.7
mlt,2019,17.6
mlt,2020,16.8
mlt,2021,21.1
mlt,2022,21.1
mlt,2023,19
mlt,2024,18.3
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,1097
nld,2009,997
nld,2010,1003
nld,2011,1077
nld,2012,1055
nld,2013,1080
nld,2014,1084
nld,2015,1094
nld,2016,1132
nld,2017,1144
nld,2018,1152
nld,2019,1162
nld,2020,1160
nld,2021,1367
nld,2022,1272
nld,2023,1392
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,1131.4
aut,2009,1034.8
aut,2010,1111.4
aut,2011,1115.1
aut,2012,1038.4
aut,2013,1012.2
aut,2014,1043.7
aut,2015,1091.8
aut,2016,1038.5
aut,2017,925.6
aut,2018,992.4
aut,2019,981.4
aut,2020,905.5
aut,2021,899.9
aut,2022,929.6
aut,2023,964.7
aut,2024,
pol,2000,
pol,2001,
pol,2002,
pol,2003,
pol,2004,
pol,2005,
pol,2006,
pol,2007,
pol,2008,2640
pol,2009,2109.9
pol,2010,2142.1
pol,2011,2257
pol,2012,2344.5
pol,2013,2027.2
pol,2014,2371.7
pol,2015,2495.9
pol,2016,2672.6
pol,2017,2612.2
pol,2018,2612
pol,2019,2748.3
pol,2020,2637
pol,2021,3077.8
pol,2022,3013.4
pol,2023,
pol,2024,
prt,2000,
prt,2001,
prt,2002,
prt,2003,
prt,2004,
prt,2005,
prt,2006,
prt,2007,
prt,2008,3489
prt,2009,3317.9
prt,2010,3363.4
prt,2011,3384.3
prt,2012,3374.5
prt,2013,3563.5
prt,2014,3765.1
prt,2015,3940
prt,2016,4110.7
prt,2017,4159.1
prt,2018,4195.8
prt,2019,4047.3
prt,2020,3819.4
prt,2021,4066.8
prt,2022,4360.4
prt,2023,
prt,2024,
rou,2000,
rou,2001,
rou,2002,
rou,2003,
rou,2004,
rou,2005,
rou,2006,
rou,2007,
rou,2008,2903.9
rou,2009,2069.4
rou,2010,3202.8
rou,2011,4177.6
rou,2012,3075.9
rou,2013,3060.4
rou,2014,2955.6
rou,2015,3039.1
rou,2016,3060.9
rou,2017,3197.8
rou,2018,3174.4
rou,2019,3197.2
rou,2020,2803.4
rou,2021,2810.4
rou,2022,3266.3
rou,2023,3176
rou,2024,
svn,2000,
svn,2001,
svn,2002,
svn,2003,
svn,2004,
svn,2005,
svn,2006,
svn,2007,
svn,2008,365.8
svn,2009,289.8
svn,2010,245.3
svn,2011,265.3
svn,2012,250.3
svn,2013,230.7
svn,2014,252.4
svn,2015,235.4
svn,2016,250.4
svn,2017,269.2
svn,2018,275.2
svn,2019,272.6
svn,2020,236.6
svn,2021,251.4
svn,2022,261.5
svn,2023,297.5
svn,2024,
svk,2000,
svk,2001,
svk,2002,
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,453.1
svk,2009,395.3
svk,2010,643.7
svk,2011,579.8
svk,2012,577.6
svk,2013,553
svk,2014,645.2
svk,2015,647.2
svk,2016,592.6
svk,2017,526.8
svk,2018,648.5
svk,2019,623.8
svk,2020,567.2
svk,2021,540.5
svk,2022,595.2
svk,2023,593.2
svk,2024,
fin,2000,
fin,2001,
fin,2002,
fin,2003,
fin,2004,
fin,2005,
fin,2006,
fin,2007,
fin,2008,550
fin,2009,471
fin,2010,464
fin,2011,461
fin,2012,460
fin,2013,414
fin,2014,387
fin,2015,391
fin,2016,415
fin,2017,419
fin,2018,415
fin,2019,402
fin,2020,424
fin,2021,451
fin,2022,448
fin,2023,421
fin,2024,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,522.7
swe,2009,409.7
swe,2010,469.8
swe,2011,463.6
swe,2012,465.3
swe,2013,462.9
swe,2014,459.2
swe,2015,490.3
swe,2016,486.4
swe,2017,496.1
swe,2018,458.2
swe,2019,465.7
swe,2020,436.9
swe,2021,470.3
swe,2022,506.9
swe,2023,
swe,2024,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,11.9
isl,2009,14.9
isl,2010,16.6
isl,2011,18
isl,2012,18.1
isl,2013,18.8
isl,2014,21.8
isl,2015,21.5
isl,2016,21.5
isl,2017,22.7
isl,2018,23.5
isl,2019,23.7
isl,2020,20.3
isl,2021,25.4
isl,2022,28
isl,2023,30.5
isl,2024,
lie,2000,
lie,2001,
lie,2002,
