country,year,for_eg_fou_gruv
isr,2004,
isr,2005,
isr,2006,
isr,2007,
isr,2008,
isr,2009,
isr,2010,3483080
isr,2011,3295508
isr,2012,5789614
isr,2013,6617696
isr,2014,6183934
isr,2015,4645689
isr,2016,5329270
isr,2017,4056900
isr,2018,3704424
isr,2019,3091543
isr,2020,3362959
isr,2021,2742035
isr,2022,
isr,2023,
isr,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,224194581
ita,2009,213912024
ita,2010,96862350
ita,2011,82642776
ita,2012,83318708
ita,2013,79886144
ita,2014,71979260
ita,2015,62678224
ita,2016,87994501
ita,2017,105924826
ita,2018,110042493
ita,2019,117442042
ita,2020,12201641
ita,2021,114409897
ita,2022,29872856
ita,2023,
ita,2024,
jpn,2000,
jpn,2001,
jpn,2002,
jpn,2003,
jpn,2004,
jpn,2005,
jpn,2006,
jpn,2007,
jpn,2008,109041134
jpn,2009,136322913
jpn,2010,89526803
jpn,2011,30310565
jpn,2012,28990935
jpn,2013,43068953
jpn,2014,36554334
jpn,2015,39538246
jpn,2016,38305715
jpn,2017,33443734
jpn,2018,34543463
jpn,2019,32364149
jpn,2020,25262540
jpn,2021,21045586
jpn,2022,76472970
jpn,2023,
jpn,2024,
korea,2000,
korea,2001,
korea,2002,
korea,2003,
korea,2004,
korea,2005,
korea,2006,
korea,2007,
korea,2008,7785237
korea,2009,17390919
korea,2010,22341481
korea,2011,25651025
korea,2012,41094307
korea,2013,29107745
korea,2014,23247516
korea,2015,27327643
korea,2016,22897972
korea,2017,13797454
korea,2018,18836751
korea,2019,9961680
korea,2020,8518625
korea,2021,8440972
korea,2022,9776281
korea,2023,
korea,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,0
ltu,2009,0
ltu,2010,64380
ltu,2011,256683
ltu,2012,214291
ltu,2013,223302
ltu,2014,65518
ltu,2015,0
ltu,2016,0
ltu,2017,0
ltu,2018,0
ltu,2019,0
ltu,2020,166108
ltu,2021,112776
ltu,2022,743051
ltu,2023,
ltu,2024,
mex,2000,
mex,2001,
mex,2002,
mex,2003,
mex,2004,
mex,2005,
mex,2006,
mex,2007,
mex,2008,80488693
mex,2009,93084371
mex,2010,33352952
mex,2011,46888966
mex,2012,4638676
mex,2013,19582442
mex,2014,6128409
mex,2015,18062599
mex,2016,11453056
mex,2017,10142595
mex,2018,
mex,2019,
mex,2020,
mex,2021,
mex,2022,
mex,2023,
mex,2024,
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,
nld,2009,
nld,2010,
nld,2011,
nld,2012,
nld,2013,5011489
nld,2014,7418415
nld,2015,7407607
nld,2016,8800077
nld,2017,34520230
nld,2018,33472952
nld,2019,31277327
nld,2020,38778967
nld,2021,35445768
nld,2022,
nld,2023,
nld,2024,
nzl,2000,
nzl,2001,
nzl,2002,
nzl,2003,
nzl,2004,
nzl,2005,
nzl,2006,
nzl,2007,
nzl,2008,4361813
nzl,2009,4463804
nzl,2010,5844972
nzl,2011,7571094
nzl,2012,6399055
nzl,2013,5726223
nzl,2014,5893819
nzl,2015,5845681
nzl,2016,6196497
nzl,2017,6289487
nzl,2018,6122201
nzl,2019,1392116
nzl,2020,702767
nzl,2021,2747718
nzl,2022,
nzl,2023,
nzl,2024,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,141727077
nor,2009,133539854
nor,2010,141825288
nor,2011,135003378
nor,2012,177667902
nor,2013,229595740
nor,2014,210034908
nor,2015,176984359
nor,2016,187364937
nor,2017,177562067
nor,2018,200083493
nor,2019,214140642
nor,2020,194768142
nor,2021,226574682
nor,2022,256821196
nor,2023,
nor,2024,
pol,2000,
pol,2001,
pol,2002,
pol,2003,
pol,2004,
pol,2005,
pol,2006,
pol,2007,
pol,2008,434253
pol,2009,508236
pol,2010,609375
pol,2011,
pol,2012,
pol,2013,
pol,2014,
pol,2015,
pol,2016,
pol,2017,7286792
pol,2018,9103645
pol,2019,12194864
pol,2020,8956734
pol,2021,58752398
pol,2022,49494033
pol,2023,
pol,2024,
prt,2000,
prt,2001,
prt,2002,
prt,2003,
prt,2004,
prt,2005,
prt,2006,
prt,2007,
prt,2008,7943275
prt,2009,4848348
prt,2010,4852302
prt,2011,6376362
prt,2012,4409467
prt,2013,6530477
prt,2014,5915403
prt,2015,12378907
prt,2016,9115951
prt,2017,14007910
prt,2018,16825185
prt,2019,16993311
prt,2020,23063121
prt,2021,28726132
prt,2022,22903027
prt,2023,
prt,2024,
svk,2000,
svk,2001,
svk,2002,
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,0
svk,2009,0
svk,2010,0
svk,2011,0
svk,2012,0
svk,2013,0
svk,2014,0
svk,2015,0
svk,2016,0
svk,2017,0
svk,2018,0
svk,2019,0
svk,2020,0
svk,2021,
svk,2022,
svk,2023,
svk,2024,
svn,2000,
svn,2001,
svn,2002,
svn,2003,
svn,2004,
svn,2005,
svn,2006,
svn,2007,
svn,2008,5445026
svn,2009,8449350
svn,2010,8324948
svn,2011,9200597
svn,2012,7368242
svn,2013,7801401
svn,2014,5762487
svn,2015,5105009
svn,2016,6756125
svn,2017,3954877
svn,2018,3720854
svn,2019,3585133
svn,2020,2840913
svn,2021,4858488
svn,2022,3390286
svn,2023,
svn,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,28078336
esp,2009,23407487
esp,2010,25672235
esp,2011,27383007
esp,2012,24104429
esp,2013,20462356
esp,2014,18400909
esp,2015,19755091
esp,2016,21562470
esp,2017,26667648
esp,2018,28490131
esp,2019,31450153
esp,2020,32403629
esp,2021,34335521
esp,2022,45329178
esp,2023,
esp,2024,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,18122131
swe,2009,16634231
swe,2010,16731819
swe,2011,18882770
swe,2012,18955707
swe,2013,19687754
swe,2014,17031476
swe,2015,17579417
swe,2016,17940471
swe,2017,19429174
swe,2018,19520690
swe,2019,21357949
swe,2020,26509834
swe,2021,32486059
swe,2022,
swe,2023,
swe,2024,
tur,2000,
tur,2001,
tur,2002,
tur,2003,
tur,2004,
tur,2005,
tur,2006,
tur,2007,
tur,2008,10241851
tur,2009,12978905
tur,2010,14421454
tur,2011,19822212
tur,2012,17079565
tur,2013,30591689
tur,2014,18154949
tur,2015,40608971
tur,2016,39460886
tur,2017,37151539
tur,2018,41875284
tur,2019,61714357
tur,2020,47759976
tur,2021,59090364
tur,2022,136102253
tur,2023,
tur,2024,
gbr,2000,
gbr,2001,
gbr,2002,
gbr,2003,
gbr,2004,
gbr,2005,
gbr,2006,
gbr,2007,
gbr,2008,
gbr,2009,
gbr,2010,
gbr,2011,
gbr,2012,
gbr,2013,
gbr,2014,
gbr,2015,
gbr,2016,
gbr,2017,
gbr,2018,
gbr,2019,
gbr,2020,
gbr,2021,
gbr,2022,293540434
gbr,2023,
gbr,2024,
usa,2000,
usa,2001,
usa,2002,
usa,2003,
usa,2004,
usa,2005,
usa,2006,
usa,2007,
usa,2008,1.502e+09
usa,2009,2706732090
usa,2010,2.542e+09
usa,2011,2.733e+09
usa,2012,2.815e+09
usa,2013,3.997e+09
usa,2014,4.703e+09
usa,2015,5.207e+09
usa,2016,3.609e+09
usa,2017,3458500000
usa,2018,2.205e+09
usa,2019,3.066e+09
usa,2020,1.26e+09
usa,2021,1580500000
usa,2022,1.23e+09
usa,2023,
usa,2024,
arg,2000,
arg,2001,
arg,2002,
arg,2003,
arg,2004,
arg,2005,
arg,2006,
arg,2007,
arg,2008,
arg,2009,
arg,2010,
arg,2011,
arg,2012,
arg,2013,
arg,2014,
arg,2015,7401151
arg,2016,8962489
arg,2017,35448098
arg,2018,42674869
arg,2019,16306745
arg,2020,12164074
arg,2021,9560491
arg,2022,15759337
arg,2023,
arg,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,0
bgr,2009,0
bgr,2010,0
bgr,2011,0
bgr,2012,0
bgr,2013,0
bgr,2014,3997834
bgr,2015,11678247
bgr,2016,3625526
bgr,2017,1409184
bgr,2018,786653
bgr,2019,2783354
bgr,2020,2172699
bgr,2021,2230907
bgr,2022,3533848
bgr,2023,
bgr,2024,
chn,2000,
chn,2001,
chn,2002,
chn,2003,
chn,2004,
chn,2005,
chn,2006,
chn,2007,
chn,2008,3464616531
chn,2009,5402276798
chn,2010,6500309047
chn,2011,7167740521
chn,2012,7910545369
chn,2013,7563409433
chn,2014,7445939307
chn,2015,6542106118
chn,2016,6312662784
chn,2017,6348388182
chn,2018,7188201800
chn,2019,6326854233
chn,2020,6509947168
chn,2021,8268661435
chn,2022,12284003483
chn,2023,
chn,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,
hrv,2009,9804
hrv,2010,0
hrv,2011,4890979
hrv,2012,0
hrv,2013,6362529
hrv,2014,5930218
hrv,2015,2511951
hrv,2016,0
hrv,2017,0
hrv,2018,0
hrv,2019,0
hrv,2020,0
hrv,2021,0
hrv,2022,
hrv,2023,
hrv,2024,
rou,2000,
rou,2001,
rou,2002,
rou,2003,
rou,2004,
rou,2005,
rou,2006,
rou,2007,
rou,2008,13141797
rou,2009,12123298
rou,2010,818708
rou,2011,0
rou,2012,127911
rou,2013,465382
rou,2014,17897254
rou,2015,20762947
rou,2016,13606192
rou,2017,14359464
rou,2018,15064983
rou,2019,16509259
rou,2020,15378716
rou,2021,54665278
rou,2022,41575254
rou,2023,
rou,2024,
sgp,2000,
sgp,2001,
sgp,2002,
sgp,2003,
sgp,2004,
sgp,2005,
sgp,2006,
sgp,2007,
sgp,2008,0
sgp,2009,0
sgp,2010,0
sgp,2011,0
sgp,2012,0
sgp,2013,0
sgp,2014,
sgp,2015,
sgp,2016,
sgp,2017,
sgp,2018,
sgp,2019,
sgp,2020,
sgp,2021,
sgp,2022,
sgp,2023,
sgp,2024,
