country,year,loner_lop_ovr_mobel
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,80.1
lva,2009,59.8
lva,2010,52.6
lva,2011,53.8
lva,2012,57.8
lva,2013,66.2
lva,2014,72.3
lva,2015,79.3
lva,2016,88.7
lva,2017,94.8
lva,2018,104.3
lva,2019,111.6
lva,2020,116.9
lva,2021,147.3
lva,2022,158.3
lva,2023,
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,292.9
ltu,2009,216.9
ltu,2010,235
ltu,2011,291.1
ltu,2012,332.8
ltu,2013,352.1
ltu,2014,392
ltu,2015,426
ltu,2016,470
ltu,2017,519.2
ltu,2018,586.7
ltu,2019,649.8
ltu,2020,678.2
ltu,2021,790.6
ltu,2022,866.2
ltu,2023,
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,
lux,2009,
lux,2010,
lux,2011,
lux,2012,
lux,2013,
lux,2014,
lux,2015,
lux,2016,
lux,2017,
lux,2018,
lux,2019,
lux,2020,
lux,2021,
lux,2022,
lux,2023,
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,351.5
hun,2009,312.9
hun,2010,346
hun,2011,374.6
hun,2012,384.1
hun,2013,366.8
hun,2014,372.5
hun,2015,419
hun,2016,456.2
hun,2017,506.8
hun,2018,469.5
hun,2019,527.6
hun,2020,516.9
hun,2021,576.2
hun,2022,607.1
hun,2023,712.3
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,59.1
mlt,2009,50.9
mlt,2010,51.2
mlt,2011,
mlt,2012,
mlt,2013,
mlt,2014,
mlt,2015,60.1
mlt,2016,63.7
mlt,2017,69.8
mlt,2018,
mlt,2019,74.9
mlt,2020,69
mlt,2021,70.5
mlt,2022,73.5
mlt,2023,78.9
mlt,2024,89.5
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,1474
nld,2009,1409
nld,2010,1400
nld,2011,1364
nld,2012,1373
nld,2013,1321
nld,2014,1323
nld,2015,1319
nld,2016,1395
nld,2017,1479
nld,2018,1561
nld,2019,1649
nld,2020,1694
nld,2021,1803
nld,2022,1982
nld,2023,2046
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,1538.3
aut,2009,1510.5
aut,2010,1507.4
aut,2011,1544.2
aut,2012,1560.5
aut,2013,1576.9
aut,2014,1588.1
aut,2015,1605.5
aut,2016,1627.2
aut,2017,1703
aut,2018,1742.3
aut,2019,1789.9
aut,2020,1766.1
aut,2021,1807.9
aut,2022,1918.5
aut,2023,2015.7
aut,2024,
pol,2000,
pol,2001,
pol,2002,
pol,2003,
pol,2004,
pol,2005,
pol,2006,
pol,2007,
pol,2008,1872.1
pol,2009,1506.6
pol,2010,1658.2
pol,2011,1733.7
pol,2012,1687.1
pol,2013,1771.3
pol,2014,2041.9
pol,2015,2204.1
pol,2016,2365.9
pol,2017,2700.7
pol,2018,3013.5
pol,2019,3287.6
pol,2020,3250.1
pol,2021,3557.1
pol,2022,3649.7
pol,2023,
pol,2024,
prt,2000,
prt,2001,
prt,2002,
prt,2003,
prt,2004,
prt,2005,
prt,2006,
prt,2007,
prt,2008,603.9
prt,2009,582.3
prt,2010,604.7
prt,2011,594.6
prt,2012,550.9
prt,2013,531
prt,2014,558
prt,2015,584.8
prt,2016,628.4
prt,2017,693
prt,2018,746.3
prt,2019,778.5
prt,2020,783.3
prt,2021,874.4
prt,2022,964.6
prt,2023,
prt,2024,
rou,2000,
rou,2001,
rou,2002,
rou,2003,
rou,2004,
rou,2005,
rou,2006,
rou,2007,
rou,2008,897.9
rou,2009,371
rou,2010,371.5
rou,2011,397.5
rou,2012,390.8
rou,2013,509.8
rou,2014,538
rou,2015,576.7
rou,2016,707.5
rou,2017,809.3
rou,2018,865.1
rou,2019,913.2
rou,2020,893.2
rou,2021,959.6
rou,2022,1080.5
rou,2023,1271.6
rou,2024,
svn,2000,
svn,2001,
svn,2002,
svn,2003,
svn,2004,
svn,2005,
svn,2006,
svn,2007,
svn,2008,231.5
svn,2009,205.1
svn,2010,202.9
svn,2011,193.8
svn,2012,168.7
svn,2013,161.9
svn,2014,159.3
svn,2015,181.6
svn,2016,196.6
svn,2017,211.2
svn,2018,229
svn,2019,241.8
svn,2020,246.1
svn,2021,250.7
svn,2022,278.2
svn,2023,304.8
svn,2024,
svk,2000,
svk,2001,
svk,2002,
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,236.5
svk,2009,234.4
svk,2010,244.6
svk,2011,248.4
svk,2012,261.9
svk,2013,252.1
svk,2014,277.9
svk,2015,303.2
svk,2016,306.1
svk,2017,328.5
svk,2018,348.5
svk,2019,366
svk,2020,355.1
svk,2021,370.9
svk,2022,394.7
svk,2023,410.9
svk,2024,
fin,2000,
fin,2001,
fin,2002,
fin,2003,
fin,2004,
fin,2005,
fin,2006,
fin,2007,
fin,2008,523
fin,2009,472
fin,2010,461
fin,2011,481
fin,2012,478
fin,2013,462
fin,2014,445
fin,2015,442
fin,2016,444
fin,2017,454
fin,2018,466
fin,2019,478
fin,2020,454
fin,2021,501
fin,2022,529
fin,2023,526
fin,2024,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,1213.4
swe,2009,1088.5
swe,2010,1214.6
swe,2011,1321.2
swe,2012,1339
swe,2013,1296.9
swe,2014,1262.6
swe,2015,1212.9
swe,2016,1216.1
swe,2017,1147
swe,2018,1112.9
swe,2019,1108.2
swe,2020,1105.5
swe,2021,1169.9
swe,2022,1100.6
swe,2023,
swe,2024,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,32.7
isl,2009,25.7
isl,2010,30.6
isl,2011,33.6
isl,2012,37.7
isl,2013,41.8
isl,2014,46.5
isl,2015,56.5
isl,2016,67.7
isl,2017,82.5
isl,2018,82.9
isl,2019,84.6
isl,2020,98.6
isl,2021,116.6
isl,2022,130.2
isl,2023,120.4
isl,2024,
lie,2000,
lie,2001,
lie,2002,
lie,2003,
lie,2004,
lie,2005,
lie,2006,
lie,2007,
lie,2008,
lie,2009,
lie,2010,
lie,2011,
lie,2012,
lie,2013,
lie,2014,
lie,2015,
lie,2016,
lie,2017,
lie,2018,
lie,2019,
lie,2020,
lie,2021,
lie,2022,
lie,2023,
lie,2024,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,584.4
nor,2009,506.1
nor,2010,528.1
nor,2011,526.3
nor,2012,568.7
nor,2013,533.9
nor,2014,494.8
nor,2015,467.1
nor,2016,458.3
nor,2017,479.3
nor,2018,476.1
nor,2019,482.6
nor,2020,433.6
nor,2021,510.2
nor,2022,556.5
nor,2023,
nor,2024,
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,
che,2009,
che,2010,
che,2011,2308.6
che,2012,2415.6
che,2013,2302.4
che,2014,2345.4
che,2015,2695.3
che,2016,2674.2
che,2017,2622.4
che,2018,2586.9
che,2019,2818.1
che,2020,2797.4
che,2021,2922.7
che,2022,3362.2
che,2023,
che,2024,
gbr,2000,
gbr,2001,
gbr,2002,
gbr,2003,
gbr,2004,
gbr,2005,
gbr,2006,
gbr,2007,
gbr,2008,6922.2
gbr,2009,5731
gbr,2010,6298.4
gbr,2011,6003.1
gbr,2012,6399.3
gbr,2013,6386.7
gbr,2014,7026.2
gbr,2015,7990.7
gbr,2016,7061.8
gbr,2017,7016.3
gbr,2018,7428.4
gbr,2019,
gbr,2020,
gbr,2021,
gbr,2022,
gbr,2023,
gbr,2024,
bih,2000,
bih,2001,
bih,2002,
bih,2003,
bih,2004,
bih,2005,
bih,2006,
bih,2007,
bih,2008,49.9
bih,2009,48.9
bih,2010,49.5
bih,2011,47.4
bih,2012,56.3
bih,2013,56
bih,2014,55.2
bih,2015,59.4
bih,2016,71.1
bih,2017,81.9
bih,2018,93
bih,2019,98.3
bih,2020,100.4
bih,2021,120
bih,2022,141.4
bih,2023,150.9
bih,2024,
mne,2000,
mne,2001,
mne,2002,
mne,2003,
mne,2004,
mne,2005,
mne,2006,
mne,2007,
mne,2008,
mne,2009,
mne,2010,
mne,2011,
mne,2012,
mne,2013,
mne,2014,
mne,2015,
mne,2016,
mne,2017,
mne,2018,
mne,2019,
mne,2020,
mne,2021,
mne,2022,
mne,2023,
mne,2024,
mkd,2000,
mkd,2001,
mkd,2002,
mkd,2003,
mkd,2004,
mkd,2005,
mkd,2006,
mkd,2007,
mkd,2008,13.9
mkd,2009,13.7
mkd,2010,16.1
mkd,2011,15.9
mkd,2012,16.7
mkd,2013,20.2
mkd,2014,21
mkd,2015,20.3
mkd,2016,22.5
mkd,2017,24.9
mkd,2018,26.3
mkd,2019,30.4
mkd,2020,30.8
mkd,2021,34.3
mkd,2022,
mkd,2023,
mkd,2024,
alb,2000,
alb,2001,
alb,2002,
alb,2003,
alb,2004,
alb,2005,
alb,2006,
alb,2007,
alb,2008,
alb,2009,
alb,2010,
alb,2011,
alb,2012,
alb,2013,
alb,2014,
alb,2015,
alb,2016,
alb,2017,
alb,2018,
alb,2019,
alb,2020,
alb,2021,
alb,2022,
alb,2023,
alb,2024,
srb,2000,
srb,2001,
srb,2002,
srb,2003,
srb,2004,
srb,2005,
srb,2006,
srb,2007,
srb,2008,87.9
srb,2009,79.4
srb,2010,76.6
srb,2011,80.1
srb,2012,80.2
srb,2013,81.3
srb,2014,72.8
srb,2015,88.8
srb,2016,101.3
srb,2017,115
srb,2018,130.8
srb,2019,160.4
srb,2020,179.4
srb,2021,206.8
srb,2022,224.8
srb,2023,251
srb,2024,
tur,2000,
tur,2001,
tur,2002,
tur,2003,
tur,2004,
tur,2005,
tur,2006,
tur,2007,
tur,2008,
tur,2009,
tur,2010,
tur,2011,
tur,2012,1912.8
tur,2013,
tur,2014,
tur,2015,
tur,2016,
tur,2017,
tur,2018,
tur,2019,
tur,2020,
tur,2021,
tur,2022,
tur,2023,
tur,2024,
kos,2000,
kos,2001,
kos,2002,
kos,2003,
kos,2004,
kos,2005,
kos,2006,
kos,2007,
kos,2008,
kos,2009,
kos,2010,
kos,2011,
kos,2012,
kos,2013,
kos,2014,
kos,2015,
kos,2016,
kos,2017,
kos,2018,
kos,2019,
kos,2020,
kos,2021,
kos,2022,
kos,2023,
kos,2024,
