country,year,foradl_lop_bruk
cyp,2012,390.2
cyp,2013,367.4
cyp,2014,322.5
cyp,2015,335.2
cyp,2016,407.6
cyp,2017,376.3
cyp,2018,374.7
cyp,2019,409.1
cyp,2020,408.4
cyp,2021,385.8
cyp,2022,345.4
cyp,2023,369.5
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,722
lva,2009,605
lva,2010,723.3
lva,2011,718.6
lva,2012,751.5
lva,2013,706.6
lva,2014,824.2
lva,2015,844
lva,2016,814.6
lva,2017,943.1
lva,2018,1030.7
lva,2019,1139.3
lva,2020,1192.1
lva,2021,1358.1
lva,2022,1833.1
lva,2023,1502.6
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,1072.5
ltu,2009,682.2
ltu,2010,848.9
ltu,2011,1093.2
ltu,2012,1329.6
ltu,2013,1232.6
ltu,2014,1252.6
ltu,2015,1286.7
ltu,2016,1211.4
ltu,2017,1500.5
ltu,2018,1326.4
ltu,2019,1538.3
ltu,2020,1775.6
ltu,2021,1924.7
ltu,2022,2649.6
ltu,2023,2003.8
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,123.1
lux,2009,91.1
lux,2010,113.8
lux,2011,111.3
lux,2012,134
lux,2013,128.6
lux,2014,150
lux,2015,121.1
lux,2016,120.4
lux,2017,136.4
lux,2018,140.7
lux,2019,134.1
lux,2020,129.3
lux,2021,142.3
lux,2022,185.8
lux,2023,172
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,3766.1
hun,2009,2828
hun,2010,2994
hun,2011,4052
hun,2012,3887.7
hun,2013,4009.3
hun,2014,4195.2
hun,2015,4244.8
hun,2016,4509.5
hun,2017,4769.5
hun,2018,4741.5
hun,2019,4900.2
hun,2020,4672.4
hun,2021,5358.7
hun,2022,5297.6
hun,2023,5740.7
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,67
mlt,2009,83.6
mlt,2010,87.3
mlt,2011,76.5
mlt,2012,81.6
mlt,2013,82.9
mlt,2014,89.6
mlt,2015,96.2
mlt,2016,109.8
mlt,2017,84.7
mlt,2018,85.1
mlt,2019,68.9
mlt,2020,104.4
mlt,2021,138.4
mlt,2022,140.8
mlt,2023,0.8
mlt,2024,46.7
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,10762
nld,2009,9868
nld,2010,11496
nld,2011,10486
nld,2012,11170
nld,2013,12278
nld,2014,12222
nld,2015,12627
nld,2016,13424
nld,2017,14776
nld,2018,13855
nld,2019,14594
nld,2020,14185
nld,2021,14752
nld,2022,16318
nld,2023,18390
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,4042.2
aut,2009,3368.2
aut,2010,3801.7
aut,2011,4503.3
aut,2012,4488.2
aut,2013,4104.3
aut,2014,4210.8
aut,2015,3912.2
aut,2016,4087.6
aut,2017,4407.2
aut,2018,4250.5
aut,2019,4133.7
aut,2020,4074.7
aut,2021,4939.5
aut,2022,6159
aut,2023,6137.6
aut,2024,
pol,2000,
pol,2001,
pol,2002,
pol,2003,
pol,2004,
pol,2005,
pol,2006,
pol,2007,
pol,2008,9711.3
pol,2009,8348.7
pol,2010,10521.9
pol,2011,12038.3
pol,2012,11574.1
pol,2013,12589.2
pol,2014,12143.7
pol,2015,10741.4
pol,2016,11220.9
pol,2017,14003.5
pol,2018,12173.6
pol,2019,12762.2
pol,2020,13659.7
pol,2021,13091.4
pol,2022,18568.1
pol,2023,20576.6
pol,2024,
prt,2000,
prt,2001,
prt,2002,
prt,2003,
prt,2004,
prt,2005,
prt,2006,
prt,2007,
prt,2008,3517.2
prt,2009,3421.7
prt,2010,3489.9
prt,2011,3241.5
prt,2012,3236
prt,2013,3485
prt,2014,3423.2
prt,2015,3543.7
prt,2016,3582.9
prt,2017,3839.2
prt,2018,3932.2
prt,2019,4289.6
prt,2020,4303.9
prt,2021,4680.7
prt,2022,4648.4
prt,2023,5664.3
prt,2024,
rou,2000,
rou,2001,
rou,2002,
rou,2003,
rou,2004,
rou,2005,
rou,2006,
rou,2007,
rou,2008,9238
rou,2009,7658.6
rou,2010,6642.7
rou,2011,8243.7
rou,2012,6325.7
rou,2013,7875.4
rou,2014,7448.7
rou,2015,7094.3
rou,2016,7189.3
rou,2017,8274
rou,2018,9268.8
rou,2019,9663.2
rou,2020,8986.2
rou,2021,11157.7
rou,2022,10743.3
rou,2023,12576.6
rou,2024,
svn,2000,
svn,2001,
svn,2002,
svn,2003,
svn,2004,
svn,2005,
svn,2006,
svn,2007,
svn,2008,663.8
svn,2009,631.1
svn,2010,655.9
svn,2011,750.7
svn,2012,656.2
svn,2013,659.8
svn,2014,678.8
svn,2015,759.7
svn,2016,740.8
svn,2017,721.7
svn,2018,905.3
svn,2019,852.6
svn,2020,886.8
svn,2021,786.2
svn,2022,973.3
svn,2023,971.6
svn,2024,
svk,2000,
svk,2001,
svk,2002,
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,1559.5
svk,2009,1223.1
svk,2010,1029.9
svk,2011,1284.8
svk,2012,1323.1
svk,2013,1548.3
svk,2014,2002
svk,2015,1644.5
svk,2016,1683.6
svk,2017,1570.2
svk,2018,1813.9
svk,2019,1528.8
svk,2020,1631
svk,2021,1909.4
svk,2022,2123.9
svk,2023,2631.7
svk,2024,2657.5
fin,2000,
fin,2001,
fin,2002,
fin,2003,
fin,2004,
fin,2005,
fin,2006,
fin,2007,
fin,2008,4284
fin,2009,4096
fin,2010,4453
fin,2011,4465
fin,2012,4385
fin,2013,4501
fin,2014,4565
fin,2015,4331
fin,2016,4508
fin,2017,4647
fin,2018,4903
fin,2019,5223
fin,2020,5296
fin,2021,5371
fin,2022,5965
fin,2023,6290
fin,2024,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,4443.4
swe,2009,3566.5
swe,2010,5070.5
swe,2011,5792
swe,2012,5359.8
swe,2013,5412.4
swe,2014,5452.4
swe,2015,5894.6
swe,2016,5925.6
swe,2017,6256
swe,2018,5976.1
swe,2019,6136.4
swe,2020,5745
swe,2021,6004.9
swe,2022,5739.6
swe,2023,5372.9
swe,2024,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,528.5
isl,2009,532.3
isl,2010,652.5
isl,2011,701.8
isl,2012,751.7
isl,2013,709
isl,2014,709.6
isl,2015,835.7
isl,2016,860.2
isl,2017,828.1
isl,2018,868.4
isl,2019,966.6
isl,2020,879.3
isl,2021,949.2
isl,2022,1156.8
isl,2023,1115.3
isl,2024,
lie,2000,
lie,2001,
lie,2002,
lie,2003,
lie,2004,
lie,2005,
lie,2006,
lie,2007,
lie,2008,
lie,2009,
lie,2010,
lie,2011,
lie,2012,
lie,2013,
