country,year,foradl_lop_info_komm
cyp,2009,556.9
cyp,2010,622.6
cyp,2011,642.6
cyp,2012,619.4
cyp,2013,688.9
cyp,2014,737.6
cyp,2015,756.3
cyp,2016,969.2
cyp,2017,1154.6
cyp,2018,1237.9
cyp,2019,1436.1
cyp,2020,1730.9
cyp,2021,2026.9
cyp,2022,2788.3
cyp,2023,3089.9
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,854.3
lva,2009,719.7
lva,2010,750.1
lva,2011,761.2
lva,2012,849.9
lva,2013,915.7
lva,2014,951
lva,2015,1016.4
lva,2016,1116.7
lva,2017,1266.2
lva,2018,1452.1
lva,2019,1594.6
lva,2020,1666.4
lva,2021,1881.4
lva,2022,2156
lva,2023,2442.2
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,984.9
ltu,2009,951.5
ltu,2010,915.6
ltu,2011,876.6
ltu,2012,902.7
ltu,2013,1013.1
ltu,2014,1026.4
ltu,2015,1159.8
ltu,2016,1263.1
ltu,2017,1397.2
ltu,2018,1522.1
ltu,2019,1717.7
ltu,2020,1872.5
ltu,2021,2174
ltu,2022,2832.5
ltu,2023,3481.6
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,2134.6
lux,2009,2399.6
lux,2010,2504.5
lux,2011,2632.9
lux,2012,2825.2
lux,2013,2650.6
lux,2014,2795.4
lux,2015,3049.6
lux,2016,2885.2
lux,2017,2988.1
lux,2018,3134.6
lux,2019,3271.6
lux,2020,3347.1
lux,2021,3563.3
lux,2022,3751.4
lux,2023,4064.1
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,4960.2
hun,2009,4504.5
hun,2010,4505.8
hun,2011,4581.1
hun,2012,4468.3
hun,2013,4533.3
hun,2014,4626.5
hun,2015,4614.1
hun,2016,4810.7
hun,2017,5253
hun,2018,5647.1
hun,2019,6133.8
hun,2020,6079.5
hun,2021,7002.3
hun,2022,7153.4
hun,2023,8839.7
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,286.2
mlt,2009,291.6
mlt,2010,323.3
mlt,2011,373
mlt,2012,381.8
mlt,2013,402.6
mlt,2014,501.6
mlt,2015,606.3
mlt,2016,665.6
mlt,2017,788.4
mlt,2018,841.3
mlt,2019,1002.9
mlt,2020,1281.5
mlt,2021,1631.9
mlt,2022,1925.1
mlt,2023,1996
mlt,2024,2053.9
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,28914
nld,2009,27626
nld,2010,27843
nld,2011,27886
nld,2012,27633
nld,2013,27602
nld,2014,27924
nld,2015,28817
nld,2016,30005
nld,2017,31006
nld,2018,32358
nld,2019,34452
nld,2020,36960
nld,2021,39019
nld,2022,44323
nld,2023,46705
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,8853.1
aut,2009,8583.9
aut,2010,8609
aut,2011,9336.8
aut,2012,9514.5
aut,2013,9906.7
aut,2014,10467.4
aut,2015,10827.7
aut,2016,11630
aut,2017,11869
aut,2018,12896.5
aut,2019,13689.9
aut,2020,13703.2
aut,2021,15321.8
aut,2022,15720.9
aut,2023,16430.3
aut,2024,
pol,2000,
pol,2001,
pol,2002,
pol,2003,
pol,2004,
pol,2005,
pol,2006,
pol,2007,
pol,2008,13737.1
pol,2009,11703.3
pol,2010,11128
pol,2011,11245.7
pol,2012,12231.7
pol,2013,12360.7
pol,2014,13400.3
pol,2015,14677.9
pol,2016,14783.9
pol,2017,16327.7
pol,2018,17768.4
pol,2019,19385.9
pol,2020,20720.9
pol,2021,25135.4
pol,2022,29587.1
pol,2023,32293.9
pol,2024,
prt,2000,
prt,2001,
prt,2002,
prt,2003,
prt,2004,
prt,2005,
prt,2006,
prt,2007,
prt,2008,5976.7
prt,2009,5984.7
prt,2010,5646.8
prt,2011,5629.3
prt,2012,5374.5
prt,2013,5197.8
prt,2014,5160.8
prt,2015,5317.1
prt,2016,5660.3
prt,2017,5946.9
prt,2018,6375.7
prt,2019,7140.6
prt,2020,7782.4
prt,2021,8499.8
prt,2022,10019.8
prt,2023,11215
prt,2024,
rou,2000,
rou,2001,
rou,2002,
rou,2003,
rou,2004,
rou,2005,
rou,2006,
rou,2007,
rou,2008,6355.7
rou,2009,5088
rou,2010,5190.3
rou,2011,5494.8
rou,2012,5948.6
rou,2013,7340.6
rou,2014,7323.3
rou,2015,8081.3
rou,2016,8691.7
rou,2017,10334.5
rou,2018,10997
rou,2019,12755.1
rou,2020,13974.6
rou,2021,15489.9
rou,2022,19490.2
rou,2023,22534
rou,2024,
svn,2000,
svn,2001,
svn,2002,
svn,2003,
svn,2004,
svn,2005,
svn,2006,
svn,2007,
svn,2008,1316.9
svn,2009,1222.5
svn,2010,1276.4
svn,2011,1301.4
svn,2012,1328.7
svn,2013,1297.8
svn,2014,1365.5
svn,2015,1328
svn,2016,1356.2
svn,2017,1453.9
svn,2018,1509.5
svn,2019,1721.2
svn,2020,1795.9
svn,2021,2020.3
svn,2022,2209.9
svn,2023,2463.2
svn,2024,
svk,2000,
svk,2001,
svk,2002,
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,2723.8
svk,2009,3039.3
svk,2010,3279.8
svk,2011,3253
svk,2012,3686.6
svk,2013,3468.4
svk,2014,3362.8
svk,2015,3577
svk,2016,3933.6
svk,2017,4093
svk,2018,4105.4
svk,2019,4240.2
svk,2020,4199
svk,2021,4652.4
svk,2022,5168.2
svk,2023,5809.6
svk,2024,6165.1
fin,2000,
fin,2001,
fin,2002,
fin,2003,
fin,2004,
fin,2005,
fin,2006,
fin,2007,
fin,2008,8219
fin,2009,8087
fin,2010,8208
fin,2011,8573
fin,2012,8949
fin,2013,9295
fin,2014,9820
fin,2015,10285
fin,2016,10679
fin,2017,11332
fin,2018,11711
fin,2019,12305
fin,2020,12670
fin,2021,13796
fin,2022,14064
fin,2023,15062
fin,2024,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,20132.6
swe,2009,18274.2
swe,2010,21792.4
swe,2011,24084.5
swe,2012,25143.8
swe,2013,26680.7
swe,2014,26759.7
swe,2015,29807.8
swe,2016,28381.3
swe,2017,26122.9
swe,2018,28604
swe,2019,31489
swe,2020,33973.8
swe,2021,38959.2
swe,2022,37914.3
swe,2023,37422.5
swe,2024,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,379.6
isl,2009,330
isl,2010,356.8
isl,2011,407.8
isl,2012,406.2
isl,2013,496.1
isl,2014,530.8
isl,2015,653.6
isl,2016,779.8
isl,2017,868.1
isl,2018,888.1
isl,2019,979.4
isl,2020,937.1
isl,2021,1054
isl,2022,1255.8
isl,2023,1360.6
isl,2024,
lie,2000,
lie,2001,
lie,2002,
lie,2003,
lie,2004,
lie,2005,
lie,2006,
lie,2007,
lie,2008,
lie,2009,
lie,2010,
lie,2011,
lie,2012,
lie,2013,
lie,2014,
lie,2015,
lie,2016,93.2
lie,2017,76.9
lie,2018,103.5
lie,2019,99.1
lie,2020,105.5
lie,2021,161.2
lie,2022,
lie,2023,
lie,2024,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,10391.9
nor,2009,10022.3
nor,2010,11911.5
nor,2011,12655.1
nor,2012,13867
nor,2013,13872.7
nor,2014,13233.9
nor,2015,12755.9
nor,2016,12634.3
nor,2017,13072
nor,2018,13867.7
nor,2019,14861.3
nor,2020,13911.8
nor,2021,15616.2
nor,2022,16551.7
nor,2023,15558.3
nor,2024,15775.6
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,15564.7
che,2009,16575
che,2010,18861.8
che,2011,21337.3
che,2012,22328.6
che,2013,22307.2
che,2014,23220.7
che,2015,27215.6
che,2016,27013.9
che,2017,26950.9
che,2018,26639.5
che,2019,28091.9
che,2020,29866.9
che,2021,30747.8
che,2022,34211.7
che,2023,36885.2
che,2024,
gbr,2000,
gbr,2001,
gbr,2002,
gbr,2003,
gbr,2004,
gbr,2005,
gbr,2006,
gbr,2007,
gbr,2008,113916
gbr,2009,99190.7
gbr,2010,104627.9
gbr,2011,108872.2
gbr,2012,119888.5
gbr,2013,116483.8
gbr,2014,129149.5
gbr,2015,148543.8
gbr,2016,142320.7
gbr,2017,138151.2
gbr,2018,141874.7
gbr,2019,
gbr,2020,
gbr,2021,
gbr,2022,
gbr,2023,
gbr,2024,
bih,2000,
bih,2001,
bih,2002,
bih,2003,
bih,2004,
bih,2005,
bih,2006,
bih,2007,
bih,2008,585.8
bih,2009,594.1
bih,2010,602.1
bih,2011,628.6
bih,2012,635.9
bih,2013,650.6
bih,2014,661.5
bih,2015,662
bih,2016,659.5
bih,2017,672.1
bih,2018,697
bih,2019,748.6
bih,2020,780.5
bih,2021,882.9
bih,2022,1064.1
bih,2023,1197.5
bih,2024,
mne,2000,
mne,2001,
mne,2002,
mne,2003,
mne,2004,
mne,2005,
mne,2006,
mne,2007,
mne,2008,179
mne,2009,161.6
mne,2010,178.5
mne,2011,166
mne,2012,156.2
mne,2013,151.1
mne,2014,146.1
mne,2015,153.9
mne,2016,154.3
mne,2017,159.9
mne,2018,172
mne,2019,181.1
mne,2020,166.4
mne,2021,172.8
mne,2022,259.4
mne,2023,312.5
mne,2024,
mkd,2000,
mkd,2001,
mkd,2002,
mkd,2003,
mkd,2004,
mkd,2005,
mkd,2006,
mkd,2007,
mkd,2008,256.5
mkd,2009,244.7
mkd,2010,263.8
mkd,2011,259.1
mkd,2012,262.7
mkd,2013,262.7
mkd,2014,259.5
mkd,2015,267.5
mkd,2016,294.9
mkd,2017,340.6
mkd,2018,367.6
mkd,2019,396.1
mkd,2020,433.4
mkd,2021,500.5
mkd,2022,
mkd,2023,
mkd,2024,
alb,2000,
alb,2001,
alb,2002,
alb,2003,
alb,2004,
alb,2005,
alb,2006,
alb,2007,
alb,2008,274.2
alb,2009,259.4
alb,2010,212.1
alb,2011,206.6
alb,2012,204.9
alb,2013,185.1
alb,2014,193.4
alb,2015,212.5
alb,2016,243.3
alb,2017,260.8
alb,2018,262.7
alb,2019,302
alb,2020,306.6
alb,2021,353.6
alb,2022,438.4
alb,2023,527.8
alb,2024,
srb,2000,
srb,2001,
srb,2002,
srb,2003,
srb,2004,
srb,2005,
srb,2006,
srb,2007,
srb,2008,1338.3
srb,2009,1433.2
srb,2010,1302.4
srb,2011,1495.2
srb,2012,1484.5
srb,2013,1705.3
srb,2014,1836.6
srb,2015,1865.1
srb,2016,1942.4
srb,2017,2196.4
srb,2018,2429.9
srb,2019,2726.8
srb,2020,3097.9
srb,2021,3496
srb,2022,4465.5
srb,2023,6131.9
srb,2024,
tur,2000,
tur,2001,
tur,2002,
tur,2003,
tur,2004,
tur,2005,
tur,2006,
tur,2007,
tur,2008,13966.3
tur,2009,12552.9
tur,2010,14291.5
tur,2011,13850
tur,2012,16353.4
tur,2013,17087.9
tur,2014,16977.3
tur,2015,18553.9
tur,2016,19002.9
tur,2017,19062.2
tur,2018,16496.2
tur,2019,17805.6
tur,2020,17288.6
tur,2021,19303.6
tur,2022,20424.9
tur,2023,25360.8
tur,2024,
kos,2000,
kos,2001,
kos,2002,
kos,2003,
kos,2004,
kos,2005,
kos,2006,
kos,2007,
kos,2008,
kos,2009,
kos,2010,
kos,2011,
kos,2012,
kos,2013,
kos,2014,
kos,2015,
kos,2016,
kos,2017,
kos,2018,
kos,2019,
kos,2020,
kos,2021,
kos,2022,
kos,2023,
kos,2024,
