country,year,foradl_lop_kultur_dollar
aus,2000,
aus,2001,
aus,2002,
aus,2003,
aus,2004,
aus,2005,
aus,2006,
aus,2007,
aus,2008,28094.79
aus,2009,27412.499
aus,2010,33918.89
aus,2011,41651.916
aus,2012,41446.425
aus,2013,41037.103
aus,2014,38984.524
aus,2015,32812.951
aus,2016,33573.098
aus,2017,36274.158
aus,2018,37368.161
aus,2019,32162.523
aus,2020,31763.452
aus,2021,37563.919
aus,2022,39925.379
aus,2023,41611.993
aus,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,10204.881
aut,2009,9883.928
aut,2010,9556.399
aut,2011,10335.114
aut,2012,9722.344
aut,2013,10240.966
aut,2014,10434.943
aut,2015,8967.968
aut,2016,9009.17
aut,2017,9638.167
aut,2018,10465.862
aut,2019,10320.827
aut,2020,8949.591
aut,2021,9710.433
aut,2022,10532.983
aut,2023,12040.719
aut,2024,12702.105
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,10128.358
bel,2009,8739.707
bel,2010,8444.285
bel,2011,9193.308
bel,2012,8779.86
bel,2013,9286.201
bel,2014,9619.01
bel,2015,8159.58
bel,2016,8343.836
bel,2017,8671.433
bel,2018,9579.667
bel,2019,9485.419
bel,2020,7902.512
bel,2021,9400.183
bel,2022,9721.324
bel,2023,10590.161
bel,2024,11225.151
bra,2000,
bra,2001,
bra,2002,
bra,2003,
bra,2004,
bra,2005,
bra,2006,
bra,2007,
bra,2008,21182.433
bra,2009,23213.895
bra,2010,58296.636
bra,2011,66457.49
bra,2012,62699.794
bra,2013,62975.133
bra,2014,63538.484
bra,2015,45738.014
bra,2016,46175.459
bra,2017,53489.241
bra,2018,50312.749
bra,2019,49470.257
bra,2020,32170.756
bra,2021,31612.779
bra,2022,
bra,2023,
bra,2024,
can,2000,
can,2001,
can,2002,
can,2003,
can,2004,
can,2005,
can,2006,
can,2007,
can,2008,30018.173
can,2009,28784.039
can,2010,32109.107
can,2011,34553.165
can,2012,35385.479
can,2013,35044.841
can,2014,34114.594
can,2015,30259.945
can,2016,29849.538
can,2017,32063.988
can,2018,33317.952
can,2019,34323.355
can,2020,27933.434
can,2021,33258.448
can,2022,
can,2023,
can,2024,
chn,2000,
chn,2001,
chn,2002,
chn,2003,
chn,2004,
chn,2005,
chn,2006,
chn,2007,
chn,2008,780717.995
chn,2009,898648.238
chn,2010,1038053.284
chn,2011,1280598.859
chn,2012,1501471.843
chn,2013,1738694.345
chn,2014,1981663.645
chn,2015,2234171.868
chn,2016,2396186.79
chn,2017,2692808.035
chn,2018,3137412.992
chn,2019,3392035.905
chn,2020,3588861.794
chn,2021,4326062.548
chn,2022,4497489.816
chn,2023,4647664.784
chn,2024,4890980.687
col,2000,
col,2001,
col,2002,
col,2003,
col,2004,
col,2005,
col,2006,
col,2007,
col,2008,5588.922
col,2009,5509.83
col,2010,6891.531
col,2011,7851.661
col,2012,8668.464
col,2013,9042.777
col,2014,9037.007
col,2015,6923.235
col,2016,6726.443
col,2017,7530.442
col,2018,7837.727
col,2019,8241.96
col,2020,6671.584
col,2021,8882.701
col,2022,10780.758
col,2023,12833.929
col,2024,
cri,2000,
cri,2001,
cri,2002,
cri,2003,
cri,2004,
cri,2005,
cri,2006,
cri,2007,
cri,2008,780.339
cri,2009,799.35
cri,2010,979.845
cri,2011,1164.642
cri,2012,1311.314
cri,2013,1586.376
cri,2014,1692.862
cri,2015,1826.892
cri,2016,1959.38
cri,2017,2045.098
cri,2018,2260.418
cri,2019,2320.172
cri,2020,1924.395
cri,2021,2027.768
cri,2022,2192.91
cri,2023,2674.891
cri,2024,2891.158
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,4544.958
cze,2009,4130.41
cze,2010,4340.084
cze,2011,5088.801
cze,2012,4133.878
cze,2013,4132.478
cze,2014,4010.213
cze,2015,3626.892
cze,2016,3871.863
cze,2017,4395.086
cze,2018,4957.037
cze,2019,5033.043
cze,2020,4425.071
cze,2021,5003.744
cze,2022,5649.227
cze,2023,6383.029
cze,2024,6385.324
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,10101.218
dnk,2009,9891.412
dnk,2010,9620.123
dnk,2011,10413.363
dnk,2012,9711.832
dnk,2013,10117.904
dnk,2014,10226.871
dnk,2015,8560.14
dnk,2016,8826.858
dnk,2017,9337.74
dnk,2018,9732.074
dnk,2019,9515.574
dnk,2020,9716.048
dnk,2021,10319.543
dnk,2022,10204.382
dnk,2023,11407.592
dnk,2024,12370.756
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,512.699
est,2009,415.884
est,2010,383.647
est,2011,438.995
est,2012,451.73
est,2013,524.75
est,2014,568.203
est,2015,499.298
est,2016,526.176
est,2017,598.431
est,2018,698.706
est,2019,719.71
est,2020,725.339
est,2021,880.423
est,2022,944.548
est,2023,1085.156
est,2024,1141.472
eu,2000,
eu,2001,
eu,2002,
eu,2003,
eu,2004,
eu,2005,
eu,2006,
eu,2007,
eu,2008,486532.068
eu,2009,463842.336
eu,2010,449829.671
eu,2011,485677.319
eu,2012,450285.079
eu,2013,467275.904
eu,2014,476754.186
eu,2015,410280.447
eu,2016,415478.817
eu,2017,440001.323
eu,2018,470954.808
eu,2019,460430.724
eu,2020,405562.547
eu,2021,440762.208
eu,2022,450819.403
eu,2023,503642.752
eu,2024,533444.916
fin,2000,
fin,2001,
fin,2002,
fin,2003,
fin,2004,
fin,2005,
fin,2006,
fin,2007,
fin,2008,6905.197
fin,2009,6869.303
fin,2010,6792.972
fin,2011,7440.001
fin,2012,7032.933
fin,2013,7400.274
fin,2014,7446.247
fin,2015,6320.895
fin,2016,6432.214
fin,2017,6719.344
fin,2018,7221.537
fin,2019,7173.593
fin,2020,6911.429
fin,2021,7455.995
fin,2022,7037.524
fin,2023,7691.064
fin,2024,7881.895
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,78248.456
fra,2009,74591.988
fra,2010,72731.865
fra,2011,77642.29
fra,2012,73142.505
fra,2013,76701.473
fra,2014,78180.013
fra,2015,65174.784
fra,2016,66111.006
fra,2017,69627.222
fra,2018,74055.65
fra,2019,72913.502
fra,2020,65462.343
fra,2021,72672.059
fra,2022,71016.968
fra,2023,77497.118
fra,2024,83144.571
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,140560.1
deu,2009,132058
deu,2010,125805.209
deu,2011,134841.489
deu,2012,126315.283
deu,2013,130870.095
deu,2014,134555.873
