country,year,foradl_lop_uthyr
cyp,2018,127.7
cyp,2019,143.4
cyp,2020,112.3
cyp,2021,134.9
cyp,2022,160.7
cyp,2023,
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,163.2
lva,2009,95.1
lva,2010,107.6
lva,2011,114
lva,2012,121.7
lva,2013,134.9
lva,2014,135.9
lva,2015,142.2
lva,2016,148.4
lva,2017,173.7
lva,2018,222.9
lva,2019,231.4
lva,2020,214.3
lva,2021,217.4
lva,2022,237.6
lva,2023,
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,148.8
ltu,2009,136.5
ltu,2010,120.8
ltu,2011,132.7
ltu,2012,162
ltu,2013,175.7
ltu,2014,192
ltu,2015,228.4
ltu,2016,244.6
ltu,2017,322
ltu,2018,395.2
ltu,2019,434.3
ltu,2020,415.4
ltu,2021,527.9
ltu,2022,675.2
ltu,2023,
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,479.9
lux,2009,486.5
lux,2010,482
lux,2011,440.6
lux,2012,482.2
lux,2013,525.7
lux,2014,622.1
lux,2015,706.2
lux,2016,775.5
lux,2017,839.5
lux,2018,910.7
lux,2019,914.8
lux,2020,1161.6
lux,2021,1057.7
lux,2022,1058.9
lux,2023,1137.2
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,556.1
hun,2009,603.8
hun,2010,647.9
hun,2011,642.1
hun,2012,665.3
hun,2013,641.6
hun,2014,623.4
hun,2015,657.7
hun,2016,689.2
hun,2017,971.6
hun,2018,894.5
hun,2019,837.7
hun,2020,699.4
hun,2021,807.7
hun,2022,872.8
hun,2023,1119
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,49.7
mlt,2009,47.7
mlt,2010,49.6
mlt,2011,60.1
mlt,2012,72.4
mlt,2013,102
mlt,2014,123.4
mlt,2015,153
mlt,2016,183.9
mlt,2017,287.4
mlt,2018,310.2
mlt,2019,362.1
mlt,2020,346.6
mlt,2021,446.3
mlt,2022,538.8
mlt,2023,697.5
mlt,2024,742.2
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,8036
nld,2009,8263
nld,2010,7967
nld,2011,7841
nld,2012,8250
nld,2013,8607
nld,2014,8860
nld,2015,9511
nld,2016,11415
nld,2017,11759
nld,2018,12348
nld,2019,15631
nld,2020,13477
nld,2021,14676
nld,2022,14653
nld,2023,15709
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,3988.2
aut,2009,3722.1
aut,2010,3673.2
aut,2011,3705.6
aut,2012,3660
aut,2013,3660.6
aut,2014,3772.6
aut,2015,3820.6
aut,2016,3942.5
aut,2017,4241.9
aut,2018,4380.1
aut,2019,4566.7
aut,2020,4575.2
aut,2021,4624.5
aut,2022,4887
aut,2023,5337.1
aut,2024,
pol,2000,
pol,2001,
pol,2002,
pol,2003,
pol,2004,
pol,2005,
pol,2006,
pol,2007,
pol,2008,1059.8
pol,2009,896.6
pol,2010,1305
pol,2011,1439.8
pol,2012,1625.9
pol,2013,1794.9
pol,2014,1599.8
pol,2015,1766.4
pol,2016,1807.8
pol,2017,1968.3
pol,2018,2607.8
pol,2019,3056.8
pol,2020,3021.4
pol,2021,3262.9
pol,2022,3752.4
pol,2023,
pol,2024,
prt,2000,
prt,2001,
prt,2002,
prt,2003,
prt,2004,
prt,2005,
prt,2006,
prt,2007,
prt,2008,933.8
prt,2009,944.6
prt,2010,989
prt,2011,950.4
prt,2012,861.2
prt,2013,820.2
prt,2014,812.2
prt,2015,856.3
prt,2016,939.4
prt,2017,1077
prt,2018,1153.3
prt,2019,1185.2
prt,2020,884.6
prt,2021,1070.8
prt,2022,1523
prt,2023,
prt,2024,
rou,2000,
rou,2001,
rou,2002,
rou,2003,
rou,2004,
rou,2005,
rou,2006,
rou,2007,
rou,2008,186
rou,2009,408.9
rou,2010,400.5
rou,2011,399.7
rou,2012,364.2
rou,2013,355.8
rou,2014,397.2
rou,2015,496.1
rou,2016,482.6
rou,2017,591.2
rou,2018,618.6
rou,2019,745.1
rou,2020,643.7
rou,2021,716.9
rou,2022,879.4
rou,2023,1068.8
rou,2024,
svn,2000,
svn,2001,
svn,2002,
svn,2003,
svn,2004,
svn,2005,
svn,2006,
svn,2007,
svn,2008,35.3
svn,2009,30.6
svn,2010,41.1
svn,2011,40.1
svn,2012,54
svn,2013,44.2
svn,2014,47
svn,2015,47.8
svn,2016,53.3
svn,2017,69.1
svn,2018,103.3
svn,2019,81.7
svn,2020,61
svn,2021,77.6
svn,2022,99.5
svn,2023,122.8
svn,2024,
svk,2000,
svk,2001,
svk,2002,
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,378
svk,2009,461.4
svk,2010,472.9
svk,2011,359.4
svk,2012,426.9
svk,2013,648.1
svk,2014,369.8
svk,2015,403.3
svk,2016,457.2
svk,2017,433
svk,2018,463.1
svk,2019,408.9
svk,2020,399.3
svk,2021,403.6
svk,2022,478.3
svk,2023,541.7
svk,2024,
fin,2000,
fin,2001,
fin,2002,
fin,2003,
fin,2004,
fin,2005,
fin,2006,
fin,2007,
fin,2008,746
fin,2009,739
fin,2010,759
fin,2011,733
fin,2012,735
fin,2013,761
fin,2014,734
fin,2015,755
fin,2016,780
fin,2017,993
fin,2018,1039
fin,2019,1344
fin,2020,1051
fin,2021,1092
fin,2022,1209
fin,2023,1250
fin,2024,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,1917.2
swe,2009,1694.4
swe,2010,2060.1
swe,2011,2320.8
swe,2012,2348.7
swe,2013,2310.1
swe,2014,2277.6
swe,2015,2400
swe,2016,2687.1
swe,2017,2825.2
swe,2018,2895.9
swe,2019,2727.2
swe,2020,2923.9
swe,2021,2980.2
swe,2022,3270.2
swe,2023,
swe,2024,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,98.9
isl,2009,89.7
isl,2010,103.4
isl,2011,124.1
isl,2012,107.7
isl,2013,122.2
isl,2014,140.8
isl,2015,213.1
isl,2016,229.1
