country,year,foradl_lop_info_dollar
aus,2000,
aus,2001,
aus,2002,
aus,2003,
aus,2004,
aus,2005,
aus,2006,
aus,2007,
aus,2008,32922.088
aus,2009,32760.386
aus,2010,38499.871
aus,2011,43935.654
aus,2012,44319.688
aus,2013,42074.905
aus,2014,39978.788
aus,2015,33634.834
aus,2016,32868.377
aus,2017,35012.621
aus,2018,33113.866
aus,2019,31297.737
aus,2020,31842.594
aus,2021,37693.123
aus,2022,36449.536
aus,2023,37417.177
aus,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,13020.81
aut,2009,11972.647
aut,2010,11413.03
aut,2011,12996.461
aut,2012,12224.142
aut,2013,13157.251
aut,2014,13905.943
aut,2015,12013.423
aut,2016,12873.273
aut,2017,13408.135
aut,2018,15230.17
aut,2019,15325.525
aut,2020,15651.707
aut,2021,18121.681
aut,2022,16554.902
aut,2023,17765.56
aut,2024,18826.013
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,19045.842
bel,2009,18779.49
bel,2010,18476.381
bel,2011,20123.915
bel,2012,19145.278
bel,2013,19264.087
bel,2014,19336.86
bel,2015,16862.932
bel,2016,17449.331
bel,2017,18839.128
bel,2018,20382.212
bel,2019,20863.423
bel,2020,21450.214
bel,2021,24125.419
bel,2022,23156.961
bel,2023,25249.244
bel,2024,26860.787
bra,2000,
bra,2001,
bra,2002,
bra,2003,
bra,2004,
bra,2005,
bra,2006,
bra,2007,
bra,2008,62513
bra,2009,61103.963
bra,2010,71930.468
bra,2011,81900.792
bra,2012,76009.106
bra,2013,73053.102
bra,2014,71658.922
bra,2015,52903.234
bra,2016,51278.696
bra,2017,60905.76
bra,2018,56404.721
bra,2019,55489.315
bra,2020,46084.532
bra,2021,49038.069
bra,2022,56387.815
bra,2023,
bra,2024,
can,2000,
can,2001,
can,2002,
can,2003,
can,2004,
can,2005,
can,2006,
can,2007,
can,2008,62658.438
can,2009,59660.874
can,2010,68356.596
can,2011,74770.169
can,2012,76681.713
can,2013,76303.416
can,2014,74562.764
can,2015,65533.238
can,2016,66529.112
can,2017,72247.793
can,2018,76040.004
can,2019,80692.294
can,2020,80691.037
can,2021,97085.288
can,2022,
can,2023,
can,2024,
chl,2000,
chl,2001,
chl,2002,
chl,2003,
chl,2004,
chl,2005,
chl,2006,
chl,2007,
chl,2008,6866.14
chl,2009,6249.701
chl,2010,7699.187
chl,2011,8706.577
chl,2012,9166.318
chl,2013,9526.219
chl,2014,8556.731
chl,2015,7744.192
chl,2016,7599.785
chl,2017,8111.753
chl,2018,8224.947
chl,2019,7767.798
chl,2020,6805.282
chl,2021,8019.773
chl,2022,7840.131
chl,2023,8684.2
chl,2024,8143.79
col,2000,
col,2001,
col,2002,
col,2003,
col,2004,
col,2005,
col,2006,
col,2007,
col,2008,8713.894
col,2009,8147.948
col,2010,9779.897
col,2011,10612.458
col,2012,11513.83
col,2013,11820.889
col,2014,11661.557
col,2015,8739.208
col,2016,8222.554
col,2017,9087.284
col,2018,9590.947
col,2019,8953.194
col,2020,7825.573
col,2021,8637.524
col,2022,8488.57
col,2023,8764.539
col,2024,
cri,2000,
cri,2001,
cri,2002,
cri,2003,
cri,2004,
cri,2005,
cri,2006,
cri,2007,
cri,2008,926.613
cri,2009,948.552
cri,2010,1255.641
cri,2011,1475.637
cri,2012,1630.444
cri,2013,1809.59
cri,2014,2047.218
cri,2015,2307.373
cri,2016,2425.404
cri,2017,2732.085
cri,2018,2717.176
cri,2019,2840.264
cri,2020,2887.315
cri,2021,3014.595
cri,2022,3507.581
cri,2023,4412.044
cri,2024,4993.319
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,10760.871
cze,2009,9680.008
cze,2010,9484.743
cze,2011,10347.867
cze,2012,9275.342
cze,2013,9256.444
cze,2014,9211.273
cze,2015,8373.19
cze,2016,8972.33
cze,2017,10378.959
cze,2018,12510.126
cze,2019,14072.671
cze,2020,14851.8
cze,2021,18095.626
cze,2022,18460.376
cze,2023,21294.046
cze,2024,21838.293
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,13778.585
dnk,2009,13588.113
dnk,2010,13230.766
dnk,2011,13747.777
dnk,2012,12685.495
dnk,2013,13973.662
dnk,2014,13838.549
dnk,2015,12154.35
dnk,2016,12834.7
dnk,2017,13295.112
dnk,2018,14090.564
dnk,2019,14451.756
dnk,2020,15195.172
dnk,2021,17337.287
dnk,2022,15949.856
dnk,2023,17704.819
dnk,2024,18892.594
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,1072.92
est,2009,945.603
est,2010,902.606
est,2011,1029.307
est,2012,1033.7
est,2013,1127.59
est,2014,1203.57
est,2015,1085.325
est,2016,1169.168
est,2017,1343.319
est,2018,1656.182
est,2019,1818.688
est,2020,2076.893
est,2021,2281.971
est,2022,2491.087
est,2023,2776.424
est,2024,3195.049
eu,2000,
eu,2001,
eu,2002,
eu,2003,
eu,2004,
eu,2005,
eu,2006,
eu,2007,
eu,2008,684069.98
eu,2009,630981.606
eu,2010,602214.547
eu,2011,650886.444
eu,2012,606054.855
eu,2013,633622.924
eu,2014,643835.083
eu,2015,559755.842
eu,2016,580100.161
eu,2017,624265.104
eu,2018,696149.518
eu,2019,707916.005
eu,2020,741678.492
eu,2021,856647.058
eu,2022,806312.344
eu,2023,890187.667
eu,2024,950583.698
fin,2000,
fin,2001,
fin,2002,
fin,2003,
fin,2004,
fin,2005,
fin,2006,
fin,2007,
fin,2008,12088.139
fin,2009,11279.605
fin,2010,10881.482
fin,2011,11933.232
fin,2012,11497.574
fin,2013,12344.857
fin,2014,13045.878
fin,2015,11411.34
fin,2016,11820.618
fin,2017,12801.547
fin,2018,13830.158
fin,2019,13775.134
fin,2020,14471.625
fin,2021,16317.085
fin,2022,14810.076
fin,2023,16286.068
fin,2024,17138.412
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,140198.147
fra,2009,130118.694
fra,2010,124130.564
fra,2011,132024.311
fra,2012,121693.641
fra,2013,125515.522
fra,2014,125891.391
fra,2015,108696.093
fra,2016,112487.59
fra,2017,120699.882
fra,2018,132554.704
fra,2019,131187.188
fra,2020,131848.837
fra,2021,147657.322
fra,2022,135637.403
fra,2023,146357.818
fra,2024,157036.521
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,159669.626
deu,2009,144908.13
deu,2010,134964.585
deu,2011,154498.681
deu,2012,148163.114
deu,2013,160414.081
deu,2014,166599.312
