country,year,loner_lop_parti_rep
cyp,2009,1220.8
cyp,2010,1249.4
cyp,2011,1291
cyp,2012,1220.9
cyp,2013,1067.2
cyp,2014,1057.9
cyp,2015,1072.9
cyp,2016,1079.6
cyp,2017,1136.2
cyp,2018,1269
cyp,2019,1372.6
cyp,2020,1291.6
cyp,2021,1372.7
cyp,2022,1524
cyp,2023,1597.5
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,1874.3
lva,2009,1354.9
lva,2010,1160.1
lva,2011,1182.8
lva,2012,1309
lva,2013,1396
lva,2014,1508.7
lva,2015,1652.9
lva,2016,1754.5
lva,2017,1875.3
lva,2018,2022.6
lva,2019,2161.9
lva,2020,2146.9
lva,2021,2275.4
lva,2022,2629.8
lva,2023,3006
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,2528.2
ltu,2009,2086.6
ltu,2010,2033.6
ltu,2011,2141.4
ltu,2012,2269.9
ltu,2013,2457.1
ltu,2014,2595.1
ltu,2015,2789.9
ltu,2016,3027.4
ltu,2017,3261.4
ltu,2018,3510.5
ltu,2019,3840.6
ltu,2020,3866.6
ltu,2021,4367.7
ltu,2022,5007.3
ltu,2023,5409
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,1655.4
lux,2009,1710.7
lux,2010,1782.4
lux,2011,1979.1
lux,2012,2053.1
lux,2013,2130.4
lux,2014,2262.4
lux,2015,2236.3
lux,2016,2229.7
lux,2017,2352.6
lux,2018,2420.4
lux,2019,2526.8
lux,2020,2459.6
lux,2021,2663
lux,2022,2829.5
lux,2023,2809.7
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,5945.7
hun,2009,5151.7
hun,2010,5225.2
hun,2011,5428.7
hun,2012,5486
hun,2013,5411.9
hun,2014,5355.6
hun,2015,5356.3
hun,2016,5574.6
hun,2017,6079.9
hun,2018,6392.1
hun,2019,7037.3
hun,2020,6515.2
hun,2021,6897.9
hun,2022,7821.7
hun,2023,9130.4
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,289.4
mlt,2009,274.9
mlt,2010,293
mlt,2011,323.6
mlt,2012,330.5
mlt,2013,354.4
mlt,2014,353.6
mlt,2015,398.8
mlt,2016,446
mlt,2017,479.6
mlt,2018,548.4
mlt,2019,582.3
mlt,2020,597.3
mlt,2021,632.7
mlt,2022,748.3
mlt,2023,816.2
mlt,2024,933
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,38522
nld,2009,38793
nld,2010,39069
nld,2011,40457
nld,2012,41498
nld,2013,41368
nld,2014,41653
nld,2015,42405
nld,2016,43798
nld,2017,45431
nld,2018,47807
nld,2019,50195
nld,2020,51581
nld,2021,53874
nld,2022,57725
nld,2023,61575
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,17663.7
aut,2009,17915.5
aut,2010,18249.9
aut,2011,19160.9
aut,2012,19998.3
aut,2013,20516.4
aut,2014,21088.5
aut,2015,21444.6
aut,2016,22185.9
aut,2017,22757.1
aut,2018,23677
aut,2019,24649.5
aut,2020,24621
aut,2021,25956.5
aut,2022,27899
aut,2023,29830.8
aut,2024,
pol,2000,
pol,2001,
pol,2002,
pol,2003,
pol,2004,
pol,2005,
pol,2006,
pol,2007,
pol,2008,17464.2
pol,2009,14445.9
pol,2010,17093.4
pol,2011,17521
pol,2012,17887.3
pol,2013,18055
pol,2014,19181.9
pol,2015,20408.2
pol,2016,21077.9
pol,2017,23303
pol,2018,26670.9
pol,2019,28770
pol,2020,29242
pol,2021,30457.6
pol,2022,32542.6
pol,2023,36164.2
pol,2024,
prt,2000,
prt,2001,
prt,2002,
prt,2003,
prt,2004,
prt,2005,
prt,2006,
prt,2007,
prt,2008,11250.8
prt,2009,11046.9
prt,2010,11418.8
prt,2011,11332.9
prt,2012,10562.4
prt,2013,10248.4
prt,2014,10600.2
prt,2015,11120
prt,2016,11463.4
prt,2017,12023
prt,2018,12681.2
prt,2019,13442.2
prt,2020,13398
prt,2021,14115
prt,2022,15306.8
prt,2023,
prt,2024,
rou,2000,
rou,2001,
rou,2002,
rou,2003,
rou,2004,
rou,2005,
rou,2006,
rou,2007,
rou,2008,4927.2
rou,2009,5501.2
rou,2010,4997.7
rou,2011,5631.1
rou,2012,5685.5
rou,2013,6058.7
rou,2014,6478.1
rou,2015,6894.6
rou,2016,8644.6
rou,2017,10072.6
rou,2018,11247.6
rou,2019,12001.6
rou,2020,11923.3
rou,2021,12639.6
rou,2022,15201.3
rou,2023,17211.3
rou,2024,
svn,2000,
svn,2001,
svn,2002,
svn,2003,
svn,2004,
svn,2005,
svn,2006,
svn,2007,
svn,2008,2408.5
svn,2009,2377
svn,2010,2419.4
svn,2011,2402.6
svn,2012,2346
svn,2013,2317.3
svn,2014,2323
svn,2015,2420.1
svn,2016,2544.8
svn,2017,2688.7
svn,2018,2889.8
svn,2019,3078.7
svn,2020,3130.1
svn,2021,3408.5
svn,2022,3706.2
svn,2023,4113.9
svn,2024,
svk,2000,
svk,2001,
svk,2002,
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,3719.5
svk,2009,3764.4
svk,2010,3956.6
svk,2011,4198.2
svk,2012,4285.4
svk,2013,4157.9
svk,2014,4407.4
svk,2015,4638.1
svk,2016,4645.2
svk,2017,5089.2
svk,2018,5479.1
svk,2019,5824.1
svk,2020,5859.3
svk,2021,6172
svk,2022,6662.2
svk,2023,7232.9
svk,2024,7583.7
fin,2000,
fin,2001,
fin,2002,
fin,2003,
fin,2004,
fin,2005,
fin,2006,
fin,2007,
fin,2008,9883
fin,2009,9740
fin,2010,9545
fin,2011,10098
fin,2012,10555
fin,2013,10744
fin,2014,10752
fin,2015,10747
fin,2016,10909
fin,2017,10925
fin,2018,11159
fin,2019,11417
fin,2020,11108
fin,2021,11899
fin,2022,12461
fin,2023,12762
fin,2024,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,19694.9
swe,2009,18001.3
swe,2010,20821.4
swe,2011,23285
swe,2012,25252.4
swe,2013,26284.8
swe,2014,26093.1
swe,2015,26185.2
swe,2016,26975.5
swe,2017,27322.7
swe,2018,26989.6
swe,2019,27093.2
swe,2020,27453.2
swe,2021,29771.4
swe,2022,30383.3
swe,2023,29411
swe,2024,
