country,year,foradl_lop_gummi
cyp,2014,93.8
cyp,2015,107.4
cyp,2016,129.7
cyp,2017,136
cyp,2018,152.8
cyp,2019,172.7
cyp,2020,187.8
cyp,2021,180.8
cyp,2022,170.9
cyp,2023,
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,214.4
lva,2009,152.4
lva,2010,177
lva,2011,217.8
lva,2012,237.8
lva,2013,265.2
lva,2014,256.1
lva,2015,239.7
lva,2016,254.6
lva,2017,279.6
lva,2018,298.8
lva,2019,324.8
lva,2020,312.4
lva,2021,351.1
lva,2022,354.3
lva,2023,
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,531.8
ltu,2009,331.5
ltu,2010,393.2
ltu,2011,485.7
ltu,2012,540.8
ltu,2013,624.5
ltu,2014,661.1
ltu,2015,619.5
ltu,2016,668.8
ltu,2017,707
ltu,2018,760.3
ltu,2019,764.6
ltu,2020,718.5
ltu,2021,833.7
ltu,2022,915.1
ltu,2023,
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,
lux,2009,
lux,2010,
lux,2011,
lux,2012,
lux,2013,
lux,2014,
lux,2015,
lux,2016,
lux,2017,
lux,2018,
lux,2019,
lux,2020,
lux,2021,
lux,2022,
lux,2023,
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,1855.5
hun,2009,1462.1
hun,2010,1588.8
hun,2011,1662.3
hun,2012,1728.7
hun,2013,1792
hun,2014,1929.1
hun,2015,2144.7
hun,2016,2281.4
hun,2017,2352.9
hun,2018,2620.7
hun,2019,2801.9
hun,2020,2667
hun,2021,2878.2
hun,2022,2747.9
hun,2023,3139.5
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,73.7
mlt,2009,58.2
mlt,2010,63.7
mlt,2011,66.5
mlt,2012,70
mlt,2013,76.5
mlt,2014,68.7
mlt,2015,75.1
mlt,2016,93.2
mlt,2017,104.6
mlt,2018,119.1
mlt,2019,131.6
mlt,2020,140.6
mlt,2021,161.8
mlt,2022,150.7
mlt,2023,155.4
mlt,2024,144.7
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,4717
nld,2009,4671
nld,2010,4171
nld,2011,4370
nld,2012,4179
nld,2013,4173
nld,2014,4358
nld,2015,4354
nld,2016,4810
nld,2017,4936
nld,2018,5110
nld,2019,5254
nld,2020,5453
nld,2021,5612
nld,2022,5921
nld,2023,6357
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,4765.1
aut,2009,4317.3
aut,2010,4510.4
aut,2011,4752.1
aut,2012,4665.4
aut,2013,4798.3
aut,2014,5090.8
aut,2015,4998.8
aut,2016,5249.4
aut,2017,5345
aut,2018,5257.2
aut,2019,5571.3
aut,2020,5118.6
aut,2021,5266
aut,2022,5462.5
aut,2023,5566.3
aut,2024,
pol,2000,
pol,2001,
pol,2002,
pol,2003,
pol,2004,
pol,2005,
pol,2006,
pol,2007,
pol,2008,8452.5
pol,2009,6992.3
pol,2010,7896.7
pol,2011,8122.6
pol,2012,8262.2
pol,2013,8049.6
pol,2014,9023
pol,2015,9876.2
pol,2016,10237.4
pol,2017,10460.2
pol,2018,11170.7
pol,2019,12033
pol,2020,12559.3
pol,2021,14170.9
pol,2022,15251.3
pol,2023,
pol,2024,
prt,2000,
prt,2001,
prt,2002,
prt,2003,
prt,2004,
prt,2005,
prt,2006,
prt,2007,
prt,2008,2566.9
prt,2009,2476.8
prt,2010,2481
prt,2011,2378.1
prt,2012,2259.7
prt,2013,2257.6
prt,2014,2291.7
prt,2015,2449.4
prt,2016,2531.6
prt,2017,2706.7
prt,2018,2849.5
prt,2019,3053.5
prt,2020,3143.9
prt,2021,3381.7
prt,2022,3715.1
prt,2023,
prt,2024,
rou,2000,
rou,2001,
rou,2002,
rou,2003,
rou,2004,
rou,2005,
rou,2006,
rou,2007,
rou,2008,3143.9
rou,2009,2277.9
rou,2010,1121.1
rou,2011,1173.8
rou,2012,1986.4
rou,2013,2220.6
rou,2014,2253.7
rou,2015,2475.6
rou,2016,2776.2
rou,2017,2934.8
rou,2018,3141.6
rou,2019,3334.8
rou,2020,2843
rou,2021,4000.1
rou,2022,4452.3
rou,2023,4704.1
rou,2024,
svn,2000,
svn,2001,
svn,2002,
svn,2003,
svn,2004,
svn,2005,
svn,2006,
svn,2007,
svn,2008,764.9
svn,2009,662.2
svn,2010,681.3
svn,2011,695.2
svn,2012,672
svn,2013,723
svn,2014,778.8
svn,2015,840.6
svn,2016,912.5
svn,2017,970.7
svn,2018,1038.7
svn,2019,1098
svn,2020,1057.6
svn,2021,1169.4
svn,2022,1218.8
svn,2023,1371.9
svn,2024,
svk,2000,
svk,2001,
svk,2002,
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,1356.3
svk,2009,1214.4
svk,2010,1157.6
svk,2011,1376.5
svk,2012,1497.6
svk,2013,1583.6
svk,2014,1702.9
svk,2015,1783.7
svk,2016,1910.7
svk,2017,1923.5
svk,2018,1954.7
svk,2019,2149.7
svk,2020,1974.5
svk,2021,2009.9
svk,2022,2112.2
svk,2023,2233.9
svk,2024,
fin,2000,
fin,2001,
fin,2002,
fin,2003,
fin,2004,
fin,2005,
fin,2006,
fin,2007,
fin,2008,2486
fin,2009,1922
fin,2010,1987
fin,2011,2225
fin,2012,2188
fin,2013,2054
fin,2014,2031
fin,2015,2037
fin,2016,2122
fin,2017,2204
fin,2018,2266
fin,2019,2252
fin,2020,2178
fin,2021,2156
fin,2022,2155
fin,2023,2234
fin,2024,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,2912.8
swe,2009,2207.6
swe,2010,2887
swe,2011,3451.8
swe,2012,3481.9
swe,2013,3209
swe,2014,3153
swe,2015,3288.2
swe,2016,3247.9
swe,2017,3397.5
swe,2018,3103
swe,2019,3154.8
swe,2020,3295.1
swe,2021,3394.2
swe,2022,3342.6
swe,2023,
swe,2024,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,87.2
isl,2009,44.3
isl,2010,39.2
isl,2011,39
isl,2012,40.7
isl,2013,45.9
isl,2014,57.8
isl,2015,77.4
isl,2016,95.5
isl,2017,126.4
isl,2018,128.7
isl,2019,120.3
isl,2020,105.1
isl,2021,118.9
isl,2022,144
isl,2023,146.2
isl,2024,
lie,2000,
lie,2001,
lie,2002,
lie,2003,
lie,2004,
lie,2005,
lie,2006,
lie,2007,
lie,2008,
lie,2009,
lie,2010,
lie,2011,
lie,2012,
lie,2013,
lie,2014,
lie,2015,
lie,2016,178.3
lie,2017,175.9
lie,2018,157.9
lie,2019,99.3
lie,2020,-36.2
lie,2021,4.4
lie,2022,
lie,2023,
lie,2024,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,1549.4
nor,2009,1264.7
nor,2010,1369.3
nor,2011,1543
nor,2012,1683.2
nor,2013,1644.1
nor,2014,1680.2
nor,2015,1541.5
nor,2016,1562.7
nor,2017,1638.1
nor,2018,1578.4
nor,2019,1581.8
nor,2020,1489.5
nor,2021,1565.5
nor,2022,1773.2
nor,2023,1806.6
nor,2024,1708.7
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,3755.3
che,2009,3750.7
che,2010,4204.4
che,2011,4734.5
che,2012,4652.8
che,2013,4730.2
che,2014,4847.1
che,2015,4935.6
che,2016,4920.9
che,2017,4797.8
che,2018,4635.6
che,2019,4862
che,2020,5115.6
che,2021,5342.2
che,2022,5806.2
che,2023,5816.6
che,2024,
gbr,2000,
gbr,2001,
gbr,2002,
gbr,2003,
gbr,2004,
gbr,2005,
gbr,2006,
gbr,2007,
gbr,2008,13855.7
gbr,2009,11955.9
gbr,2010,12892.8
gbr,2011,12885.4
gbr,2012,14271.1
gbr,2013,14823.5
gbr,2014,15614.3
gbr,2015,18972.5
gbr,2016,16597.1
gbr,2017,15255.5
gbr,2018,15408.4
gbr,2019,
gbr,2020,
gbr,2021,
gbr,2022,
gbr,2023,
gbr,2024,
bih,2000,
bih,2001,
bih,2002,
bih,2003,
bih,2004,
bih,2005,
bih,2006,
bih,2007,
bih,2008,193.8
bih,2009,179.1
bih,2010,162
bih,2011,150.9
bih,2012,152.5
bih,2013,154.1
bih,2014,154.7
bih,2015,157.1
bih,2016,170.2
bih,2017,184.4
bih,2018,205.5
bih,2019,230.3
bih,2020,254.4
bih,2021,286.6
bih,2022,336.1
bih,2023,397.7
bih,2024,
mne,2000,
mne,2001,
mne,2002,
mne,2003,
mne,2004,
mne,2005,
mne,2006,
mne,2007,
mne,2008,
mne,2009,
mne,2010,
mne,2011,
mne,2012,
mne,2013,
mne,2014,
mne,2015,
mne,2016,
mne,2017,
mne,2018,
mne,2019,
mne,2020,
mne,2021,
mne,2022,
mne,2023,
mne,2024,
mkd,2000,
mkd,2001,
mkd,2002,
mkd,2003,
mkd,2004,
mkd,2005,
mkd,2006,
mkd,2007,
mkd,2008,71.1
mkd,2009,65.2
mkd,2010,86.9
mkd,2011,103.9
mkd,2012,92
mkd,2013,90.1
mkd,2014,97.4
mkd,2015,101.1
mkd,2016,108.4
mkd,2017,108
mkd,2018,116.9
mkd,2019,124
mkd,2020,134.8
mkd,2021,136.3
mkd,2022,
mkd,2023,
mkd,2024,
alb,2000,
alb,2001,
alb,2002,
alb,2003,
alb,2004,
alb,2005,
alb,2006,
alb,2007,
alb,2008,
alb,2009,
alb,2010,
alb,2011,
alb,2012,
alb,2013,
alb,2014,
alb,2015,
alb,2016,
alb,2017,
alb,2018,
alb,2019,
alb,2020,
alb,2021,
alb,2022,
alb,2023,
alb,2024,
srb,2000,
srb,2001,
srb,2002,
srb,2003,
srb,2004,
srb,2005,
