country,year,loner_lop_maskin_rep
cyp,2021,76.9
cyp,2022,84.1
cyp,2023,
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,75.8
lva,2009,64.7
lva,2010,59.7
lva,2011,58.6
lva,2012,72.2
lva,2013,76.9
lva,2014,67.4
lva,2015,67.2
lva,2016,70.3
lva,2017,77
lva,2018,58.7
lva,2019,69.9
lva,2020,69.2
lva,2021,77.3
lva,2022,102.2
lva,2023,
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,117.8
ltu,2009,108.3
ltu,2010,98.3
ltu,2011,114.5
ltu,2012,122.4
ltu,2013,133.9
ltu,2014,147
ltu,2015,151.1
ltu,2016,155.7
ltu,2017,177.3
ltu,2018,219.5
ltu,2019,278.1
ltu,2020,267.4
ltu,2021,267.9
ltu,2022,317.5
ltu,2023,
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,
lux,2009,
lux,2010,
lux,2011,
lux,2012,
lux,2013,
lux,2014,
lux,2015,
lux,2016,
lux,2017,
lux,2018,
lux,2019,
lux,2020,
lux,2021,
lux,2022,
lux,2023,
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,236.7
hun,2009,284.7
hun,2010,297.6
hun,2011,298.9
hun,2012,301.8
hun,2013,291.8
hun,2014,251.8
hun,2015,261.3
hun,2016,294.7
hun,2017,331.3
hun,2018,359.3
hun,2019,413.9
hun,2020,395.3
hun,2021,422
hun,2022,459.9
hun,2023,546
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,97.9
mlt,2009,50.1
mlt,2010,30.1
mlt,2011,
mlt,2012,
mlt,2013,
mlt,2014,
mlt,2015,37.2
mlt,2016,37.3
mlt,2017,41.1
mlt,2018,
mlt,2019,50.9
mlt,2020,49.5
mlt,2021,53.8
mlt,2022,52.3
mlt,2023,59.9
mlt,2024,75.8
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,1814
nld,2009,1840
nld,2010,1811
nld,2011,1904
nld,2012,1978
nld,2013,1972
nld,2014,2021
nld,2015,2118
nld,2016,2214
nld,2017,2365
nld,2018,2508
nld,2019,2603
nld,2020,2579
nld,2021,2571
nld,2022,2677
nld,2023,2920
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,859.5
aut,2009,873.7
aut,2010,1167
aut,2011,1211.7
aut,2012,1282.8
aut,2013,1302.7
aut,2014,1310.4
aut,2015,1303.2
aut,2016,1353.3
aut,2017,1399.5
aut,2018,1482.1
aut,2019,1572.4
aut,2020,1575.8
aut,2021,1645.6
aut,2022,1742.7
aut,2023,1911.4
aut,2024,
pol,2000,
pol,2001,
pol,2002,
pol,2003,
pol,2004,
pol,2005,
pol,2006,
pol,2007,
pol,2008,1458.4
pol,2009,1124.9
pol,2010,1312.7
pol,2011,1326
pol,2012,1499.5
pol,2013,1627.6
pol,2014,1729.8
pol,2015,1888.8
pol,2016,1832.1
pol,2017,2019.5
pol,2018,2155.8
pol,2019,2335
pol,2020,2316
pol,2021,2378.4
pol,2022,2731.3
pol,2023,
pol,2024,
prt,2000,
prt,2001,
prt,2002,
prt,2003,
prt,2004,
prt,2005,
prt,2006,
prt,2007,
prt,2008,507.9
prt,2009,489.6
prt,2010,496.4
prt,2011,500.3
prt,2012,478.4
prt,2013,460.6
prt,2014,483.9
prt,2015,518.7
prt,2016,531
prt,2017,565.1
prt,2018,651.6
prt,2019,689.4
prt,2020,655.9
prt,2021,700.3
prt,2022,739.4
prt,2023,
prt,2024,
rou,2000,
rou,2001,
rou,2002,
rou,2003,
rou,2004,
rou,2005,
rou,2006,
rou,2007,
rou,2008,142.4
rou,2009,252.8
rou,2010,612.1
rou,2011,563.4
rou,2012,541.1
rou,2013,506.2
rou,2014,511.1
rou,2015,546.8
rou,2016,577.6
rou,2017,660.2
rou,2018,646.9
rou,2019,648.8
rou,2020,599
rou,2021,576.3
rou,2022,617.8
rou,2023,727.4
rou,2024,
svn,2000,
svn,2001,
svn,2002,
svn,2003,
svn,2004,
svn,2005,
svn,2006,
svn,2007,
svn,2008,110.8
svn,2009,103.6
svn,2010,117.2
svn,2011,149.8
svn,2012,198.2
svn,2013,209
svn,2014,231.2
svn,2015,241.2
svn,2016,257.3
svn,2017,273.1
svn,2018,308.6
svn,2019,328
svn,2020,300.9
svn,2021,314.5
svn,2022,338.2
svn,2023,382.1
svn,2024,
svk,2000,
svk,2001,
svk,2002,
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,285.2
svk,2009,254.7
svk,2010,264.2
svk,2011,274.4
svk,2012,289.1
svk,2013,297.5
svk,2014,286.2
svk,2015,299.7
svk,2016,306.3
svk,2017,302.7
svk,2018,324.2
svk,2019,327.8
svk,2020,306.8
svk,2021,338.2
svk,2022,367.2
svk,2023,407.4
svk,2024,
fin,2000,
fin,2001,
fin,2002,
fin,2003,
fin,2004,
fin,2005,
fin,2006,
fin,2007,
fin,2008,1024
fin,2009,989
fin,2010,960
fin,2011,1027
fin,2012,1064
fin,2013,1031
fin,2014,988
fin,2015,1036
fin,2016,1003
fin,2017,1030
fin,2018,1108
fin,2019,1166
fin,2020,1157
fin,2021,1209
fin,2022,1317
fin,2023,1418
fin,2024,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,855.8
swe,2009,748.9
swe,2010,765.2
swe,2011,863.9
swe,2012,919.3
swe,2013,906.1
swe,2014,847.6
swe,2015,851.9
swe,2016,874.8
swe,2017,891
swe,2018,868.4
swe,2019,829.3
swe,2020,885.8
swe,2021,965.9
swe,2022,1029.3
swe,2023,
swe,2024,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,38.6
isl,2009,30.4
isl,2010,34.5
isl,2011,47
isl,2012,51.3
isl,2013,55.4
isl,2014,60.2
isl,2015,69.4
isl,2016,81.6
isl,2017,86.2
isl,2018,84
isl,2019,83.8
isl,2020,69.3
isl,2021,76.6
isl,2022,87.9
isl,2023,102.3
isl,2024,
lie,2000,
lie,2001,
lie,2002,
lie,2003,
lie,2004,
lie,2005,
lie,2006,
lie,2007,
lie,2008,
lie,2009,
lie,2010,
lie,2011,
lie,2012,
lie,2013,
lie,2014,
lie,2015,
lie,2016,
lie,2017,
lie,2018,
lie,2019,
lie,2020,
lie,2021,
lie,2022,
lie,2023,
lie,2024,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,1361.7
nor,2009,1134.1
nor,2010,1301.1
nor,2011,1418.5
nor,2012,1631.4
nor,2013,1755.5
nor,2014,1730.8
nor,2015,1629.7
nor,2016,1497
nor,2017,1493
nor,2018,1515.5
nor,2019,1680.6
nor,2020,1435.4
nor,2021,1556.3
nor,2022,1680
nor,2023,
nor,2024,
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,
che,2009,
che,2010,
che,2011,
che,2012,
che,2013,
che,2014,
che,2015,
che,2016,
che,2017,
che,2018,
che,2019,
che,2020,
che,2021,
che,2022,
che,2023,
che,2024,
gbr,2000,
gbr,2001,
gbr,2002,
gbr,2003,
gbr,2004,
gbr,2005,
gbr,2006,
gbr,2007,
gbr,2008,4963.1
gbr,2009,4159.7
gbr,2010,4538.1
gbr,2011,4762.2
gbr,2012,5547.1
gbr,2013,6218.4
gbr,2014,6337.8
gbr,2015,6679.2
gbr,2016,6478.5
gbr,2017,6126.6
gbr,2018,6302.6
gbr,2019,
gbr,2020,
gbr,2021,
gbr,2022,
gbr,2023,
gbr,2024,
bih,2000,
bih,2001,
bih,2002,
bih,2003,
bih,2004,
bih,2005,
bih,2006,
bih,2007,
bih,2008,14.2
bih,2009,20.8
bih,2010,19.1
bih,2011,18.3
bih,2012,18.1
bih,2013,18.1
bih,2014,17
bih,2015,21.4
bih,2016,20
bih,2017,16.3
bih,2018,18.5
bih,2019,23.6
bih,2020,22.4
bih,2021,30.3
