country,year,foradl_fast_sport
cyp,2018,110.5
cyp,2019,113.6
cyp,2020,70.4
cyp,2021,96.4
cyp,2022,145.1
cyp,2023,
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,125.5
lva,2009,95.3
lva,2010,123.2
lva,2011,108.8
lva,2012,136.9
lva,2013,152.4
lva,2014,115
lva,2015,119.2
lva,2016,130.5
lva,2017,136.2
lva,2018,139.2
lva,2019,138.2
lva,2020,103.1
lva,2021,104.6
lva,2022,121.7
lva,2023,
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,56.2
ltu,2009,49.8
ltu,2010,43.3
ltu,2011,46.1
ltu,2012,48.9
ltu,2013,52.9
ltu,2014,59.9
ltu,2015,72.6
ltu,2016,82
ltu,2017,92.3
ltu,2018,109
ltu,2019,115.6
ltu,2020,86.1
ltu,2021,96.2
ltu,2022,126.8
ltu,2023,
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,124
lux,2009,131.4
lux,2010,141.4
lux,2011,140.9
lux,2012,156.7
lux,2013,158.6
lux,2014,153.7
lux,2015,163.2
lux,2016,152.4
lux,2017,163.5
lux,2018,152.6
lux,2019,173
lux,2020,160.7
lux,2021,176.7
lux,2022,193.9
lux,2023,192.5
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,251.2
hun,2009,219.6
hun,2010,242.7
hun,2011,248.7
hun,2012,258.1
hun,2013,272.2
hun,2014,311.9
hun,2015,321.3
hun,2016,345.4
hun,2017,452.5
hun,2018,530.6
hun,2019,598.6
hun,2020,582.7
hun,2021,615.7
hun,2022,747
hun,2023,761.5
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,27.3
mlt,2009,23.7
mlt,2010,27.1
mlt,2011,29.2
mlt,2012,32.8
mlt,2013,32.5
mlt,2014,31.8
mlt,2015,31.5
mlt,2016,34.2
mlt,2017,36.6
mlt,2018,40.6
mlt,2019,37.8
mlt,2020,33.8
mlt,2021,42.4
mlt,2022,51.9
mlt,2023,58.5
mlt,2024,63.1
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,2796
nld,2009,2783.5
nld,2010,2769
nld,2011,2825
nld,2012,2878.8
nld,2013,2843
nld,2014,2834.8
nld,2015,2832.6
nld,2016,2808.7
nld,2017,2854.6
nld,2018,2890.8
nld,2019,2892.9
nld,2020,1701
nld,2021,1699
nld,2022,3349.2
nld,2023,3524.7
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,1649.4
aut,2009,1544.3
aut,2010,1551.3
aut,2011,1528.5
aut,2012,1514
aut,2013,1514.1
aut,2014,1484.7
aut,2015,1470.8
aut,2016,1334.3
aut,2017,1326.2
aut,2018,1339.4
aut,2019,1336.2
aut,2020,898.7
aut,2021,957.7
aut,2022,1422.7
aut,2023,1502.7
aut,2024,
pol,2000,
pol,2001,
pol,2002,
pol,2003,
pol,2004,
pol,2005,
pol,2006,
pol,2007,
pol,2008,939.7
pol,2009,998
pol,2010,1069.8
pol,2011,1047
pol,2012,1061
pol,2013,993.9
pol,2014,1003.8
pol,2015,1095.7
pol,2016,1200.1
pol,2017,1228.7
pol,2018,1452.8
pol,2019,1440.2
pol,2020,1335.8
pol,2021,1425.2
pol,2022,1372.3
pol,2023,
pol,2024,
prt,2000,
prt,2001,
prt,2002,
prt,2003,
prt,2004,
prt,2005,
prt,2006,
prt,2007,
prt,2008,565.4
prt,2009,566.2
prt,2010,598.5
prt,2011,570.8
prt,2012,535
prt,2013,544.4
prt,2014,575.2
prt,2015,647.5
prt,2016,672
prt,2017,812.8
prt,2018,847.7
prt,2019,915.5
prt,2020,568.2
prt,2021,647.9
prt,2022,932
prt,2023,
prt,2024,
rou,2000,
rou,2001,
rou,2002,
rou,2003,
rou,2004,
rou,2005,
rou,2006,
rou,2007,
rou,2008,641.5
rou,2009,1045.3
rou,2010,198.3
rou,2011,85.3
rou,2012,213.2
rou,2013,351.9
rou,2014,297.9
rou,2015,386.2
rou,2016,488.1
rou,2017,607.1
rou,2018,622.7
rou,2019,654.8
rou,2020,569
rou,2021,709.8
rou,2022,664.2
rou,2023,733.7
rou,2024,
svn,2000,
svn,2001,
svn,2002,
svn,2003,
svn,2004,
svn,2005,
svn,2006,
svn,2007,
svn,2008,97.5
svn,2009,88.5
svn,2010,86.6
svn,2011,86.2
svn,2012,81.5
svn,2013,92.4
svn,2014,86.8
svn,2015,81.6
svn,2016,100.3
svn,2017,102
svn,2018,102.1
svn,2019,110.1
svn,2020,94.3
svn,2021,109.4
svn,2022,122.4
svn,2023,115.5
svn,2024,
svk,2000,
svk,2001,
svk,2002,
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,212.7
svk,2009,195.9
svk,2010,206.7
svk,2011,250.1
svk,2012,283.8
svk,2013,243.7
svk,2014,226.6
svk,2015,277.5
svk,2016,293
svk,2017,244.2
svk,2018,264.4
svk,2019,225.9
svk,2020,182.4
svk,2021,139
svk,2022,168.1
svk,2023,141.3
svk,2024,
fin,2000,
fin,2001,
fin,2002,
fin,2003,
fin,2004,
fin,2005,
fin,2006,
fin,2007,
fin,2008,1137.3
fin,2009,1127.2
fin,2010,1132.3
fin,2011,1168.6
fin,2012,1150.4
fin,2013,1167.6
fin,2014,1175.7
fin,2015,1193.9
fin,2016,1264.7
fin,2017,1344.5
fin,2018,1400.1
fin,2019,1470.9
fin,2020,1294
fin,2021,1348.6
fin,2022,1505.3
fin,2023,1607.4
fin,2024,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,2239
swe,2009,2268.6
swe,2010,2267.9
swe,2011,2266
swe,2012,2342.4
swe,2013,2367.6
swe,2014,2386.3
swe,2015,2451
swe,2016,2583.9
swe,2017,2748.1
swe,2018,2806.2
