country,year,foradl_lop_basmet
cyp,2019,23.7
cyp,2020,26.5
cyp,2021,36.3
cyp,2022,27.7
cyp,2023,
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,83.2
lva,2009,47
lva,2010,86.7
lva,2011,96.7
lva,2012,57.2
lva,2013,-38.5
lva,2014,-1.1
lva,2015,22.5
lva,2016,16.4
lva,2017,2.6
lva,2018,15.6
lva,2019,35
lva,2020,32.8
lva,2021,23.4
lva,2022,35.3
lva,2023,
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,27.5
ltu,2009,19.2
ltu,2010,25.3
ltu,2011,37.4
ltu,2012,40.7
ltu,2013,43.3
ltu,2014,23.6
ltu,2015,21.4
ltu,2016,18.6
ltu,2017,21.4
ltu,2018,19.8
ltu,2019,13.3
ltu,2020,12.6
ltu,2021,18.1
ltu,2022,17.4
ltu,2023,
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,
lux,2009,
lux,2010,
lux,2011,
lux,2012,
lux,2013,
lux,2014,
lux,2015,
lux,2016,
lux,2017,
lux,2018,
lux,2019,
lux,2020,
lux,2021,
lux,2022,
lux,2023,
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,717.2
hun,2009,278.3
hun,2010,417.3
hun,2011,455.8
hun,2012,393.8
hun,2013,423.5
hun,2014,476.9
hun,2015,572.6
hun,2016,616.6
hun,2017,721.3
hun,2018,788.4
hun,2019,680.4
hun,2020,580
hun,2021,671.9
hun,2022,449.1
hun,2023,567.2
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,
mlt,2009,
mlt,2010,2
mlt,2011,1.5
mlt,2012,0.7
mlt,2013,0.7
mlt,2014,0.7
mlt,2015,0.5
mlt,2016,1
mlt,2017,1.1
mlt,2018,2.4
mlt,2019,3.5
mlt,2020,6.1
mlt,2021,5.3
mlt,2022,6.5
mlt,2023,7.4
mlt,2024,8.5
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,2682
nld,2009,1710
nld,2010,1749
nld,2011,1729
nld,2012,1843
nld,2013,1815
nld,2014,2104
nld,2015,1829
nld,2016,2067
nld,2017,2106
nld,2018,2353
nld,2019,1964
nld,2020,1666
nld,2021,2509
nld,2022,2674
nld,2023,2126
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,4154.9
aut,2009,3172.4
aut,2010,3506
aut,2011,3770
aut,2012,3928.7
aut,2013,3618.3
aut,2014,3798.7
aut,2015,4375.5
aut,2016,4085.6
aut,2017,4396.8
aut,2018,4739.4
aut,2019,4448.7
aut,2020,3711.6
aut,2021,3810.3
aut,2022,5244.5
aut,2023,5479.3
aut,2024,
pol,2000,
pol,2001,
pol,2002,
pol,2003,
pol,2004,
pol,2005,
pol,2006,
pol,2007,
pol,2008,1789.8
pol,2009,1506.6
pol,2010,1097.7
pol,2011,1658.3
pol,2012,1715.8
pol,2013,1668.9
pol,2014,2039.8
pol,2015,2219.8
pol,2016,2309.3
pol,2017,2234.9
pol,2018,2322.4
pol,2019,2186.1
pol,2020,1856.2
pol,2021,3272.4
pol,2022,3505.7
pol,2023,
pol,2024,
prt,2000,
prt,2001,
prt,2002,
prt,2003,
prt,2004,
prt,2005,
prt,2006,
prt,2007,
prt,2008,362.5
prt,2009,337.3
prt,2010,349.1
prt,2011,366.2
prt,2012,321.9
prt,2013,337.8
prt,2014,362.5
prt,2015,302.5
prt,2016,394
prt,2017,467.7
prt,2018,489.3
prt,2019,452.8
prt,2020,424.7
prt,2021,754.7
prt,2022,746.5
prt,2023,
prt,2024,
rou,2000,
rou,2001,
rou,2002,
rou,2003,
rou,2004,
rou,2005,
rou,2006,
rou,2007,
rou,2008,1071
rou,2009,578.2
rou,2010,1921.3
rou,2011,1745.2
rou,2012,1555.3
rou,2013,1302.1
rou,2014,1125.5
rou,2015,1236.2
rou,2016,1191.5
rou,2017,1520.2
rou,2018,1630.9
rou,2019,1275.6
rou,2020,774.3
rou,2021,1824
rou,2022,1520
rou,2023,726.3
rou,2024,
svn,2000,
svn,2001,
svn,2002,
svn,2003,
svn,2004,
svn,2005,
svn,2006,
svn,2007,
svn,2008,383.1
svn,2009,185.9
svn,2010,233.7
svn,2011,297.6
svn,2012,276.7
svn,2013,284.5
svn,2014,342.2
svn,2015,426.5
svn,2016,438
svn,2017,476.1
svn,2018,480.2
svn,2019,523.6
svn,2020,418.7
svn,2021,433.5
svn,2022,630.9
svn,2023,622.2
svn,2024,
svk,2000,
svk,2001,
svk,2002,
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,1153.5
svk,2009,591.5
svk,2010,975.3
svk,2011,771.3
svk,2012,846.4
svk,2013,789.7
svk,2014,750.3
svk,2015,863.7
svk,2016,940.3
svk,2017,952.5
svk,2018,1099.2
svk,2019,787.2
svk,2020,754
svk,2021,1425.5
svk,2022,1719.9
svk,2023,1184.5
svk,2024,
fin,2000,
fin,2001,
fin,2002,
fin,2003,
fin,2004,
fin,2005,
fin,2006,
fin,2007,
fin,2008,2275
fin,2009,808
fin,2010,1231
fin,2011,1292
fin,2012,1115
fin,2013,1270
fin,2014,1279
fin,2015,1565
fin,2016,1407
fin,2017,1899
fin,2018,1730
fin,2019,1444
fin,2020,1313
fin,2021,1717
fin,2022,2933
fin,2023,2081
fin,2024,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,2340.9
swe,2009,794.4
