country,year,foradl_lop_tra
cyp,2022,61.5
cyp,2023,
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,382.3
lva,2009,302.1
lva,2010,462.2
lva,2011,504
lva,2012,533.8
lva,2013,521.4
lva,2014,565.7
lva,2015,570.1
lva,2016,573.5
lva,2017,640
lva,2018,754.9
lva,2019,774.8
lva,2020,778.2
lva,2021,1257.9
lva,2022,1138.7
lva,2023,
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,348.5
ltu,2009,274.7
ltu,2010,325.3
ltu,2011,387.8
ltu,2012,391
ltu,2013,434.9
ltu,2014,467.7
ltu,2015,470
ltu,2016,496
ltu,2017,494.2
ltu,2018,530.3
ltu,2019,533.5
ltu,2020,536.3
ltu,2021,695.3
ltu,2022,900.9
ltu,2023,
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,
lux,2009,
lux,2010,
lux,2011,
lux,2012,
lux,2013,
lux,2014,
lux,2015,
lux,2016,
lux,2017,
lux,2018,
lux,2019,
lux,2020,
lux,2021,
lux,2022,
lux,2023,
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,300.7
hun,2009,215.8
hun,2010,223.6
hun,2011,220.7
hun,2012,212.1
hun,2013,217.3
hun,2014,231.4
hun,2015,249.6
hun,2016,258.5
hun,2017,282.5
hun,2018,299
hun,2019,326.1
hun,2020,327.2
hun,2021,421.8
hun,2022,525.1
hun,2023,477.1
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,
mlt,2009,
mlt,2010,
mlt,2011,5.2
mlt,2012,
mlt,2013,
mlt,2014,
mlt,2015,
mlt,2016,
mlt,2017,
mlt,2018,2.7
mlt,2019,3.8
mlt,2020,4.1
mlt,2021,3.2
mlt,2022,4.1
mlt,2023,4.6
mlt,2024,5
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,1098
nld,2009,967
nld,2010,793
nld,2011,836
nld,2012,746
nld,2013,650
nld,2014,679
nld,2015,776
nld,2016,877
nld,2017,967
nld,2018,1064
nld,2019,1180
nld,2020,1228
nld,2021,1370
nld,2022,1494
nld,2023,1806
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,2164.7
aut,2009,1924.9
aut,2010,2095
aut,2011,2145.9
aut,2012,2093.3
aut,2013,2118.1
aut,2014,2153.1
aut,2015,2355.4
aut,2016,2499.7
aut,2017,2515.8
aut,2018,2758.5
aut,2019,2940
aut,2020,2923.3
aut,2021,3568.9
aut,2022,3632.5
aut,2023,2899.9
aut,2024,
pol,2000,
pol,2001,
pol,2002,
pol,2003,
pol,2004,
pol,2005,
pol,2006,
pol,2007,
pol,2008,2415.6
pol,2009,2085.7
pol,2010,2497.6
pol,2011,2520.3
pol,2012,2640.1
pol,2013,2298.5
pol,2014,2672.6
pol,2015,2890
pol,2016,2925.6
pol,2017,3088.6
pol,2018,3142.6
pol,2019,3431.9
pol,2020,3404.7
pol,2021,4576.8
pol,2022,4990.3
pol,2023,
pol,2024,
prt,2000,
prt,2001,
prt,2002,
prt,2003,
prt,2004,
prt,2005,
prt,2006,
prt,2007,
prt,2008,921.6
prt,2009,807.5
prt,2010,941.3
prt,2011,911.6
prt,2012,867.3
prt,2013,927.4
prt,2014,1006.6
prt,2015,1114.8
prt,2016,1121.9
prt,2017,1117.3
prt,2018,1166.8
prt,2019,1195.9
prt,2020,1225
prt,2021,1158.8
prt,2022,1381.4
prt,2023,
prt,2024,
rou,2000,
rou,2001,
rou,2002,
rou,2003,
rou,2004,
rou,2005,
rou,2006,
rou,2007,
rou,2008,1159.1
rou,2009,1075.7
rou,2010,1709.5
rou,2011,1601
rou,2012,1012.6
rou,2013,1044.5
rou,2014,953.6
rou,2015,971.7
rou,2016,869.2
rou,2017,1044.1
rou,2018,1143
rou,2019,1041.5
rou,2020,1085.6
rou,2021,1499.3
rou,2022,1211.6
rou,2023,1084.4
rou,2024,
svn,2000,
svn,2001,
svn,2002,
svn,2003,
svn,2004,
svn,2005,
svn,2006,
svn,2007,
svn,2008,242.5
svn,2009,200.8
svn,2010,200.4
svn,2011,218.6
svn,2012,219.8
svn,2013,217.4
svn,2014,247.7
svn,2015,240.5
svn,2016,253.2
svn,2017,270.9
svn,2018,291.3
svn,2019,306.3
svn,2020,307.6
svn,2021,347.8
svn,2022,433.2
svn,2023,415.7
svn,2024,
svk,2000,
svk,2001,
svk,2002,
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,511
svk,2009,413.7
svk,2010,426.3
svk,2011,411.1
svk,2012,360.9
svk,2013,361.8
svk,2014,483.7
svk,2015,493.7
svk,2016,430.6
svk,2017,475.1
svk,2018,459.5
svk,2019,495
svk,2020,536.6
svk,2021,558.1
svk,2022,618.4
svk,2023,597.6
svk,2024,
fin,2000,
fin,2001,
fin,2002,
fin,2003,
fin,2004,
fin,2005,
fin,2006,
fin,2007,
fin,2008,1302
fin,2009,883
fin,2010,1244
fin,2011,1159
fin,2012,1089
fin,2013,1175
fin,2014,1212
fin,2015,1207
fin,2016,1232
fin,2017,1340
fin,2018,1388
fin,2019,1247
fin,2020,1199
fin,2021,2232
fin,2022,2669
fin,2023,1475
fin,2024,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,2092
swe,2009,1813.4
swe,2010,2248.5
swe,2011,1988.5
swe,2012,1912.9
swe,2013,2015.7
swe,2014,2303.3
swe,2015,2493.3
swe,2016,2262.1
swe,2017,2594.6
swe,2018,2464.5
swe,2019,2267.3
swe,2020,2291.8
swe,2021,4338.5
swe,2022,3948.2
swe,2023,
swe,2024,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,11.4
isl,2009,8.3
isl,2010,8
isl,2011,7.7
isl,2012,6.9
isl,2013,8.3
isl,2014,9.6
isl,2015,9.5
isl,2016,12
isl,2017,15.2
isl,2018,13.4
isl,2019,13
isl,2020,10
isl,2021,10
isl,2022,11.5
isl,2023,11.8
isl,2024,
lie,2000,
lie,2001,
lie,2002,
lie,2003,
lie,2004,
lie,2005,
lie,2006,
lie,2007,
lie,2008,
lie,2009,
lie,2010,
lie,2011,
lie,2012,
lie,2013,
lie,2014,
lie,2015,
lie,2016,
lie,2017,
lie,2018,
lie,2019,
lie,2020,
lie,2021,
lie,2022,
lie,2023,
lie,2024,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,948.1
nor,2009,769.6
nor,2010,893.8
nor,2011,1001.9
nor,2012,1053.8
nor,2013,956.7
nor,2014,908.4
nor,2015,937.5
nor,2016,940.5
nor,2017,985
nor,2018,977.4
nor,2019,935.4
nor,2020,955.3
nor,2021,1388.4
nor,2022,1257.6
nor,2023,
nor,2024,
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,2388.5
che,2009,2448.1
che,2010,2686.9
che,2011,3061.1
che,2012,2971.5
che,2013,2927.7
che,2014,2996.5
che,2015,3357.7
che,2016,3212
che,2017,3154.2
che,2018,3176.5
che,2019,3434
che,2020,3506.1
che,2021,3615.4
che,2022,4066.2
che,2023,3918.2
che,2024,
gbr,2000,
gbr,2001,
gbr,2002,
gbr,2003,
gbr,2004,
gbr,2005,
gbr,2006,
gbr,2007,
gbr,2008,2977.6
gbr,2009,2004.6
gbr,2010,2424.7
gbr,2011,2530.3
gbr,2012,3232.3
gbr,2013,2618.8
gbr,2014,3267.5
gbr,2015,4056
gbr,2016,4272.2
gbr,2017,3190.5
gbr,2018,3308.4
gbr,2019,
gbr,2020,
gbr,2021,
gbr,2022,
gbr,2023,
gbr,2024,
bih,2000,
bih,2001,
bih,2002,
bih,2003,
bih,2004,
bih,2005,
bih,2006,
bih,2007,
bih,2008,111.2
bih,2009,90
bih,2010,94.4
bih,2011,87.1
bih,2012,102
bih,2013,112.6
bih,2014,117.2
bih,2015,117.3
bih,2016,131.4
bih,2017,151.1
bih,2018,161.7
bih,2019,168
bih,2020,163.7
bih,2021,211
bih,2022,276
bih,2023,242.1
bih,2024,
mne,2000,
mne,2001,
mne,2002,
mne,2003,
mne,2004,
mne,2005,
mne,2006,
mne,2007,
mne,2008,
mne,2009,
mne,2010,
mne,2011,
mne,2012,
mne,2013,
mne,2014,
mne,2015,
mne,2016,
mne,2017,
mne,2018,
mne,2019,
mne,2020,
mne,2021,
mne,2022,
mne,2023,
mne,2024,
mkd,2000,
mkd,2001,
mkd,2002,
mkd,2003,
mkd,2004,
mkd,2005,
mkd,2006,
mkd,2007,
mkd,2008,11.8
mkd,2009,12.2
mkd,2010,7.2
mkd,2011,10.5
mkd,2012,9.4
mkd,2013,11.4
mkd,2014,11.1
mkd,2015,12.1
mkd,2016,14
mkd,2017,15.9
mkd,2018,16.4
mkd,2019,18.9
mkd,2020,14.3
mkd,2021,20.2
mkd,2022,
mkd,2023,
mkd,2024,
alb,2000,
alb,2001,
alb,2002,
alb,2003,
alb,2004,
alb,2005,
alb,2006,
alb,2007,
alb,2008,
alb,2009,
alb,2010,
alb,2011,
alb,2012,
alb,2013,
alb,2014,
alb,2015,
alb,2016,
alb,2017,
alb,2018,
alb,2019,
alb,2020,
alb,2021,
alb,2022,
alb,2023,
alb,2024,
srb,2000,
srb,2001,
srb,2002,
srb,2003,
srb,2004,
srb,2005,
srb,2006,
srb,2007,
srb,2008,246.7
srb,2009,141.3
srb,2010,107.8
srb,2011,122.5
srb,2012,139.2
srb,2013,148.3
srb,2014,172.6
srb,2015,159.5
srb,2016,154.9
srb,2017,179.8
srb,2018,184.1
srb,2019,153.8
srb,2020,159.2
srb,2021,180.5
srb,2022,198.4
srb,2023,189.7
srb,2024,
tur,2000,
tur,2001,
tur,2002,
tur,2003,
tur,2004,
tur,2005,
tur,2006,
tur,2007,
tur,2008,
tur,2009,
tur,2010,
tur,2011,
tur,2012,
tur,2013,
tur,2014,
tur,2015,
tur,2016,
tur,2017,
tur,2018,
tur,2019,
tur,2020,
tur,2021,
tur,2022,
tur,2023,
tur,2024,
kos,2000,
kos,2001,
kos,2002,
kos,2003,
kos,2004,
kos,2005,
kos,2006,
kos,2007,
kos,2008,
kos,2009,
kos,2010,
kos,2011,
kos,2012,
kos,2013,
kos,2014,
kos,2015,
kos,2016,
kos,2017,
kos,2018,
kos,2019,
kos,2020,
kos,2021,
kos,2022,
kos,2023,
kos,2024,
