country,year,loner_lop_insp
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,45.9
lva,2009,26.8
lva,2010,22.3
lva,2011,27.2
lva,2012,31.9
lva,2013,36.9
lva,2014,40.2
lva,2015,44.2
lva,2016,48.9
lva,2017,53
lva,2018,61.2
lva,2019,67.8
lva,2020,66.4
lva,2021,80.9
lva,2022,86.3
lva,2023,
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,46.5
ltu,2009,38.5
ltu,2010,35.7
ltu,2011,40.8
ltu,2012,47
ltu,2013,51.6
ltu,2014,54.3
ltu,2015,59
ltu,2016,62.9
ltu,2017,62.3
ltu,2018,68.2
ltu,2019,77.1
ltu,2020,74.4
ltu,2021,84.2
ltu,2022,84.7
ltu,2023,
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,
lux,2009,
lux,2010,
lux,2011,
lux,2012,
lux,2013,
lux,2014,
lux,2015,
lux,2016,
lux,2017,
lux,2018,
lux,2019,
lux,2020,
lux,2021,
lux,2022,
lux,2023,
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,222.3
hun,2009,181.3
hun,2010,182
hun,2011,197.6
hun,2012,185.9
hun,2013,166.8
hun,2014,170.5
hun,2015,157.4
hun,2016,156.8
hun,2017,173.6
hun,2018,177.3
hun,2019,191.2
hun,2020,167.6
hun,2021,187.6
hun,2022,197.4
hun,2023,225.4
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,
mlt,2009,
mlt,2010,
mlt,2011,
mlt,2012,32.7
mlt,2013,33.5
mlt,2014,32.9
mlt,2015,35.1
mlt,2016,30.4
mlt,2017,31.2
mlt,2018,48.2
mlt,2019,56.1
mlt,2020,
mlt,2021,55.4
mlt,2022,56.6
mlt,2023,60
mlt,2024,62.9
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,1431
nld,2009,1339
nld,2010,1228
nld,2011,1124
nld,2012,1097
nld,2013,1024
nld,2014,932
nld,2015,866
nld,2016,871
nld,2017,827
nld,2018,755
nld,2019,724
nld,2020,710
nld,2021,697
nld,2022,714
nld,2023,718
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,720.8
aut,2009,653.8
aut,2010,646.7
aut,2011,641
aut,2012,629
aut,2013,604.1
aut,2014,592.8
aut,2015,599.3
aut,2016,579.1
aut,2017,546.4
aut,2018,544.3
aut,2019,541.1
aut,2020,485.9
aut,2021,465.1
aut,2022,484.4
aut,2023,494.9
aut,2024,
pol,2000,
pol,2001,
pol,2002,
pol,2003,
pol,2004,
pol,2005,
pol,2006,
pol,2007,
pol,2008,472.1
pol,2009,376.4
pol,2010,454.4
pol,2011,524.4
pol,2012,538.4
pol,2013,537.5
pol,2014,577.6
pol,2015,629.5
pol,2016,646.5
pol,2017,727.5
pol,2018,775.3
pol,2019,871.2
pol,2020,828.7
pol,2021,853.4
pol,2022,882.4
pol,2023,
pol,2024,
prt,2000,
prt,2001,
prt,2002,
prt,2003,
prt,2004,
prt,2005,
prt,2006,
prt,2007,
prt,2008,356.9
prt,2009,330.4
prt,2010,334.5
prt,2011,306
prt,2012,274.6
prt,2013,256.5
prt,2014,254.4
prt,2015,258
prt,2016,257.4
prt,2017,266.6
prt,2018,277.9
prt,2019,284
prt,2020,264.7
prt,2021,274
prt,2022,290.1
prt,2023,
prt,2024,
rou,2000,
rou,2001,
rou,2002,
rou,2003,
rou,2004,
rou,2005,
rou,2006,
rou,2007,
rou,2008,159.5
rou,2009,131.1
rou,2010,111.1
rou,2011,102.9
rou,2012,104.1
rou,2013,97
rou,2014,90.5
rou,2015,105.5
rou,2016,128.3
rou,2017,148.5
rou,2018,155.8
rou,2019,179.2
rou,2020,156.3
rou,2021,174.6
rou,2022,205
rou,2023,241
rou,2024,
svn,2000,
svn,2001,
svn,2002,
svn,2003,
svn,2004,
svn,2005,
svn,2006,
svn,2007,
svn,2008,111.6
svn,2009,98.4
svn,2010,90.5
svn,2011,91
svn,2012,84.1
svn,2013,82.3
svn,2014,88.5
svn,2015,90.2
svn,2016,93.4
svn,2017,96.2
svn,2018,101.2
svn,2019,101.8
svn,2020,96.6
svn,2021,105.2
svn,2022,118.3
svn,2023,127.8
svn,2024,
svk,2000,
svk,2001,
svk,2002,
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,105.2
svk,2009,111
svk,2010,104.8
svk,2011,96.3
svk,2012,101
svk,2013,97.7
svk,2014,96.7
svk,2015,94.4
svk,2016,91.4
svk,2017,97.7
svk,2018,100.7
svk,2019,102.1
svk,2020,94.9
svk,2021,98.9
svk,2022,104
svk,2023,106.2
svk,2024,
fin,2000,
fin,2001,
fin,2002,
fin,2003,
fin,2004,
fin,2005,
fin,2006,
fin,2007,
fin,2008,494
fin,2009,458
fin,2010,430
fin,2011,437
fin,2012,428
fin,2013,403
fin,2014,382
fin,2015,353
fin,2016,330
fin,2017,317
fin,2018,302
fin,2019,286
fin,2020,254
fin,2021,249
fin,2022,258
fin,2023,269
fin,2024,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,731.9
swe,2009,614.9
swe,2010,659.8
swe,2011,678.3
swe,2012,690.6
swe,2013,655.5
swe,2014,613.8
swe,2015,607.4
swe,2016,558
swe,2017,532.3
swe,2018,475.4
swe,2019,420.5
swe,2020,376.5
swe,2021,389.9
swe,2022,370.3
swe,2023,
swe,2024,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,29.8
isl,2009,21.1
isl,2010,24.5
isl,2011,28.1
isl,2012,28.1
isl,2013,31.1
isl,2014,34.7
isl,2015,36.8
isl,2016,41.8
isl,2017,48.5
isl,2018,44.1
isl,2019,35.8
isl,2020,20.5
isl,2021,22.6
isl,2022,26.9
isl,2023,27.7
isl,2024,
lie,2000,
lie,2001,
lie,2002,
lie,2003,
lie,2004,
lie,2005,
lie,2006,
lie,2007,
lie,2008,
lie,2009,
lie,2010,
lie,2011,
lie,2012,
lie,2013,
lie,2014,
lie,2015,
lie,2016,
lie,2017,
lie,2018,
lie,2019,
lie,2020,
lie,2021,
lie,2022,
lie,2023,
lie,2024,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,442.6
nor,2009,385.3
nor,2010,409.2
nor,2011,415.7
nor,2012,436.5
nor,2013,407.7
nor,2014,362.3
nor,2015,332.9
nor,2016,292.2
nor,2017,294.6
nor,2018,280.3
nor,2019,274.5
nor,2020,213.3
nor,2021,221.7
nor,2022,240
nor,2023,
nor,2024,
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,
che,2009,
che,2010,
che,2011,1402.2
che,2012,1366.8
che,2013,1287.7
che,2014,1233.2
che,2015,1337.6
che,2016,1322.5
che,2017,1236.4
che,2018,1136.3
che,2019,1116.1
che,2020,994.4
che,2021,966.9
che,2022,1058.4
che,2023,
che,2024,
gbr,2000,
gbr,2001,
gbr,2002,
gbr,2003,
gbr,2004,
gbr,2005,
gbr,2006,
gbr,2007,
gbr,2008,6320.6
gbr,2009,5349.4
gbr,2010,4815.6
gbr,2011,4487.9
gbr,2012,4659.2
gbr,2013,4635.8
gbr,2014,4878.9
gbr,2015,5052.1
gbr,2016,4527.3
gbr,2017,4364.2
gbr,2018,4246.6
gbr,2019,
gbr,2020,
gbr,2021,
gbr,2022,
gbr,2023,
gbr,2024,
bih,2000,
bih,2001,
bih,2002,
bih,2003,
bih,2004,
bih,2005,
bih,2006,
bih,2007,
bih,2008,14.7
bih,2009,16.1
bih,2010,16
bih,2011,16.8
bih,2012,16.4
bih,2013,16.1
bih,2014,16.7
bih,2015,17.4
bih,2016,18.2
bih,2017,21.5
bih,2018,22.4
bih,2019,23.3
bih,2020,22.4
bih,2021,24.8
bih,2022,29.8
bih,2023,31.9
bih,2024,
mne,2000,
mne,2001,
mne,2002,
mne,2003,
mne,2004,
mne,2005,
mne,2006,
mne,2007,
mne,2008,
mne,2009,
mne,2010,
mne,2011,
mne,2012,
mne,2013,
mne,2014,
mne,2015,
mne,2016,
mne,2017,
mne,2018,
mne,2019,
mne,2020,
mne,2021,
mne,2022,
mne,2023,
mne,2024,
mkd,2000,
mkd,2001,
mkd,2002,
mkd,2003,
mkd,2004,
mkd,2005,
mkd,2006,
mkd,2007,
mkd,2008,15.6
mkd,2009,14.6
mkd,2010,12.8
mkd,2011,13.6
mkd,2012,13.2
mkd,2013,12.3
mkd,2014,15.8
mkd,2015,15.2
mkd,2016,18.6
mkd,2017,20.4
mkd,2018,21
mkd,2019,22.2
mkd,2020,19.9
mkd,2021,17.8
mkd,2022,
mkd,2023,
mkd,2024,
alb,2000,
alb,2001,
alb,2002,
alb,2003,
alb,2004,
alb,2005,
alb,2006,
alb,2007,
alb,2008,
alb,2009,
alb,2010,
alb,2011,
alb,2012,
alb,2013,
alb,2014,
alb,2015,
alb,2016,
alb,2017,
alb,2018,
alb,2019,
alb,2020,
alb,2021,
alb,2022,
alb,2023,
alb,2024,
srb,2000,
srb,2001,
srb,2002,
srb,2003,
srb,2004,
srb,2005,
srb,2006,
srb,2007,
srb,2008,38.6
srb,2009,36.5
srb,2010,35.5
srb,2011,36.7
srb,2012,38.4
srb,2013,41
srb,2014,41.1
srb,2015,42.2
srb,2016,49.1
srb,2017,50.4
srb,2018,57
srb,2019,57.7
srb,2020,62.5
srb,2021,69.8
srb,2022,78.3
srb,2023,88.7
srb,2024,
tur,2000,
tur,2001,
tur,2002,
tur,2003,
tur,2004,
tur,2005,
tur,2006,
tur,2007,
tur,2008,
tur,2009,
tur,2010,
tur,2011,
tur,2012,553.1
tur,2013,
tur,2014,
tur,2015,
tur,2016,
tur,2017,
tur,2018,
tur,2019,
tur,2020,
tur,2021,
tur,2022,
tur,2023,
tur,2024,
kos,2000,
kos,2001,
kos,2002,
kos,2003,
kos,2004,
kos,2005,
kos,2006,
kos,2007,
kos,2008,
kos,2009,
kos,2010,
kos,2011,
kos,2012,
kos,2013,
kos,2014,
kos,2015,
kos,2016,
kos,2017,
kos,2018,
kos,2019,
kos,2020,
kos,2021,
kos,2022,
kos,2023,
kos,2024,
