country,year,foradl_lop_gruv
cyp,2017,17.8
cyp,2018,24.3
cyp,2019,27
cyp,2020,25.4
cyp,2021,30.3
cyp,2022,42.9
cyp,2023,52.5
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,72
lva,2009,78.5
lva,2010,80
lva,2011,83
lva,2012,95.6
lva,2013,105.4
lva,2014,91.4
lva,2015,108.5
lva,2016,107.8
lva,2017,118.5
lva,2018,131.1
lva,2019,127.3
lva,2020,138.3
lva,2021,137.2
lva,2022,167.2
lva,2023,174.3
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,127.9
ltu,2009,76.8
ltu,2010,92.8
ltu,2011,119.9
ltu,2012,119.1
ltu,2013,127.5
ltu,2014,128.7
ltu,2015,99.3
ltu,2016,97.3
ltu,2017,113
ltu,2018,125.7
ltu,2019,124
ltu,2020,134.3
ltu,2021,138.6
ltu,2022,149.4
ltu,2023,163.3
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,31.2
lux,2009,30.9
lux,2010,31.8
lux,2011,34.9
lux,2012,31.3
lux,2013,30.9
lux,2014,31.9
lux,2015,29.5
lux,2016,29.5
lux,2017,34.8
lux,2018,34.7
lux,2019,38.1
lux,2020,39.5
lux,2021,37.7
lux,2022,35
lux,2023,37.7
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,224.6
hun,2009,204.6
hun,2010,181.1
hun,2011,208.3
hun,2012,212.8
hun,2013,193.2
hun,2014,180.1
hun,2015,152.7
hun,2016,143
hun,2017,210.3
hun,2018,323.7
hun,2019,452
hun,2020,299
hun,2021,443.3
hun,2022,735.8
hun,2023,626.1
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,
mlt,2009,
mlt,2010,
mlt,2011,
mlt,2012,
mlt,2013,
mlt,2014,
mlt,2015,
mlt,2016,
mlt,2017,
mlt,2018,
mlt,2019,
mlt,2020,
mlt,2021,
mlt,2022,
mlt,2023,
mlt,2024,
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,22151
nld,2009,16152
nld,2010,17652
nld,2011,19097
nld,2012,21691
nld,2013,22612
nld,2014,17022
nld,2015,12746
nld,2016,8128
nld,2017,7710
nld,2018,7519
nld,2019,5927
nld,2020,3165
nld,2021,6438
nld,2022,16954
nld,2023,11078
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,1343.6
aut,2009,1073.6
aut,2010,1184.9
aut,2011,1519.5
aut,2012,1519.4
aut,2013,1487.4
aut,2014,1398.3
aut,2015,1186.8
aut,2016,1068.2
aut,2017,1199.7
aut,2018,1169.9
aut,2019,1059.3
aut,2020,758.7
aut,2021,997.4
aut,2022,1400.6
aut,2023,998.3
aut,2024,
pol,2000,
pol,2001,
pol,2002,
pol,2003,
pol,2004,
pol,2005,
pol,2006,
pol,2007,
pol,2008,7725
pol,2009,6028.5
pol,2010,7826.1
pol,2011,9053.8
pol,2012,8733
pol,2013,7617.9
pol,2014,6639.3
pol,2015,6650.7
pol,2016,6209.7
pol,2017,7568.2
pol,2018,7594.7
pol,2019,7643.6
pol,2020,6880
pol,2021,8033.8
pol,2022,11587.7
pol,2023,11926.2
pol,2024,
prt,2000,
prt,2001,
prt,2002,
prt,2003,
prt,2004,
prt,2005,
prt,2006,
prt,2007,
prt,2008,608
prt,2009,646.1
prt,2010,714
prt,2011,650.1
prt,2012,635.7
prt,2013,569.9
prt,2014,529.7
prt,2015,500.5
prt,2016,533.4
prt,2017,603.9
prt,2018,593.1
prt,2019,561.6
prt,2020,524.8
prt,2021,752.7
prt,2022,678.8
prt,2023,
prt,2024,
rou,2000,
rou,2001,
rou,2002,
rou,2003,
rou,2004,
rou,2005,
rou,2006,
rou,2007,
rou,2008,1419.4
rou,2009,1614.5
rou,2010,1908.8
rou,2011,1187.8
rou,2012,2226.1
rou,2013,1548.8
rou,2014,1220
rou,2015,1478
rou,2016,1119.3
rou,2017,1228.3
rou,2018,1508.7
rou,2019,2012.6
rou,2020,1831.7
rou,2021,1539.7
rou,2022,5017.7
rou,2023,3760.4
rou,2024,
svn,2000,
svn,2001,
svn,2002,
svn,2003,
svn,2004,
svn,2005,
svn,2006,
svn,2007,
svn,2008,145.8
svn,2009,143.8
svn,2010,138.9
svn,2011,145.8
svn,2012,142.7
svn,2013,126
svn,2014,127.7
svn,2015,124.3
svn,2016,130.1
svn,2017,138.1
svn,2018,143
svn,2019,138.5
svn,2020,130
svn,2021,120.3
svn,2022,165.6
svn,2023,135.9
svn,2024,
svk,2000,
svk,2001,
svk,2002,
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,201.9
svk,2009,207.4
svk,2010,153.7
svk,2011,163.4
svk,2012,159.5
svk,2013,168
svk,2014,150.3
svk,2015,166.4
svk,2016,174.6
svk,2017,171.6
svk,2018,186
svk,2019,171.9
svk,2020,161.8
svk,2021,157
svk,2022,147.8
svk,2023,205.2
svk,2024,158.1
fin,2000,
fin,2001,
fin,2002,
fin,2003,
fin,2004,
fin,2005,
fin,2006,
fin,2007,
fin,2008,669
fin,2009,623
fin,2010,774
fin,2011,772
fin,2012,771
fin,2013,556
fin,2014,504
fin,2015,602
fin,2016,636
fin,2017,902
fin,2018,949
fin,2019,819
fin,2020,964
fin,2021,1049
fin,2022,1100
fin,2023,1049
fin,2024,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,2082.6
swe,2009,1053.2
swe,2010,2786.1
swe,2011,3214.9
swe,2012,2747.3
swe,2013,2202
swe,2014,1918.4
swe,2015,1675.7
swe,2016,1766.8
swe,2017,2699
swe,2018,2713.1
swe,2019,3355.8
swe,2020,2956.2
swe,2021,5226.2
swe,2022,3993.8
swe,2023,3127.1
swe,2024,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,12.6
isl,2009,5.1
isl,2010,5.7
isl,2011,6.6
isl,2012,7.1
isl,2013,9.7
isl,2014,12.7
isl,2015,13.5
isl,2016,16.2
isl,2017,23
isl,2018,25.2
isl,2019,24.1
isl,2020,25.4
isl,2021,23
isl,2022,25.3
isl,2023,27.4
isl,2024,
lie,2000,
lie,2001,
lie,2002,
lie,2003,
lie,2004,
lie,2005,
lie,2006,
lie,2007,
lie,2008,
lie,2009,
lie,2010,
lie,2011,
lie,2012,
lie,2013,
lie,2014,
lie,2015,
lie,2016,6.6
lie,2017,7.6
lie,2018,7.5
lie,2019,5.6
lie,2020,10.9
lie,2021,9.7
lie,2022,
lie,2023,
lie,2024,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,81794.8
nor,2009,55474.7
nor,2010,66742.4
nor,2011,84624.8
nor,2012,93052.8
nor,2013,87456.7
nor,2014,76421.8
nor,2015,58541.7
nor,2016,45174.5
nor,2017,55574.8
nor,2018,66786.5
nor,2019,53876.9
nor,2020,38228.4
nor,2021,100547.4
nor,2022,204094
nor,2023,111346.5
nor,2024,103732
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,468.5
che,2009,528.1
che,2010,614.6
che,2011,673.8
che,2012,685.9
che,2013,691.7
che,2014,661
che,2015,773.8
che,2016,793.1
che,2017,784.8
che,2018,805.4
che,2019,829.2
che,2020,849.5
che,2021,925.1
che,2022,912.8
che,2023,941.2
che,2024,
gbr,2000,
gbr,2001,
gbr,2002,
gbr,2003,
gbr,2004,
gbr,2005,
gbr,2006,
gbr,2007,
gbr,2008,36758.4
gbr,2009,23022.9
gbr,2010,30192.1
gbr,2011,31942.2
gbr,2012,31916.3
gbr,2013,28663.8
gbr,2014,24601.8
gbr,2015,18232.7
gbr,2016,15073
gbr,2017,19539.8
gbr,2018,24218.1
gbr,2019,
gbr,2020,
gbr,2021,
gbr,2022,
gbr,2023,
gbr,2024,
bih,2000,
bih,2001,
bih,2002,
bih,2003,
bih,2004,
bih,2005,
bih,2006,
bih,2007,
bih,2008,258.8
bih,2009,253.5
bih,2010,248.1
bih,2011,293.2
bih,2012,301.8
bih,2013,297
bih,2014,281.1
bih,2015,284.7
bih,2016,286.7
bih,2017,308.5
bih,2018,299.7
bih,2019,286.4
bih,2020,293.7
bih,2021,265.8
bih,2022,307.4
bih,2023,335.9
bih,2024,
mne,2000,
mne,2001,
mne,2002,
mne,2003,
mne,2004,
mne,2005,
mne,2006,
mne,2007,
mne,2008,37.8
mne,2009,19.9
mne,2010,37.6
mne,2011,35.9
mne,2012,34.6
mne,2013,36
mne,2014,39.8
mne,2015,41.5
mne,2016,42.2
mne,2017,59.4
mne,2018,50.4
mne,2019,61.8
mne,2020,66.1
mne,2021,53.1
mne,2022,63.7
mne,2023,73.5
mne,2024,
mkd,2000,
mkd,2001,
mkd,2002,
mkd,2003,
mkd,2004,
mkd,2005,
mkd,2006,
mkd,2007,
mkd,2008,52.6
mkd,2009,63.9
mkd,2010,100.5
mkd,2011,98.3
mkd,2012,107.4
mkd,2013,111.7
mkd,2014,107.6
mkd,2015,115.7
mkd,2016,98.6
mkd,2017,156.3
mkd,2018,177.2
mkd,2019,168.8
mkd,2020,135.7
mkd,2021,166
mkd,2022,
mkd,2023,
mkd,2024,
alb,2000,
alb,2001,
alb,2002,
alb,2003,
alb,2004,
alb,2005,
alb,2006,
alb,2007,
alb,2008,123.6
alb,2009,94.4
alb,2010,166.6
alb,2011,251.9
alb,2012,341.1
alb,2013,377.8
alb,2014,400
alb,2015,271.4
alb,2016,214.1
alb,2017,226.9
alb,2018,261.7
alb,2019,294.8
alb,2020,204.7
alb,2021,227.8
alb,2022,270.5
alb,2023,247.7
alb,2024,
srb,2000,
srb,2001,
srb,2002,
srb,2003,
srb,2004,
srb,2005,
srb,2006,
srb,2007,
srb,2008,764.9
srb,2009,697.4
srb,2010,760.9
srb,2011,1047.4
srb,2012,1041.9
srb,2013,1113.7
srb,2014,910.1
srb,2015,855.3
srb,2016,799.9
srb,2017,926
srb,2018,944.2
srb,2019,1009.8
srb,2020,973.9
srb,2021,1276.8
srb,2022,2060
srb,2023,2133.7
srb,2024,
tur,2000,
tur,2001,
tur,2002,
tur,2003,
tur,2004,
tur,2005,
tur,2006,
tur,2007,
tur,2008,5731
tur,2009,5210
tur,2010,6345.7
tur,2011,6739.6
tur,2012,7450.4
tur,2013,7732.9
tur,2014,6721.5
tur,2015,6404.1
tur,2016,6445.6
tur,2017,6833.8
tur,2018,6671.6
tur,2019,7579.7
tur,2020,7354
tur,2021,9203.3
tur,2022,11757.1
tur,2023,10482.7
tur,2024,
kos,2000,
kos,2001,
kos,2002,
kos,2003,
kos,2004,
kos,2005,
kos,2006,
kos,2007,
kos,2008,
kos,2009,
kos,2010,
kos,2011,
kos,2012,
kos,2013,
kos,2014,
kos,2015,
kos,2016,
kos,2017,
kos,2018,
kos,2019,
kos,2020,
kos,2021,
kos,2022,
kos,2023,
kos,2024,
