country,year,foradl_lop_insp
cyp,2022,24
cyp,2023,
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,79.8
lva,2009,51.2
lva,2010,49.4
lva,2011,50.1
lva,2012,56.3
lva,2013,69.9
lva,2014,69.3
lva,2015,72.9
lva,2016,69.8
lva,2017,81.2
lva,2018,85
lva,2019,102.3
lva,2020,112.5
lva,2021,120.2
lva,2022,127.2
lva,2023,
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,110.9
ltu,2009,81.1
ltu,2010,88.2
ltu,2011,112.9
ltu,2012,128.7
ltu,2013,137.6
ltu,2014,133.2
ltu,2015,132.1
ltu,2016,130.5
ltu,2017,128.4
ltu,2018,131.8
ltu,2019,142.5
ltu,2020,131.9
ltu,2021,136.9
ltu,2022,141.9
ltu,2023,
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,
lux,2009,
lux,2010,
lux,2011,
lux,2012,
lux,2013,
lux,2014,
lux,2015,
lux,2016,
lux,2017,
lux,2018,
lux,2019,
lux,2020,
lux,2021,
lux,2022,
lux,2023,
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,324.4
hun,2009,254
hun,2010,256.5
hun,2011,269.4
hun,2012,255.5
hun,2013,266.1
hun,2014,256.7
hun,2015,265
hun,2016,253.9
hun,2017,284
hun,2018,283.3
hun,2019,289.7
hun,2020,259.5
hun,2021,315.3
hun,2022,343
hun,2023,432.7
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,
mlt,2009,
mlt,2010,
mlt,2011,
mlt,2012,58.8
mlt,2013,58
mlt,2014,58.3
mlt,2015,60.7
mlt,2016,55.4
mlt,2017,50.6
mlt,2018,70.3
mlt,2019,75.6
mlt,2020,
mlt,2021,109.6
mlt,2022,116.2
mlt,2023,138.6
mlt,2024,140.3
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,2358
nld,2009,2251
nld,2010,1974
nld,2011,1918
nld,2012,1818
nld,2013,1719
nld,2014,1580
nld,2015,1468
nld,2016,1401
nld,2017,1348
nld,2018,1319
nld,2019,1199
nld,2020,1112
nld,2021,1117
nld,2022,1189
nld,2023,1320
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,1283.4
aut,2009,1183.4
aut,2010,1155.1
aut,2011,1148
aut,2012,1113.6
aut,2013,1024.4
aut,2014,976.3
aut,2015,967.1
aut,2016,935
aut,2017,909.3
aut,2018,851.6
aut,2019,818.1
aut,2020,717.1
aut,2021,675
aut,2022,702.5
aut,2023,673.2
aut,2024,
pol,2000,
pol,2001,
pol,2002,
pol,2003,
pol,2004,
pol,2005,
pol,2006,
pol,2007,
pol,2008,1344.5
pol,2009,1158.8
pol,2010,1238.9
pol,2011,1295.9
pol,2012,1351.1
pol,2013,1175.9
pol,2014,1311.1
pol,2015,1602.7
pol,2016,1495.2
pol,2017,1404.5
pol,2018,1479.8
pol,2019,1577.2
pol,2020,1441.1
pol,2021,1775.4
pol,2022,1844
pol,2023,
pol,2024,
prt,2000,
prt,2001,
prt,2002,
prt,2003,
prt,2004,
prt,2005,
prt,2006,
prt,2007,
prt,2008,533.3
prt,2009,461.4
prt,2010,532.8
prt,2011,470.7
prt,2012,419.2
prt,2013,404.6
prt,2014,416.4
prt,2015,424.8
prt,2016,410.4
prt,2017,446.6
prt,2018,430.1
prt,2019,441
prt,2020,367.8
prt,2021,399.2
prt,2022,454.1
prt,2023,
prt,2024,
rou,2000,
rou,2001,
rou,2002,
rou,2003,
rou,2004,
rou,2005,
rou,2006,
rou,2007,
rou,2008,483.9
rou,2009,527.1
rou,2010,472.2
rou,2011,625.9
rou,2012,450.5
rou,2013,435.2
rou,2014,357.4
rou,2015,429.5
rou,2016,452.1
rou,2017,517.9
rou,2018,572.2
rou,2019,651.6
rou,2020,556.9
rou,2021,387.4
rou,2022,493.7
rou,2023,558.4
rou,2024,
svn,2000,
svn,2001,
svn,2002,
svn,2003,
svn,2004,
svn,2005,
svn,2006,
svn,2007,
svn,2008,176
svn,2009,152.3
svn,2010,137.9
svn,2011,143.2
svn,2012,138.3
svn,2013,134.9
svn,2014,142.4
svn,2015,148.3
svn,2016,150.6
svn,2017,153.8
svn,2018,153.8
svn,2019,158.3
svn,2020,142.3
svn,2021,157.6
svn,2022,183.4
svn,2023,205.7
svn,2024,
svk,2000,
svk,2001,
svk,2002,
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,168.1
svk,2009,134.6
svk,2010,163
svk,2011,155.2
svk,2012,167.6
svk,2013,154.4
svk,2014,157.2
svk,2015,152
svk,2016,144.5
svk,2017,151.8
svk,2018,175
svk,2019,144
svk,2020,131.4
svk,2021,141.2
svk,2022,133.9
svk,2023,139.4
svk,2024,
fin,2000,
fin,2001,
fin,2002,
fin,2003,
fin,2004,
fin,2005,
fin,2006,
fin,2007,
fin,2008,760
fin,2009,657
fin,2010,649
fin,2011,602
fin,2012,612
fin,2013,540
fin,2014,510
fin,2015,508
fin,2016,452
fin,2017,430
fin,2018,402
fin,2019,389
fin,2020,348
fin,2021,346
fin,2022,339
fin,2023,362
fin,2024,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,1120.8
swe,2009,874.6
swe,2010,977.1
swe,2011,1046
swe,2012,1075.7
swe,2013,950
swe,2014,928.8
swe,2015,872.5
swe,2016,855
swe,2017,707.5
swe,2018,734.3
swe,2019,597.1
swe,2020,555.9
swe,2021,597.2
swe,2022,569.3
swe,2023,
swe,2024,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,36.6
isl,2009,31.5
isl,2010,35
isl,2011,35.9
isl,2012,34.6
isl,2013,38.2
isl,2014,40.7
isl,2015,43.6
isl,2016,52.3
isl,2017,52.3
isl,2018,43.4
isl,2019,33.7
isl,2020,25.1
isl,2021,28.1
isl,2022,34.1
isl,2023,33.3
isl,2024,
lie,2000,
lie,2001,
lie,2002,
lie,2003,
lie,2004,
lie,2005,
lie,2006,
lie,2007,
lie,2008,
lie,2009,
lie,2010,
lie,2011,
lie,2012,
lie,2013,
lie,2014,
lie,2015,
lie,2016,
lie,2017,
lie,2018,
lie,2019,
lie,2020,
lie,2021,
lie,2022,
lie,2023,
lie,2024,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,603.7
nor,2009,483.2
nor,2010,560.3
nor,2011,568.4
nor,2012,587.1
nor,2013,543.6
nor,2014,475.1
nor,2015,446.9
nor,2016,400.1
nor,2017,401
nor,2018,382.3
nor,2019,334.7
nor,2020,264.2
nor,2021,298.1
nor,2022,306.9
nor,2023,
nor,2024,
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,1728.9
che,2009,1629.9
che,2010,1810.3
che,2011,1893.6
che,2012,1837.6
che,2013,1667.5
che,2014,1643.7
che,2015,1751
che,2016,1658
che,2017,1554.7
che,2018,1445.8
che,2019,1403.8
che,2020,1247.8
che,2021,1173.1
che,2022,1287.1
che,2023,1316.9
che,2024,
gbr,2000,
gbr,2001,
gbr,2002,
gbr,2003,
gbr,2004,
gbr,2005,
gbr,2006,
gbr,2007,
gbr,2008,7850.3
gbr,2009,6584.1
gbr,2010,6061.7
gbr,2011,5710.5
gbr,2012,6065.1
gbr,2013,5936.9
gbr,2014,6402.3
gbr,2015,6822.4
gbr,2016,6455.3
gbr,2017,6023.9
gbr,2018,6021.2
gbr,2019,
gbr,2020,
gbr,2021,
gbr,2022,
gbr,2023,
gbr,2024,
bih,2000,
bih,2001,
bih,2002,
bih,2003,
bih,2004,
bih,2005,
bih,2006,
bih,2007,
bih,2008,25.6
bih,2009,31.7
bih,2010,32.1
bih,2011,32
bih,2012,34.6
bih,2013,35.4
bih,2014,43.4
bih,2015,42.1
bih,2016,46.7
bih,2017,48
bih,2018,51.5
bih,2019,50
bih,2020,44.7
bih,2021,51.3
bih,2022,64.8
bih,2023,62.5
bih,2024,
mne,2000,
mne,2001,
mne,2002,
mne,2003,
mne,2004,
mne,2005,
mne,2006,
mne,2007,
mne,2008,
mne,2009,
mne,2010,
mne,2011,
mne,2012,
mne,2013,
mne,2014,
