country,year,foradl_lop_skog
cyp,2022,30.5
cyp,2023,
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,318.2
lva,2009,269.3
lva,2010,353
lva,2011,333.4
lva,2012,329.8
lva,2013,370.5
lva,2014,412.6
lva,2015,386.1
lva,2016,392.1
lva,2017,420
lva,2018,554
lva,2019,545.7
lva,2020,489.4
lva,2021,575
lva,2022,862.9
lva,2023,862
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,144.2
ltu,2009,100.4
ltu,2010,139.7
ltu,2011,162.8
ltu,2012,138.9
ltu,2013,170.5
ltu,2014,201.6
ltu,2015,156.8
ltu,2016,186.7
ltu,2017,206.6
ltu,2018,267.5
ltu,2019,244.7
ltu,2020,210.5
ltu,2021,306.4
ltu,2022,539.1
ltu,2023,
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,9
lux,2009,4.2
lux,2010,11
lux,2011,14.9
lux,2012,15
lux,2013,13.9
lux,2014,13.3
lux,2015,12.2
lux,2016,11.8
lux,2017,11.9
lux,2018,12.3
lux,2019,6.8
lux,2020,-0.4
lux,2021,0.1
lux,2022,4.7
lux,2023,3.7
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,194.1
hun,2009,164.4
hun,2010,181.6
hun,2011,209.6
hun,2012,224
hun,2013,211.7
hun,2014,205.3
hun,2015,224
hun,2016,235.9
hun,2017,248.7
hun,2018,265.4
hun,2019,279.5
hun,2020,239.5
hun,2021,280.5
hun,2022,327.2
hun,2023,353.2
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,0
mlt,2009,0
mlt,2010,0
mlt,2011,0
mlt,2012,0
mlt,2013,0
mlt,2014,0
mlt,2015,0
mlt,2016,0
mlt,2017,0
mlt,2018,0
mlt,2019,0
mlt,2020,0
mlt,2021,0
mlt,2022,0
mlt,2023,0
mlt,2024,0
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,95
nld,2009,101
nld,2010,108
nld,2011,116
nld,2012,123
nld,2013,124
nld,2014,120
nld,2015,128
nld,2016,131
nld,2017,140
nld,2018,158
nld,2019,171
nld,2020,169
nld,2021,180
nld,2022,216
nld,2023,204
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,1155.8
aut,2009,1010.5
aut,2010,1138.2
aut,2011,1375.8
aut,2012,1393.7
aut,2013,1234.3
aut,2014,1365.6
aut,2015,1134.9
aut,2016,1164.6
aut,2017,1124.1
aut,2018,1067.1
aut,2019,1016.2
aut,2020,866
aut,2021,1221.1
aut,2022,1618.6
aut,2023,1699.2
aut,2024,
pol,2000,
pol,2001,
pol,2002,
pol,2003,
pol,2004,
pol,2005,
pol,2006,
pol,2007,
pol,2008,1023
pol,2009,864.5
pol,2010,1785.6
pol,2011,2023.7
pol,2012,1837.4
pol,2013,1778.9
pol,2014,2077.5
pol,2015,1921.3
pol,2016,1894.9
pol,2017,1878.1
pol,2018,1537.3
pol,2019,1703
pol,2020,1719.6
pol,2021,1827.3
pol,2022,2091.5
pol,2023,
pol,2024,
prt,2000,
prt,2001,
prt,2002,
prt,2003,
prt,2004,
prt,2005,
prt,2006,
prt,2007,
prt,2008,686
prt,2009,644.2
prt,2010,710.8
prt,2011,783.2
prt,2012,790
prt,2013,774.8
prt,2014,696.9
prt,2015,685.2
prt,2016,687
prt,2017,629.5
prt,2018,674.9
prt,2019,695.3
prt,2020,813.8
prt,2021,920.8
prt,2022,1080.5
prt,2023,
prt,2024,
rou,2000,
rou,2001,
rou,2002,
rou,2003,
rou,2004,
rou,2005,
rou,2006,
rou,2007,
rou,2008,455.4
rou,2009,393
rou,2010,742.7
rou,2011,589.5
rou,2012,618.2
rou,2013,754.1
rou,2014,901.9
rou,2015,1023.8
rou,2016,975.9
rou,2017,995.2
rou,2018,1408.4
rou,2019,1443.8
rou,2020,1880.9
rou,2021,1685.2
rou,2022,1823
rou,2023,2013.5
rou,2024,
svn,2000,
svn,2001,
svn,2002,
svn,2003,
svn,2004,
svn,2005,
svn,2006,
svn,2007,
svn,2008,214.6
svn,2009,194.1
svn,2010,203.7
svn,2011,222.5
svn,2012,221.6
svn,2013,231.9
svn,2014,163.1
svn,2015,187.4
svn,2016,203.1
svn,2017,244.8
svn,2018,248.7
svn,2019,264
svn,2020,247.8
svn,2021,329.6
svn,2022,341.2
svn,2023,368
svn,2024,
svk,2000,
svk,2001,
svk,2002,
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,443.4
svk,2009,394.2
svk,2010,443.4
svk,2011,474.6
svk,2012,484.3
svk,2013,531.9
svk,2014,575.5
svk,2015,581.5
svk,2016,582.7
svk,2017,595
svk,2018,589.9
svk,2019,601.4
svk,2020,625.1
svk,2021,703.6
svk,2022,836.3
svk,2023,815.3
svk,2024,
fin,2000,
fin,2001,
fin,2002,
fin,2003,
fin,2004,
fin,2005,
fin,2006,
fin,2007,
fin,2008,2891
fin,2009,2519
fin,2010,2734
fin,2011,2926
fin,2012,2860
fin,2013,3064
fin,2014,3133
fin,2015,3069
fin,2016,3155
fin,2017,3238
fin,2018,3516
fin,2019,3541
fin,2020,3474
fin,2021,3577
fin,2022,3880
fin,2023,4274
fin,2024,
