country,year,foradl_fast_mobel_smyck
cyp,2016,96.8
cyp,2017,128.8
cyp,2018,149.8
cyp,2019,165.2
cyp,2020,131.2
cyp,2021,147.5
cyp,2022,154.6
cyp,2023,
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,342.7
lva,2009,313.1
lva,2010,304.5
lva,2011,296.7
lva,2012,371.6
lva,2013,338.8
lva,2014,315.8
lva,2015,323
lva,2016,326
lva,2017,343.6
lva,2018,330
lva,2019,309.4
lva,2020,302.7
lva,2021,368.4
lva,2022,408.9
lva,2023,
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,747
ltu,2009,628.5
ltu,2010,665.4
ltu,2011,802.7
ltu,2012,957.3
ltu,2013,1043.4
ltu,2014,1149.2
ltu,2015,1165
ltu,2016,1195.7
ltu,2017,1299.4
ltu,2018,1430.8
ltu,2019,1502.2
ltu,2020,1482.8
ltu,2021,1664.4
ltu,2022,1751.6
ltu,2023,
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,
lux,2009,
lux,2010,
lux,2011,
lux,2012,
lux,2013,
lux,2014,
lux,2015,
lux,2016,
lux,2017,
lux,2018,
lux,2019,
lux,2020,
lux,2021,
lux,2022,
lux,2023,
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,1044.4
hun,2009,1090.5
hun,2010,1158.3
hun,2011,1140.3
hun,2012,1238.2
hun,2013,1278.5
hun,2014,1291.5
hun,2015,1328.2
hun,2016,1394.7
hun,2017,1409.8
hun,2018,1558
hun,2019,1755.6
hun,2020,1703
hun,2021,1886.6
hun,2022,2053
hun,2023,2074.9
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,285.2
mlt,2009,205
mlt,2010,168
mlt,2011,187.7
mlt,2012,193.3
mlt,2013,201.4
mlt,2014,212.6
mlt,2015,213.5
mlt,2016,215.7
mlt,2017,228.9
mlt,2018,235.7
mlt,2019,230.5
mlt,2020,222.8
mlt,2021,213.9
mlt,2022,222.3
mlt,2023,204.1
mlt,2024,257
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,8338.8
nld,2009,7297
nld,2010,7127.4
nld,2011,7269.4
nld,2012,7343.7
nld,2013,6795.6
nld,2014,6713.7
nld,2015,6559.7
nld,2016,6413.7
nld,2017,7077.2
nld,2018,7706.2
nld,2019,7206.5
nld,2020,6531
nld,2021,6905
nld,2022,7387.8
nld,2023,7552.1
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,5236.3
aut,2009,4429.8
aut,2010,5220.4
aut,2011,5172
aut,2012,5215.1
aut,2013,5243.2
aut,2014,5259.2
aut,2015,4989.6
aut,2016,5188.8
aut,2017,5289.2
aut,2018,5359.6
aut,2019,5282.2
aut,2020,4809.2
aut,2021,5374.2
aut,2022,5759.2
aut,2023,5400.5
aut,2024,
pol,2000,
pol,2001,
pol,2002,
pol,2003,
pol,2004,
pol,2005,
pol,2006,
pol,2007,
pol,2008,6019.1
pol,2009,5282
pol,2010,5984.5
pol,2011,6390.1
pol,2012,7269
pol,2013,6637
pol,2014,7652.5
pol,2015,8499.9
pol,2016,8543.8
pol,2017,8766.8
pol,2018,9652.5
pol,2019,10324.8
pol,2020,10518.3
pol,2021,8788.4
pol,2022,10486.8
pol,2023,
pol,2024,
prt,2000,
prt,2001,
prt,2002,
prt,2003,
prt,2004,
prt,2005,
prt,2006,
prt,2007,
prt,2008,1813
prt,2009,1794.3
prt,2010,1806.8
prt,2011,1828.7
prt,2012,1791.1
prt,2013,1755.1
prt,2014,1801.9
prt,2015,1888.3
prt,2016,1945.5
prt,2017,2162.1
prt,2018,2291.7
prt,2019,2330.7
prt,2020,2187.2
prt,2021,2359.5
prt,2022,2457.8
prt,2023,
prt,2024,
rou,2000,
rou,2001,
rou,2002,
rou,2003,
rou,2004,
rou,2005,
rou,2006,
rou,2007,
rou,2008,3488.3
rou,2009,3273.9
rou,2010,3150.4
rou,2011,3286.9
rou,2012,3156
rou,2013,3420.9
rou,2014,3129.8
rou,2015,3235.3
rou,2016,3190.5
rou,2017,3524.3
rou,2018,3375.3
rou,2019,3304.4
rou,2020,2826.4
rou,2021,2727.4
rou,2022,2907.1
rou,2023,2694
rou,2024,
svn,2000,
svn,2001,
svn,2002,
svn,2003,
svn,2004,
svn,2005,
svn,2006,
svn,2007,
svn,2008,605.6
svn,2009,463.1
svn,2010,459.7
svn,2011,509.4
svn,2012,512
svn,2013,538.7
svn,2014,574
svn,2015,596.1
svn,2016,672.4
svn,2017,742.7
svn,2018,788.3
svn,2019,825.4
svn,2020,690.5
svn,2021,844.5
svn,2022,986.4
svn,2023,1042
svn,2024,
svk,2000,
svk,2001,
svk,2002,
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,1600.4
svk,2009,1397.6
svk,2010,1524.8
svk,2011,1717.6
svk,2012,1393.6
svk,2013,1409.2
svk,2014,1333.7
svk,2015,1313.9
svk,2016,1348.3
svk,2017,1372.6
svk,2018,1356.1
svk,2019,1243.2
svk,2020,1069.9
svk,2021,958.6
svk,2022,1004.9
svk,2023,964.2
svk,2024,
fin,2000,
fin,2001,
fin,2002,
fin,2003,
fin,2004,
fin,2005,
fin,2006,
fin,2007,
fin,2008,2965.2
fin,2009,2507.7
fin,2010,2477.6
fin,2011,2501.3
fin,2012,2353.8
fin,2013,2080.4
fin,2014,2010.5
fin,2015,2084.8
fin,2016,2092.3
fin,2017,2177.3
fin,2018,2248.3
fin,2019,2334.5
fin,2020,2187
fin,2021,2306.5
fin,2022,2477.6
fin,2023,2293.6
fin,2024,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,4464.5
swe,2009,3929.9
swe,2010,4045.8
swe,2011,4106.2
swe,2012,3707.3
swe,2013,3350.9
swe,2014,3497.6
swe,2015,3394.3
swe,2016,3697.2
swe,2017,3314.8
swe,2018,3323.7
swe,2019,3324.4
swe,2020,3403.1
swe,2021,3752.1
swe,2022,3525.7
swe,2023,
swe,2024,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,108.5
isl,2009,97
isl,2010,103.5
isl,2011,124.6
isl,2012,129.8
isl,2013,141.5
isl,2014,158
isl,2015,211
isl,2016,212.1
isl,2017,231.2
isl,2018,232.8
isl,2019,243.1
isl,2020,221.5
isl,2021,229.8
isl,2022,260
isl,2023,245.1
isl,2024,
lie,2000,
lie,2001,
lie,2002,
lie,2003,
lie,2004,
lie,2005,
lie,2006,
lie,2007,
lie,2008,
lie,2009,
lie,2010,
lie,2011,
lie,2012,
lie,2013,
lie,2014,
lie,2015,
lie,2016,
lie,2017,
lie,2018,
lie,2019,
lie,2020,
lie,2021,
lie,2022,
lie,2023,
lie,2024,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,2282.5
nor,2009,2191.6
nor,2010,2246.1
nor,2011,2176.2
nor,2012,2337.6
nor,2013,2550.5
nor,2014,2522.9
nor,2015,2451.8
nor,2016,2416.6
nor,2017,2423.8
nor,2018,2338.2
nor,2019,2396.3
nor,2020,2438.2
nor,2021,2678.3
nor,2022,3084.4
nor,2023,3172.7
nor,2024,3361.6
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,7088.3
che,2009,5404.7
che,2010,5492.1
che,2011,5591.4
che,2012,5556.1
che,2013,5845.3
che,2014,6062.4
che,2015,5780.6
che,2016,5841
che,2017,5993.7
che,2018,6362.8
che,2019,6777.1
che,2020,6351.5
che,2021,7489.3
che,2022,8190.4
che,2023,7235.3
che,2024,
gbr,2000,
gbr,2001,
gbr,2002,
